name,label,summary,description
java-1.8.0-alibaba-dragonwell-javadoc,库, Alibaba Dragonwell 1.8.0 javadoc, Alibaba Dragonwell 1.8.0 javadoc
libvirt-docs,库, API reference and website documentation," Includes the API reference for the libvirt C library, and a complete
copy of the libvirt.org website documentation."
libquvi,库, A cross-platform library for parsing flash media stream," Libquvi is a cross-platform library for parsing flash media stream
URLs with C API."
python2-nose,库, Nose Documentation," nose extends the test loading and running features of unit test, making
it easier to write, find and run tests.

By default, nose will run tests in files or directories under the
current working directory whose names include ""test"" or ""Test"" at a
word boundary (like ""test_this"" or ""functional_test"" or ""TestClass""
but not ""libtest""). Test output is similar to that of unit test, but
also includes captured stdout output from failing tests, for easy
print-style debugging.

These features, and many more, are customizable through the use of
plugins. Plugins included with nose provide support for doctest, code
coverage and profiling, flexible attribute-based test selection,
output capture and more."
mod_lookup_identity,库, Apache module to retrieve additional information about the authenticated user," mod_lookup_identity can retrieve additional pieces of information
about user authenticated in Apache httpd server and store these values
in notes/environment variables to be consumed by web applications.
Use of REMOTE_USER_* environment variables is recommended."
xcb-proto,库, XCB protocol descriptions," XCB is a project to enable efficient language bindings to the X11 protocol.
This package contains the protocol descriptions themselves.  Language
bindings use these protocol descriptions to generate code for marshalling
the protocol."
libusbmuxd,库, Client library USB multiplex daemon for Apple's iOS devices," libusbmuxd is the client library used for communicating with Apple's iPod Touch,
iPhone, iPad and Apple TV devices. It allows multiple services on the device
to be accessed simultaneously."
elfutils-libelf,库, Library to read and write ELF files," The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files."
php-gd,库, A module for PHP applications for using the gd graphics library," The php-gd package contains a dynamic shared object that will add
support for using the gd graphics library to PHP."
dtc,库, Device Tree Compiler," Devicetree is a data structure for describing hardware. Rather than hard coding
every detail of a device into an operating system, many aspects of the hardware
can be described in a data structure that is passed to the operating system at
boot time. The devicetree is used by OpenFirmware, OpenPOWER Abstraction Layer
(OPAL), Power Architecture Platform Requirements (PAPR) and in the standalone
Flattened Device Tree (FDT) form."
mpitests-mvapich2,库, MPI tests package compiled against mvapich2, MPI test suite compiled against the mvapich2 package
atinject,库, Dependency injection specification for Java (JSR-330)," This package specifies a means for obtaining objects in such a way as
to maximize reusability, testability and maintainability compared to
traditional approaches such as constructors, factories, and service
locators (e.g., JNDI). This process, known as dependency injection, is
beneficial to most nontrivial applications."
libreoffice-langpack-ru,库, Russian language pack for LibreOffice, Provides additional Russian translations and resources for LibreOffice.
libibverbs-utils,库,Examples for the libibverbs library ,"Useful libibverbs example programs such as ibv_devinfo, which
displays information about RDMA devices. "
python38-lxml,库, XML processing library combining libxml2/libxslt with the ElementTree API," lxml is a Pythonic, mature binding for the libxml2 and libxslt libraries. It
provides safe and convenient access to these libraries using the ElementTree It
extends the ElementTree API significantly to offer support for XPath, RelaxNG,
XML Schema, XSLT, C14N and much more.To contact the project, go to the project
home page < or see our bug tracker at case you want to use the current ...

Python 3 version."
libatomic,库, The GNU Atomic library," This package contains the GNU Atomic library
which is a GCC support runtime library for atomic operations not supported
by hardware."
libmwaw,库, A library for import of many old Mac document formats," libmwaw is a library for import of old Mac documents. It supports many
kinds of text documents, spreadsheets, databases, vector and bitmap
images. Supported are, for example, documents created by BeagleWorks,
ClarisWorks, MacPaint, MacWrite or Microsoft Word for Mac. A full list
of supported formats is available at
https://sourceforge.net/p/libmwaw/wiki/Home/ ."
gnutls,库, A TLS protocol implementation," GnuTLS is a secure communications library implementing the SSL, TLS and DTLS
protocols and technologies around them. It provides a simple C language
application programming interface (API) to access the secure communications
protocols as well as APIs to parse and write X.509, PKCS #12, OpenPGP and
other required structures."
rust-std-static-wasm32-unknown-unknown,库, Standard library for Rust wasm32-unknown-unknown," This package includes the standard libraries for building applications
written in Rust for the WebAssembly target wasm32-unknown-unknown."
glibc-locale-source,库,The sources for the locales ,"The sources for all locales provided in the language packs.
If you are building custom locales you will most likely use
these sources as the basis for your new locale. "
python3-gpg,库,gpgme bindings for Python 3 ,gpgme bindings for Python 3. 
gnome-autoar,库, Archive library, gnome-autoar is a GObject based library for handling archives.
httpcomponents-client-cache,库, Cache module for httpcomponents-client, This package provides client side caching for httpcomponents-client.
ant-apache-bsf,库, Optional apache bsf tasks for ant, Optional apache bsf tasks for ant.
qatlib,库, Intel QuickAssist user space library," Intel QuickAssist Technology (Intel QAT) provides hardware acceleration
for offloading security, authentication and compression services from the
CPU, thus significantly increasing the performance and efficiency of
standard platform solutions.

Its services include symmetric encryption and authentication,
asymmetric encryption, digital signatures, RSA, DH and ECC, and
lossless data compression.

This package provides user space libraries that allow access to
Intel QuickAssist devices and expose the Intel QuickAssist APIs."
perl-Math-BigRat,库, Arbitrary big rational numbers," Math::BigRat complements Math::BigInt and Math::BigFloat by providing
support for arbitrary big rational numbers."
perl-namespace-clean,库, Keep your namespace tidy," When you define a function, or import one, into a Perl package, it will
naturally also be available as a method. This does not per se cause
problems, but it can complicate subclassing and, for example, plugin
classes that are included via multiple inheritance by loading them as
base classes.

The 'namespace::clean' pragma will remove all previously declared or
imported symbols at the end of the current package's compile cycle.
Functions called in the package itself will still be bound by their
name, but they won't show up as methods on your class or instances."
librhsm,库,Red Hat Subscription Manager library ,Red Hat Subscription Manager library. 
python3-werkzeug,库, The Swiss Army knife of Python web development," Werkzeug
========

Werkzeug started as simple collection of various utilities for WSGI
applications and has become one of the most advanced WSGI utility
modules.  It includes a powerful debugger, full featured request and
response objects, HTTP utilities to handle entity tags, cache control
headers, HTTP dates, cookie handling, file uploads, a powerful URL
routing system and a bunch of community contributed addon modules.

Werkzeug is unicode aware and doesn't enforce a specific template
engine, database adapter or anything else.  It doesn't even enforce
a specific way of handling requests and leaves all that up to the
developer. It's most useful for end user applications which should work
on as many server environments as possible (such as blogs, wikis,
bulletin boards, etc.)."
xml-commons-resolver,库, Resolver subproject of xml-commons, Resolver subproject of xml-commons.
libSM,库, X.Org X11 SM runtime library, The X.Org X11 SM (Session Management) runtime library.
python3-abrt,库, ABRT Python 3 API," High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3."
perl-File-Find,库, Traverse a directory tree," These are functions for searching through directory trees doing work on each
file found similar to the Unix find command."
jboss-interceptors-1.2-api,库, Java EE Interceptors 1.2 API, The Java EE  Interceptors 1.2 API classes from JSR 318.
istack-commons,库, Common code for some Glassfish projects," Code shared between JAXP, JAXB, SAAJ, and JAX-WS projects."
python3-boto3,库, The AWS SDK for Python," Boto3 is the Amazon Web Services (AWS) Software Development
Kit (SDK) for Python, which allows Python developers to
write software that makes use of services like Amazon S3
and Amazon EC2."
docbook-style-xsl,库, Norman Walsh's XSL stylesheets for DocBook XML," These XSL stylesheets allow you to transform any DocBook XML document to
other formats, such as HTML, FO, and XHMTL.  They are highly customizable."
libwayland-client,库, Wayland client library, Wayland client library
perl-File-Copy-Recursive,库, Extension for recursively copying files and directories," This module copies and moves directories recursively to an optional depth and
attempts to preserve each file or directory's mode."
libisofs,库, Library to create ISO 9660 disk images," Libisofs is a library to create an ISO-9660 filesystem and supports
extensions like RockRidge or Joliet. It is also a full featured
ISO-9660 editor, allowing you to modify an ISO image or multisession
disc, including file addition or removal, change of file names and
attributes etc. It supports the extension AAIP which allows to store
ACLs and xattr in ISO-9660 filesystems as well. As it is linked with
zlib, it supports zisofs compression, too."
qgnomeplatform,库, Qt Platform Theme aimed to accommodate Gnome settings," QGnomePlatform is a Qt Platform Theme aimed to accommodate as much of
GNOME settings as possibleand utilize them in Qt applications without
modifying them - making them fit into the environment as well as possible."
libconfig,库, C/C++ configuration file library," Libconfig is a simple library for manipulating structured configuration
files. This file format is more compact and more readable than XML. And
unlike XML, it is type-aware, so it is not necessary to do string parsing
in application code."
java-1.8.0-alibaba-dragonwell-slowdebug,库, Alibaba Dragonwell 1.8.0 Runtime Environment slowdebug, Alibaba Dragonwell 1.8.0 Runtime Environment slowdebug
xmvn-core,库, XMvn Core," This package provides XMvn Core module, which implements the essential
functionality of XMvn such as resolution of artifacts from system
repository."
python3-dateutil,库, Powerful extensions to the standard datetime module," The dateutil module provides powerful extensions to the standard datetime
module available in Python.

This is the version for Python 3."
python3-pyverbs,库,Python3 API over IB verbs ,"Pyverbs is a Cython-based Python API over libibverbs, providing an
easy, object-oriented access to IB verbs. "
bsh-javadoc,库, API documentation for bsh, This package provides API documentation for bsh.
gdbm,库,A GNU set of database routines which use extensible hashing ,"Gdbm is a GNU database indexing library, including routines which use
extensible hashing.  Gdbm works in a similar way to standard UNIX dbm
routines.  Gdbm is useful for developers who write C applications and
need access to a simple and efficient database or who are building C
applications which will use such a database.

If you're a C developer and your programs need access to simple
database routines, you should install gdbm.  You'll also need to
install gdbm-devel. "
gdk-pixbuf2,库, An image loading library," gdk-pixbuf is an image loading library that can be extended by loadable
modules for new image formats. It is used by toolkits such as GTK+ or
clutter."
objectweb-pom,库, Objectweb POM," This package provides Objectweb parent POM used by different
Objectweb packages."
jigawatts,库, Java CRIU helper," CRIU is a Linux utility that allows the checkpointing and restoring
of processes.You can read more about CRIU at criu.org. CRIU for
Java is a package which makes it more convenient to use CRIU from
Java."
gtkmm24-docs,库," Documentation for gtkmm24, includes full API docs", This package contains the full API documentation for gtkmm24.
clutter-gst2,库, GStreamer integration for Clutter," Clutter is an open source software library for creating fast, visually
rich and animated graphical user interfaces.

Clutter GStreamer enables the use of GStreamer with Clutter."
libgudev,库, GObject-based wrapper library for libudev," This library makes it much simpler to use libudev from programs
already using GObject. It also makes it possible to easily use libudev
from other programming languages, such as Javascript, because of
GObject introspection support."
poppler-cpp,库, Pure C++ wrapper for poppler, Pure C++ wrapper for poppler.
libvorbis,库, The Vorbis General Audio Compression Codec," Ogg Vorbis is a fully open, non-proprietary, patent- and royalty-free,
general-purpose compressed audio format for audio and music at fixed
and variable bitrates.

The libvorbis package contains runtime libraries for use in programs
that support Ogg Vorbis."
mingw64-gettext-static,库, Static version of the MinGW Windows Gettext library, Static version of the MinGW Windows Gettext library.
libreoffice-langpack-tr,库, Turkish language pack for LibreOffice, Provides additional Turkish translations and resources for LibreOffice.
boost-regex,库, Run-time component of boost regular expression library," 
Run-time support for boost regular expression library."
libknet1-compress-plugins-all,库, Libknet1 compress plugins meta package, meta package to install all of libknet1 compress plugins
python-qt5-rpm-macros,库, RPM macros python-qt5, RPM macros python-qt5.
lua-lpeg,库, Parsing Expression Grammars for Lua," LPeg is a new pattern-matching library for Lua, based on Parsing Expression
Grammars (PEGs)."
libreoffice-ure,库, UNO Runtime Environment," UNO is the component model of LibreOffice. UNO offers interoperability between
programming languages, other components models and hardware architectures,
either in process or over process boundaries, in the Intranet as well as in the
Internet. UNO components may be implemented in and accessed from any
programming language for which a UNO implementation (AKA language binding) and
an appropriate bridge or adapter exists"
java-11-openjdk-javadoc-zip,库, OpenJDK 11 API documentation compressed in a single archive, The OpenJDK 11 API documentation compressed in a single archive.
perl-Mail-Sender,库, Module for sending mails with attachments through an SMTP server, Module for sending mails with attachments through an SMTP server.
dotnet-templates-3.1,库, .NET Core 3.1 templates," This package contains templates used by the .NET Core SDK.

ASP.NET Core is a fast, lightweight and modular platform for creating
cross platform web applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
qt5-qtbase-static,库, Static library files for qt5-qtbase, Static library files for qt5-qtbase.
libXres,库, X-Resource extension client library," X-Resource is an extension that allows a client to query
the X server about its usage of various resources."
jaf-javadoc,库, Javadoc for jaf, Javadoc for jaf.
perl-Time-Local,库, Efficiently compute time from local and GMT time," This module provides functions that are the inverse of built-in perl functions
localtime() and gmtime(). They accept a date as a six-element array, and
return the corresponding time(2) value in seconds since the system epoch
(Midnight, January 1, 1970 GMT on Unix, for example). This value can be
positive or negative, though POSIX only requires support for positive values,
so dates before the system's epoch may not work on all operating systems."
felix-osgi-foundation,库, Felix OSGi Foundation EE Bundle, OSGi Foundation Execution Environment (EE) Classes.
python3-dns,库, DNS toolkit for Python 3," dnspython3 is a DNS toolkit for Python 3. It supports almost all
record types. It can be used for queries, zone transfers, and dynamic
updates. It supports TSIG authenticated messages and EDNS0.

dnspython3 provides both high and low level access to DNS. The high
level classes perform queries for data of a given name, type, and
class, and return an answer set. The low level classes allow direct
manipulation of DNS zones, messages, names, and records."
regexp-javadoc,库, Javadoc for regexp, Javadoc for regexp.
google-noto-sans-lao-ui-fonts,其它, Sans Lao UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Lao UI."
bpg-courier-s-fonts,其它, Courier S family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Courier S font family."
google-noto-sans-kharoshthi-fonts,其它, Sans Kharoshthi font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Kharoshthi."
google-noto-sans-tai-viet-fonts,其它, Sans Tai Viet font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Tai Viet."
kacst-screen-fonts,其它, Fonts for arabic from arabeyes project, This package contains screen type fonts for the display of Arabic
sil-scheherazade-fonts,其它, An Arabic script unicode font," Scheherazade, named after the heroine of the classic Arabian Nights tale, is
designed in a similar style to traditional typefaces such as Monotype Naskh,
extended to cover the full Unicode Arabic repertoire."
bpg-gorda-fonts,其它, Gorda family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Gorda font family."
bitmap-lucida-typewriter-fonts,其它, Selected CJK bitmap fonts for Anaconda," 
The bitmap-fonts package provides a number of bitmap fonts selected
from the xorg package designed for use locations such as
terminals."
gnu-free-sans-fonts,其它, GNU FreeFont Sans-Serif Font," 
Gnu FreeFont is a free family of scalable outline fonts, suitable for general
use on computers and for desktop publishing. It is Unicode-encoded for
compatibility with all modern operating systems.

Besides a full set of characters for writing systems based on the Latin
alphabet, FreeFont contains large selection of characters from other writing
systems some of which are hard to find elsewhere.

FreeFont also contains a large set of symbol characters, both technical and
decorative. We are especially pleased with the Mathematical Operators range,
with which most of the glyphs used in LaTeX can be displayed.

This package contains the GNU FreeFont sans-serif font."
google-noto-sans-batak-fonts,其它, Sans Batak font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Batak."
google-noto-sans-kannada-ui-fonts,其它, Sans Kannada UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Kannada UI."
urw-base35-z003-fonts,其它, Z003 font family [part of Level 2 Core Font Set]," This package contains Z003 font family,
which is part of Level 2 Core Font Set.


The Level 2 Core Font Set is a PostScript specification of 35 base fonts that
can be used with any PostScript file. In Fedora, these fonts are provided freely
by (URW)++ company, and are mainly utilized by applications using Ghostscript."
liberation-serif-fonts,其它, Serif fonts to replace commonly used Microsoft Times New Roman," The Liberation Fonts are intended to be replacements for the 3 most commonly
used fonts on Microsoft systems: Times New Roman, Arial, and Courier New.

This package provides Serif TrueType fonts that replace commonly used
Microsoft Times New Roman."
kacst-book-fonts,其它, Fonts for arabic from arabeyes project, This package contains book type fonts for the display of Arabic
google-noto-sans-myanmar-fonts,其它, Sans Myanmar font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Myanmar."
bpg-ucnobi-fonts,其它, Ucnobi family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Ucnobi font family."
paratype-pt-sans-fonts,其它, A pan-Cyrillic typeface," 
The PT Sans family was developed as part of the __ublic Types of Russian
Federation_ project. This project aims at enabling the peoples of Russia to
read and write their native languages, using free/libre fonts. It is
dedicated to the 300-year anniversary of the Russian civil type invented by
Peter the Great from 1708 to 1710, and was realized with financial support
from the Russian Federal Agency for Press and Mass Communications.

The fonts include support for all 54 title鹿 languages of the Russian
Federation as well as more common Western, Central European and Cyrillic
blocks making them unique and a very important tool for modern digital
communications.

PT Sans is a grotesque font based on Russian type designs of the second part
of the 20th century. However, it also includes very distinctive features of
modern humanistic design, fulfilling present day aesthetic and functional
requirements.

It was designed by Alexandra Korolkova, Olga Umpeleva and Vladimir Yefimov
and released by ParaType.

鹿 A __itle_ language is named after an ethnic group.

This package includes the four basic styles and two narrows styles for
economic setting."
samyak-gujarati-fonts,其它, Open Type Fonts for Gujarati script," This package contains truetype/opentype font for the display of \
Scripts Gujarati."
lohit-telugu-fonts,其它, Free Telugu font, This package provides a free Telugu truetype/opentype font.
urw-base35-c059-fonts,其它, C059 font family [part of Level 2 Core Font Set]," This package contains C059 font family,
which is part of Level 2 Core Font Set.


The Level 2 Core Font Set is a PostScript specification of 35 base fonts that
can be used with any PostScript file. In Fedora, these fonts are provided freely
by (URW)++ company, and are mainly utilized by applications using Ghostscript."
bpg-elite-fonts,其它, Elite family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Elite font family."
google-noto-serif-malayalam-fonts,其它, Serif Malayalam font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font for Malayalam."
google-noto-sans-hanunoo-fonts,其它, Sans Hanunoo font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Hanunoo."
libertas-sd8686-firmware,其它,Firmware for Marvell Libertas SD 8686 Network Adapter ,Firmware for Marvell Libertas SD 8686 Network Adapter 
google-noto-sans-tagalog-fonts,其它, Sans Tagalog font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Tagalog."
kacst-naskh-fonts,其它, Fonts for arabic from arabeyes project, This package contains naskh type fonts for the display of Arabic
google-noto-sans-telugu-ui-fonts,其它, Sans Telugu UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Telugu UI."
google-noto-serif-kannada-fonts,其它, Serif Kannada font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font for Kannada."
google-noto-sans-gurmukhi-ui-fonts,其它, Sans Gurmukhi UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Gurmukhi UI."
f32-backgrounds-extras-mate,其它, Extra F32 Wallpapers for Mate, This package contains F32 supplemental wallpapers for Mate
f32-backgrounds-kde,其它, Fedora 32 default wallpaper for KDE," This package contains KDE desktop wallpaper for the Fedora 32
default theme"
google-noto-sans-devanagari-ui-fonts,其它, Sans Devanagari UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Devanagari UI."
bpg-classic-fonts,其它, Classic family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Classic font family."
bpg-excelsior-fonts,其它, Excelsior family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Excelsior font family."
samyak-fonts-common,其它, Common files for samyak-fonts," 
The Samyak package contains fonts for the display of
Scripts Devanagari, Gujarati, Malayalam, Odia and Tamil"
iwl135-firmware,其它,Firmware for Intel(R) Centrino Wireless-N 135 Series Adapters ,"This package contains the firmware required by the Intel wireless drivers
for Linux to support the iwl135 hardware.  Usage of the firmware
is subject to the terms and conditions contained inside the provided
LICENSE file. Please read it carefully. "
bitmap-fangsongti-fonts,其它, Selected CJK bitmap fonts for Anaconda," bitmap-fonts-cjk package contains bitmap fonts used by Anaconda. They are
selected from the xorg packages, and the font encoding are converted from
native encoding to ISO10646. They are only intended to be used in Anaconda."
bitmap-console-fonts,其它, Selected set of bitmap fonts," 
The bitmap-fonts package provides a number of bitmap fonts selected
from the xorg package designed for use locations such as
terminals."
google-noto-sans-rejang-fonts,其它, Sans Rejang font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Rejang."
google-noto-naskh-arabic-ui-fonts,其它, Naskh Arabic UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Naskh font for Arabic UI."
bpg-fonts-common,其它, Common files for BPG Georgian fonts (documentation...)," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package consists of files used by other BPG font packages."
google-noto-sans-tagbanwa-fonts,其它, Sans Tagbanwa font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Tagbanwa."
google-noto-sans-javanese-fonts,其它, Sans Javanese font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Javanese."
lohit-gujarati-fonts,其它, Free Gujarati font, This package provides a free Gujarati truetype/opentype font.
google-noto-serif-gujarati-fonts,其它, Serif Gujarati font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Serif font for Gujarati."
google-noto-sans-old-italic-fonts,其它, Sans Old Italic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Old Italic."
wqy-microhei-fonts,其它, Compact Chinese fonts derived from Droid," A new Sans Serif CJK font derived from Google's ""Droid Sans Fallback""
and covers the entire GBK code points (20932 Han glyphs)."
dejavu-fonts-common,其它, Common files for the Dejavu font set," 
The DejaVu font set is based on the __itstream Vera_ fonts, release 1.10. Its
purpose is to provide a wider range of characters, while maintaining the
original style, using an open collaborative development process.

This package consists of files used by other DejaVu packages."
