name,label,summary,description
ncompress,工具, Fast compression and decompression utilities," The ncompress package contains the compress and uncompress file
compression and decompression utilities, which are compatible with the
original UNIX compress utility (.Z file extensions).  These utilities
can't handle gzipped (.gz file extensions) files, but gzip can handle
compressed files.

Install ncompress if you need compression/decompression utilities
which are compatible with the original UNIX compress utility."
mailman,工具, Mailing list manager with built in Web access," Mailman is software to help manage email discussion lists, much like
Majordomo and Smartmail. Unlike most similar products, Mailman gives
each mailing list a webpage, and allows users to subscribe,
unsubscribe, etc. over the Web. Even the list manager can administer
his or her list entirely from the Web. Mailman also integrates most
things people want to do with mailing lists, including archiving, mail
<-> news gateways, and so on.

Documentation can be found in: /usr/share/doc/mailman

When the package has finished installing, you will need to perform some
additional installation steps, these are described in:
/usr/share/doc/mailman/INSTALL.REDHAT"
pkgconf-m4,工具, m4 macros for pkgconf," This package includes m4 macros used to support PKG_CHECK_MODULES
when using pkgconf with autotools."
composer-cli,工具, A command line tool for use with the lorax-composer API server," A command line tool for use with the lorax-composer API server. Examine recipes,
build images, etc. from the command line."
seavgabios-bin,工具, Seavgabios for x86, SeaVGABIOS is an open-source VGABIOS implementation.
avahi,服务, Local network service discovery," Avahi is a system which facilitates service discovery on
a local network -- this means that you can plug your laptop or
computer into a network and instantly be able to view other people who
you can chat with, find printers to print to or find files being
shared. This kind of technology is already found in MacOS X (branded
'Rendezvous', 'Bonjour' and sometimes 'ZeroConf') and is very
convenient."
pcp-pmda-lio,服务, Performance Co-Pilot (PCP) metrics for the LIO subsystem," This package provides a PMDA to gather performance metrics from the kernels
iSCSI target interface (LIO). The metrics are stored by LIO within the Linux
kernels configfs filesystem. The PMDA provides per LUN level stats, and a
summary instance per iSCSI target, which aggregates all LUN metrics within the
target."
fdo-owner-onboarding-server,服务, FDO Owner Onboarding Server implementation, FDO Owner Onboarding Server implementation
pacemaker-schemas,服务, Schemas and upgrade stylesheets for Pacemaker," Schemas and upgrade stylesheets for Pacemaker

Pacemaker is an advanced, scalable High-Availability cluster resource
manager."
krb5-server-ldap,服务,The LDAP storage plugin for the Kerberos 5 KDC ,"Kerberos is a network authentication system. The krb5-server package
contains the programs that must be installed on a Kerberos 5 key
distribution center (KDC).  If you are installing a Kerberos 5 KDC,
and you wish to use a directory server to store the data for your
realm, you need to install this package. "
freeradius-unixODBC,服务, Unix ODBC support for freeradius, This plugin provides the unixODBC support for the FreeRADIUS server project.
pcp-export-pcp2zabbix,服务, Performance Co-Pilot tools for exporting PCP metrics to Zabbix," Performance Co-Pilot (PCP) front-end tools for exporting metric values
to the Zabbix (https://www.zabbix.org/) monitoring software."
cronie,服务, Cron daemon for executing programs at set times," Cronie contains the standard UNIX daemon crond that runs specified programs at
scheduled times and related tools. It is a fork of the original vixie-cron and
has security and configuration enhancements like the ability to use pam and
SELinux."
epel-aliyuncs-next-release,服务, Extra Packages for Enterprise Linux Next repository configuration," This package contains the Extra Packages for Enterprise Linux (EPEL) Next
configuration for yum."
sssd,服务,System Security Services Daemon ,"Provides a set of daemons to manage access to remote directories and
authentication mechanisms. It provides an NSS and PAM interface toward
the system and a plug-gable back-end system to connect to multiple different
account sources. It is also the basis to provide client auditing and policy
services for projects like FreeIPA.

The sssd sub-package is a meta-package that contains the daemon as well as all
the existing back ends. "
xsettingsd,服务, Provides settings to X11 clients via the XSETTINGS specification," xsettingsd is a daemon that implements the XSETTINGS specification.

It is intended to be small, fast, and minimally dependent on other libraries.
It can serve as an alternative to gnome-settings-daemon for users who are not
using the GNOME desktop environment but who still run GTK+ applications and
want to configure things such as themes, font anti-aliasing/hinting, and UI
sound effects."
usbguard-selinux,服务, USBGuard selinux," The usbguard-selinux package contains selinux policy for the USBGuard
daemon."
rsyslog-mysql,服务, MySQL support for rsyslog," The rsyslog-mysql package contains a dynamic shared object that will add
MySQL database support to rsyslog."
bind9.16-utils,服务, Utilities for querying DNS name servers," Bind-utils contains a collection of utilities for querying DNS (Domain
Name System) name servers to find out information about Internet
hosts. These tools will provide you with the IP addresses for given
host names, as well as other information about registered domains and
network addresses.

You should install bind9.16-utils if you need to get information from DNS name
servers."
cyrus-imapd,服务," A high-performance email, contacts and calendar server"," The Cyrus IMAP (Internet Message Access Protocol) server provides access to
personal mail, system-wide bulletin boards, news-feeds, calendar and contacts
through the IMAP, JMAP, NNTP, CalDAV and CardDAV protocols. The Cyrus IMAP
server is a scalable enterprise groupware system designed for use from small to
large enterprise environments using technologies based on well-established Open
Standards.

A full Cyrus IMAP implementation allows a seamless mail and bulletin board
environment to be set up across one or more nodes. It differs from other IMAP
server implementations in that it is run on sealed nodes, where users are not
normally permitted to log in. The mailbox database is stored in parts of the
filesystem that are private to the Cyrus IMAP system. All user access to mail
is through software using the IMAP, IMAPS, JMAP, POP3, POP3S, KPOP, CalDAV
and/or CardDAV protocols.

The private mailbox database design gives the Cyrus IMAP server large
advantages in efficiency, scalability, and administratability. Multiple
concurrent read/write connections to the same mailbox are permitted. The server
supports access control lists on mailboxes and storage quotas on mailbox
hierarchies."
pcp-pmda-infiniband,服务, Performance Co-Pilot (PCP) metrics for Infiniband HCAs and switches," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting Infiniband statistics.  By default, it monitors the local HCAs
but can also be configured to monitor remote GUIDs such as IB switches."
langpacks-fi,服务, Finnish langpacks meta-package, This package provides Finnish langpacks meta-package.
lorax-templates-anolis,服务, Anolis OS build templates for lorax and livemedia-creator," Anolis OS specific Lorax templates for creating the boot.iso and live isos are
placed in /usr/share/lorax/templates.d/80-anolis"
lldpad,服务,Intel LLDP Agent ,"This package contains the Linux user space daemon and configuration tool for
Intel LLDP Agent with Enhanced Ethernet support for the Data Center. "
uuidd,服务,Helper daemon to guarantee uniqueness of time-based UUIDs ,"The uuidd package contains a userspace daemon (uuidd) which guarantees
uniqueness of time-based UUID generation even at very high rates on
SMP systems. "
langpacks-ar,服务, Arabic langpacks meta-package, This package provides Arabic langpacks meta-package.
dde-api,服务, Go-lang bingding for dde-daemon, Go-lang bingding for dde-daemon.
langpacks-nl,服务, Dutch langpacks meta-package, This package provides Dutch langpacks meta-package.
kubernetes-kubeadm,服务, Kubernetes tool for standing up clusters, Kubernetes tool for standing up clusters
NetworkManager-bluetooth,服务,Bluetooth device plugin for NetworkManager ,This package contains NetworkManager support for Bluetooth devices. 
NetworkManager-initscripts-updown,服务,Legacy ifup/ifdown scripts for NetworkManager that replace initscripts (network-scripts) ,"Installs alternative ifup/ifdown scripts that talk to NetworkManager.
This is only for backward compatibility with initscripts (network-scripts).
Preferably use nmcli instead. "
langpacks-gl,服务, Galician langpacks meta-package, This package provides Galician langpacks meta-package.
pcp-pmda-mysql,服务, Performance Co-Pilot (PCP) metrics for MySQL," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the MySQL database."
pcp-pmda-openvswitch,服务, Performance Co-Pilot (PCP) metrics for Open vSwitch," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics from Open vSwitch."
kwin-common,服务, Common files for KWin X11 and KWin Wayland, Common files for KWin X11 and KWin Wayland.
xdg-desktop-portal-gtk,服务, Backend implementation for xdg-desktop-portal using GTK+," A backend implementation for xdg-desktop-portal that is using GTK+ and various
pieces of GNOME infrastructure, such as the org.gnome.Shell.Screenshot or
org.gnome.SessionManager D-Bus interfaces."
Dragonfly-supernode,服务, Dragonfly Cluster Manager(Supernode)," Dragonfly Cluster Manager(Supernode) is the P2P server, which is mainly
responsible for scheduling P2P task and making CDN cache."
bind-dyndb-ldap,服务, LDAP back-end plug-in for BIND," This package provides an LDAP back-end plug-in for BIND. It features
support for dynamic updates and internal caching, to lift the load
off of your LDAP server."
foomatic-db-ppds,服务, PPDs from printer manufacturers, PPDs from printer manufacturers.
samba-common,服务, Files used by both Samba servers and clients," samba-common provides files necessary for both the server and client
packages of Samba."
dleyna-renderer,服务, Service for interacting with Digital Media Renderers," D-Bus service for clients to discover and manipulate DLNA Digital Media
Renderers (DMRs)."
initscripts,服务, Basic support for legacy System V init scripts," This package provides basic support for legacy System V init scripts, and some
other legacy tools & utilities."
anolis-gpg-keys,服务, Anolis OS RPM keys, Anolis OS RPM signature keys
gnome-settings-daemon,服务, The daemon sharing settings from GNOME to GTK+/KDE applications," A daemon to share settings from GNOME to other applications. It also
handles global keybindings, as well as a number of desktop-wide settings."
usbmuxd,服务, Daemon for communicating with Apple's iOS devices," usbmuxd is a daemon used for communicating with Apple's iPod Touch, iPhone,
iPad and Apple TV devices. It allows multiple services on the device to be
accessed simultaneously."
pki-server,服务, PKI Server Package," The PKI Server Package contains libraries and utilities needed by other
PKI subsystems."
