name,label,predict,summary,description,人工初判
libqmi-utils,库,工具,Utilities to use the QMI protocol from the command line ,"This package contains the utilities that make it easier to use QMI functionality
from the command line. ",工具
libreport-plugin-mailx,库,服务, libreport's mailx reporter plugin," The simple reporter plugin which sends a report via mailx to a specified
email address.",库
libguestfs-winsupport,库,服务, Add support for Windows guests to virt-v2v and virt-p2v," This optional package adds support for Windows guests (NTFS) to the
virt-v2v and virt-p2v programs.
This package also supports system compression (""Compact OS"") using the
plugin from https://github.com/ebiggers/ntfs-3g-system-compression",库
jmc,库,工具, JDK Mission Control is a profiling and diagnostics tool," JDK Mission Control is a powerful profiler for HotSpot JVMs and has an
advanced set of tools that enables efficient and detailed analysis of the
extensive data collected by JDK Flight Recorder. The tool chain enables
developers and administrators to collect and analyze data from Java
applications running locally or deployed in production environments.",工具
libreoffice-help-hi,库,服务, Hindi help for LibreOffice, Provides Hindi help for LibreOffice.,库
apache-commons-lang,库,工具, Provides a host of helper utilities for the java.lang API," The standard Java libraries fail to provide enough methods for
manipulation of its core classes. The Commons Lang Component provides
these extra methods.
The Commons Lang Component provides a host of helper utilities for the
java.lang API, notably String manipulation methods, basic numerical
methods, object reflection, creation and serialization, and System
properties. Additionally it contains an inheritable enum type, an
exception structure that supports multiple types of nested-Exceptions
and a series of utilities dedicated to help with building methods, such
as hashCode, toString and equals.",库
python3-bcc,库,工具, Python3 bindings for BPF Compiler Collection (BCC), Python3 bindings for BPF Compiler Collection (BCC),库
perl-Software-License,库,服务, Package that provides templated software licenses, Software-License contains templates for common open source software licenses.,库
mesa-vulkan-drivers,库,服务, Mesa Vulkan drivers, The drivers with support for the Vulkan API.,库
libnice-gstreamer1,库,服务, GStreamer plugin for libnice, The libnice-gstreamer1 package contains a gstreamer 1.0 plugin for libnice.,库
php-fpm,库,服务, PHP FastCGI Process Manager," PHP-FPM (FastCGI Process Manager) is an alternative PHP FastCGI
implementation with some additional features useful for sites of
any size, especially busier sites.",库
libvirt-gconfig,库,服务, libvirt object APIs for processing object configuration," This package provides APIs for processing the object configuration
data",库
xbean,库,服务, Java plugin based web server," The goal of XBean project is to create a plugin based server
analogous to Eclipse being a plugin based IDE. XBean will be able to
discover, download and install server plugins from an Internet based
repository. In addition, we include support for multiple IoC systems,
support for running with no IoC system, JMX without JMX code,
lifecycle and class loader management, and a rock solid Spring
integration.",工具
libproxy-webkitgtk4,库,工具, Plugin for libproxy and webkitgtk3," The libproxy-webkitgtk4 package contains the libproxy plugin for
webkitgtk3.",库
libreoffice-help-eu,库,服务, Basque help for LibreOffice, Provides Basque help for LibreOffice.,库
libreoffice-help-da,库,服务, Danish help for LibreOffice, Provides Danish help for LibreOffice.,库
perl-Mail-SPF,库,服务, Object-oriented implementation of Sender Policy Framework," Mail::SPF is an object-oriented implementation of Sender Policy Framework
(SPF). See http://www.openspf.org for more information about SPF.",库
cyrus-sasl-sql,库,服务, SQL auxprop support for Cyrus SASL," The cyrus-sasl-sql package contains the Cyrus SASL plugin which supports
using a RDBMS for storing shared secrets.",库
libtasn1-tools,库,工具, Some ASN.1 tools," This package contains simple tools that can decode and encode ASN.1
data.",库
vamp-plugin-sdk,库,服务, An API for audio analysis and feature extraction plugins," Vamp is an API for C and C++ plugins that process sampled audio data
to produce descriptive output (measurements or semantic observations).",库
maven-hawtjni-plugin,库,工具, Use HawtJNI from a maven plugin, This package allows to use HawtJNI from a maven plugin.,库
perl-IO-Socket-IP,库,服务, Drop-in replacement for IO::Socket::INET supporting both IPv4 and IPv6," This module provides a protocol-independent way to use IPv4 and IPv6
sockets, intended as a replacement for IO::Socket::INET. Most constructor
arguments and methods are provided in a backward-compatible way.",unknown
perl-Class-Method-Modifiers,库,工具, Provides Moose-like method modifiers," Method modifiers are a powerful feature from the CLOS (Common Lisp Object
System) world.

In its most basic form, a method modifier is just a method that calls
'$self->SUPER::foo(@_)'. I for one have trouble remembering that exact
invocation, so my classes seldom re-dispatch to their base classes. Very
bad!

'Class::Method::Modifiers' provides three modifiers: 'before', 'around',
and 'after'. 'before' and 'after' are run just before and after the method
they modify, but can not really affect that original method. 'around' is
run in place of the original method, with a hook to easily call that
original method. See the 'MODIFIERS' section for more details on how the
particular modifiers work.",unknown
python39-numpy-f2py,库,工具, f2py for numpy, This package includes a version of f2py that works properly with NumPy.,库
perl-Devel-LexAlias,库,服务, Alias lexical variables," Devel::LexAlias provides the ability to alias a lexical variable in a
subroutines scope to one of your choosing.",库
libreoffice-help-sk,库,服务, Slovak help for LibreOffice, Provides Slovak help for LibreOffice.,库
perl-SelectSaver,库,工具, Save and restore selected file handle," A ""SelectSaver"" object contains a reference to the file handle that was
selected when it was created. When the object is destroyed, it re-selects the
file handle that was selected when it was created.",unknown
libreoffice-help-et,库,服务, Estonian help for LibreOffice, Provides Estonian help for LibreOffice.,库
perl-Text-Unidecode,库,工具, US-ASCII transliterations of Unicode text," 
Text::Unidecode provides a function, `unidecode(...)' that takes
Unicode data and tries to represent it in US-ASCII characters (i.e.,
the universally displayable characters between 0x00 and 0x7F). The
representation is almost always an attempt at *transliteration* -- i.e.,
conveying, in Roman letters, the pronunciation expressed by the text in
some other writing system.",库
dotnet-sdk-5.0,库,工具, .NET 5.0 Software Development Kit," The .NET SDK is a collection of command line applications to
create, build, publish and run .NET applications.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services.",unknown
gstreamer1-plugins-ugly-free,库,工具," GStreamer streaming media framework ""ugly"" plugins"," GStreamer is a streaming media framework, based on graphs of elements which
operate on media data.

This package contains plug-ins whose license is not fully compatible with LGPL.",库
sisu-plexus,库,工具, Sisu Plexus, This package contains Sisu Plexus.,库
gtksourceview3,库,工具, A library for viewing source files," GtkSourceView is a text widget that extends the standard GTK+
GtkTextView widget. It improves GtkTextView by implementing
syntax highlighting and other features typical of a source code editor.

This package contains version 3 of GtkSourceView. The older version
2 is contains in the gtksourceview2 package.",库
jxrlib,库,服务, Open source implementation of jpegxr, This is an open source implementation of the jpegxr image format standard.,库
libknet1-crypto-nss-plugin,库,服务, Libknet1 nss support, NSS crypto support for libknet1.,库
freeradius-perl,库,服务, Perl support for freeradius, This plugin provides the Perl support for the FreeRADIUS server project.,库
perl-DBD-Pg,库,服务, A PostgreSQL interface for perl," DBD::Pg is a Perl module that works with the DBI module to provide access
to PostgreSQL databases.",库
libreoffice-help-gu,库,服务, Gujarati help for LibreOffice, Provides Gujarati help for LibreOffice.,库
swig-gdb,库,工具, Commands for easier debugging of SWIG," This package contains file with commands for easier debugging of SWIG
in gdb.",工具
p11-kit-trust,库,服务, System trust module from p11-kit," The p11-kit-trust package contains a system trust PKCS#11 module which
contains certificate anchors and black lists.",库
libreoffice-help-tr,库,服务, Turkish help for LibreOffice, Provides Turkish help for LibreOffice.,库
perl-List-MoreUtils,库,服务, Provide the stuff missing in List::Util," List::MoreUtils provides some trivial but commonly needed functionality
on lists that is not going to go into List::Util.",库
at-spi2-atk,库,工具, A GTK+ module that bridges ATK to D-Bus at-spi," at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This version of at-spi is a major break from previous versions.
It has been completely rewritten to use D-Bus rather than
ORBIT / CORBA for its transport protocol.

This package includes a gtk-module that bridges ATK to the new
D-Bus based at-spi.",库
mvapich2-psm2,库,工具, OSU MVAPICH2 MPI package 2.3 for Omni-Path adapters," MVAPICH2 is a Message Passing Interface (MPI 3.0) implementation based on MPICH
and developed by Ohio State University.

This is a version of mvapich2 2.3 that uses the PSM2 transport for Omni-Path
adapters.",库
python3-sphinx-theme-alabaster,库,服务, Configurable sidebar-enabled Sphinx theme," This theme is a modified ""Kr"" Sphinx theme from @kennethreitz (especially as
used in his Requests project), which was itself originally based on @mitsuhiko's
theme used for Flask & related projects.",其它
dotnet-sdk-6.0-source-built-artifacts,库,工具, Internal package for building .NET 6.0 Software Development Kit," The .NET source-built archive is a collection of packages needed
to build the .NET SDK itself.

These are not meant for general use.",unknown
maven-resolver-spi,库,服务, Maven Artifact Resolver SPI," The service provider interface for repository system implementations and
repository connectors.",库
graphite2,库,其它, Font rendering capabilities for complex non-Roman writing systems," Graphite2 is a project within SIL__ Non-Roman Script Initiative and Language
Software Development groups to provide rendering capabilities for complex
non-Roman writing systems. Graphite can be used to create __mart fonts_ capable
of displaying writing systems with various complex behaviors. With respect to
the Text Encoding Model, Graphite handles the ""Rendering"" aspect of writing
system implementation.",库
perl-podlators,库,工具, Format POD source into various output formats," This package contains Pod::Man and Pod::Text modules which convert POD input
to *roff source output, suitable for man pages, or plain text.  It also
includes several sub-classes of Pod::Text for formatted output to terminals
with various capabilities.",库
subversion-libs,库,工具, Libraries for Subversion Version Control system," The subversion-libs package includes the essential shared libraries
used by the Subversion version control tools.",库
gpac,库,工具, MPEG-4 multimedia framework," GPAC is a multimedia framework based on the MPEG-4 Systems standard developed
from scratch in ANSI C.  The original development goal is to provide a clean,
small and flexible alternative to the MPEG-4 Systems reference software.

GPAC features the integration of recent multimedia standards (SVG/SMIL, VRML,
X3D, SWF, 3GPP(2) tools and more) into a single framework. GPAC also features
MPEG-4 Systems encoders/multiplexers, publishing tools for content distribution
for MP4 and 3GPP(2) files and many tools for scene descriptions
(MPEG4 <-> VRML <-> X3D converters, SWF -> MPEG-4, etc).",库
pandoc-common,库,工具, Pandoc data files, This package contains the common data files used by pandoc.,库
libglvnd-egl,库,服务, EGL support for libglvnd, libEGL are the common dispatch interface for the EGL API.,库
purple-sipe,库,服务, Libpurple protocol plugin to connect to MS Office Communicator," A third-party plugin for the Pidgin multi-protocol instant messenger.
It implements the extended version of SIP/SIMPLE used by various products:

    * Skype for Business
    * Microsoft Office 365
    * Microsoft Business Productivity Online Suite (BPOS)
    * Microsoft Lync Server
    * Microsoft Office Communications Server (OCS 2007/2007 R2)
    * Microsoft Live Communications Server (LCS 2003/2005)

This package provides the protocol plugin for libpurple clients.",库
gutenprint-plugin,库,其它, GIMP plug-in for gutenprint, This package contains the gutenprint GIMP plug-in.,库
qt-settings,库,工具, Configuration files for Qt, Configuration files for Qt.,库
frei0r-plugins,库,服务, Frei0r - a minimalist plugin API for video effects," It is a minimalist plugin API for video sources and filters. The behavior of
the effects can be controlled from the host by simple parameters. The intent is
to solve the recurring re-implementation or adaptation issue of standard effect",库
GeoIP-GeoLite-data-extra,库,工具, Free GeoLite IP geolocation databases," The GeoLite databases are free IP geolocation databases. This package contains
databases that map IPv6 addresses to countries, plus IPv4 and IPv6 addresses
to cities and autonomous system numbers.

This product includes GeoLite data created by MaxMind, available from
http://www.maxmind.com/",unknown
waf,库,工具, A Python-based build system," Waf is a Python-based framework for configuring, compiling and
installing applications. It is a replacement for other tools such as
Autotools, Scons, CMake or Ant.",工具
libsrtp,库,服务, An implementation of the Secure Real-time Transport Protocol (SRTP)," This package provides an implementation of the Secure Real-time
Transport Protocol (SRTP), the Universal Security Transform (UST), and
a supporting cryptographic kernel.",库
lzo-minilzo,库,工具,Mini version of lzo for apps which don't need the full version ,"A small (mini) version of lzo for embedding into applications which don't need
full blown lzo compression support. ",库
log4j,库,工具, Java logging package," Log4j is a tool to help the programmer output log statements to a
variety of output targets.",unknown
jetty-continuation,库,服务, continuation module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains continuation module for Jetty.",服务
plexus-interactivity-api,库,工具, API for plexus-interactivity, API module for plexus-interactivity.,库
perl-PCP-LogSummary,库,工具, Performance Co-Pilot (PCP) Perl bindings for post-processing output of pmlogsummary," The PCP::LogSummary module provides a Perl module for using the
statistical summary data produced by the Performance Co-Pilot
pmlogsummary utility.  This utility produces various averages,
minima, maxima, and other calculations based on the performance
data stored in a PCP archive.  The Perl interface is ideal for
exporting this data into third-party tools (e.g. spreadsheets).",库
ptscotch-mpich-devel-parmetis,库,服务, Parmetis compatibility header for scotch, This package contains the parmetis compatibility header for scotch.,库
qt5-qttranslations,库,工具, Qt5 - QtTranslations module, Qt5 - QtTranslations module.,库
perl-I18N-Collate,库,工具, Compare 8-bit scalar data according to the current locale," This module provides you with objects that will collate according to your
national character set. This module is deprecated. See the perllocale manual
page for further information.",库
perl-Net-HTTP,库,服务, Low-level HTTP connection (client)," The Net::HTTP class is a low-level HTTP client. An instance of the
Net::HTTP class represents a connection to an HTTP server. The HTTP
protocol is described in RFC 2616. The Net::HTTP class supports HTTP/1.0
and HTTP/1.1.",库
libev-source,库,工具, High-performance event loop/event model with lots of features, This package contains the source code for libev.,库
plexus-cli,库,服务, Command Line Interface facilitator for Plexus," The Plexus project seeks to create end-to-end developer tools for
writing applications. At the core is the container, which can be
embedded or for a full scale application server. There are many
reusable components for hibernate, form processing, jndi, i18n,
velocity, etc. Plexus also includes an application server which
is like a J2EE application server, without all the baggage.",库
php-pdo,库,服务, A database access abstraction module for PHP applications," The php-pdo package contains a dynamic shared object that will add
a database access abstraction layer to PHP.  This module provides
a common interface for accessing MySQL, PostgreSQL or other
databases.",库
dotnet-sdk-6.0,库,工具, .NET 6.0 Software Development Kit," The .NET SDK is a collection of command line applications to
create, build, publish and run .NET applications.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services.",unknown
os-maven-plugin,库,工具, Maven plugin for generating platform-dependent properties," os-maven-plugin is a Maven extension/plugin that generates various
useful platform-dependent project properties normalized from
${os.name} and ${os.arch}.

${os.name} and ${os.arch} are often subtly different between JVM and
operating system versions or they sometimes contain machine-unfriendly
characters such as whitespaces. This plugin tries to remove such
fragmentation so that you can determine the current operating system
and architecture reliably.",库
php-soap,库,服务, A module for PHP applications that use the SOAP protocol," The php-soap package contains a dynamic shared object that will add
support to PHP for using the SOAP web services protocol.",库
perl-macros,库,工具, Macros for rpmbuild, RPM macros that are handy when building binary RPM packages.,库
libicu,库,服务, International Components for Unicode - libraries," The International Components for Unicode (ICU) libraries provide
robust and full-featured Unicode services on a wide variety of
platforms. ICU supports the most current version of the Unicode
standard, and they provide support for supplementary Unicode
characters (needed for GB 18030 repertoire support).
As computing environments become more heterogeneous, software
portability becomes more important. ICU lets you produce the same
results across all the various platforms you support, without
sacrificing performance. It offers great flexibility to extend and
customize the supplied services.",库
fence-virtd-cpg,库,服务, CPG/libvirt backend for fence-virtd," Provides fence_virtd with a connection to libvirt to fence
virtual machines. Uses corosync CPG to keep track of VM
locations to allow for non-local VMs to be fenced when VMs
are located on corosync cluster nodes.",库
qt5-qdbusviewer,库,工具, D-Bus debugger and viewer," QDbusviewer can be used to inspect D-Bus objects of running programs
and invoke methods on those objects.",库
ucx-cma,库,服务, UCX CMA support," Provides CMA (Linux cross-memory-attach) transport for UCX. It utilizes the
system calls process_vm_readv/writev() for one-shot memory copy from another
process.",库
nbdfuse,库,服务, FUSE support for libnbd, This package contains FUSE support for libnbd.,库
perl-Package-Stash-XS,库,工具, Faster and more correct implementation of the Package::Stash API," This is a back-end for Package::Stash, which provides the functionality in a
way that's less buggy and much faster. It will be used by default if it's
installed, and should be preferred in all environments with a compiler.",库
sblim-wbemcli,库,工具, SBLIM WBEM Command Line Interface," WBEM Command Line Interface is a standalone, command line WBEM client. It is
specially suited for basic systems management tasks as it can be used in
scripts.",工具
libmbim-utils,库,工具,Utilities to use the MBIM protocol from the command line ,"This package contains the utilities that make it easier to use MBIM
functionality from the command line. ",工具
qt5-rpm-macros,库,工具, RPM macros for building Qt5 and KDE Frameworks 5 packages, RPM macros for building Qt5 and KDE Frameworks 5 packages.,库
maven-doxia-sink-api,库,工具, Sink-api module for maven-doxia, This package provides Sink-api module for maven-doxia.,库
plexus-interactivity,库,服务, Plexus Interactivity Handler Component," The Plexus project seeks to create end-to-end developer tools for
writing applications. At the core is the container, which can be
embedded or for a full scale application server. There are many
reusable components for hibernate, form processing, jndi, i18n,
velocity, etc. Plexus also includes an application server which
is like a J2EE application server, without all the baggage.",库
perl-Test-Taint,库,工具, Tools to test taintedness," Tainted data is data that comes from an unsafe source, such as the command
line, or, in the case of web apps, any GET or POST transactions. Read the
perlsec man page for details on why tainted data is bad, and how to untaint
the data.

When you're writing unit tests for code that deals with tainted data, you'll
want to have a way to provide tainted data for your routines to handle, and
easy ways to check and report on the taintedness of your data, in standard
Test::More style.",unknown
maven-resolver-impl,库,服务, Maven Artifact Resolver Implementation, An implementation of the repository system.,库
libreport-plugin-rhtsupport,库,服务, libreport's RHTSupport plugin, Plugin to report bugs into RH support system.,库
libreoffice-help-id,库,服务, Indonesian help for LibreOffice, Provides Indonesian help for LibreOffice.,库
perl-List-MoreUtils-XS,库,工具, Provide compiled List::MoreUtils functions, This module provides accelerated versions of functions in List::MoreUtils.,库
libfprint,库,服务, Toolkit for fingerprint scanner, libfprint offers support for consumer fingerprint reader devices.,库
perl-Path-Tiny,库,工具, File path utility," This module attempts to provide a small, fast utility for working with file,库
paths. It is friendlier to use than File::Spec and provides easy access to
functions from several other core file handling modules.

It doesn't attempt to be as full-featured as IO::All or Path::Class, nor does
it try to work for anything except Unix-like and Win32 platforms. Even then, it
might break if you try something particularly obscure or tortuous.

All paths are forced to have Unix-style forward slashes. Stringifying the
object gives you back the path (after some clean up).

File input/output methods flock handles before reading or writing, as
appropriate.

The *_utf8 methods (slurp_utf8, lines_utf8, etc.) operate in raw mode without
CRLF translation."
httpcomponents-client,库,服务, HTTP agent implementation based on httpcomponents HttpCore," HttpClient is a HTTP/1.1 compliant HTTP agent implementation based on
httpcomponents HttpCore. It also provides reusable components for
client-side authentication, HTTP state management, and HTTP connection
management. HttpComponents Client is a successor of and replacement
for Commons HttpClient 3.x. Users of Commons HttpClient are strongly
encouraged to upgrade.",库
perl-Thread-Semaphore,库,服务, Thread-safe semaphores," Semaphores provide a mechanism to regulate access to resources. Unlike locks,
semaphores aren't tied to particular scalars, and so may be used to control
access to anything you care to use them for. Semaphores don't limit their
values to zero and one, so they can be used to control access to some resource
that there may be more than one of (e.g., file handles). Increment and
decrement amounts aren't fixed at one either, so threads can reserve or return
multiple resources at once.",库
openhpi,库,服务,Hardware Platform Interface library and tools ,"OpenHPI is an open source project created with the intent of providing an
implementation of the SA Forum's Hardware Platform Interface (HPI). HPI
provides an abstracted interface to managing computer hardware, typically for
chassis and rack based servers. HPI includes resource modeling; access to and
control over sensor, control, watchdog, and inventory data associated with
resources; abstracted System Event Log interfaces; hardware events and alerts;
and a managed hot swap interface.

OpenHPI provides a modular mechanism for adding new hardware and device support
easily. Many plug-ins exist in the OpenHPI source tree to provide access to
various types of hardware. This includes, but is not limited to, IPMI based
servers, Blade Center, and machines which export data via sysfs. ",库
perl-Search-Dict,库,工具, Search for a key in a dictionary file," This module sets file position in a file handle to be first line greater than
or equal (string-wise) to a key.",库
rrdtool-ruby,库,工具, Ruby RRDtool bindings, The rrdtool-ruby package includes RRDtool bindings for Ruby.,库
samba-test-libs,库,服务,Libraries need by the testing tools for Samba servers and clients ,samba-test-libs provides libraries required by the testing tools.,库 
apache-commons-codec,库,服务, Implementations of common encoders and decoders," Commons Codec is an attempt to provide definitive implementations of
commonly used encoders and decoders. Examples include Base64, Hex,
Phonetic and URLs.",库
libreoffice-help-ja,库,服务, Japanese help for LibreOffice, Provides Japanese help for LibreOffice.,库
python3-lib389,库,服务," A library for accessing, testing, and configuring the 389 Directory Server"," This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server.",库
xmvn-subst,库,工具, XMvn Subst," This package provides XMvn Subst, which is a tool that can substitute
Maven artifact files with symbolic links to corresponding files in
artifact repository.",库
libreport-rhel-bugzilla,库,工具, Default configuration for reporting bugs to Red Hat Bugzilla," Default configuration for reporting bugs to Red Hat Bugzilla used to easily
configure the reporting process for Red Hat systems. Just install this package
and you're done.",库
fontpackages-filesystem,库,其它, Directories used by font packages," This package contains the basic directory layout used by font packages,
including the correct permissions for the directories.",库
python3-libsvm,库,工具, Python3 tools and interfaces for libsvm," Python3 tools and interfaces for libsvm.
Install this package if you want to develop
programs with libsvm in Python3.",库
fence-virtd-multicast,库,服务, Multicast listener for fence-virtd, Provides multicast listener capability for fence-virtd.,库
perl-Pod-Checker,库,工具, Check POD documents for syntax errors," Module and tools to verify POD documentation contents for compliance with the
Plain Old Documentation format specifications.",库
openscap-scanner,库,工具, OpenSCAP Scanner Tool (oscap)," The openscap-scanner package contains oscap command-line tool. The oscap
is configuration and vulnerability scanner, capable of performing
compliance checking using SCAP content.",工具
python3-pluggy,库,服务, The plugin manager stripped of pytest specific details., The plugin manager stripped of pytest specific details.,库
perl-Unicode-Normalize,库,工具, Unicode Normalization Forms," This package provides Perl functions that can convert strings into various
Unicode normalization forms as defined in Unicode Standard Annex #15.",库
publicsuffix-list,库,服务,Cross-vendor public domain suffix database ,"The Public Suffix List is a cross-vendor initiative to provide
an accurate list of domain name suffixes, maintained by the hard work
of Mozilla volunteers and by submissions from registries.
Software using the Public Suffix List will be able to determine where
cookies may and may not be set, protecting the user from being
tracked across sites. ",库
aqute-bnd,库,工具, BND Tool," The bnd tool helps you create and diagnose OSGi bundles.
The key functions are:
- Show the manifest and JAR contents of a bundle
- Wrap a JAR so that it becomes a bundle
- Create a Bundle from a specification and a class path
- Verify the validity of the manifest entries
The tool is capable of acting as:
- Command line tool
- File format
- Directives
- Use of macros",库
perl-Net-SSLeay,库,服务, Perl extension for using OpenSSL," This module offers some high level convenience functions for accessing
web pages on SSL servers (for symmetry, same API is offered for
accessing http servers, too), a sslcat() function for writing your own
clients, and finally access to the SSL API of SSLeay/OpenSSL package
so you can write servers or clients for more complicated applications.",库
vm-dump-metrics,库,服务,Virtualization host metrics dump ,"Executable to dump all available virtualization host metrics to stdout
or a file. ",库
glassfish-el,库,服务, J2EE Expression Language Implementation," This project provides an implementation of the Expression Language (EL).
The main goals are:
 * Improves current implementation: bug fixes and performance improvements
 * Provides API for use by other tools, such as Netbeans",库
zsh-html,库,服务, Zsh shell manual in html format," The zsh shell is a command interpreter usable as an interactive login
shell and as a shell script command processor.  Zsh resembles the ksh
shell (the Korn shell), but includes many enhancements.  Zsh supports
command line editing, built-in spelling correction, programmable
command completion, shell functions (with autoloading), a history
mechanism, and more.

This package contains the Zsh manual in html format.",库
jetty-servlet,库,服务, servlet module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains servlet module for Jetty.",库
qt5-qtserialbus,库,服务, Qt5 - SerialBus component," Qt Serial Bus (API) provides classes and functions to access the various
industrial serial buses and protocols, such as CAN, ModBus, and others.",库
perl-Ref-Util,库,服务, Utility functions for checking references," Ref::Util introduces several functions to help identify references in a faster
and smarter way.",库
xmvn-tools-pom,库,工具, XMvn Tools POM, This package provides XMvn Tools parent POM.,库
php-pecl-zip,库,工具, A ZIP archive management extension, Zip is an extension to create and read zip files.,库
speexdsp,库,工具, A voice compression format (DSP)," Speex is a patent-free compression format designed especially for
speech. It is specialized for voice communications at low bit-rates in
the 2-45 kbps range. Possible applications include Voice over IP
(VoIP), Internet audio streaming, audio books, and archiving of speech
data (e.g. voice mail).

This is the DSP package, see the speex package for the codec part.",库
plexus-compiler-pom,库,工具, Maven POM files for plexus-compiler, This package provides Maven POM files for plexus-compiler.,库
perl-B-Lint,库,工具, Perl lint," The B::Lint module is equivalent to an extended version of the -w option of
perl. It is named after the program lint which carries out a similar process
for C programs.",库
