,src,bin,num_of_bin
24,ant: 应用工具,"{'ant': '工具', 'ant-antlr': '库', 'ant-apache-bcel': '应用库', 'ant-apache-bsf': '应用库', 'ant-apache-log4j': '应用库', 'ant-apache-oro': '库', 'ant-apache-regexp': '应用库', 'ant-apache-resolver': '应用库', 'ant-apache-xalan2': '应用库', 'ant-commons-logging': '应用库', 'ant-commons-net': '应用库', 'ant-javadoc': '应用库', 'ant-javamail': '应用库', 'ant-jdepend': '应用库', 'ant-jmf': '应用库', 'ant-jsch': '应用库', 'ant-junit': '应用库', 'ant-lib': '应用库', 'ant-manual': '应用库', 'ant-swing': '应用库', 'ant-testutil': '应用工具', 'ant-xz': '应用库'}",22
25,ant-contrib: 应用工具,"{'ant-contrib': '库', 'ant-contrib-javadoc': '应用工具'}",2
26,antlr: 应用库,"{'antlr-C++': '库', 'antlr-javadoc': '应用库', 'antlr-manual': '库', 'antlr-tool': '应用库'}",4
27,apache-commons-beanutils: 应用库/编程语言,"{'apache-commons-beanutils': '库', 'apache-commons-beanutils-javadoc': '应用库/编程语言'}",2
28,apache-commons-parent: 应用库/编程语言,{'apache-commons-parent': '库'},1
29,apache-parent: 应用库/编程语言,{'apache-parent': '库'},1
30,appstream-data: 应用库,{'appstream-data': '库'},1
31,arpwatch: 应用工具,{'arpwatch': '工具'},1
32,at-spi2-atk: 应用工具,{'at-spi2-atk': '库'},1
33,attr: 核心工具,"{'attr': '工具', 'libattr': '核心工具'}",2
34,audit: 核心工具,"{'audispd-plugins': '服务', 'audispd-plugins-zos': '服务', 'audit': '工具', 'audit-libs': '核心库', 'python3-audit': '核心库'}",5
35,augeas: 应用库,"{'augeas': '库', 'augeas-libs': '应用库'}",2
36,authselect: 系统工具,"{'authselect': '系统工具', 'authselect-compat': '系统工具', 'authselect-libs': '库'}",3
37,autogen: 应用工具,"{'autogen': '应用工具', 'autogen-libopts': '应用库'}",2
38,autotrace: 应用工具,{'autotrace': '工具'},1
39,avahi: 应用服务,"{'avahi': '应用服务', 'avahi-autoipd': '应用服务', 'avahi-compat-howl': '应用库', 'avahi-compat-libdns_sd': '应用库', 'avahi-glib': '应用库', 'avahi-gobject': '应用库', 'avahi-libs': '应用库', 'avahi-ui': '应用工具', 'avahi-ui-gtk3': '应用工具', 'python3-avahi': '库'}",10
40,awscli: 应用工具,{'awscli': '工具'},1
41,babel: 应用工具,"{'babel': '应用工具', 'python2-babel': '应用库', 'python3-babel': '应用库', 'python38-babel': '应用库'}",4
42,babl: 应用库,"{'babl': '应用库', 'babl-devel-docs': '库'}",2
43,bacula: 应用工具,"{'bacula-client': '应用工具', 'bacula-common': '应用工具', 'bacula-console': '应用工具', 'bacula-director': '工具', 'bacula-libs': '应用库', 'bacula-libs-sql': '库', 'bacula-logwatch': '工具', 'bacula-storage': '服务'}",8
44,basesystem: 基础环境,{'basesystem': '服务'},1
45,batik: 应用库,"{'batik-css': '应用库', 'batik-util': '库'}",2
46,bcc: 应用工具,"{'bcc': '应用工具', 'bcc-tools': '应用工具', 'python3-bcc': '库'}",3
47,bind: 系统服务,"{'bind': '系统服务', 'bind-chroot': '服务', 'bind-export-libs': '库', 'bind-libs': '库', 'bind-libs-lite': '系统库', 'bind-license': '服务', 'bind-pkcs11': '系统服务', 'bind-pkcs11-libs': '库', 'bind-pkcs11-utils': '系统服务', 'bind-sdb': '系统服务', 'bind-sdb-chroot': '系统服务', 'bind-utils': '系统工具', 'python3-bind': '库'}",13
48,bind9.16: 系统服务,"{'bind9.16': '系统服务', 'bind9.16-chroot': '服务', 'bind9.16-dnssec-utils': '工具', 'bind9.16-libs': '库', 'bind9.16-license': '服务', 'bind9.16-utils': '系统服务', 'python3-bind9.16': '系统库'}",7
49,bison: 系统工具,"{'bison': '系统工具', 'bison-runtime': '工具'}",2
50,blktrace: 系统工具,"{'blktrace': '工具', 'iowatcher': '系统工具'}",2
51,bluez: 系统工具,"{'bluez': '工具', 'bluez-cups': '系统工具', 'bluez-hid2hci': '工具', 'bluez-libs': '系统库', 'bluez-obexd': '系统服务'}",5
52,boom-boot: 系统工具,"{'boom-boot': '工具', 'boom-boot-conf': '工具', 'boom-boot-grub2': '系统工具', 'python3-boom': '库'}",4
53,boost: 应用库,"{'boost': '应用库', 'boost-atomic': '应用库', 'boost-build': '库', 'boost-chrono': '应用库', 'boost-container': '应用库', 'boost-context': '应用库', 'boost-coroutine': '应用库', 'boost-date-time': '应用库', 'boost-examples': '应用库', 'boost-fiber': '应用库', 'boost-filesystem': '应用库', 'boost-graph': '应用库', 'boost-graph-mpich': '应用库', 'boost-graph-openmpi': '应用库', 'boost-iostreams': '应用库', 'boost-jam': '库', 'boost-locale': '应用库', 'boost-log': '应用库', 'boost-math': '应用库', 'boost-mpich': '应用库', 'boost-mpich-python3': '应用库', 'boost-numpy3': '应用库', 'boost-openmpi': '应用库', 'boost-openmpi-python3': '应用库', 'boost-program-options': '应用库', 'boost-python3': '应用库', 'boost-random': '应用库', 'boost-regex': '应用库', 'boost-serialization': '应用库', 'boost-signals': '应用库', 'boost-stacktrace': '应用库', 'boost-static': '应用库', 'boost-system': '应用库', 'boost-thread': '应用库', 'boost-timer': '应用库', 'boost-type_erasure': '应用库', 'boost-wave': '应用库'}",37
54,booth: 应用工具,"{'booth': '应用工具', 'booth-arbitrator': '工具', 'booth-core': '应用工具', 'booth-site': '应用工具'}",4
55,brasero: 应用工具,"{'brasero': '应用工具', 'brasero-libs': '应用库', 'brasero-nautilus': '应用工具/桌面'}",3
56,breeze-icon-theme: 应用工具/桌面,"{'breeze-icon-theme': '应用工具/桌面', 'breeze-icon-theme-rcc': '工具'}",2
57,brltty: 应用工具,"{'brlapi': '应用库', 'brlapi-java': '应用库', 'brltty': '服务', 'brltty-at-spi2': '服务', 'brltty-docs': '服务', 'brltty-dracut': '服务', 'brltty-espeak-ng': '服务', 'brltty-xw': '服务', 'python3-brlapi': '应用库', 'tcl-brlapi': '库'}",10
58,bubblewrap: 应用库,{'bubblewrap': '工具'},1
59,byteman: 应用工具,"{'byteman': '应用工具', 'byteman-javadoc': '库'}",2
60,bzip2: 核心工具,"{'bzip2': '工具', 'bzip2-libs': '核心库'}",2
61,c2esp: 应用库,{'c2esp': '服务'},1
62,cal10n: 应用库,"{'cal10n': '应用库', 'cal10n-javadoc': '应用库', 'maven-cal10n-plugin': '工具'}",3
63,cdparanoia: 应用工具,"{'cdparanoia': '工具', 'cdparanoia-libs': '应用库'}",2
64,cdrdao: 应用工具,{'cdrdao': '工具'},1
65,cdrkit: 应用库,"{'dirsplit': '工具', 'genisoimage': '工具', 'icedax': '应用库', 'libusal': '应用库', 'wodim': '应用库'}",5
66,ceph: 大数据,"{'libcephfs2': '应用库/大数据', 'librados2': '应用库/大数据', 'libradosstriper1': '库', 'librbd1': '应用库/大数据'}",4
67,cheese: 应用工具/桌面,"{'cheese': '工具', 'cheese-libs': '应用库/桌面'}",2
68,chrome-gnome-shell: 桌面,{'chrome-gnome-shell': '工具'},1
69,chrpath: 应用工具,{'chrpath': '工具'},1
70,clang: 系统库/编程语言,"{'clang': '工具', 'clang-analyzer': '工具', 'clang-libs': '系统库/编程语言', 'clang-resource-filesystem': '工具', 'clang-tools-extra': '工具', 'git-clang-format': '工具', 'python3-clang': '系统库/编程语言'}",7
71,cldr-emoji-annotation: 应用工具,{'cldr-emoji-annotation': '工具'},1
72,clevis: 系统工具,"{'clevis': '系统工具', 'clevis-dracut': '工具', 'clevis-luks': '工具', 'clevis-systemd': '工具', 'clevis-udisks2': '工具'}",5
73,clufter: 系统工具,"{'clufter-bin': '工具', 'clufter-cli': '系统工具', 'clufter-common': '系统工具', 'clufter-lib-ccs': '系统库', 'clufter-lib-general': '系统库', 'clufter-lib-pcs': '系统库', 'python3-clufter': '系统库'}",7
74,cmake: 应用工具,"{'cmake': '工具', 'cmake-data': '应用工具', 'cmake-filesystem': '工具', 'cmake-gui': '应用工具', 'cmake-rpm-macros': '工具'}",5
75,cockpit: 应用库,"{'cockpit': '服务', 'cockpit-bridge': '服务', 'cockpit-system': '服务', 'cockpit-ws': '应用服务'}",4
76,cockpit-appstream: 应用库,"{'cockpit-machines': '服务', 'cockpit-packagekit': '服务', 'cockpit-pcp': '服务', 'cockpit-storaged': '服务'}",4
77,cockpit-composer: 应用库,{'cockpit-composer': '服务'},1
78,cockpit-podman: 应用库,{'cockpit-podman': '服务'},1
79,cockpit-session-recording: 应用库,{'cockpit-session-recording': '服务'},1
80,colord: 应用服务,"{'colord': '应用服务', 'colord-devel-docs': '库', 'colord-libs': '应用库'}",3
81,colord-gtk: 应用库,{'colord-gtk': '库'},1
82,color-filesystem: 应用库,{'color-filesystem': '库'},1
83,compat-exiv2-026: 应用库,{'compat-exiv2-026': '库'},1
84,compiler-rt: 系统工具,{'compiler-rt': '库'},1
85,conmon: 应用库/云原生,{'conmon': '服务'},1
86,conntrack-tools: 应用工具,{'conntrack-tools': '工具'},1
87,containerd: 应用服务/云原生,"{'containerd': '服务', 'containerd-stress': '应用服务/云原生'}",2
88,container-exception-logger: 应用服务/云原生,{'container-exception-logger': '服务'},1
89,containers-common: 应用服务/云原生,"{'aardvark-dns': '服务', 'netavark': '服务'}",2
90,container-selinux: 应用库/云原生,{'container-selinux': '库'},1
91,convmv: 应用工具,{'convmv': '工具'},1
92,coreos-installer: 应用工具,"{'coreos-installer': '工具', 'coreos-installer-bootinfra': '应用工具', 'coreos-installer-dracut': '工具'}",3
93,coreutils: 核心工具,"{'coreutils': '工具', 'coreutils-common': '核心工具', 'coreutils-single': '核心工具'}",3
94,corosync: 应用服务,"{'corosync': '服务', 'corosynclib': '应用库', 'corosync-vqsim': '工具', 'spausedd': '工具'}",4
95,corosync-qdevice: 应用服务,"{'corosync-qdevice': '服务', 'corosync-qnetd': '应用服务'}",2
96,cppcheck: 应用工具,{'cppcheck': '工具'},1
97,cracklib: 系统库,"{'cracklib': '库', 'cracklib-dicts': '库'}",2
98,createrepo_c: 应用工具,"{'createrepo_c': '应用工具', 'createrepo_c-libs': '应用库', 'python3-createrepo_c': '应用库'}",3
99,cri-tools: 应用工具/云原生,{'cri-tools': '工具'},1
100,criu: 应用库,"{'crit': '应用库', 'criu': '工具', 'python3-criu': '应用库', 'criu-libs': '应用库'}",4
101,crypto-policies: 系统工具,"{'crypto-policies': '工具', 'crypto-policies-scripts': '工具'}",2
102,cryptsetup: 核心工具,"{'cryptsetup': '工具', 'cryptsetup-libs': '库', 'cryptsetup-reencrypt': '工具', 'integritysetup': '工具', 'veritysetup': '核心工具'}",5
103,cups: 应用服务,"{'cups': '应用服务', 'cups-client': '工具', 'cups-filesystem': '应用服务', 'cups-ipptool': '工具', 'cups-libs': '库', 'cups-lpd': '应用服务'}",6
104,cups-filters: 应用库,"{'cups-filters': '库', 'cups-filters-libs': '应用库'}",2
105,cups-pk-helper: 应用库,{'cups-pk-helper': '库'},1
106,curl: 系统工具,"{'curl': '工具', 'libcurl': '库', 'libcurl-minimal': '系统工具'}",3
107,custodia: 应用服务,"{'custodia': '应用服务', 'python3-custodia': '库'}",2
108,cyrus-imapd: 应用服务,"{'cyrus-imapd': '应用服务', 'cyrus-imapd-utils': '应用工具', 'cyrus-imapd-vzic': '应用工具'}",3
109,cyrus-sasl: 应用库,"{'cyrus-sasl': '库', 'cyrus-sasl-gs2': '库', 'cyrus-sasl-gssapi': '库', 'cyrus-sasl-ldap': '库', 'cyrus-sasl-lib': '库', 'cyrus-sasl-md5': '库', 'cyrus-sasl-ntlm': '库', 'cyrus-sasl-plain': '库', 'cyrus-sasl-scram': '库', 'cyrus-sasl-sql': '库'}",10
110,dav1d: 应用工具,"{'dav1d': '工具', 'libdav1d': '应用库'}",2
111,dbus: 核心服务,"{'dbus': '核心服务', 'dbus-common': '服务', 'dbus-daemon': '服务', 'dbus-libs': '核心库', 'dbus-tools': '工具', 'dbus-x11': '库'}",6
112,dbus-c++: 系统库,"{'dbus-c++': '库', 'dbus-c++-glib': '系统库'}",2
113,dbus-python: 系统库/编程语言,{'python3-dbus': '库'},1
114,dconf: 系统工具,{'dconf': '工具'},1
115,dcraw: 应用工具,{'dcraw': '工具'},1
116,dde-calendar: 应用服务/桌面,{'dde-calendar': '工具'},1
117,dde-device-formatter: 应用服务/桌面,{'dde-device-formatter': '工具'},1
118,dde-dock: 应用服务/桌面,"{'dde-dock': '服务', 'dde-dock-onboard-plugin': '应用服务/桌面'}",2
119,dde-file-manager: 应用服务/桌面,"{'dde-desktop': '应用服务/桌面', 'dde-disk-mount-plugin': '应用服务/桌面', 'dde-file-manager': '应用服务/桌面', 'libdde-file-manager': '应用库/桌面'}",4
120,dde-kwin: 应用服务/桌面,{'dde-kwin': '服务'},1
121,dde-network-utils: 应用服务/桌面,{'dde-network-utils': '工具'},1
122,dde-qt5platform-plugins: 应用服务/桌面,"{'dde-qt5wayland-plugin': '服务', 'dde-qt5xcb-plugin': '服务'}",2
123,dde-qt-dbus-factory: 应用服务/桌面,{'dde-qt-dbus-factory': '服务'},1
124,deepin-anything: 应用服务/桌面,"{'deepin-anything-dkms': '工具', 'deepin-anything-libs': '应用库/桌面', 'deepin-anything-server': '应用服务/桌面'}",3
125,deepin-authenticate: 应用服务/桌面,{'deepin-authenticate': '工具'},1
126,deepin-boot-maker: 应用服务/桌面,{'deepin-boot-maker': '工具'},1
127,deepin-compressor: 应用服务/桌面,{'deepin-compressor': '工具'},1
128,deepin-devicemanager: 应用服务/桌面,{'deepin-devicemanager': '服务'},1
129,deepin-diskmanager: 应用服务/桌面,{'deepin-diskmanager': '工具'},1
130,deepin-fcitxconfigtool-plugin: 应用服务/桌面,{'deepin-fcitxconfigtool-plugin': '工具'},1
131,deepin-font-manager: 应用服务/桌面,{'deepin-font-manager': '工具'},1
132,deepin-gettext-tools: 应用服务/桌面,{'deepin-gettext-tools': '工具'},1
133,deepin-image-viewer: 应用服务/桌面,{'deepin-image-viewer': '工具'},1
134,deepin-log-viewer: 应用服务/桌面,{'deepin-log-viewer': '工具'},1
135,deepin-manual: 应用服务/桌面,{'deepin-manual': '工具'},1
136,deepin-menu: 应用服务/桌面,{'deepin-menu': '工具'},1
137,deepin-screen-recorder: 应用服务/桌面,{'deepin-screen-recorder': '工具'},1
138,deepin-shortcut-viewer: 应用服务/桌面,{'deepin-shortcut-viewer': '工具'},1
139,deepin-terminal: 应用服务/桌面,"{'deepin-terminal': '工具', 'libqtermwidget5': '库', 'libqtermwidget5-data': '库'}",3
140,delve: 应用工具,{'delve': '工具'},1
141,devhelp: 应用工具,"{'devhelp': '工具', 'devhelp-libs': '应用库'}",2
142,device-mapper-multipath: 系统工具,"{'device-mapper-multipath': '工具', 'device-mapper-multipath-libs': '库', 'kpartx': '系统工具', 'libdmmp': '库'}",4
143,device-mapper-persistent-data: 系统库,{'device-mapper-persistent-data': '工具'},1
144,dhcp: 系统服务,"{'dhcp-client': '服务', 'dhcp-common': '系统服务', 'dhcp-libs': '系统库', 'dhcp-relay': '系统服务', 'dhcp-server': '系统服务'}",5
145,dialog: 应用库,{'dialog': '库'},1
146,directory-maven-plugin: 应用库,"{'directory-maven-plugin': '工具', 'directory-maven-plugin-javadoc': '应用库'}",2
147,disomaster: 应用工具,{'disomaster': '库'},1
148,disruptor: 应用工具,{'disruptor': '库'},1
149,djvulibre: 应用工具,"{'djvulibre': '工具', 'djvulibre-libs': '应用库'}",2
150,dleyna-connector-dbus: 应用库,{'dleyna-connector-dbus': '库'},1
151,dleyna-core: 应用库,{'dleyna-core': '库'},1
152,dleyna-renderer: 应用库,{'dleyna-renderer': '服务'},1
153,dmidecode: 系统工具,{'dmidecode': '工具'},1
154,dnf: 系统工具,"{'dnf': '系统工具', 'dnf-automatic': '服务', 'dnf-data': '库', 'python3-dnf': '系统库', 'yum': '工具'}",5
155,dnf-plugins-core: 系统工具,"{'dnf-plugins-core': '系统工具', 'python3-dnf-plugin-modulesync': '库', 'python3-dnf-plugin-post-transaction-actions': '系统库', 'python3-dnf-plugins-core': '库', 'python3-dnf-plugin-versionlock': '库', 'yum-utils': '系统工具'}",6
156,dnsmasq: 系统服务,"{'dnsmasq': '系统服务', 'dnsmasq-utils': '系统工具'}",2
157,dnssec-trigger: 应用工具,"{'dnssec-trigger': '工具', 'dnssec-trigger-panel': '工具'}",2
158,docbook2X: 应用工具,{'docbook2X': '工具'},1
159,docbook-style-dsssl: 应用库,{'docbook-style-dsssl': '工具'},1
160,docker: 应用服务/云原生,"{'docker': '服务', 'docker-client': '应用工具/云原生', 'docker-engine': '服务'}",3
161,dos2unix: 应用工具,{'dos2unix': '工具'},1
162,dotnet: 应用库,"{'dotnet-host-fxr-2.1': '应用库', 'dotnet-runtime-2.1': '库', 'dotnet-sdk-2.1.5xx': '应用库', 'dotnet-sdk-2.1': '应用库'}",4
163,dotnet3.1: 应用库,"{'aspnetcore-runtime-3.1': '应用库', 'aspnetcore-targeting-pack-3.1': '应用库', 'dotnet-apphost-pack-3.1': '应用库', 'dotnet-hostfxr-3.1': '应用库', 'dotnet-runtime-3.1': '应用库', 'dotnet-sdk-3.1': '应用库', 'dotnet-sdk-3.1-source-built-artifacts': '库', 'dotnet-targeting-pack-3.1': '应用库', 'dotnet-templates-3.1': '应用库'}",9
164,dotnet5.0: 应用库,"{'aspnetcore-runtime-5.0': '应用库', 'aspnetcore-targeting-pack-5.0': '应用库', 'dotnet-apphost-pack-5.0': '库', 'dotnet-hostfxr-5.0': '应用库', 'dotnet-runtime-5.0': '库', 'dotnet-sdk-5.0': '应用库', 'dotnet-sdk-5.0-source-built-artifacts': '库', 'dotnet-targeting-pack-5.0': '应用库', 'dotnet-templates-5.0': '应用库'}",9
165,dotnet5.0-build-reference-packages: 应用工具,{'dotnet5.0-build-reference-packages': '库'},1
166,dotnet6.0: 应用库,"{'aspnetcore-runtime-6.0': '应用库', 'aspnetcore-targeting-pack-6.0': '应用库', 'dotnet': '应用库', 'dotnet-apphost-pack-6.0': '应用库', 'dotnet-host': '应用库', 'dotnet-hostfxr-6.0': '应用库', 'dotnet-runtime-6.0': '应用库', 'dotnet-sdk-6.0': '应用库', 'dotnet-targeting-pack-6.0': '应用库', 'dotnet-templates-6.0': '应用库', 'netstandard-targeting-pack-2.1': '应用库', 'dotnet-sdk-6.0-source-built-artifacts': '库'}",12
167,dotnet-build-reference-packages: 应用库,{'dotnet-build-reference-packages': '库'},1
168,dovecot: 应用服务,"{'dovecot': '应用服务', 'dovecot-mysql': '库', 'dovecot-pgsql': '库', 'dovecot-pigeonhole': '库'}",4
169,doxygen: 应用工具,"{'doxygen': '工具', 'doxygen-doxywizard': '工具', 'doxygen-latex': '应用工具'}",3
170,dpdk: 系统库,"{'dpdk': '系统库', 'dpdk-tools': '系统工具'}",2
171,Dragonfly: 应用服务,"{'Dragonfly-client': '应用工具', 'Dragonfly-supernode': '服务'}",2
172,dtkcore: 应用工具,{'dtkcore': '库'},1
173,dtkgui: 应用工具,{'dtkgui': '库'},1
174,dvd+rw-tools: 应用工具,{'dvd+rw-tools': '工具'},1
175,dwarves: 应用工具,"{'dwarves': '应用工具', 'libdwarves1': '应用库'}",2
176,dwz: 应用工具,{'dwz': '工具'},1
177,dyninst: 应用工具,"{'dyninst': '库', 'dyninst-static': '应用库', 'dyninst-testsuite': '应用工具'}",3
178,e2fsprogs: 核心工具,"{'e2fsprogs': '工具', 'e2fsprogs-libs': '核心库', 'libcom_err': '核心库', 'libss': '核心库'}",4
179,eclipse: 应用工具,"{'eclipse-equinox-osgi': '工具', 'eclipse-jdt': '工具', 'eclipse-p2-discovery': '工具', 'eclipse-pde': '应用工具', 'eclipse-platform': '应用工具', 'eclipse-swt': '工具'}",6
180,eclipse-ecf: 应用工具,"{'eclipse-ecf-core': '应用工具', 'eclipse-ecf-runtime': '工具'}",2
181,eclipse-emf: 应用工具,"{'eclipse-emf-core': '工具', 'eclipse-emf-runtime': '工具', 'eclipse-emf-xsd': '工具'}",3
182,edk2: 应用库,{'edk2-ovmf': '库'},1
183,efi-rpm-macros: 系统库,"{'efi-filesystem': '库', 'efi-srpm-macros': '库'}",2
184,efivar: 核心服务,"{'efivar': '工具', 'efivar-libs': '库'}",2
185,elfutils: 核心工具,"{'elfutils': '核心工具', 'elfutils-default-yama-scope': '核心工具', 'elfutils-devel-static': '库', 'elfutils-libelf': '核心库', 'elfutils-libelf-devel-static': '库', 'elfutils-libs': '库'}",6
186,elinks: 应用工具,{'elinks': '工具'},1
187,emacs: 应用工具,"{'emacs': '应用工具', 'emacs-common': '应用工具', 'emacs-filesystem': '应用工具', 'emacs-lucid': '应用工具', 'emacs-nox': '工具', 'emacs-terminal': '应用工具'}",6
188,enca: 应用工具,{'enca': '工具'},1
189,enchant: 应用库,{'enchant': '库'},1
190,eog: 应用工具/桌面,{'eog': '工具'},1
191,epel-aliyuncs-release: 基础环境,"{'epel-aliyuncs-next-release': '服务', 'epel-aliyuncs-release': '基础环境'}",2
192,epel-release: 基础环境,"{'epel-next-release': '服务', 'epel-release': '基础环境'}",2
193,epel-rpm-macros: 基础环境,{'epel-rpm-macros': '服务'},1
194,esc: 应用工具,{'esc': '工具'},1
195,evemu: 系统工具,"{'evemu': '工具', 'evemu-libs': '系统库'}",2
196,evince: 应用工具/桌面,"{'evince': '工具', 'evince-browser-plugin': '工具', 'evince-libs': '应用库/桌面', 'evince-nautilus': '应用工具/桌面'}",4
197,evolution: 应用工具/桌面,"{'evolution': '工具', 'evolution-bogofilter': '应用工具/桌面', 'evolution-help': '工具', 'evolution-langpacks': '工具', 'evolution-pst': '工具', 'evolution-spamassassin': '应用工具/桌面'}",6
198,evolution-data-server: 应用工具/桌面,"{'evolution-data-server': '工具', 'evolution-data-server-langpacks': '工具', 'evolution-data-server-perl': '应用工具/桌面'}",3
199,evolution-ews: 应用工具/桌面,"{'evolution-ews': '工具', 'evolution-ews-langpacks': '工具'}",2
200,evolution-mapi: 应用工具/桌面,"{'evolution-mapi': '工具', 'evolution-mapi-langpacks': '工具'}",2
201,exec-maven-plugin: 应用工具,"{'exec-maven-plugin': '应用工具', 'exec-maven-plugin-javadoc': '库'}",2
202,exiv2: 应用工具,"{'exiv2': '库', 'exiv2-libs': '应用库'}",2
203,expat: 系统工具,{'expat': '库'},1
204,f32-backgrounds: 应用工具/桌面,"{'f32-backgrounds': '桌面', 'f32-backgrounds-animated': '桌面', 'f32-backgrounds-base': '桌面', 'f32-backgrounds-extras-base': '桌面', 'f32-backgrounds-extras-gnome': '桌面', 'f32-backgrounds-extras-kde': '桌面', 'f32-backgrounds-extras-mate': '桌面', 'f32-backgrounds-extras-xfce': '桌面', 'f32-backgrounds-gnome': '桌面', 'f32-backgrounds-kde': '桌面', 'f32-backgrounds-mate': '桌面', 'f32-backgrounds-xfce': '桌面'}",12
205,fcitx: 应用工具/桌面,"{'fcitx': '应用工具/桌面', 'fcitx-data': '工具', 'fcitx-gtk2': '应用工具/桌面', 'fcitx-gtk3': '库', 'fcitx-libs': '库', 'fcitx-pinyin': '应用工具/桌面', 'fcitx-qw': '应用工具/桌面', 'fcitx-table': '应用工具/桌面', 'fcitx-table-chinese': '应用工具/桌面'}",9
206,felix-gogo-command: 应用工具,{'felix-gogo-command': '工具'},1
207,felix-gogo-shell: 应用工具,{'felix-gogo-shell': '工具'},1
208,felix-parent: 应用库,{'felix-parent': '库'},1
209,fence-virt: 应用服务,"{'fence-virt': '应用服务', 'fence-virtd': '应用服务', 'fence-virtd-cpg': '库', 'fence-virtd-libvirt': '应用服务', 'fence-virtd-multicast': '库', 'fence-virtd-serial': '应用服务', 'fence-virtd-tcp': '库'}",7
210,fetchmail: 应用工具,{'fetchmail': '工具'},1
211,ffmpegthumbnailer: 应用工具,{'ffmpegthumbnailer': '工具'},1
212,fftw: 应用库,"{'fftw': '库', 'fftw-libs': '应用库', 'fftw-libs-double': '应用库', 'fftw-libs-long': '应用库', 'fftw-libs-quad': '应用库', 'fftw-libs-single': '应用库', 'fftw-static': '应用库'}",7
213,fido-device-onboard: 应用工具,"{'fdo-admin-cli': '工具', 'fdo-client': '应用工具', 'fdo-init': '应用工具', 'fdo-manufacturing-server': '服务', 'fdo-owner-cli': '应用工具', 'fdo-owner-onboarding-server': '服务', 'fdo-rendezvous-server': '服务'}",7
214,file: 核心工具,"{'file': '工具', 'file-libs': '核心库', 'python3-magic': '核心库'}",3
