,src,bin,num_of_bin
47,babeltrace: 系统库,{'libbabeltrace': '系统库'},1
48,baobab: 应用工具,{'baobab': '应用工具'},1
49,bash: 核心工具,{'bash': '核心工具'},1
50,bash-completion: 应用工具,{'bash-completion': '应用工具'},1
51,bc: 核心工具,{'bc': '核心工具'},1
52,bcel: 应用库,"{'bcel': '应用库', 'bcel-javadoc': '应用库'}",2
53,bea-stax: 应用库,{'bea-stax-api': '应用库'},1
54,beust-jcommander: 应用库,"{'beust-jcommander': '应用库', 'beust-jcommander-javadoc': '应用库'}",2
55,bind-dyndb-ldap: 系统服务,{'bind-dyndb-ldap': '系统服务'},1
56,binutils: 核心工具,{'binutils': '核心工具'},1
57,biosdevname: 系统工具,{'biosdevname': '系统工具'},1
58,bitmap-fonts: 字体,"{'bitmap-console-fonts': '字体', 'bitmap-fangsongti-fonts': '字体', 'bitmap-fixed-fonts': '字体', 'bitmap-fonts-compat': '字体', 'bitmap-lucida-typewriter-fonts': '字体'}",5
59,blur-effect: 应用库,{'blur-effect': '应用库'},1
60,bogofilter: 应用工具,{'bogofilter': '应用工具'},1
61,bolt: 应用服务,{'bolt': '应用服务'},1
62,bpftrace: 应用工具,{'bpftrace': '应用工具'},1
63,bpg-fonts: 字体,"{'bpg-algeti-fonts': '字体', 'bpg-chveulebrivi-fonts': '字体', 'bpg-classic-fonts': '字体', 'bpg-courier-fonts': '字体', 'bpg-courier-s-fonts': '字体', 'bpg-dedaena-block-fonts': '字体', 'bpg-dejavu-sans-fonts': '字体', 'bpg-elite-fonts': '字体', 'bpg-excelsior-caps-fonts': '字体', 'bpg-excelsior-condenced-fonts': '字体', 'bpg-excelsior-fonts': '字体', 'bpg-fonts-common': '字体', 'bpg-glaho-fonts': '字体', 'bpg-gorda-fonts': '字体', 'bpg-ingiri-fonts': '字体', 'bpg-irubaqidze-fonts': '字体', 'bpg-mikhail-stephan-fonts': '字体', 'bpg-mrgvlovani-caps-fonts': '字体', 'bpg-mrgvlovani-fonts': '字体', 'bpg-nateli-caps-fonts': '字体', 'bpg-nateli-condenced-fonts': '字体', 'bpg-nateli-fonts': '字体', 'bpg-nino-medium-cond-fonts': '字体', 'bpg-nino-medium-fonts': '字体', 'bpg-sans-fonts': '字体', 'bpg-sans-medium-fonts': '字体', 'bpg-sans-modern-fonts': '字体', 'bpg-sans-regular-fonts': '字体', 'bpg-serif-fonts': '字体', 'bpg-serif-modern-fonts': '字体', 'bpg-ucnobi-fonts': '字体'}",31
64,brotli: 应用库,"{'brotli': '应用库', 'python3-brotli': '应用库'}",2
65,bsf: 应用库,"{'bsf': '应用库', 'bsf-javadoc': '应用库'}",2
66,bsh: 应用库,"{'bsh': '应用库', 'bsh-javadoc': '应用库', 'bsh-manual': '应用库'}",3
67,buildah: 应用工具,{'buildah': '应用工具'},1
68,byacc: 应用工具,{'byacc': '应用工具'},1
69,byaccj: 应用工具,{'byaccj': '应用工具'},1
70,byzanz: 应用工具/桌面,{'byzanz': '应用工具/桌面'},1
71,ca-certificates: 系统工具,{'ca-certificates': '系统工具'},1
72,cachefilesd: 系统服务,{'cachefilesd': '系统服务'},1
73,cairo: 系统库,"{'cairo': '系统库', 'cairo-gobject': '系统库'}",2
74,cairomm: 系统库,{'cairomm': '系统库'},1
75,c-ares: 应用库,{'c-ares': '应用库'},1
76,cdi-api: 应用库,"{'cdi-api': '应用库', 'cdi-api-javadoc': '应用库'}",2
77,celt051: 应用库,{'celt051': '应用库'},1
78,certmonger: 应用服务,{'certmonger': '应用服务'},1
79,cgdcbxd: 应用服务,{'cgdcbxd': '应用服务'},1
80,cglib: 应用库,"{'cglib': '应用库', 'cglib-javadoc': '应用库'}",2
81,chan: 应用库,{'chan': '应用库'},1
82,check: 应用工具,{'check': '应用工具'},1
83,checkpolicy: 系统工具,{'checkpolicy': '系统工具'},1
84,chkconfig: 系统工具,"{'chkconfig': '系统工具', 'ntsysv': '系统工具'}",2
85,chrony: 系统服务,{'chrony': '系统服务'},1
86,cifs-utils: 系统工具,"{'cifs-utils': '系统工具', 'pam_cifscreds': '系统工具'}",2
87,cim-schema: 应用服务,{'cim-schema': '应用服务'},1
88,cjose: 应用库/编程语言,{'cjose': '应用库/编程语言'},1
89,cloud-init: 系统服务/云计算,{'cloud-init': '系统服务/云计算'},1
90,cloud-utils-growpart: 系统工具/云计算,{'cloud-utils-growpart': '系统工具/云计算'},1
91,clucene: 应用库,"{'clucene-contribs-lib': '应用库', 'clucene-core': '应用库'}",2
92,clutter: 系统工具,{'clutter': '系统工具'},1
93,clutter-gst2: 系统库,{'clutter-gst2': '系统库'},1
94,clutter-gst3: 系统库,{'clutter-gst3': '系统库'},1
95,clutter-gtk: 应用库,{'clutter-gtk': '应用库'},1
96,cmocka: 应用库,{'libcmocka': '应用库'},1
97,codemodel: 应用库,{'codemodel': '应用库'},1
98,cogl: 应用库,{'cogl': '应用库'},1
99,compat-guile18: 应用工具,{'compat-guile18': '应用工具'},1
100,compat-libgfortran-48: 应用库,{'compat-libgfortran-48': '应用库'},1
101,compat-libtiff3: 应用库,{'compat-libtiff3': '应用库'},1
102,compat-openssl10: 应用库,{'compat-openssl10': '应用库'},1
103,containernetworking-plugins: 应用服务/云原生,{'containernetworking-plugins': '应用服务/云原生'},1
104,copy-jdk-configs: 应用工具,{'copy-jdk-configs': '应用工具'},1
105,cpio: 系统工具,{'cpio': '系统工具'},1
106,cppunit: 应用库,{'cppunit': '应用库'},1
107,crash: 应用工具,{'crash': '应用工具'},1
108,crash-gcore-command: 应用工具,{'crash-gcore-command': '应用工具'},1
109,crash-ptdump-command: 应用工具,{'crash-ptdump-command': '应用工具'},1
110,crash-trace-command: 应用工具,{'crash-trace-command': '应用工具'},1
111,crda: 应用服务,{'crda': '应用服务'},1
112,cronie: 系统服务,"{'cronie': '系统服务', 'cronie-anacron': '系统服务', 'cronie-noanacron': '系统服务'}",3
113,crontabs: 系统工具,{'crontabs': '系统工具'},1
114,crun: 应用库/云原生,{'crun': '应用库/云原生'},1
115,cscope: 应用工具,{'cscope': '应用工具'},1
116,ctags: 应用工具,"{'ctags': '应用工具', 'ctags-etags': '应用工具'}",2
117,culmus-fonts: 字体,"{'culmus-aharoni-clm-fonts': '字体', 'culmus-caladings-clm-fonts': '字体', 'culmus-david-clm-fonts': '字体', 'culmus-drugulin-clm-fonts': '字体', 'culmus-ellinia-clm-fonts': '字体', 'culmus-fonts-common': '字体', 'culmus-frank-ruehl-clm-fonts': '字体', 'culmus-hadasim-clm-fonts': '字体', 'culmus-keteryg-fonts': '字体', 'culmus-miriam-clm-fonts': '字体', 'culmus-miriam-mono-clm-fonts': '字体', 'culmus-nachlieli-clm-fonts': '字体', 'culmus-shofar-fonts': '字体', 'culmus-simple-clm-fonts': '字体', 'culmus-stamashkenaz-clm-fonts': '字体', 'culmus-stamsefarad-clm-fonts': '字体', 'culmus-yehuda-clm-fonts': '字体'}",17
118,CUnit: 应用库,{'CUnit': '应用库'},1
119,Cython: 系统库,"{'python3-Cython': '系统库', 'python2-Cython': '系统库', 'python38-Cython': '系统库', 'python39-Cython': '系统库'}",4
120,dblatex: 应用工具,{'dblatex': '应用工具'},1
121,dbus-glib: 系统库,{'dbus-glib': '系统库'},1
122,dbusmenu-qt: 应用库,{'dbusmenu-qt5': '应用库'},1
123,dbxtool: 系统工具,{'dbxtool': '系统工具'},1
124,dconf-editor: 应用工具,{'dconf-editor': '应用工具'},1
125,dde: 应用服务/桌面,{'dde': '应用服务/桌面'},1
126,dde-account-faces: 应用服务/桌面,{'dde-account-faces': '应用服务/桌面'},1
127,dde-api: 应用服务/桌面,{'dde-api': '应用服务/桌面'},1
128,dde-clipboard: 应用服务/桌面,{'dde-clipboard': '应用服务/桌面'},1
129,dde-control-center: 应用服务/桌面,{'dde-control-center': '应用服务/桌面'},1
130,dde-daemon: 应用服务/桌面,{'dde-daemon': '应用服务/桌面'},1
131,dde-launcher: 应用服务/桌面,{'dde-launcher': '应用服务/桌面'},1
132,dde-polkit-agent: 应用服务/桌面,{'dde-polkit-agent': '应用服务/桌面'},1
133,dde-printer: 应用服务/桌面,{'dde-printer': '应用服务/桌面'},1
134,dde-qt5integration: 应用服务/桌面,{'dde-qt5integration': '应用服务/桌面'},1
135,dde-server-industry-config: 应用服务/桌面,{'dde-server-industry-config': '应用服务/桌面'},1
136,dde-session-shell: 应用服务/桌面,{'dde-session-shell': '应用服务/桌面'},1
137,dde-session-ui: 应用服务/桌面,{'dde-session-ui': '应用服务/桌面'},1
138,deepin-calculator: 应用服务/桌面,{'deepin-calculator': '应用服务/桌面'},1
139,deepin-default-settings: 应用服务/桌面,"{'deepin-default-settings': '应用服务/桌面', 'deepin-default-settings-tuning': '应用服务/桌面'}",2
140,deepin-desktop-base: 应用服务/桌面,{'deepin-desktop-server': '应用服务/桌面'},1
141,deepin-desktop-schemas: 应用服务/桌面,{'deepin-desktop-schemas': '应用服务/桌面'},1
142,deepin-editor: 应用服务/桌面,{'deepin-editor': '应用服务/桌面'},1
143,deepin-gtk-theme: 应用服务/桌面,{'deepin-gtk-theme': '应用服务/桌面'},1
144,deepin-icon-theme: 应用服务/桌面,{'deepin-icon-theme': '应用服务/桌面'},1
145,deepin-network-proxy: 应用服务/桌面,{'deepin-network-proxy': '应用服务/桌面'},1
146,deepin-picker: 应用服务/桌面,{'deepin-picker': '应用服务/桌面'},1
147,deepin-pw-check: 应用服务/桌面,{'deepin-pw-check': '应用服务/桌面'},1
148,deepin-reader: 应用服务/桌面,{'deepin-reader': '应用服务/桌面'},1
149,deepin-sound-theme: 应用服务/桌面,{'deepin-sound-theme': '应用服务/桌面'},1
150,deepin-system-monitor: 应用服务/桌面,{'deepin-system-monitor': '应用服务/桌面'},1
151,deepin-turbo: 应用服务/桌面,{'deepin-turbo': '应用服务/桌面'},1
152,deepin-wallpapers: 应用服务/桌面,{'deepin-wallpapers': '应用服务/桌面'},1
153,dejagnu: 应用工具,{'dejagnu': '应用工具'},1
154,dejavu-fonts: 字体,"{'dejavu-fonts-common': '字体', 'dejavu-lgc-sans-fonts': '字体', 'dejavu-sans-fonts': '字体', 'dejavu-sans-mono-fonts': '字体', 'dejavu-serif-fonts': '字体'}",5
155,desktop-file-utils: 应用工具/桌面,{'desktop-file-utils': '应用工具/桌面'},1
156,diffstat: 应用工具,{'diffstat': '应用工具'},1
157,diffutils: 系统工具,{'diffutils': '系统工具'},1
158,ding-libs: 应用库,"{'libbasicobjects': '应用库', 'libcollection': '应用库', 'libdhash': '应用库', 'libini_config': '应用库', 'libpath_utils': '应用库', 'libref_array': '应用库'}",6
159,dleyna-server: 应用服务,{'dleyna-server': '应用服务'},1
160,dlm: 系统库,{'dlm-lib': '系统库'},1
161,dnf-plugin-releasever-adapter: 系统工具,{'dnf-plugin-releasever-adapter': '系统工具'},1
162,docbook5-schemas: 应用工具,{'docbook5-schemas': '应用工具'},1
163,docbook-dtds: 应用库,{'docbook-dtds': '应用库'},1
164,docbook-style-xsl: 应用库,{'docbook-style-xsl': '应用库'},1
165,docbook-utils: 应用工具,{'docbook-utils': '应用工具'},1
166,dosfstools: 应用工具,{'dosfstools': '应用工具'},1
167,dotconf: 应用库,{'dotconf': '应用库'},1
168,dotnet3.0: 应用库,"{'aspnetcore-runtime-3.0': '应用库', 'aspnetcore-targeting-pack-3.0': '应用库', 'dotnet-apphost-pack-3.0': '应用库', 'dotnet-hostfxr-3.0': '应用库', 'dotnet-runtime-3.0': '应用库', 'dotnet-sdk-3.0': '应用库', 'dotnet-targeting-pack-3.0': '应用库', 'dotnet-templates-3.0': '应用库'}",8
169,dpa-ext-gnomekeyring: 应用工具,{'dpa-ext-gnomekeyring': '应用工具'},1
170,dracut: 核心工具,"{'dracut': '核心工具', 'dracut-caps': '核心工具', 'dracut-config-generic': '核心工具', 'dracut-config-rescue': '核心工具', 'dracut-live': '核心工具', 'dracut-network': '核心工具', 'dracut-squash': '核心工具', 'dracut-tools': '核心工具'}",8
171,driverctl: 系统工具,{'driverctl': '系统工具'},1
172,dropwatch: 应用工具,{'dropwatch': '应用工具'},1
173,drpm: 应用库,{'drpm': '应用库'},1
174,dtc: 应用库,"{'dtc': '应用库', 'libfdt': '应用库'}",2
175,dtkcommon: 应用工具,{'dtkcommon': '应用工具'},1
176,dtkwidget: 应用工具,{'dtkwidget': '应用工具'},1
177,dump: 应用工具,{'dump': '应用工具'},1
178,easymock: 应用库,"{'easymock': '应用库', 'easymock-javadoc': '应用库'}",2
179,ed: 应用工具,{'ed': '应用工具'},1
180,ee4j-parent: 应用库,{'ee4j-parent': '应用库'},1
181,efibootmgr: 核心工具,{'efibootmgr': '核心工具'},1
182,egl-wayland: 应用库,{'egl-wayland': '应用库'},1
183,enchant2: 应用库,{'enchant2': '应用库'},1
184,enscript: 应用工具,{'enscript': '应用工具'},1
185,erofs-utils: 系统工具,"{'erofs-fuse': '系统工具', 'erofs-utils': '系统工具'}",2
186,espeak-ng: 应用工具,{'espeak-ng': '应用工具'},1
187,ethtool: 系统工具,{'ethtool': '系统工具'},1
188,eth-tools: 系统工具,"{'eth-tools-basic': '系统工具', 'eth-tools-fastfabric': '系统工具'}",2
189,execstack: 应用工具,{'execstack': '应用工具'},1
190,exempi: 应用库,{'exempi': '应用库'},1
191,exfat-utils: 系统工具,{'exfat-utils': '系统工具'},1
192,expect: 应用工具,{'expect': '应用工具'},1
193,faad2: 应用库,"{'faad2': '应用库', 'faad2-libs': '应用库'}",2
194,fabtests: 应用库,{'fabtests': '应用库'},1
195,fapolicyd: 应用服务,"{'fapolicyd': '应用服务', 'fapolicyd-selinux': '应用服务'}",2
196,farstream02: 应用库,{'farstream02': '应用库'},1
197,fcitx-configtool: 应用工具/桌面,{'fcitx-configtool': '应用工具/桌面'},1
198,fcitx-qt5: 应用工具/桌面,{'fcitx-qt5': '应用工具/桌面'},1
199,fcoe-utils: 系统工具,{'fcoe-utils': '系统工具'},1
200,felix-gogo-runtime: 应用库,{'felix-gogo-runtime': '应用库'},1
201,felix-osgi-compendium: 应用库,"{'felix-osgi-compendium': '应用库', 'felix-osgi-compendium-javadoc': '应用库'}",2
202,felix-osgi-core: 应用库,"{'felix-osgi-core': '应用库', 'felix-osgi-core-javadoc': '应用库'}",2
203,felix-osgi-foundation: 应用库,"{'felix-osgi-foundation': '应用库', 'felix-osgi-foundation-javadoc': '应用库'}",2
204,felix-scr: 应用库,{'felix-scr': '应用库'},1
205,felix-utils: 应用库,"{'felix-utils': '应用库', 'felix-utils-javadoc': '应用库'}",2
206,fence-agents: 应用服务,"{'fence-agents-aliyun': '应用服务', 'fence-agents-all': '应用服务', 'fence-agents-amt-ws': '应用服务', 'fence-agents-apc': '应用服务', 'fence-agents-apc-snmp': '应用服务', 'fence-agents-aws': '应用服务', 'fence-agents-azure-arm': '应用服务', 'fence-agents-bladecenter': '应用服务', 'fence-agents-brocade': '应用服务', 'fence-agents-cisco-mds': '应用服务', 'fence-agents-cisco-ucs': '应用服务', 'fence-agents-common': '应用服务', 'fence-agents-compute': '应用服务', 'fence-agents-drac5': '应用服务', 'fence-agents-eaton-snmp': '应用服务', 'fence-agents-emerson': '应用服务', 'fence-agents-eps': '应用服务', 'fence-agents-gce': '应用服务', 'fence-agents-heuristics-ping': '应用服务', 'fence-agents-hpblade': '应用服务', 'fence-agents-ibmblade': '应用服务', 'fence-agents-ibm-powervs': '应用服务', 'fence-agents-ifmib': '应用服务', 'fence-agents-ilo2': '应用服务', 'fence-agents-ilo-moonshot': '应用服务', 'fence-agents-ilo-mp': '应用服务', 'fence-agents-ilo-ssh': '应用服务', 'fence-agents-intelmodular': '应用服务', 'fence-agents-ipdu': '应用服务', 'fence-agents-ipmilan': '应用服务', 'fence-agents-kdump': '应用服务', 'fence-agents-kubevirt': '应用服务', 'fence-agents-lpar': '应用服务', 'fence-agents-mpath': '应用服务', 'fence-agents-redfish': '应用服务', 'fence-agents-rhevm': '应用服务', 'fence-agents-rsa': '应用服务', 'fence-agents-rsb': '应用服务', 'fence-agents-sbd': '应用服务', 'fence-agents-scsi': '应用服务', 'fence-agents-virsh': '应用服务', 'fence-agents-vmware-rest': '应用服务', 'fence-agents-vmware-soap': '应用服务', 'fence-agents-wti': '应用服务', 'fence-agents-ibm-vpc': '应用服务'}",45
207,ffmpeg: 应用库,"{'ffmpeg': '应用库', 'ffmpeg-libs': '应用库', 'libavdevice': '应用库'}",3
208,file-roller: 系统工具,{'file-roller': '系统工具'},1
209,findutils: 核心工具,{'findutils': '核心工具'},1
210,flac: 应用库,"{'flac': '应用库', 'flac-libs': '应用库'}",2
211,flex: 系统工具,{'flex': '系统工具'},1
212,fltk: 应用库,{'fltk': '应用库'},1
213,flute: 应用库,{'flute': '应用库'},1
214,fontawesome-fonts: 字体,"{'fontawesome-fonts': '字体', 'fontawesome-fonts-web': '字体'}",2
215,fonts-tweak-tool: 应用工具,{'fonts-tweak-tool': '应用工具'},1
216,foomatic: 应用服务,{'foomatic': '应用服务'},1
217,forge-parent: 系统库,{'forge-parent': '系统库'},1
218,freeglut: 应用库,{'freeglut': '应用库'},1
219,freeimage: 应用库,"{'freeimage': '应用库', 'freeimage-plus': '应用库'}",2
220,freetype: 应用库,{'freetype': '应用库'},1
221,frei0r-plugins: 应用库,"{'frei0r-plugins': '应用库', 'frei0r-plugins-opencv': '应用库'}",2
222,fribidi: 应用库,{'fribidi': '应用库'},1
223,frr: 应用工具,{'frr': '应用工具'},1
224,fstrm: 应用库,{'fstrm': '应用库'},1
225,ftp: 系统工具,{'ftp': '系统工具'},1
226,fuse-overlayfs: 系统服务,{'fuse-overlayfs': '系统服务'},1
227,fuse-sshfs: 系统服务,{'fuse-sshfs': '系统服务'},1
228,fwupd: 系统服务,{'fwupd': '系统服务'},1
229,gamin: 应用库,{'gamin': '应用库'},1
230,gavl: 应用库,{'gavl': '应用库'},1
231,gawk: 核心工具,{'gawk': '核心工具'},1
232,gc: 应用库,{'gc': '应用库'},1
233,gcab: 系统库,{'libgcab1': '系统库'},1
234,gcc-toolset-10-dyninst: 应用工具,{'gcc-toolset-10-dyninst': '应用工具'},1
235,gcc-toolset-11-dyninst: 应用工具,{'gcc-toolset-11-dyninst': '应用工具'},1
236,gcc-toolset-11-ltrace: 应用工具,{'gcc-toolset-11-ltrace': '应用工具'},1
237,gcr: 应用库,{'gcr': '应用库'},1
238,gd: 应用库,{'gd': '应用库'},1
239,gdb: 系统工具,"{'gdb': '系统工具', 'gdb-gdbserver': '系统工具', 'gdb-headless': '系统工具'}",3
240,gdk-pixbuf2: 应用库,"{'gdk-pixbuf2': '应用库', 'gdk-pixbuf2-modules': '应用库', 'gdk-pixbuf2-xlib': '应用库'}",3
241,gdm: 应用服务/桌面,{'gdm': '应用服务/桌面'},1
242,gedit: 应用服务/桌面,{'gedit': '应用服务/桌面'},1
243,gegl: 应用库,{'gegl': '应用库'},1
244,gegl04: 应用库,{'gegl04': '应用库'},1
245,geocode-glib: 应用库,{'geocode-glib': '应用库'},1
246,GeoIP: 应用库,{'GeoIP': '应用库'},1
247,geronimo-annotation: 应用库,"{'geronimo-annotation': '应用库', 'geronimo-annotation-javadoc': '应用库'}",2
248,geronimo-jms: 应用库,"{'geronimo-jms': '应用库', 'geronimo-jms-javadoc': '应用库'}",2
249,geronimo-jpa: 应用库,"{'geronimo-jpa': '应用库', 'geronimo-jpa-javadoc': '应用库'}",2
250,gfbgraph: 应用库,{'gfbgraph': '应用库'},1
251,gflags: 应用库,{'gflags': '应用库'},1
252,gfs2-utils: 应用工具,{'gfs2-utils': '应用工具'},1
253,giflib: 应用库,{'giflib': '应用库'},1
254,gio-qt: 应用库,{'libgio-qt': '应用库'},1
255,git-lfs: 应用工具,{'git-lfs': '应用工具'},1
256,gjs: 应用库,{'gjs': '应用库'},1
257,glade: 应用库,{'glade-libs': '应用库'},1
258,glassfish-annotation-api: 应用库,"{'glassfish-annotation-api': '应用库', 'glassfish-annotation-api-javadoc': '应用库'}",2
259,glassfish-el: 应用库,"{'glassfish-el': '应用库', 'glassfish-el-api': '应用库', 'glassfish-el-javadoc': '应用库'}",3
260,glassfish-fastinfoset: 应用库,{'glassfish-fastinfoset': '应用库'},1
261,glassfish-jaxb: 应用库,"{'glassfish-jaxb-core': '应用库', 'glassfish-jaxb-runtime': '应用库', 'glassfish-jaxb-txw2': '应用库'}",3
262,glassfish-jaxb-api: 应用库,{'glassfish-jaxb-api': '应用库'},1
263,glassfish-jsp: 应用库,{'glassfish-jsp': '应用库'},1
264,glassfish-jsp-api: 应用库,"{'glassfish-jsp-api': '应用库', 'glassfish-jsp-api-javadoc': '应用库'}",2
265,glassfish-servlet-api: 应用库,"{'glassfish-servlet-api': '应用库', 'glassfish-servlet-api-javadoc': '应用库'}",2
266,glew: 应用库,{'libGLEW': '应用库'},1
267,glib2: 系统库,"{'glib2': '系统库', 'glib2-fam': '系统库', 'glib2-static': '系统库'}",3
268,glibmm24: 应用库,{'glibmm24': '应用库'},1
269,glog: 应用库,{'glog': '应用库'},1
270,gmp: 核心库,"{'gmp': '核心库', 'gmp-c++': '核心库'}",2
271,gnome-backgrounds: 应用服务/桌面,"{'gnome-backgrounds': '应用服务/桌面', 'gnome-backgrounds-extras': '应用服务/桌面'}",2
272,gnome-control-center: 应用服务/桌面,"{'gnome-control-center': '应用服务/桌面', 'gnome-control-center-filesystem': '应用服务/桌面'}",2
273,gnome-desktop3: 应用服务/桌面,{'gnome-desktop3': '应用服务/桌面'},1
274,gnome-font-viewer: 应用服务/桌面,{'gnome-font-viewer': '应用服务/桌面'},1
275,gnome-getting-started-docs: 应用服务/桌面,"{'gnome-getting-started-docs': '应用服务/桌面', 'gnome-getting-started-docs-cs': '应用服务/桌面', 'gnome-getting-started-docs-de': '应用服务/桌面', 'gnome-getting-started-docs-es': '应用服务/桌面', 'gnome-getting-started-docs-fr': '应用服务/桌面', 'gnome-getting-started-docs-gl': '应用服务/桌面', 'gnome-getting-started-docs-hu': '应用服务/桌面', 'gnome-getting-started-docs-it': '应用服务/桌面', 'gnome-getting-started-docs-pl': '应用服务/桌面', 'gnome-getting-started-docs-pt_BR': '应用服务/桌面', 'gnome-getting-started-docs-ru': '应用服务/桌面'}",11
276,gnome-initial-setup: 应用服务/桌面,{'gnome-initial-setup': '应用服务/桌面'},1
277,gnome-logs: 应用服务/桌面,{'gnome-logs': '应用服务/桌面'},1
278,gnome-online-miners: 应用服务/桌面,{'gnome-online-miners': '应用服务/桌面'},1
279,gnome-photos: 应用服务/桌面,{'gnome-photos': '应用服务/桌面'},1
280,gnome-remote-desktop: 应用服务/桌面,{'gnome-remote-desktop': '应用服务/桌面'},1
281,gnome-session: 应用服务/桌面,"{'gnome-session': '应用服务/桌面', 'gnome-session-kiosk-session': '应用服务/桌面', 'gnome-session-wayland-session': '应用服务/桌面', 'gnome-session-xsession': '应用服务/桌面'}",4
282,gnome-settings-daemon: 应用服务/桌面,{'gnome-settings-daemon': '应用服务/桌面'},1
283,gnome-shell: 应用服务/桌面,{'gnome-shell': '应用服务/桌面'},1
