,src,bin,num_of_bin
66,fwupdate: 系统工具,"{'fwupdate': '系统工具', 'fwupdate-efi': '系统工具', 'fwupdate-libs': '系统库'}",3
67,gcc: 系统工具,"{'cpp': '系统工具', 'gcc': '系统工具', 'gcc-c++': '系统工具', 'gcc-gdb-plugin': '系统工具', 'gcc-gfortran': '系统工具', 'gcc-offload-nvptx': '系统工具', 'libasan': '系统库', 'libatomic': '系统库', 'libatomic-static': '系统库', 'libgcc': '系统库', 'libgfortran': '系统库', 'libgomp': '系统库', 'libgomp-offload-nvptx': '系统库', 'libitm': '系统库', 'liblsan': '系统库', 'libquadmath': '系统库', 'libstdc++': '系统库', 'libstdc++-docs': '系统库', 'libstdc++-static': '系统库', 'libtsan': '系统库', 'libubsan': '系统库'}",21
68,gcc-python-plugin: 应用工具,{'gcc-python-plugin': '系统工具'},1
69,gcc-toolset-10: 应用工具,"{'gcc-toolset-10': '系统工具', 'gcc-toolset-10-build': '系统工具', 'gcc-toolset-10-perftools': '系统工具', 'gcc-toolset-10-runtime': '系统工具', 'gcc-toolset-10-toolchain': '系统工具'}",5
70,gcc-toolset-10-annobin: 应用工具,{'gcc-toolset-10-annobin': '系统工具'},1
71,gcc-toolset-10-binutils: 应用工具,{'gcc-toolset-10-binutils': '系统工具'},1
72,gcc-toolset-10-dwz: 应用工具,{'gcc-toolset-10-dwz': '系统工具'},1
73,gcc-toolset-10-elfutils: 应用工具,"{'gcc-toolset-10-elfutils': '系统工具', 'gcc-toolset-10-elfutils-libelf': '系统工具', 'gcc-toolset-10-elfutils-libs': '系统工具'}",3
74,gcc-toolset-10-gcc: 应用工具,"{'gcc-toolset-10-gcc': '系统工具', 'gcc-toolset-10-gcc-c++': '系统工具', 'gcc-toolset-10-gcc-gdb-plugin': '系统工具', 'gcc-toolset-10-gcc-gfortran': '系统工具', 'gcc-toolset-10-libstdc++-docs': '系统工具'}",5
75,gcc-toolset-10-gdb: 应用工具,"{'gcc-toolset-10-gdb': '系统工具', 'gcc-toolset-10-gdb-gdbserver': '系统工具'}",2
76,gcc-toolset-10-ltrace: 应用工具,{'gcc-toolset-10-ltrace': '系统工具'},1
77,gcc-toolset-10-make: 应用工具,{'gcc-toolset-10-make': '系统工具'},1
78,gcc-toolset-10-strace: 应用工具,{'gcc-toolset-10-strace': '系统工具'},1
79,gcc-toolset-10-systemtap: 应用工具,"{'gcc-toolset-10-systemtap': '系统工具', 'gcc-toolset-10-systemtap-client': '系统工具', 'gcc-toolset-10-systemtap-initscript': '系统工具', 'gcc-toolset-10-systemtap-runtime': '系统工具', 'gcc-toolset-10-systemtap-server': '系统工具'}",5
80,gcc-toolset-10-valgrind: 应用工具,{'gcc-toolset-10-valgrind': '系统工具'},1
81,gcc-toolset-11: 应用工具,"{'gcc-toolset-11': '系统工具', 'gcc-toolset-11-build': '系统工具', 'gcc-toolset-11-perftools': '系统工具', 'gcc-toolset-11-runtime': '系统工具', 'gcc-toolset-11-toolchain': '系统工具'}",5
82,gcc-toolset-11-annobin: 应用工具,"{'gcc-toolset-11-annobin-annocheck': '系统工具', 'gcc-toolset-11-annobin-docs': '系统工具', 'gcc-toolset-11-annobin-plugin-gcc': '系统工具'}",3
83,gcc-toolset-11-binutils: 应用工具,{'gcc-toolset-11-binutils': '系统工具'},1
84,gcc-toolset-11-dwz: 应用工具,{'gcc-toolset-11-dwz': '系统工具'},1
85,gcc-toolset-11-elfutils: 应用工具,"{'gcc-toolset-11-elfutils': '系统工具', 'gcc-toolset-11-elfutils-libelf': '系统工具', 'gcc-toolset-11-elfutils-libs': '系统工具'}",3
86,gcc-toolset-11-gcc: 应用工具,"{'gcc-toolset-11-gcc': '系统工具', 'gcc-toolset-11-gcc-c++': '系统工具', 'gcc-toolset-11-gcc-gdb-plugin': '系统工具', 'gcc-toolset-11-gcc-gfortran': '系统工具', 'gcc-toolset-11-libgccjit': '系统工具', 'gcc-toolset-11-libgccjit-docs': '系统工具', 'gcc-toolset-11-libstdc++-docs': '系统工具', 'libasan6': '应用工具'}",8
87,gcc-toolset-11-gdb: 应用工具,"{'gcc-toolset-11-gdb': '系统工具', 'gcc-toolset-11-gdb-gdbserver': '系统工具'}",2
88,gcc-toolset-11-make: 应用工具,{'gcc-toolset-11-make': '系统工具'},1
89,gcc-toolset-11-strace: 应用工具,{'gcc-toolset-11-strace': '系统工具'},1
90,gcc-toolset-11-systemtap: 应用工具,"{'gcc-toolset-11-systemtap': '系统工具', 'gcc-toolset-11-systemtap-client': '系统工具', 'gcc-toolset-11-systemtap-initscript': '系统工具', 'gcc-toolset-11-systemtap-runtime': '系统工具', 'gcc-toolset-11-systemtap-server': '系统工具'}",5
91,gcc-toolset-11-valgrind: 应用工具,{'gcc-toolset-11-valgrind': '系统工具'},1
92,gcc-toolset-9: 应用工具,"{'gcc-toolset-9': '系统工具', 'gcc-toolset-9-build': '系统工具', 'gcc-toolset-9-perftools': '系统工具', 'gcc-toolset-9-runtime': '系统工具', 'gcc-toolset-9-toolchain': '系统工具'}",5
93,gcc-toolset-9-annobin: 应用工具,{'gcc-toolset-9-annobin': '系统工具'},1
94,gcc-toolset-9-binutils: 应用工具,{'gcc-toolset-9-binutils': '系统工具'},1
95,gcc-toolset-9-dwz: 应用工具,{'gcc-toolset-9-dwz': '系统工具'},1
96,gcc-toolset-9-dyninst: 应用工具,"{'gcc-toolset-9-dyninst': '系统工具', 'gcc-toolset-9-dyninst-static': '系统工具', 'gcc-toolset-9-dyninst-testsuite': '系统工具'}",3
97,gcc-toolset-9-elfutils: 应用工具,"{'gcc-toolset-9-elfutils': '系统工具', 'gcc-toolset-9-elfutils-libelf': '系统工具', 'gcc-toolset-9-elfutils-libs': '系统工具'}",3
98,gcc-toolset-9-gcc: 应用工具,"{'gcc-toolset-9-gcc': '系统工具', 'gcc-toolset-9-gcc-c++': '系统工具', 'gcc-toolset-9-gcc-gdb-plugin': '系统工具', 'gcc-toolset-9-gcc-gfortran': '系统工具', 'gcc-toolset-9-libstdc++-docs': '系统工具'}",5
99,gcc-toolset-9-gdb: 应用工具,"{'gcc-toolset-9-gdb': '系统工具', 'gcc-toolset-9-gdb-gdbserver': '系统工具'}",2
100,gcc-toolset-9-ltrace: 应用工具,{'gcc-toolset-9-ltrace': '系统工具'},1
101,gcc-toolset-9-make: 应用工具,{'gcc-toolset-9-make': '系统工具'},1
102,gcc-toolset-9-strace: 应用工具,{'gcc-toolset-9-strace': '系统工具'},1
103,gcc-toolset-9-systemtap: 应用工具,"{'gcc-toolset-9-systemtap': '系统工具', 'gcc-toolset-9-systemtap-client': '系统工具', 'gcc-toolset-9-systemtap-initscript': '系统工具', 'gcc-toolset-9-systemtap-runtime': '系统工具', 'gcc-toolset-9-systemtap-server': '系统工具'}",5
104,gcc-toolset-9-valgrind: 应用工具,{'gcc-toolset-9-valgrind': '系统工具'},1
105,genwqe-tools: 应用工具,"{'genwqe-tools': '应用工具', 'genwqe-vpd': '应用工具', 'genwqe-zlib': '应用库'}",3
106,gettext: 核心工具,"{'gettext': '核心工具', 'gettext-libs': '核心库'}",2
107,gimp: 应用工具/桌面,"{'gimp': '应用工具/桌面', 'gimp-devel-tools': '应用工具/桌面', 'gimp-libs': '应用库/桌面'}",3
108,glibc: 核心库,"{'compat-libpthread-nonshared': '核心库', 'glibc': '核心库', 'glibc-common': '核心库', 'glibc-gconv-extra': '核心库', 'glibc-headers': '核心库', 'glibc-locale-source': '核心库', 'glibc-static': '核心库', 'glibc-utils': '核心工具', 'libnsl': '核心库', 'nscd': '核心库', 'nss_db': '核心库', 'nss_hesiod': '核心库'}",12
109,glusterfs: 应用服务,"{'glusterfs': '应用服务', 'glusterfs-api': '应用库', 'glusterfs-cli': '应用工具', 'glusterfs-client-xlators': '应用工具', 'glusterfs-fuse': '应用工具', 'glusterfs-libs': '应用库', 'glusterfs-rdma': '应用库'}",7
110,gnutls: 核心库,"{'gnutls': '核心库', 'gnutls-c++': '核心库', 'gnutls-dane': '核心库', 'gnutls-utils': '核心工具'}",4
111,golang: 应用库/编程语言,"{'golang': '应用工具/编程语言', 'golang-bin': '应用工具/编程语言', 'golang-docs': '应用库/编程语言', 'golang-misc': '应用库/编程语言', 'golang-race': '应用库/编程语言', 'golang-src': '应用库/编程语言'}",6
112,graphviz: 应用工具,"{'graphviz': '应用工具', 'graphviz-gd': '应用工具', 'graphviz-python3': '应用库'}",3
113,grub2: 核心工具,"{'grub2-common': '核心工具', 'grub2-efi-aa64-modules': '核心库', 'grub2-efi-ia32': '核心工具', 'grub2-efi-ia32-cdboot': '核心工具', 'grub2-efi-ia32-modules': '核心库', 'grub2-efi-x64': '核心工具', 'grub2-efi-x64-cdboot': '核心工具', 'grub2-efi-x64-modules': '核心库', 'grub2-pc': '核心工具', 'grub2-pc-modules': '核心库', 'grub2-tools': '核心工具', 'grub2-tools-efi': '核心工具', 'grub2-tools-extra': '核心工具', 'grub2-tools-minimal': '核心工具'}",14
114,gstreamer: 应用库,"{'gstreamer': '应用库', 'gstreamer-tools': '应用工具'}",2
115,hplip: 应用工具,"{'hplip': '应用工具', 'hplip-common': '应用工具', 'hplip-gui': '应用工具', 'hplip-libs': '应用库', 'libsane-hpaio': '应用库'}",5
116,hyperv-daemons: 系统服务,"{'hyperv-daemons': '系统服务', 'hyperv-daemons-license': '系统服务', 'hypervfcopyd': '系统服务', 'hypervkvpd': '系统服务', 'hyperv-tools': '系统工具', 'hypervvssd': '系统服务'}",6
117,i2c-tools: 应用工具,"{'i2c-tools': '应用工具', 'i2c-tools-perl': '应用工具', 'libi2c': '应用库'}",3
118,ibus: 应用工具/桌面,"{'ibus': '应用工具/桌面', 'ibus-devel-docs': '应用库/桌面', 'ibus-gtk2': '应用库/桌面', 'ibus-gtk3': '应用库/桌面', 'ibus-libs': '应用库/桌面', 'ibus-setup': '应用工具/桌面', 'ibus-wayland': '应用工具/桌面'}",7
119,ipa: 系统服务,"{'ipa-client': '系统工具', 'ipa-client-common': '系统工具', 'ipa-client-epn': '系统工具', 'ipa-client-samba': '系统工具', 'ipa-common': '系统工具', 'ipa-python-compat': '系统库', 'ipa-selinux': '系统库', 'python3-ipaclient': '系统库', 'python3-ipalib': '系统库', 'ipa-server': '系统服务', 'ipa-server-common': '系统服务', 'ipa-server-dns': '系统服务', 'ipa-server-trust-ad': '系统服务', 'python3-ipaserver': '系统服务', 'python3-ipatests': '系统工具'}",15
120,iptables: 系统工具,"{'iptables': '系统工具', 'iptables-arptables': '系统工具', 'iptables-ebtables': '系统工具', 'iptables-libs': '系统库', 'iptables-services': '系统服务', 'iptables-utils': '系统工具'}",6
121,iscsi-initiator-utils: 系统服务,"{'iscsi-initiator-utils': '系统服务', 'iscsi-initiator-utils-iscsiuio': '系统服务', 'python3-iscsi-initiator-utils': '系统库'}",3
122,jose: 应用工具,"{'jose': '应用工具', 'libjose': '应用库'}",2
123,kernel: 内核服务,"{'bpftool': '核心工具', 'kernel': '内核服务', 'kernel-abi-stablelists': '内核服务', 'kernel-core': '内核服务', 'kernel-cross-headers': '内核服务', 'kernel-debug-core': '内核服务', 'kernel-debug-modules': '内核服务', 'kernel-debug-modules-extra': '内核服务', 'kernel-headers': '内核服务', 'kernel-modules': '内核服务', 'kernel-modules-extra': '内核服务', 'kernel-tools': '核心工具', 'kernel-tools-libs': '内核服务', 'perf': '核心工具', 'python3-perf': '核心库', 'kernel-debug-modules-internal': '内核服务', 'kernel-modules-internal': '内核服务'}",17
124,keyutils: 系统工具,"{'keyutils': '系统工具', 'keyutils-libs': '系统库'}",2
125,kmod: 核心工具,"{'kmod': '核心工具', 'kmod-libs': '核心库'}",2
126,kmod-kvdo: 核心工具,{'kmod-kvdo': '核心库'},1
127,krb5: 系统服务,"{'krb5-libs': '系统库', 'krb5-pkinit': '系统服务', 'krb5-server': '系统服务', 'krb5-server-ldap': '系统服务', 'krb5-workstation': '系统服务', 'libkadm5': '系统库'}",6
128,kubernetes: 应用服务/云原生,"{'kubernetes': '应用服务/云原生', 'kubernetes-client': '应用工具/云原生', 'kubernetes-kubeadm': '应用服务/云原生', 'kubernetes-master': '应用服务/云原生', 'kubernetes-node': '应用服务/云原生'}",5
129,kwin: 应用服务/桌面,"{'kwin': '应用服务/桌面', 'kwin-common': '应用服务/桌面', 'kwin-libs': '应用库/桌面', 'kwin-wayland': '应用服务/桌面'}",4
130,langtable: 系统工具,"{'langtable': '系统工具', 'python3-langtable': '系统库'}",2
131,libdwarf: 系统库,"{'libdwarf': '系统库', 'libdwarf-static': '系统库', 'libdwarf-tools': '系统工具'}",3
132,libvirt: 系统服务/虚拟化,"{'libvirt': '系统服务/虚拟化', 'libvirt-client': '系统工具/虚拟化', 'libvirt-daemon': '系统服务/虚拟化', 'libvirt-daemon-config-network': '系统服务/虚拟化', 'libvirt-daemon-config-nwfilter': '系统服务/虚拟化', 'libvirt-daemon-driver-interface': '系统服务/虚拟化', 'libvirt-daemon-driver-network': '系统服务/虚拟化', 'libvirt-daemon-driver-nodedev': '系统服务/虚拟化', 'libvirt-daemon-driver-nwfilter': '系统服务/虚拟化', 'libvirt-daemon-driver-qemu': '系统服务/虚拟化', 'libvirt-daemon-driver-secret': '系统服务/虚拟化', 'libvirt-daemon-driver-storage': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-core': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-disk': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-gluster': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-iscsi': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-iscsi-direct': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-logical': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-mpath': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-rbd': '系统服务/虚拟化', 'libvirt-daemon-driver-storage-scsi': '系统服务/虚拟化', 'libvirt-daemon-kvm': '系统服务/虚拟化', 'libvirt-docs': '系统服务/虚拟化', 'libvirt-libs': '系统库/虚拟化', 'libvirt-lock-sanlock': '系统服务/虚拟化', 'libvirt-nss': '系统服务/虚拟化', 'libvirt-wireshark': '系统服务/虚拟化'}",27
133,libvirt-dbus: 系统服务/虚拟化,{'libvirt-dbus': '系统库/虚拟化'},1
134,libvirt-glib: 系统服务/虚拟化,"{'libvirt-gconfig': '系统库/虚拟化', 'libvirt-glib': '系统库/虚拟化', 'libvirt-gobject': '系统库/虚拟化'}",3
135,libvirt-python: 系统服务/虚拟化,{'python3-libvirt': '系统库/虚拟化'},1
136,libzip: 应用库,"{'libzip': '应用库', 'libzip-tools': '应用工具'}",2
137,lvm2: 系统工具,"{'device-mapper': '系统工具', 'device-mapper-event': '系统工具', 'device-mapper-event-libs': '系统工具', 'device-mapper-libs': '系统库', 'lvm2': '系统工具', 'lvm2-dbusd': '系统服务', 'lvm2-libs': '系统库', 'lvm2-lockd': '系统服务'}",8
