name,y_true,y_bert_predict,y_graph_predict
tuned,服务,工具,工具
cups-filters-libs,库,工具,服务
maven-dependency-plugin-javadoc,工具,库,库
inkscape-docs,工具,库,其它
jakarta-commons-httpclient-manual,库,工具,服务
kf5-networkmanager-qt,工具,服务,库
sendmail-milter,工具,服务,库
boom-boot-conf,工具,服务,库
plexus-io,库,服务,工具
micropipenv,工具,服务,库
anolis-backgrounds,服务,工具,工具
mod_md,库,服务,工具
scala-swing,工具,库,库
python38-pip,工具,库,工具
kscreenlocker,库,服务,工具
opa-fastfabric,库,工具,服务
freeipmi-bmc-watchdog,工具,服务,服务
accel-config,库,工具,库
nodejs-full-i18n,库,工具,服务
python39-tkinter,工具,库,工具
perl-homedir,库,工具,工具
bind-export-libs,库,服务,服务
fcitx-gtk2,工具,服务,库
swtpm-tools,库,工具,服务
unicode-ucd,库,其它,其它
filesystem,服务,其它,其它
chrpath,工具,库,库
maven-assembly-plugin-javadoc,工具,库,库
sane-backends-drivers-scanners,工具,服务,库
xterm-resize,工具,服务,库
mod_auth_mellon,库,服务,服务
mingw64-expat,工具,库,库
libtool,库,工具,工具
qatengine,工具,服务,库
byacc,工具,库,库
gnome-menus,服务,其它,库
delve,工具,库,库
keycloak-httpd-client-install,工具,服务,库
qt5-qtgraphicaleffects,库,工具,工具
numactl-libs,工具,库,库
gedit-plugin-terminal,服务,工具,工具
libmcpp,库,工具,库
lm_sensors-libs,工具,服务,库
xmlunit,库,工具,工具
perl-podlators,库,工具,服务
compiler-rt,工具,库,库
gnome-disk-utility,服务,工具,库
f32-backgrounds,工具,服务,服务
bogofilter,工具,库,库
dde-qt5xcb-plugin,服务,工具,工具
openssl-ibmpkcs11,工具,服务,库
python36,工具,库,库
daxio,库,工具,库
maven-resolver,工具,库,库
libitm,库,工具,服务
rubygem-bundler,库,工具,服务
ncurses-base,库,工具,其它
389-ds-base,工具,服务,服务
spice-client-win-x86,工具,服务,服务
NetworkManager-tui,服务,库,服务
nispor,库,服务,工具
totem,工具,服务,服务
PackageKit-gstreamer-plugin,服务,工具,库
device-mapper-event-libs,工具,服务,库
httpcomponents-client-cache,库,服务,工具
xml-common,工具,库,其它
audispd-plugins,工具,库,服务
deepin-fcitxconfigtool-plugin,服务,工具,工具
dwz,工具,库,库
policycoreutils-newrole,工具,服务,服务
cockpit-packagekit,库,服务,服务
sisu-mojos,库,工具,工具
sonatype-plugins-parent,库,工具,工具
netavark,服务,工具,库
virt-dib,库,服务,工具
f32-backgrounds-extras-mate,工具,服务,服务
graphviz-gd,工具,库,库
php-pecl-rrd,库,工具,服务
velocity-manual,库,工具,服务
libguestfs-appliance,库,工具,工具
lzop,工具,服务,库
mousetweaks,工具,服务,库
keybinder3,工具,库,库
libhbalinux,库,服务,服务
radvd,工具,服务,服务
dde-device-formatter,服务,工具,工具
xsane-common,库,服务,其它
slf4j-jdk14,库,服务,工具
slf4j-manual,库,工具,服务
rubygem-xmlrpc,库,服务,服务
adwaita-icon-theme,工具,服务,服务
git-instaweb,工具,服务,服务
glibc-headers,库,工具,其它
freeradius-unixODBC,库,工具,服务
mecab,工具,库,库
mingw64-freetype,工具,其它,库
pandoc-common,库,工具,其它
python3-nose,库,工具,工具
ipa-selinux,库,工具,服务
metis,工具,库,库
sendmail,工具,服务,服务
NetworkManager-libreswan-gnome,库,服务,服务
git-daemon,工具,服务,服务
amanda-libs,库,服务,服务
lightdm-gtk,库,服务,服务
motif,工具,服务,库
libguestfs-rescue,库,工具,工具
container-exception-logger,服务,工具,库
alsa-utils-alsabat,工具,服务,库
initscripts,服务,工具,工具
anaconda-user-help,工具,服务,服务
hyphen-cs,工具,库,库
python39-wheel,库,工具,工具
cockpit-podman,库,服务,工具
389-ds-base-legacy-tools,工具,服务,库
target-restore,库,工具,服务
basesystem,服务,工具,库
eclipse-swt,工具,库,库
qt5-srpm-macros,库,工具,服务
glusterfs-fuse,工具,服务,服务
usbguard-tools,库,工具,库
bacula-libs-sql,库,工具,工具
maven-cal10n-plugin,库,工具,工具
paps,库,其它,服务
glusterfs-rdma,库,工具,服务
batik-util,库,服务,工具
pinentry-gtk,工具,库,服务
glibc-utils,工具,库,库
corosync-vqsim,库,工具,工具
uuid,工具,库,库
freeradius-rest,库,服务,服务
disruptor,工具,库,库
infiniband-diags,库,工具,服务
woff2,工具,其它,库
iperf3,工具,服务,库
mingw64-freetype-static,工具,库,库
attr,工具,库,库
openblas-srpm-macros,库,工具,服务
python3-dnf-plugin-versionlock,库,服务,工具
irssi,工具,服务,库
systemd,其它,工具,服务
device-mapper-libs,库,服务,工具
container-selinux,库,工具,服务
clang-resource-filesystem,库,服务,工具
qt-settings,工具,服务,服务
plexus-components-pom,库,工具,工具
libdwarf-tools,工具,库,库
javapackages-tools,库,工具,工具
xmvn-mojo,库,工具,工具
lightdm-gtk-greeter-settings,库,服务,工具
kbd-misc,工具,其它,其它
spec-version-maven-plugin,库,工具,工具
plexus-compiler-pom,库,工具,工具
rhythmbox,工具,服务,库
nftables,工具,库,库
freeipmi-ipmidetectd,工具,服务,服务
fontpackages-filesystem,工具,其它,其它
mingw32-freetype,工具,其它,库
rpm-mpi-hooks,工具,服务,服务
os-maven-plugin,库,工具,工具
eclipse-ecf-runtime,工具,库,库
dotnet5.0-build-reference-packages,工具,库,其它
maven-shade-plugin-javadoc,工具,库,库
mythes-lv,工具,库,库
mingw64-bzip2,工具,库,库
xorg-x11-server-Xdmx,服务,工具,库
breeze-cursor-theme,工具,库,其它
maven-plugin-build-helper-javadoc,工具,库,库
syslinux-tftpboot,工具,服务,服务
apache-parent,库,工具,工具
fcitx-gtk3,工具,服务,服务
kf5-attica,工具,库,库
rubygem-irb,库,工具,服务
baobab,工具,服务,库
flatpak-spawn,工具,服务,库
dovecot-pgsql,库,服务,服务
krb5-libs,库,工具,服务
freeipmi,工具,服务,服务
PackageKit-cron,服务,工具,工具
hardlink,工具,服务,库
mythes-nb,工具,库,库
vdo-support,工具,库,库
postgresql-jdbc,库,服务,工具
publicsuffix-list-dafsa,库,服务,其它
alsa-ucm,库,服务,服务
dovecot-mysql,库,服务,服务
openscap-scanner,库,服务,工具
libknet1-crypto-nss-plugin,库,工具,服务
libvirt-docs,服务,库,库
pykickstart,工具,库,库
spice-vdagent-win-x86,库,服务,服务
zenity,工具,服务,库
xmvn-subst,库,工具,工具
libradosstriper1,库,服务,服务
color-filesystem,库,工具,工具
xorg-x11-xbitmaps,库,服务,工具
deepin-manual,服务,工具,工具
flatpak-libs,库,工具,服务
bind-pkcs11-libs,服务,库,库
libzip-tools,工具,库,库
python39-libs,工具,库,工具
libatomic,库,工具,服务
gnome-common,服务,工具,工具
pinentry,工具,库,库
cockpit-composer,库,工具,服务
mariadb-connector-c-config,库,服务,其它
glassfish-legal,库,服务,工具
hyphen-nb,工具,库,库
lpsolve,工具,库,库
tog-pegasus-libs,服务,库,服务
openjade,库,工具,工具
dleyna-renderer,库,工具,服务
yelp,工具,服务,库
aide,工具,服务,库
dirsplit,库,工具,工具
ipmievd,工具,服务,服务
adcli,工具,服务,服务
nmstate-libs,库,服务,工具
nautilus,工具,服务,服务
opa-fm,工具,服务,服务
efi-srpm-macros,库,工具,工具
curl,工具,库,库
totem-pl-parser,工具,库,库
bind9.16-dnssec-utils,库,服务,服务
xmvn-minimal,库,工具,工具
python3-ipaclient,库,服务,工具
haproxy,工具,服务,服务
authselect-libs,库,工具,工具
firefox,工具,服务,服务
uuidd,工具,服务,服务
httpd-tools,服务,工具,库
gedit-plugin-wordcompletion,服务,库,工具
python2-tkinter,工具,库,工具
elfutils-default-yama-scope,工具,库,其它
web-assets-filesystem,工具,服务,库
glusterfs-libs,库,工具,服务
softhsm,工具,服务,库
expat,工具,库,库
unicode-ucd-unihan,库,其它,其它
mpv,工具,服务,库
GeoIP-GeoLite-data,库,服务,其它
geronimo-parent-poms,库,工具,工具
eog,工具,服务,服务
pcsc-lite,库,服务,服务
pigz,工具,库,库
initial-setup-gui,工具,服务,服务
anolis-logos,服务,工具,工具
f32-backgrounds-extras-xfce,工具,其它,服务
golang-dbus,库,工具,工具
skkdic,库,工具,其它
mingw32-expat,工具,库,库
poppler-utils,库,工具,工具
docker,服务,工具,工具
postgres-decoderbufs,库,服务,服务
srp_daemon,库,工具,服务
net-snmp-utils,库,服务,工具
modello-javadoc,工具,库,库
git-lfs,工具,服务,库
gssntlmssp,库,服务,服务
blivet-data,库,工具,服务
javapackages-local,库,工具,工具
python2-nose,库,工具,工具
qt5-qtwayland,库,服务,工具
mingw32-bzip2-static,工具,库,库
geoipupdate,工具,服务,库
ntfs-3g-libs,服务,工具,库
nss-util,库,工具,工具
nasm,工具,库,库
git-clang-format,库,工具,工具
cups-libs,库,服务,服务
sane-backends-libs,工具,服务,库
plexus-sec-dispatcher,库,服务,工具
ibus-table-chinese-array,工具,库,其它
gnome-abrt,服务,工具,工具
redhat-support-lib-python,库,工具,工具
maven-resolver-spi,工具,服务,库
graphite2,库,工具,工具
xorg-x11-server-source,服务,工具,其它
dovecot-pigeonhole,库,工具,服务
python3-rpm,工具,库,工具
shared-mime-info,库,工具,工具
hyphen-zu,工具,库,库
libquvi-scripts,库,工具,工具
tboot,服务,工具,工具
freeradius-postgresql,库,服务,服务
jboss-parent,库,工具,工具
ipa-client-epn,工具,服务,服务
seahorse,工具,服务,库
vapoursynth-plugins,库,工具,工具
chrome-gnome-shell,工具,服务,服务
nss-sysinit,库,服务,工具
swtpm-tools-pkcs11,库,工具,工具
cockpit-storaged,库,工具,工具
system-lsb-languages,服务,工具,库
system-config-printer-udev,库,工具,服务
mod_auth_openidc,库,服务,服务
anaconda-widgets,工具,服务,库
quota-warnquota,工具,服务,库
tracer-common,工具,服务,其它
iptstate,工具,服务,库
fontconfig,工具,其它,服务
pptp,工具,服务,服务
postfix,工具,服务,服务
geolite2-country,工具,服务,其它
iniparser,工具,库,库
ladspa,工具,库,库
memcached,服务,工具,库
plexus-pom,库,工具,工具
pacemaker-nagios-plugins-metadata,服务,工具,工具
spice-protocol,库,服务,工具
mingw32-freetype-static,工具,库,库
hplip-common,工具,服务,其它
xcb-proto,库,工具,工具
cheese,工具,服务,库
ocaml-camlp4,库,工具,其它
malaga-suomi-voikko,工具,库,服务
HdrHistogram,库,工具,工具
rpm-plugin-ima,工具,服务,服务
qemu-kvm-block-curl,工具,服务,库
tracker-miners,工具,服务,库
systemd-libs,其它,服务,服务
polkit-docs,库,工具,服务
postfix-pgsql,工具,服务,服务
libcgroup-tools,库,工具,其它
libvirt-dbus,库,服务,服务
opensc,库,服务,工具
postfix-sqlite,工具,服务,服务
yp-tools,工具,服务,库
munge-maven-plugin-javadoc,库,工具,库
samba-winbind-clients,服务,工具,服务
geolite2-city,工具,服务,其它
xorg-x11-server-utils,工具,服务,工具
ansible-collection-microsoft-sql,工具,服务,服务
qt5-qtdoc,库,工具,其它
dtkcommon,工具,服务,库
glassfish-master-pom,库,工具,工具
nodejs-nodemon,库,工具,工具
freeradius-sqlite,库,服务,服务
hyphen-hr,工具,库,库
felix-utils,库,工具,工具
ffmpegthumbnailer,工具,服务,库
mod_security,库,服务,工具
deepin-compressor,服务,库,工具
kubernetes-node,服务,工具,工具
spice-qxl-wddm-dod,库,服务,其它
whois,工具,服务,服务
prometheus-jmx-exporter-openjdk11,服务,库,库
efi-filesystem,库,工具,其它
maven-local,库,工具,工具
glassfish-jaxb-core,库,工具,工具
microdnf,工具,库,库
upower-devel-docs,服务,库,工具
cups-ipptool,工具,服务,服务
sscg,工具,服务,库
pcs,工具,服务,服务
ivy-local,库,工具,服务
brltty,工具,服务,服务
hyphen-sr,工具,库,库
go-srpm-macros,库,工具,服务
hyphen-af,工具,库,库
gnutls-utils,工具,服务,库
systemtap-runtime-python3,工具,库,库
network-manager-applet,工具,服务,服务
xsane,库,服务,工具
xmvn-install,库,服务,工具
mesa-dri-drivers,库,工具,工具
git-credential-libsecret,工具,服务,库
splix,库,服务,服务
abrt-addon-xorg,工具,服务,服务
maven-javadoc,工具,库,库
directory-maven-plugin,库,工具,工具
babl-devel-docs,库,工具,工具
polkit-pkla-compat,库,工具,工具
devhelp,工具,库,库
dtc,库,工具,工具
bnd-maven-plugin,库,工具,工具
libmalaga,工具,服务,库
stress-ng,工具,服务,库
dhcp-client,工具,服务,服务
pcp-libs,服务,库,服务
shadow-utils,工具,服务,库
teamd,库,服务,服务
kbd-legacy,工具,服务,其它
rrdtool-lua,工具,服务,服务
alsa-sof-firmware,服务,其它,其它
inkscape-view,工具,服务,库
felix-parent,库,服务,工具
opendnssec,库,服务,服务
sane-backends-drivers-cameras,工具,服务,库
greenboot,工具,服务,服务
sshpass,工具,服务,库
apache-commons-parent,库,工具,工具
eclipse-emf-xsd,工具,库,库
nss,库,服务,服务
qtxdg-tools,库,工具,工具
keyutils-libs,库,工具,工具
hyphen-be,工具,库,库
gl-manpages,库,工具,服务
pygobject2-codegen,库,工具,工具
plexus-bsh-factory,库,工具,工具
plexus-containers-container-default,库,服务,工具
acl,工具,服务,库
nss-pam-ldapd,库,服务,服务
lua-srpm-macros,库,工具,工具
intel-gpu-tools,服务,工具,库
zeromq3,服务,库,库
dleyna-connector-dbus,库,服务,服务
deepin-font-manager,服务,其它,工具
lcms2,工具,服务,库
cockpit-pcp,库,工具,服务
x3270,工具,服务,库
libsolv-tools,库,工具,工具
plymouth-scripts,服务,工具,工具
galera,库,服务,工具
dnssec-trigger-panel,工具,服务,服务
dvd+rw-tools,工具,库,库
gzip,工具,服务,服务
trousers,库,服务,工具
389-ds-base-libs,库,服务,服务
tss2,工具,库,库
vala,库,工具,工具
f32-backgrounds-animated,工具,服务,其它
ongres-scram-client,库,服务,工具
qt5-qtquickcontrols,库,工具,工具
ibus-libpinyin,工具,服务,库
publicsuffix-list,库,服务,服务
genisoimage,库,工具,服务
mingw32-bzip2,工具,库,库
nm-connection-editor,工具,服务,库
logrotate,服务,工具,库
deepin-anything-dkms,服务,库,其它
audispd-plugins-zos,工具,服务,服务
orc-compiler,库,工具,工具
shadow-utils-subid,工具,库,库
gedit-plugins-data,服务,库,工具
bind9.16-chroot,服务,工具,工具
ghc-srpm-macros,库,服务,服务
hyphen-nn,工具,库,库
python3-pki,服务,库,库
p11-kit,服务,工具,库
qt5-qtserialport,库,服务,服务
p7zip,工具,服务,库
qt5-qtbase-common,库,工具,服务
ucx-cma,库,工具,服务
dotnet-apphost-pack-5.0,库,服务,服务
f32-backgrounds-base,工具,其它,服务
texlive-lib,工具,库,库
mozilla-filesystem,库,工具,其它
maven-hawtjni-plugin,库,工具,工具
cracklib,库,工具,工具
anaconda-install-env-deps,工具,服务,服务
fuse-exfat,工具,服务,库
python39-idle,工具,库,工具
mdadm,工具,服务,服务
fuse-common,工具,服务,其它
libqtermwidget5,服务,工具,库
x3270-x11,工具,服务,库
bluez-hid2hci,工具,服务,服务
xorg-x11-xauth,工具,服务,库
tuned-utils,服务,工具,服务
python39-numpy-f2py,库,工具,工具
postfix-mysql,工具,服务,服务
samba-pidl,服务,工具,服务
cockpit-bridge,工具,服务,库
nfs4-acl-tools,工具,服务,库
anolis-logos-ipa,服务,工具,其它
gcc-python-plugin,工具,库,库
nscd,库,服务,服务
pmix,库,工具,服务
ipset-service,工具,服务,服务
qt5-linguist,库,工具,工具
rrdtool-tcl,工具,服务,工具
pki-base-java,服务,工具,工具
createrepo_c,工具,库,库
tomcatjss,库,服务,工具
qpdf-libs,工具,库,库
maven-clean-plugin-javadoc,工具,库,库
hyphen-et,工具,库,库
gssproxy,库,服务,服务
rrdtool,工具,服务,服务
cockpit-system,库,工具,服务
scala-apidoc,工具,库,其它
geoclue2,库,服务,服务
python3-bcc,库,工具,工具
junit-manual,库,工具,服务
vdo,工具,库,服务
nmap-ncat,工具,库,库
f32-backgrounds-mate,工具,服务,服务
ucx-rdmacm,库,服务,服务
dbus-daemon,其它,服务,服务
ipa-healthcheck-core,工具,服务,服务
eclipse-equinox-osgi,工具,服务,库
subversion-javahl,工具,服务,工具
sblim-gather-provider,库,工具,服务
mesa-filesystem,库,服务,工具
at-spi2-atk,工具,库,库
passwd,工具,服务,库
qatlib,库,服务,服务
felix-gogo-shell,工具,服务,库
apcu-panel,库,服务,服务
libasan,库,服务,服务
mingw64-openssl,库,服务,工具
glx-utils,库,工具,工具
tpm2-abrmd,工具,服务,服务
gdisk,工具,服务,库
pcs-snmp,工具,服务,服务
awscli,工具,服务,库
lm_sensors-sensord,工具,服务,服务
coreos-installer,工具,服务,服务
plexus-component-factories-pom,库,工具,工具
php-pecl-apcu,库,工具,服务
gutenprint-cups,库,服务,服务
seabios-bin,工具,服务,服务
doxygen-doxywizard,工具,服务,库
f32-backgrounds-extras-kde,工具,其它,服务
mingw64-bzip2-static,工具,库,库
lz4,工具,服务,库
freeipmi-ipmiseld,工具,服务,服务
cockpit-machines,库,服务,服务
kde-settings-plasma,工具,服务,服务
ruby-irb,库,工具,服务
nss_db,库,服务,服务
qt5-rpm-macros,库,工具,工具
mythes-lb,工具,库,库
sblim-gather,库,工具,服务
kpatch,工具,服务,服务
bluez,工具,库,服务
f32-backgrounds-extras-gnome,工具,其它,服务
f32-backgrounds-gnome,工具,其它,服务
openldap,服务,库,库
m17n-db,库,工具,工具
nerdctl,工具,库,服务
qt5-qtbase-mysql,库,服务,工具
keentune-brain,库,工具,工具
mrtg,工具,服务,库
startdde,工具,服务,服务
xkeyboard-config,库,工具,服务
systemd-pam,其它,服务,服务
maven-dependency-analyzer-javadoc,工具,库,库
dnf-automatic,工具,服务,服务
ucx-ib,库,工具,服务
cryptsetup-libs,库,服务,服务
linuxptp,库,服务,服务
bind-chroot,服务,工具,工具
libiscsi-utils,库,服务,工具
udisks2-qt5,库,工具,工具
python3-dnf-plugin-modulesync,库,工具,工具
subversion,工具,库,工具
llvm,工具,库,库
byzanz,工具,库,服务
cyrus-imapd-vzic,工具,服务,库
pinentry-gnome3,工具,服务,服务
ipa-client-common,工具,服务,其它
pg_repack,库,工具,服务
julietaula-montserrat-fonts,库,其它,其它
pki-base,服务,工具,工具
rust-srpm-macros,库,服务,服务
clevis-systemd,工具,服务,其它
usbutils,工具,服务,服务
felix-gogo-command,工具,服务,库
spice-vdagent-win-x64,库,服务,服务
jetty-util,库,工具,工具
rarian,工具,库,库
source-highlight,工具,库,库
usbguard-dbus,库,服务,服务
dotnet-sdk-3.1-source-built-artifacts,库,工具,其它
cockpit-session-recording,库,服务,服务
plasma-breeze-common,工具,服务,其它
freeradius-perl,库,工具,服务
boom-boot,工具,服务,库
esc,工具,服务,服务
fusesource-pom,库,工具,工具
usbguard-selinux,库,服务,服务
pygtk2-codegen,库,工具,工具
python3-boom,工具,服务,库
slapi-nis,库,服务,服务
mod_fcgid,库,服务,服务
mc,工具,服务,库
mod_auth_gssapi,库,服务,服务
python3-bind9.16,库,工具,工具
fpc-srpm-macros,库,工具,其它
sgml-common,工具,库,服务
redhat-lsb,工具,服务,服务
pcsc-lite-ccid,库,服务,服务
OpenIPMI-lanserv,库,工具,工具
freeradius-krb5,库,工具,服务
eclipse-emf-runtime,工具,库,库
poppler-data,库,工具,其它
mcpp,库,工具,库
qt5-qtlocation,库,服务,工具
appstream-data,库,服务,工具
cups-client,工具,服务,服务
bolt,服务,工具,工具
perl-Pod-Usage,库,工具,服务
fuse3,工具,服务,库
qemu-kvm-block-ssh,工具,服务,库
eclipse-pde,工具,库,服务
lshw-gui,工具,服务,库
rpm-apidocs,工具,库,库
system-lsb-cxx,服务,工具,库
polkit,库,工具,服务
spice-client-win-x64,工具,服务,服务
gpm,库,服务,服务
scala,工具,库,库
mythes-nn,工具,库,库
opencl-filesystem,库,工具,工具
nfs-utils,库,服务,服务
socket_wrapper,库,工具,工具
mvapich2,库,服务,服务
python3-pcp,服务,库,服务
ibus-wayland,工具,服务,库
enca,工具,库,库
nydus-snapshotter,服务,库,工具
389-ds-base-snmp,工具,服务,服务
jss-javadoc,库,工具,服务
mingw32-openssl,库,服务,工具
qemu-kvm-core,工具,服务,库
dconf,工具,服务,服务
freeradius-mysql,库,服务,服务
opencl-headers,库,服务,其它
qt5-qtbase-odbc,库,服务,工具
libpurple,工具,库,工具
nodejs-packaging,库,工具,服务
python3-bind,库,工具,工具
python38-idle,工具,库,工具
pidgin-sipe,工具,库,服务
ModemManager,库,服务,服务
rrdtool-perl,工具,服务,服务
rubygem-net-telnet,库,工具,工具
gnome-characters,服务,工具,库
GeoIP-GeoLite-data-extra,库,服务,其它
libgnomekbd,库,服务,服务
mobile-broadband-provider-info,库,服务,其它
pam_cifscreds,工具,服务,服务
npm,库,服务,工具
slf4j-jcl,库,服务,工具
PackageKit-command-not-found,服务,工具,工具
vinagre,工具,服务,服务
nss-softokn,库,工具,服务
python39-pip,工具,库,工具
varnish-modules,库,服务,服务
mod_security-mlogc,库,服务,服务
sgabios,工具,其它,其它
yelp-xsl,工具,服务,服务
python3-nftables,工具,库,工具
samba-common-tools,服务,工具,库
opensm,工具,服务,服务
coreutils-common,工具,库,服务
anaconda-gui,工具,服务,服务
booth-arbitrator,工具,服务,服务
spausedd,服务,工具,服务
lightdm-qt5,库,服务,工具
netlabel_tools,工具,服务,服务
systemtap-server,工具,服务,服务
mvapich2-psm2,库,服务,工具
redhat-lsb-submod-security,工具,服务,服务
ptscotch-mpich-devel-parmetis,库,服务,其它
lightdm,库,服务,服务
pam,工具,库,库
xcb-util-renderutil,库,工具,工具
clevis-udisks2,工具,服务,服务
gtksourceview3,工具,库,库
deepin-boot-maker,服务,工具,工具
boom-boot-grub2,工具,服务,库
xorg-x11-apps,服务,工具,库
bash,工具,服务,服务
cockpit,库,工具,服务
rpcgen,工具,服务,库
ibus-devel-docs,库,工具,其它
spice-streaming-agent,库,服务,工具
re2,工具,库,库
systemtap-exporter,工具,服务,服务
stunnel,库,服务,服务
pinentry-emacs,工具,服务,库
bind-utils,工具,服务,服务
evolution-ews,工具,服务,服务
qt5-qtserialbus,库,服务,工具
usermode-gtk,工具,服务,库
purple-sipe,工具,库,服务
f32-backgrounds-kde,工具,其它,服务
numactl,工具,库,服务
nss_wrapper,库,工具,工具
plexus-ant-factory,库,工具,工具
ocaml-findlib,库,工具,工具
httpcomponents-client,库,服务,工具
mutt,工具,服务,库
python-podman-api,库,工具,工具
qt5-qtquickcontrols2,库,工具,工具
cyrus-imapd-utils,工具,服务,库
motif-static,工具,库,库
resource-agents,服务,工具,工具
cups-filters,库,工具,服务
ostree,工具,库,库
libguestfs-tools-c,库,工具,工具
ipa-client-samba,工具,服务,服务
dialog,库,工具,工具
lvm2-lockd,服务,工具,工具
qt5-qtsensors,库,服务,工具
ocaml-srpm-macros,库,工具,其它
bind-libs,库,服务,服务
javacc-maven-plugin,库,工具,工具
mod_http2,库,服务,服务
device-mapper-event,工具,服务,服务
ant-antlr,库,工具,工具
maven-shared-incremental-javadoc,工具,库,库
jq,工具,库,库
jsch-javadoc,工具,库,库
media-player-info,库,服务,其它
f32-backgrounds-xfce,工具,服务,服务
pavucontrol,工具,服务,库
c2esp,库,服务,服务
pki-servlet-4.0-api,服务,库,库
libyami,库,服务,工具
