name,y_true,y_predict
mariadb-server-utils,服务,工具
pcsc-lite-libs,库,工具
pcm,库,服务
aspnetcore-targeting-pack-3.0,库,服务
libestr,库,服务
lld-libs,工具,库
python3-cpio,库,服务
texlive-tex-gyre-math,工具,其它
glibc-common,库,工具
perl-DBD-MySQL,库,服务
aspnetcore-runtime-5.0,库,服务
texlive-charter,工具,其它
libproxy-networkmanager,库,服务
pcp-conf,服务,工具
utf8proc,库,其它
rpm-build-libs,工具,服务
texlive-collection-latexrecommended,工具,服务
perl-perlfaq,库,工具
maven-doxia-module-fml,工具,服务
glassfish-el-javadoc,库,工具
WALinuxAgent,工具,服务
opa-basic-tools,库,工具
avahi-compat-libdns_sd,库,服务
unixODBC,库,服务
libpcap,库,工具
perl-NTLM,库,服务
libgweather,库,服务
ansible-core,工具,服务
bind-libs-lite,库,工具
perl-IO-Multiplex,库,服务
tokyocabinet,库,服务
ruby-hivex,库,工具
fuse3-libs,库,服务
perl-inc-latest,库,工具
perl-DBM_Filter,库,服务
mariadb-connector-odbc,库,服务
libopenraw,库,工具
mpitests-mvapich2,库,工具
dejagnu,工具,库
forge-parent,库,工具
libguestfs-inspect-icons,库,工具
gtk2-immodule-xim,库,工具
gtkspell3,工具,库
nss-tools,库,工具
GConf2,工具,服务
mingw32-winpthreads,库,工具
gcc-toolset-11-annobin-docs,工具,库
pmreorder,库,工具
gmp-c++,库,工具
perl-Date-ISO8601,库,工具
kyotocabinet-libs,库,服务
jigawatts,库,工具
libwayland-cursor,库,服务
geronimo-annotation,库,工具
virt-v2v-bash-completion,工具,服务
perl-Tie-IxHash,库,工具
kf5-kdelibs4support-libs,工具,库
stratisd-dracut,服务,工具
lvm2-libs,库,工具
perl-File-Remove,库,工具
osgi-core,库,工具
dbus-libs,库,工具
libguestfs-java,库,工具
bacula-libs,库,工具
ruby-default-gems,库,工具
ldb-tools,库,工具
libicu,库,工具
istack-commons-tools,库,工具
dleyna-server,服务,工具
jetty-io,库,工具
liblangtag-gobject,库,工具
libkcapi-hmaccalc,库,工具
ibus-table-chinese-wubi-jidian,工具,库
avahi-ui-gtk3,工具,库
atlas-corei2,库,工具
gtkspell,工具,库
ibacm,库,工具
OpenIPMI-libs,库,工具
maven-plugin-bundle,工具,库
ant-manual,库,工具
net-snmp-libs,库,工具
eclipse-platform,工具,库
perl-Pod-LaTeX,库,工具
fftw-libs-quad,库,工具
lame-libs,库,服务
perl-DateTime-Locale,库,服务
perl-HTTP-Daemon,库,服务
libtiff-tools,库,工具
fstrm,库,工具
nss-softokn-freebl,库,服务
dotnet-hostfxr-3.0,库,服务
gcc-toolset-11-systemtap,工具,服务
perl-ODBM_File,库,工具
brltty-at-spi2,库,工具
perl-Unicode-Collate,库,工具
perl-ExtUtils-Install,库,工具
perl-Data-UUID,库,工具
maven-shade-plugin,工具,库
pcp-export-pcp2elasticsearch,服务,工具
perl-Date-Calc,库,工具
python3-perf,库,工具
PackageKit-gtk3-module,服务,其它
texlive-bera,工具,其它
python3-linux-procfs,库,工具
nbdkit-bash-completion,工具,服务
gupnp-dlna,库,工具
clucene-contribs-lib,库,工具
perltidy,库,工具
texlive-knuth-local,工具,库
qt5-qtbase,库,工具
perl-Digest,库,工具
texlive-xmltexconfig,工具,库
log4j-jcl,库,服务
libwacom-data,库,服务
perl-DateTime-Format-HTTP,库,服务
crun,库,工具
mojo-parent,库,服务
PackageKit-glib,服务,工具
texlive-manfnt-font,工具,其它
perl-IPC-System-Simple,库,工具
ibus-gtk2,库,工具
texlive-sauerj,工具,库
libstoragemgmt-megaraid-plugin,库,工具
python3-kdcproxy,库,服务
pcp-parfait-agent,库,工具
deepin-calculator,服务,库
clufter-lib-ccs,库,工具
libICE,库,服务
graphviz,工具,库
gitk,工具,服务
dotnet-host,库,工具
HdrHistogram-javadoc,库,工具
ibus-setup,工具,服务
rpm,工具,服务
protobuf,库,工具
pki-servlet-engine,服务,工具
kf5-kwallet,工具,服务
python3-pip-wheel,库,工具
texlive-fontspec,工具,其它
kernel,其它,工具
libecap,库,工具
hexchat,工具,服务
opencryptoki-swtok,库,服务
texlive-psnfss,工具,其它
php-common,库,工具
mesa-libgbm,库,服务
brlapi-java,库,工具
golang-docs,库,工具
python39-wcwidth,库,工具
isorelax,库,工具
hunspell,工具,库
NetworkManager-libnm,服务,工具
texlive-fontwrap,工具,其它
redhat-rpm-config,工具,服务
gflags,库,工具
perl-Module-Metadata,库,工具
ibus-libs,库,工具
scrub,工具,服务
python39,工具,库
libreport-anaconda,库,服务
jctools,库,工具
openscap-utils,库,工具
jetty-http,库,工具
librhsm,库,工具
bind-pkcs11-utils,服务,工具
criu-libs,库,工具
texlive-lm,工具,其它
farstream02,库,服务
python3-subversion,工具,库
libguestfs-rsync,库,工具
xfsprogs,工具,库
texlive-fontware,工具,其它
jackson-jaxrs-json-provider,库,工具
gstreamer1-plugins-ugly-free,库,工具
system-lsb-desktop,服务,工具
kpartx,工具,服务
bsdtar,库,工具
texlive-l3experimental,工具,库
perl-Tie-Memoize,库,工具
perl-File-BaseDir,库,服务
jmc-core,库,工具
perl-XML-Catalog,库,工具
texlive-kastrup,工具,服务
varnish-docs,库,工具
ant-apache-xalan2,库,工具
perl-Unicode-Normalize,库,工具
pcp-export-pcp2spark,服务,工具
libguestfs-man-pages-ja,库,工具
jsr-305,库,工具
ant-lib,库,服务
perl-LWP-Protocol-https,库,服务
zsh,工具,库
texlive-gsftopk,工具,其它
glassfish-fastinfoset,库,工具
libfprint,库,服务
nbdkit-tmpdisk-plugin,工具,服务
python2-scour,库,服务
atk,库,工具
libmatchbox,库,服务
gperf,工具,库
clutter,工具,库
python3-pyqt5-sip,工具,库
perl-DynaLoader,库,工具
cheese-libs,库,工具
patchutils,工具,库
texlive-fp,工具,库
texlive-seminar,工具,库
perl-I18N-Langinfo,库,工具
bacula-client,工具,服务
elfutils-libelf,库,工具
jetty-server,库,工具
lksctp-tools,库,工具
sqlite-libs,库,服务
gcc-toolset-10-libstdc++-docs,工具,库
xmvn-connector-aether,库,服务
python3-inotify,库,工具
texlive-philokalia,工具,其它
dotnet-host-fxr-2.1,库,服务
booth-core,工具,服务
istack-commons-runtime,库,服务
boost-examples,库,工具
openscap,库,工具
clufter-lib-pcs,库,工具
perl-Locale-Codes,库,工具
ca-certificates,工具,服务
kdump-anaconda-addon,工具,服务
perl-Sys-Virt,库,工具
perl-IO,库,工具
libpath_utils,库,工具
libreoffice-math,库,工具
man-db-cron,工具,服务
openchange,库,服务
maven-wagon-http-shared,工具,服务
jansi-native,库,工具
libmtp,库,服务
varnish,库,服务
docbook-dtds,库,工具
libgomp,库,服务
texlive-float,工具,库
java-11-openjdk-jmods,库,工具
python3-humanize,库,工具
gnu-efi,库,工具
qt5-qtvirtualkeyboard,库,工具
libvirt-gobject,库,工具
texlive-texconfig,工具,库
libpgtypes,库,服务
lucene-queries,库,工具
batik-css,库,服务
kernel-debug-core,其它,工具
perl-Module-CoreList-tools,库,工具
ibus-table-chinese-erbi,工具,库
xdg-utils,服务,库
perl-Unicode-LineBreak,库,工具
libwinpr,库,工具
dotnet-apphost-pack-6.0,库,服务
ledmon,工具,服务
kubernetes-master,服务,工具
iwpmd,库,服务
javacc,工具,库
abrt-addon-pstoreoops,工具,服务
perl-CPAN-Meta-Requirements,库,工具
gedit-plugin-codecomment,服务,库
perl-String-CRC32,库,工具
mpg123-plugins-pulseaudio,库,工具
python3-lit,库,工具
gcc-toolset-11-dwz,工具,库
tuned-profiles-compat,服务,工具
python2-backports-ssl_match_hostname,库,服务
pcp-import-mrtg2pcp,服务,工具
mingw32-termcap,库,工具
gjs,库,工具
python38-psycopg2,库,工具
perl-String-ShellQuote,库,工具
xterm,工具,服务
perl-generators,库,工具
perl-CPAN-Meta,库,工具
pcp-import-iostat2pcp,服务,工具
perl-ExtUtils-Miniperl,库,工具
ant-xz,库,工具
texlive-luaotfload,工具,其它
gcc-toolset-11-libstdc++-docs,工具,库
podman-docker,工具,服务
libgs,工具,库
libblkid,工具,服务
boost-signals,库,工具
ant-apache-oro,库,工具
texlive-hyphen-base,工具,库
memkind,库,工具
ant-commons-logging,库,工具
kf5-kwallet-libs,工具,库
texlive-mparhack,工具,库
python3-pluggy,库,服务
pciutils,工具,服务
gedit-plugin-bookmarks,服务,库
alsa-firmware,服务,其它
userspace-rcu,库,工具
apr-util,工具,库
mesa-vdpau-drivers,库,工具
sblim-sfcc,库,服务
lzo-minilzo,库,工具
SDL2-static,库,工具
postgresql-jdbc-javadoc,库,服务
rpm-plugin-systemd-inhibit,工具,服务
usbguard,库,服务
perl-IPC-Open3,库,工具
jackson-annotations,库,工具
perl-Pod-Plainer,库,工具
python3-libmount,工具,库
fence-agents-all,服务,工具
audit-libs,库,工具
libvirt-gconfig,库,工具
dotnet-apphost-pack-3.1,库,服务
swtpm-libs,库,工具
gedit-plugin-multiedit,服务,库
perl-TimeDate,库,工具
bash-completion,工具,服务
hwloc-gui,库,工具
pakchois,库,工具
gnome-tweaks,服务,其它
sendmail-cf,工具,服务
abrt-console-notification,工具,服务
python38-pluggy,库,服务
libnl3-cli,库,工具
libsvm-svm-toy-qt,库,工具
texlive-linegoal,工具,库
ipa-client,工具,服务
glassfish-servlet-api,库,工具
sblim-indication_helper,库,工具
grilo,库,工具
anaconda-core,工具,服务
ant-apache-bcel,库,工具
boost-jam,库,工具
go-gir-generator,库,工具
rsyslog-mmfields,服务,库
ibus-table-chinese-wu,工具,库
nbdkit-linuxdisk-plugin,工具,服务
perl-Term-ReadLine,库,工具
update-motd,服务,工具
python-nose-docs,库,工具
HdrHistogram_c,库,服务
sg3_utils-libs,工具,库
fipscheck,库,工具
wpa_supplicant,工具,服务
bind-sdb-chroot,服务,工具
malaga,工具,库
ffmpeg,库,服务
mod_security_crs,库,工具
libimobiledevice,库,服务
bacula-console,工具,服务
jul-to-slf4j,库,工具
apr-util-odbc,工具,服务
texlive-collection-xetex,工具,库
libteam,库,服务
tcl-brlapi,库,服务
usbguard-notifier,库,服务
gedit-plugin-colorschemer,服务,库
vmaf,库,工具
python3-numpy-f2py,库,工具
udisks2-iscsi,工具,服务
mozvoikko,工具,库
dbxtool,工具,服务
texlive-latexconfig,工具,服务
libfonts,库,其它
apr-util-pgsql,工具,服务
libass,库,服务
cronie-anacron,服务,工具
texlive-tex4ht,工具,库
nghttp2,库,服务
lmdb-libs,库,工具
libtool-ltdl,库,工具
vapoursynth-tools,库,工具
avahi-compat-howl,库,服务
isns-utils,工具,服务
sbd,库,工具
liblangtag-data,库,服务
mingw64-pkg-config,库,工具
libtiff,库,工具
perl-Perl-OSType,库,工具
mingw64-zlib,库,服务
redis,服务,工具
abrt-cli,工具,服务
libical,库,工具
sip,工具,库
polkit-libs,库,工具
libselinux,库,工具
sblim-sfcCommon,库,服务
perl-Env,库,工具
texlive-typehtml,工具,库
perl-Test-Pod-Coverage,库,工具
perl-Net-Ping,库,服务
perl-Module-CoreList,库,工具
python3-protobuf,库,工具
tpm2-tss,工具,服务
icu,库,工具
librados2,库,服务
jasper-libs,库,工具
virt-manager-common,工具,服务
perl-local-lib,库,工具
urlview,工具,服务
python3-ipaserver,服务,工具
perl-HTTP-Negotiate,库,工具
mksh,工具,服务
libselinux-python,库,工具
gdbm-libs,库,工具
crit,库,工具
texlive-euenc,工具,其它
booth,工具,服务
rng-tools,服务,工具
python2,工具,库
dpa-ext-gnomekeyring,工具,服务
python3-libselinux,库,工具
hplip-libs,库,工具
perl-I18N-Collate,库,工具
libusal,库,工具
hwloc,库,工具
perl-HTTP-Date,库,服务
libffado,库,服务
perl-Net-Server,库,工具
tuned-utils-systemtap,服务,工具
ibus-libzhuyin,工具,库
yum-utils,工具,库
perl-DBD-Pg,库,服务
perl-Pod-Html,库,工具
opencryptoki-icsftok,库,服务
libvarlink-util,库,工具
libnetfilter_cttimeout,库,工具
libvncserver,库,工具
ocaml-ocamlbuild,库,工具
gcc-toolset-11-libgccjit,工具,库
ibus-typing-booster,工具,库
texlive-fpl,工具,其它
libqrtr-glib,库,服务
python3-schedutils,库,服务
perl-SelectSaver,库,服务
pcp-export-pcp2graphite,服务,工具
emacs-terminal,工具,服务
libtasn1-tools,库,工具
cairo-gobject,库,工具
libXau,库,服务
dotnet-hostfxr-3.1,库,服务
python3-dns,库,工具
libffi,库,工具
opencv-core,库,工具
python3-rtslib,库,工具
texlive-filecontents,工具,库
perl-Module-Load-Conditional,库,工具
qt5-doctools,库,工具
efibootmgr,工具,服务
libtimezonemap,库,服务
python2-psycopg2,库,服务
cdparanoia-libs,库,工具
libpng,库,工具
libsss_idmap,服务,库
apr-util-sqlite,工具,服务
ibus-gtk3,库,工具
lightdm-gobject,库,服务
perl-libnetcfg,库,工具
kf5-kio-core,工具,库
perl-macros,库,服务
system-config-printer-libs,库,工具
libsepol,库,工具
libpciaccess,库,服务
python3-setuptools_scm,库,服务
aspell,工具,库
gnome-font-viewer,服务,其它
libmspack,库,工具
mesa-libOSMesa,库,工具
parted,工具,服务
tog-pegasus,服务,工具
perl-DateTime-Format-ISO8601,库,工具
dhcp-libs,库,服务
perl-Module-Loaded,库,工具
compat-openssl10,库,服务
texlive-sepnum,工具,库
gcc-toolset-10-elfutils,工具,库
flatpak,服务,工具
system-lsb-core,服务,工具
perl-filetest,库,工具
emacs-common,工具,库
gtk2-immodules,库,工具
perl-Sys-CPU,库,服务
perl-Unicode-EastAsianWidth,库,其它
rsyslog-gnutls,服务,库
jdom2-javadoc,库,工具
python38-libs,工具,库
fftw-libs-long,库,工具
dotconf,库,工具
nbdkit-ssh-plugin,工具,服务
libsecret,库,服务
lua-libs,库,工具
python39-wheel-wheel,库,工具
python3-libipa_hbac,服务,库
perl-IO-Compress-Lzma,库,工具
dbus-c++-glib,库,工具
perl-Pod-Checker,库,工具
gcc-toolset-10-gdb,工具,库
libxudp,库,服务
gimp-libs,库,工具
directory-maven-plugin-javadoc,库,工具
openpgm,库,服务
texlive-algorithms,工具,库
ucx,库,工具
guava20-javadoc,库,工具
hamcrest-javadoc,库,工具
python2-pluggy,库,服务
python3-s3transfer,库,服务
harfbuzz-icu,库,服务
mesa-libxatracker,库,服务
gcc-toolset-9-dwz,工具,库
keentuned,服务,工具
python3-reportlab,库,工具
xorg-x11-xkb-utils,工具,服务
clufter-cli,工具,库
python3-httplib2,库,服务
gstreamer-tools,工具,库
libproxy-gnome,库,工具
texlive-mfnfss,工具,其它
flatpak-selinux,服务,工具
perl-Sub-Info,库,工具
libatomic_ops,库,工具
uglify-js,库,工具
kf5-sonnet-core,工具,库
texlive-norasi-c90,工具,其它
perl-CPAN-DistnameInfo,库,工具
libdrm,库,服务
ftp,工具,服务
openssh-cavs,服务,工具
perl-Pod-Parser,库,工具
perl-Mail-Sender,库,服务
perl-Authen-SASL,库,服务
rpmemd,库,服务
x265,库,服务
bzip2-libs,库,工具
python3-kickstart,工具,库
perl-Locale-Maketext,库,工具
freetype,库,其它
perl-Fedora-VSP,库,工具
openhpi-libs,库,工具
gettext-libs,库,工具
nbdkit-curl-plugin,工具,服务
texlive-needspace,工具,服务
pygobject2,库,工具
xorg-x11-utils,工具,服务
libmbim,库,工具
mesa-vulkan-drivers,库,工具
perl-ExtUtils-Command,库,工具
bsf,库,工具
gnome-desktop3,服务,工具
mingw64-winpthreads,库,工具
texlive-ec,工具,其它
systemtap,工具,服务
libselinux-utils,库,工具
genwqe-zlib,库,工具
dbus,其它,服务
munge-maven-plugin,库,工具
perl-File-HomeDir,库,工具
texlive-cmextra,工具,服务
perl-PCP-LogSummary,服务,工具
apr-util-mysql,工具,服务
php-pecl-zip,库,服务
gcc-toolset-9-systemtap-server,工具,服务
libX11,库,服务
NetworkManager,服务,工具
libopenraw-gnome,库,工具
texlive-xetexfontinfo,工具,其它
gcc-toolset-10-gdb-gdbserver,工具,库
kernel-headers,其它,工具
python39-pluggy,库,服务
libreoffice-pdfimport,库,工具
spice-gtk,库,服务
luksmeta,库,工具
xdelta,工具,库
libvirt-daemon-kvm,服务,工具
libpst-libs,库,工具
libmodplug,库,服务
gutenprint,库,服务
texlive-mflogo-font,工具,其它
perl-Crypt-OpenSSL-RSA,库,服务
python3-evdev,库,工具
aspnetcore-targeting-pack-3.1,库,工具
texlive-arphic,工具,其它
python3-gpg,库,工具
php-xml,库,工具
libcap-ng-utils,库,工具
python3-rrdtool,工具,库
libmaxminddb,库,服务
libqmi,库,工具
libuninameslist,库,其它
qt5-qtwebsockets,库,服务
perl-deprecate,库,工具
sblim-wbemcli,库,服务
perl-srpm-macros,库,工具
spice-glib,库,服务
glibc-gconv-extra,库,工具
dotnet-targeting-pack-3.0,库,服务
python3-tracer,工具,库
felix-osgi-compendium,库,工具
python38-rpm-macros,工具,库
perl-IO-Socket-INET6,库,服务
papi-testsuite,库,工具
python2-setuptools,工具,库
kernel-cross-headers,其它,工具
nss_nis,库,服务
texlive-fontawesome,工具,其它
python38-setuptools,工具,库
libvmaf,库,工具
babel,工具,库
python3-pymongo-gridfs,库,工具
perl-Test-Differences,库,工具
libmbim-utils,库,工具
mingw64-icu,库,工具
maven-common-artifact-filters,工具,库
perl-XML-NamespaceSupport,库,工具
wireshark,工具,服务
ant-apache-bsf,库,工具
ibus-table-chinese-quick,工具,库
perl-Mozilla-LDAP,库,服务
spice-gtk3,库,服务
ibus-table-chinese-cantonese,工具,库
libatomic-static,库,工具
system-storage-manager,工具,服务
ant-jsch,库,工具
perl-Term-Table,库,工具
perl-Package-Generator,库,工具
pcp-export-pcp2influxdb,服务,工具
texlive-trimspaces,工具,库
deepin-reader,服务,工具
autofs,服务,工具
libknet1-compress-lzo2-plugin,库,工具
os-maven-plugin-javadoc,库,工具
nbdkit,工具,库
uom-se-javadoc,库,工具
gnutls-dane,库,服务
perl-ExtUtils-Constant,库,工具
xmlunit-javadoc,库,工具
dpdk,库,工具
jmc,库,工具
lua-guestfs,库,服务
gcc-toolset-9-libstdc++-docs,工具,库
apr-util-bdb,工具,服务
sblim-cmpi-base,库,工具
libudisks2,工具,服务
jboss-logging,库,服务
librbd1,库,服务
libpsm2,库,服务
texlive-garuda-c90,工具,其它
python2-ipaddress,库,工具
texlive-amsfonts,工具,其它
libnbd-bash-completion,库,服务
fcitx-qt5,工具,服务
libpfm-static,库,工具
libexif,库,工具
libdav1d,库,工具
fwupdate,工具,其它
libknet1-compress-lzma-plugin,库,工具
rsyslog-mmkubernetes,服务,工具
perl-libintl-perl,库,工具
texlive-mnsymbol,工具,其它
perl-SelfLoader,库,工具
mod_authnz_pam,库,服务
postgresql-test-rpm-macros,服务,工具
gdb-headless,工具,库
perl-DateTime-TimeZone-SystemV,库,服务
lucene-analyzers-smartcn,库,服务
custodia,服务,工具
anaconda,工具,服务
texlive-cmap,工具,服务
felix-osgi-foundation,库,工具
grub2-tools-efi,工具,库
libibverbs,库,工具
felix-scr,库,工具
perl-Test-Taint,库,工具
python38,工具,库
perl-Test-Pod,库,工具
matchbox-window-manager,工具,服务
postgresql-odbc,库,服务
perl-Term-Cap,库,工具
gcc-toolset-11-elfutils,工具,库
gcc-toolset-11-systemtap-server,工具,服务
anaconda-tui,工具,服务
perl-File-Find-Rule,库,工具
perl-Digest-HMAC,库,工具
xmvn-connector-ivy,库,服务
kf5-kglobalaccel-libs,工具,库
texlive-ltabptch,工具,库
ima-evm-utils,工具,服务
python38-wheel-wheel,库,工具
mpitests-mvapich2-psm2,库,工具
breeze-icon-theme-rcc,工具,服务
perl-HTTP-Cookies,库,服务
OpenIPMI,库,工具
dotnet-targeting-pack-5.0,库,服务
pcp-export-pcp2zabbix,服务,工具
bea-stax-api,库,工具
perl-Module-Runtime,库,工具
dnf-plugins-core,工具,库
texlive-sansmath,工具,其它
texlive-collectbox,工具,服务
bsdcpio,库,工具
qgnomeplatform,库,服务
libsemanage,库,工具
perl-Archive-Zip,库,工具
corosynclib,库,服务
libpaper,库,工具
perl-DateTime-Format-Strptime,库,工具
perl-CGI,库,工具
protobuf-c-compiler,库,工具
theora-tools,库,工具
poppler,库,工具
accel-config-libs,库,工具
texlive-ifoddpage,工具,服务
perl-Fcntl,库,服务
perl-sigtrap,库,工具
texlive-lm-math,工具,其它
perl-App-cpanminus,库,工具
pango,库,工具
glibc,库,工具
rsyslog-mmjsonparse,服务,工具
perl-open,库,工具
perl-WWW-RobotRules,库,服务
gnome-user-docs,服务,工具
logwatch,工具,服务
lasso,库,工具
perl-Tie-File,库,工具
xorriso,库,工具
libipt,库,服务
libburn,库,工具
frei0r-plugins-opencv,库,工具
python2-pytest-mock,库,工具
texlive-fancybox,工具,库
texlive-mflogo,工具,其它
memstrack,工具,服务
oci-seccomp-bpf-hook,库,工具
perl-libwww-perl,库,工具
aspnetcore-targeting-pack-6.0,库,服务
python38-tkinter,工具,库
frr,工具,服务
texlive-jknapltx,工具,库
libfdisk,工具,库
mingw64-cairo,工具,服务
pcp-export-pcp2json,服务,工具
flatpak-session-helper,服务,工具
libwsman1,服务,工具
gstreamer1-plugins-bad-free,库,工具
qemu-kvm-block-iscsi,工具,服务
xmlsec1-nss,库,服务
qt5-qtmultimedia,库,工具
nbdkit-tar-filter,工具,服务
hwloc-libs,库,工具
wavpack,库,服务
golang-src,库,工具
spamassassin,工具,库
qt5-qtwebchannel,库,工具
pcp-import-sar2pcp,服务,工具
bluez-libs,库,服务
libxudp-tools,库,服务
libmfx,库,服务
mingw32-cairo,工具,服务
glusterfs,服务,工具
perl-blib,库,工具
pcp-export-pcp2xml,服务,工具
libproxy-bin,库,服务
libstdc++,库,工具
perl-encoding,库,工具
aspnetcore-runtime-3.0,库,服务
perl-Symbol,库,工具
libacl,库,工具
perl-prefork,库,工具
python3-openipmi,库,工具
perl-DBI,库,服务
python2-numpy-f2py,库,工具
texlive-collection-latex,工具,其它
ocl-icd,库,服务
speech-dispatcher-espeak-ng,库,服务
fftw-libs-single,库,工具
dbus-c++,库,工具
perl-Unicode-UCD,库,其它
libsrtp,库,工具
perl-DateTime,库,工具
python2-setuptools_scm,库,服务
xhtml1-dtds,工具,库
docbook-style-xsl,库,工具
dotnet-apphost-pack-3.0,库,服务
fcitx-pinyin,工具,服务
mpitests-mpich,库,工具
opencryptoki-tpmtok,库,服务
ibus-table-chinese-easy,工具,库
zssh,工具,服务
owasp-java-encoder,库,工具
texlive-rsfs,工具,其它
rubygem-openssl,库,服务
evince-browser-plugin,工具,服务
perl-Getopt-Std,库,工具
CUnit,库,工具
perl-autouse,库,工具
libhugetlbfs-utils,库,工具
libwacom,库,服务
syslinux-extlinux,工具,服务
kernel-abi-stablelists,其它,工具
perl-File-Find,库,服务
anaconda-dracut,工具,服务
liburing,库,服务
xsane-gimp,库,服务
python3-mod_wsgi,库,服务
felix-osgi-core,库,工具
libcacard,库,服务
openhpi,库,工具
perl-Pod-Markdown,库,工具
deepin-turbo,服务,库
libi2c,库,服务
python3-unbound,工具,库
python3-productmd,库,工具
python3-wheel-wheel,库,工具
texlive-fonts-tlwg,工具,其它
fltk,库,工具
tex-fonts-hebrew,其它,工具
atlas,库,工具
libguestfs-gfs2,库,工具
OpenIPMI-perl,库,工具
python3-newt,库,工具
ant-apache-regexp,库,工具
python3-psycopg2,库,工具
texlive-cm,工具,其它
docker-client,工具,服务
xalan-j2-manual,库,工具
gsm,库,工具
geronimo-annotation-javadoc,库,工具
evince-libs,库,工具
speech-dispatcher,库,工具
libxshmfence,库,服务
fonts-tweak-tool,工具,其它
mod_proxy_html,服务,工具
brasero-libs,库,工具
djvulibre,工具,库
python2-wheel-wheel,库,工具
fcitx-data,工具,服务
texlive-adjustbox,工具,服务
onboard,工具,其它
mysql-selinux,库,服务
libblockdev-plugins-all,库,服务
qt5-qtimageformats,库,工具
perl-FCGI,库,服务
python2-libs,工具,库
rsyslog-crypto,服务,工具
ptscotch-mpich,库,工具
perl-AutoSplit,库,工具
qemu-kvm-block-gluster,工具,服务
libipa_hbac,服务,库
rsyslog-kafka,服务,工具
gtest,库,工具
jetty-security,库,工具
nbdkit-basic-filters,工具,库
python2-pymongo-gridfs,库,工具
aspnetcore-runtime-3.1,库,服务
libsss_nss_idmap,服务,工具
jboss-logging-tools,库,服务
pinfo,工具,服务
xmvn-tools-pom,库,工具
openjpeg2-tools,库,工具
libguestfs-tools,库,工具
