name,y_true,y_bert_predict,y_graph_predict
custodia,应用,系统,系统
opensm,应用,核心,系统
check,应用,系统,系统
clufter-lib-ccs,系统,核心,核心
sssd-krb5,系统,应用,应用
ipa-healthcheck-core,系统,应用,应用
gdbm-libs,核心,应用,应用
kdump-anaconda-addon,系统,应用,应用
mtdev,系统,应用,应用
unicode-ucd,应用,其它,其它
rubygem-net-telnet,应用,系统,核心
publicsuffix-list-dafsa,应用,核心,其它
vim-X11,系统,应用,应用
opendnssec,应用,核心,系统
qemu-kvm-core,系统,应用,核心
libreoffice-opensymbol-fonts,应用,其它,其它
libvirt,系统,核心,应用
buildah,应用,系统,系统
ipxe-roms,系统,应用,核心
zip,应用,核心,核心
tigervnc-license,应用,核心,其它
dnsmasq-utils,系统,应用,应用
dirsplit,应用,系统,系统
dbus-c++,系统,应用,应用
hesiod,应用,系统,系统
efi-srpm-macros,系统,应用,应用
json-c,应用,系统,核心
vala,应用,核心,系统
libstdc++-static,系统,应用,核心
byacc,应用,系统,系统
qemu-kvm-block-rbd,系统,应用,应用
qemu-kvm-ui-spice,系统,应用,应用
daxctl-libs,系统,应用,核心
libstoragemgmt-local-plugin,应用,核心,系统
seabios,系统,应用,核心
systemd,其它,核心,核心
python3-babel,应用,系统,系统
ltrace,应用,系统,核心
fontpackages-filesystem,应用,其它,其它
dwz,应用,核心,核心
erofs-fuse,系统,应用,核心
samba-winbind-clients,应用,核心,应用
libvarlink-util,应用,核心,核心
mariadb-connector-c-config,应用,系统,其它
nfs4-acl-tools,系统,核心,核心
qemu-kvm-hw-usbredir,系统,应用,应用
python3-perf,核心,系统,系统
xterm-resize,应用,系统,系统
ntfs-3g,系统,应用,应用
libvirt-libs,系统,应用,核心
rust-toolset,系统,核心,应用
rust-gdb,系统,应用,其它
flatpak-xdg-utils,应用,核心,系统
fftw-libs-quad,应用,核心,系统
fuse-libs,系统,核心,应用
i2c-tools,应用,核心,系统
clufter-lib-pcs,系统,应用,核心
fio,应用,系统,系统
fence-agents-common,应用,系统,系统
os-prober,系统,核心,核心
softhsm,系统,应用,核心
grafana-pcp,应用,系统,系统
cairomm,系统,应用,应用
julietaula-montserrat-fonts,应用,其它,其它
swtpm-libs,系统,应用,应用
systemtap-server,系统,应用,应用
cpio,系统,核心,应用
python3-protobuf,应用,系统,系统
amanda-server,应用,系统,系统
python3-mod_wsgi,应用,系统,系统
openblas-openmp,应用,核心,系统
llvm,系统,应用,应用
texinfo-tex,核心,应用,核心
texlive-seminar,应用,系统,系统
clevis-dracut,系统,应用,核心
OpenIPMI-lanserv,系统,核心,应用
ima-evm-utils0,系统,应用,核心
anaconda-widgets,系统,应用,应用
pcre2-utf32,系统,核心,应用
cronie,系统,核心,核心
expect,应用,核心,核心
usermode,应用,核心,核心
subscription-manager-migration-data,系统,应用,应用
bash-completion,应用,系统,应用
rust-std-static,系统,核心,应用
ipa-server,系统,应用,应用
libbpf-static,系统,核心,核心
opa-libopamgt,应用,核心,系统
libevent,应用,系统,核心
libvirt-daemon-driver-storage-core,系统,应用,核心
make,应用,系统,核心
gnome-backgrounds,应用,其它,核心
setroubleshoot-plugins,系统,应用,应用
network-scripts-team,应用,核心,其它
librepository,系统,应用,应用
dwarves,应用,系统,系统
bpftool,核心,系统,核心
forge-parent,系统,应用,应用
libsolv,系统,应用,应用
bolt,应用,系统,系统
ipa-client,系统,应用,应用
keentune-ui,系统,应用,其它
waf,应用,系统,系统
ibus-table-chinese-scj,应用,核心,其它
libsss_certmap,系统,应用,应用
oddjob-mkhomedir,应用,系统,核心
cgdcbxd,应用,系统,系统
luksmeta,应用,核心,系统
libicu,系统,核心,应用
anaconda-gui,系统,应用,应用
firewalld-filesystem,系统,应用,应用
usbguard-tools,系统,应用,应用
xorriso,系统,应用,应用
python39-numpy-f2py,应用,系统,系统
opencryptoki,应用,核心,系统
fontconfig,应用,其它,系统
gnuplot-common,应用,核心,系统
zsh-html,系统,核心,核心
lzop,应用,核心,核心
librelp,应用,核心,核心
plymouth-plugin-space-flares,系统,应用,应用
openblas-openmp64,应用,核心,系统
libguestfs-tools-c,系统,应用,应用
NetworkManager-bluetooth,系统,应用,应用
WALinuxAgent-udev,系统,应用,应用
rsyslog-pgsql,系统,应用,应用
blas,应用,核心,系统
upower-devel-docs,系统,应用,应用
ipxe-bootimgs-aarch64,系统,应用,核心
rsync-daemon,应用,核心,核心
tree,应用,核心,系统
libxml2,应用,核心,核心
libtirpc,系统,核心,应用
libdnf,系统,应用,应用
rpm-ostree,系统,应用,应用
llvm-toolset,系统,核心,应用
gpm-libs,应用,核心,核心
alsa-firmware,系统,应用,应用
tmux,应用,系统,系统
python3-libxml2,应用,系统,系统
dotconf,应用,系统,系统
python3-libstoragemgmt,应用,系统,系统
python3-hawkey,系统,应用,应用
python38-numpy,应用,系统,系统
python2-numpy,应用,系统,系统
man-db-cron,应用,核心,核心
lldb,系统,应用,应用
execstack,应用,核心,核心
python3-ldb,系统,应用,应用
glusterfs-cli,应用,核心,系统
redhat-support-lib-python,系统,核心,系统
python3-libmount,核心,系统,系统
crontabs,系统,核心,核心
avahi-autoipd,应用,核心,系统
ansible-freeipa,应用,系统,系统
runc,应用,系统,核心
openblas-serial64_,应用,核心,系统
scl-utils-build,系统,应用,应用
libgcc,系统,核心,应用
libstdc++-docs,系统,应用,应用
vdo-support,应用,核心,系统
NetworkManager-tui,系统,核心,系统
help2man,应用,系统,系统
dyninst-static,应用,核心,核心
libpaper,应用,核心,系统
gsm,应用,系统,核心
clang-tools-extra,系统,核心,应用
python3-subversion,应用,系统,系统
openssh,系统,核心,核心
mingw-filesystem-base,应用,核心,其它
libbpf,系统,其它,核心
libraw1394,系统,核心,核心
gssdp,应用,系统,系统
update-motd,系统,应用,核心
wireshark,应用,系统,应用
libpst-libs,应用,核心,系统
libaio,系统,核心,核心
libsss_simpleifp,系统,应用,应用
grubby,系统,应用,核心
ocaml-libguestfs,系统,核心,应用
boom-boot-grub2,系统,核心,核心
fuse3,系统,核心,应用
sharutils,应用,核心,系统
netpbm-progs,应用,核心,系统
libguestfs-javadoc,系统,应用,应用
libbase,系统,应用,应用
babel,应用,系统,系统
whois-nls,系统,应用,应用
ibus-setup,应用,核心,系统
rsyslog-mysql,系统,应用,应用
libverto-libevent,系统,应用,核心
memtest86+,应用,系统,核心
python2-babel,应用,系统,系统
minizip,应用,核心,核心
rpm-libs,系统,核心,应用
papi-testsuite,应用,系统,系统
libtasn1,应用,核心,系统
bind-chroot,系统,核心,核心
net-snmp-perl,应用,系统,系统
sssd-common,系统,应用,应用
libvirt-daemon-driver-secret,系统,应用,应用
subversion-tools,应用,核心,系统
ipa-healthcheck,系统,应用,应用
alsa-sof-firmware,系统,其它,其它
qemu-kvm-block-gluster,系统,应用,应用
rrdtool,应用,核心,系统
iperf3,系统,核心,应用
efi-filesystem,系统,其它,应用
python3-custodia,应用,系统,系统
qemu-img,系统,应用,应用
bind9.16,系统,应用,应用
fftw,应用,核心,系统
psacct,应用,核心,系统
libstoragemgmt-udev,应用,核心,系统
mlocate,应用,核心,系统
rust-analysis,系统,应用,应用
iproute-tc,系统,核心,核心
ruby-libs,应用,核心,系统
freeradius-perl,应用,系统,系统
deepin-default-settings-tuning,应用,核心,其它
openblas-threads64_,应用,核心,系统
autoconf,应用,核心,系统
cyrus-sasl,应用,核心,核心
virt-install,应用,核心,系统
cloud-utils-growpart,系统,应用,核心
ipxe-roms-qemu,系统,应用,核心
createrepo_c,应用,系统,系统
libvirt-client,系统,应用,应用
php-gd,应用,核心,核心
mpfr,系统,应用,应用
initscripts,系统,应用,应用
php-bcmath,应用,核心,核心
evolution-data-server-perl,应用,核心,系统
libnozzle1,应用,系统,系统
lemon,系统,应用,应用
libguestfs-winsupport,系统,应用,核心
ghc-srpm-macros,系统,应用,应用
clevis-systemd,系统,应用,其它
dump,应用,系统,核心
coreos-installer-dracut,应用,核心,系统
usbguard-notifier,系统,核心,应用
opa-fastfabric,应用,核心,系统
libblockdev-swap,系统,核心,核心
gvfs-fuse,系统,应用,应用
python3-magic,核心,系统,系统
clutter-gst2,系统,应用,应用
libvirt-daemon-driver-qemu,系统,应用,核心
xcb-util-keysyms,应用,核心,核心
diffstat,应用,系统,系统
pinentry,应用,核心,系统
rpm-build-libs,系统,核心,核心
bind-sdb,系统,核心,应用
anaconda,系统,应用,应用
freeipmi-ipmidetectd,应用,核心,系统
sgml-common,应用,核心,核心
json-glib,应用,核心,系统
zvbi,其它,应用,系统
libdb,系统,应用,应用
alsa-ucm,系统,核心,其它
libstdc++,系统,核心,应用
systemtap-exporter,系统,应用,应用
virt-dib,系统,应用,应用
plymouth-system-theme,系统,应用,核心
setserial,应用,系统,系统
libdmx,系统,应用,应用
gnome-common,应用,核心,系统
cups-lpd,应用,其它,系统
libvirt-daemon-driver-storage-logical,系统,应用,应用
bacula-libs-sql,应用,核心,系统
unbound,应用,系统,系统
libsss_idmap,系统,应用,应用
augeas-libs,应用,核心,核心
ca-certificates,系统,应用,应用
lorax-templates-rhel,核心,应用,应用
ctdb,应用,核心,应用
libcgroup-pam,系统,应用,核心
bind-dyndb-ldap,系统,应用,应用
swtpm-tools,系统,应用,应用
pcre-static,系统,应用,核心
tuned-profiles-atomic,应用,核心,应用
flatpak-session-helper,应用,核心,系统
patch,应用,核心,核心
libkeepalive,应用,核心,核心
zziplib-utils,应用,核心,核心
ipa-common,系统,核心,其它
nbdkit-server,系统,应用,核心
python3-pki,应用,系统,系统
nspr,系统,应用,应用
libasyncns,应用,核心,系统
ostree-grub2,系统,应用,应用
GeoIP-GeoLite-data,应用,核心,其它
openblas-threads,应用,核心,系统
libguestfs-gobject,系统,核心,应用
gcc-toolset-9-dyninst-static,系统,核心,核心
rust-src,系统,应用,应用
libstoragemgmt-smis-plugin,应用,核心,系统
sg3_utils-libs,系统,核心,核心
opensm-libs,应用,核心,系统
kbd,核心,其它,核心
python3-talloc,应用,系统,系统
libestr,应用,核心,系统
python3-jabberpy,应用,系统,系统
bluez-libs,系统,核心,应用
lvm2-libs,系统,核心,核心
openldap-servers,系统,应用,应用
glib2-static,系统,应用,核心
plymouth-theme-spinfinity,系统,应用,其它
tmpwatch,应用,系统,系统
libisoburn,系统,核心,核心
publicsuffix-list,应用,核心,其它
podman-plugins,应用,系统,系统
plymouth-theme-solar,系统,应用,其它
perl-hivex,应用,系统,系统
dialog,应用,系统,系统
python3-abrt,应用,系统,应用
hyperv-daemons,系统,核心,应用
deepin-default-settings,应用,核心,系统
pipewire-libs,应用,核心,系统
readonly-root,系统,核心,核心
opencryptoki-libs,应用,核心,系统
NetworkManager-libnm,系统,核心,应用
rpm-build,系统,核心,应用
libbabeltrace,系统,应用,应用
llvm-static,系统,应用,核心
rpm-sign,系统,应用,应用
tuna,应用,核心,系统
pacemaker,系统,应用,应用
libiec61883,系统,应用,应用
glibc-headers,核心,其它,系统
nodejs-packaging,应用,核心,系统
sip,应用,系统,系统
crash-ptdump-command,应用,系统,系统
python3-criu,应用,系统,系统
gcc-toolset-11-dyninst,应用,系统,应用
po4a,应用,核心,系统
plymouth-theme-script,系统,应用,应用
libqmi-utils,应用,其它,系统
sos-audit,应用,系统,核心
tzdata,核心,其它,其它
xsane-common,应用,核心,其它
ed,应用,核心,系统
glib2-fam,系统,应用,核心
procps-ng-i18n,核心,应用,应用
pam_ssh_agent_auth,系统,核心,核心
stratisd-dracut,系统,核心,核心
dnssec-trigger-panel,应用,系统,应用
gdk-pixbuf2,应用,系统,系统
net-snmp-utils,应用,核心,系统
lvm2,系统,应用,核心
rpm-plugin-fapolicyd,系统,应用,应用
libdb-sql,系统,核心,应用
pinentry-emacs,应用,核心,系统
kyotocabinet-libs,应用,核心,核心
vamp-plugin-sdk-static,应用,核心,核心
intel-cmt-cat,应用,核心,核心
quota-nls,系统,应用,应用
openldap,系统,应用,应用
python3-tracer,应用,系统,系统
unzip,应用,系统,系统
OpenEXR-libs,系统,应用,应用
newt,应用,核心,系统
sgabios-bin,系统,应用,其它
gobject-introspection,系统,核心,应用
librepo,系统,核心,应用
python-qt5-rpm-macros,应用,系统,系统
spirv-tools,系统,应用,系统
filesystem,核心,其它,其它
libnet,系统,应用,应用
efivar-libs,核心,系统,应用
checkpolicy,系统,核心,核心
policycoreutils-sandbox,系统,应用,核心
osinfo-db-tools,系统,核心,应用
gdbm,核心,系统,应用
libdwarf-tools,系统,应用,核心
lrzsz,应用,核心,核心
python3-newt,应用,系统,系统
abrt-addon-vmcore,应用,核心,系统
clutter-gst3,系统,应用,应用
vdo,应用,其它,系统
NetworkManager-libreswan-gnome,系统,应用,应用
libmnl,应用,核心,系统
tbb,系统,核心,应用
openblas-threads64,应用,核心,系统
libsepol-static,系统,核心,核心
bsdcpio,系统,应用,核心
rpm-plugin-ima,系统,应用,应用
lldpad,系统,核心,系统
fuse3-libs,系统,核心,应用
plymouth-graphics-libs,系统,核心,核心
kernel-rpm-macros,系统,应用,系统
dbus-c++-glib,系统,应用,应用
stunnel,应用,系统,系统
cronie-noanacron,系统,核心,核心
yum,系统,核心,核心
polkit-docs,系统,应用,应用
libnice-gstreamer1,系统,应用,应用
libitm,系统,核心,核心
tokyocabinet,应用,系统,核心
rpm-plugin-syslog,系统,应用,应用
tcl,系统,应用,应用
icoutils,应用,核心,系统
compat-guile18,应用,核心,系统
tss2,应用,核心,系统
NetworkManager-initscripts-updown,系统,核心,核心
systemd-pam,其它,系统,核心
net-snmp-libs,应用,核心,系统
tog-pegasus,应用,核心,系统
libldb,系统,应用,应用
yp-tools,系统,核心,应用
fence-virtd-cpg,应用,系统,核心
python38-babel,应用,系统,系统
389-ds-base-snmp,系统,应用,应用
php-soap,应用,核心,核心
squashfs-tools,系统,应用,核心
rig,应用,系统,系统
openblas-serial64,应用,核心,系统
time,系统,核心,核心
m4,系统,核心,核心
anaconda-user-help,系统,应用,应用
gpgme,系统,应用,应用
ansible-pcp,应用,系统,其它
python39-numpy,应用,系统,系统
libqb,应用,核心,系统
autoconf213,应用,系统,系统
libvirt-daemon-driver-storage-rbd,系统,应用,应用
lsscsi,系统,核心,应用
NetworkManager,系统,应用,核心
oddjob,应用,系统,核心
efivar,其它,核心,应用
jimtcl,应用,核心,系统
python38-mod_wsgi,应用,系统,系统
xdg-user-dirs,应用,系统,其它
boom-boot-conf,系统,核心,核心
libdc1394,系统,应用,应用
libunistring,应用,其它,系统
gcc-c++,系统,应用,应用
radvd,应用,系统,系统
lua-libs,应用,核心,系统
libvma,应用,系统,系统
libsmi,应用,核心,系统
gflags,应用,核心,系统
libxcb,系统,应用,核心
smartmontools,系统,核心,核心
spausedd,应用,系统,系统
NetworkManager-config-server,系统,核心,其它
mobile-broadband-provider-info,应用,其它,其它
net-tools,系统,核心,核心
lorax-lmc-virt,系统,应用,应用
pki-base,应用,核心,系统
fxload,应用,系统,系统
python3-google-api-client,应用,系统,系统
libipa_hbac,系统,应用,应用
libtool-ltdl,系统,核心,核心
gnu-efi,系统,核心,核心
pacemaker-cluster-libs,系统,核心,应用
libvirt-daemon-kvm,系统,应用,应用
gnupg2,系统,核心,应用
python3-libdnf,系统,应用,应用
lorax,系统,应用,应用
aardvark-dns,应用,系统,系统
ostree-libs,系统,核心,核心
pacemaker-libs,系统,应用,应用
usb_modeswitch-data,应用,核心,核心
python3-pyqt5-sip,应用,系统,系统
gdb-gdbserver,系统,应用,核心
libcmocka,应用,系统,核心
sssd-kcm,系统,应用,应用
osbuild,系统,应用,核心
python3-libnbd,应用,系统,系统
gvfs-afc,系统,应用,应用
plymouth-scripts,系统,应用,核心
npth,系统,核心,应用
bind9.16-chroot,系统,核心,核心
podman-docker,应用,系统,核心
kernel-tools,核心,其它,应用
libusbx,系统,核心,核心
rust-srpm-macros,系统,应用,应用
libhbalinux,应用,核心,系统
python2-numpy-f2py,应用,系统,系统
openssh-askpass,系统,核心,应用
wget,应用,核心,系统
rustfmt,系统,应用,应用
libutempter,系统,核心,核心
libguestfs-appliance,系统,核心,核心
babassl,系统,应用,应用
ttmkfdir,应用,其它,系统
plotutils,应用,核心,系统
libfabric,系统,核心,核心
slirp4netns,系统,应用,应用
gnome-keyring-pam,应用,系统,核心
vim-filesystem,系统,应用,应用
libvirt-daemon-driver-storage-gluster,系统,应用,应用
usbguard,系统,应用,应用
wpa_supplicant,应用,核心,系统
conntrack-tools,应用,系统,系统
selinux-policy-sandbox,系统,应用,其它
libguestfs-man-pages-uk,系统,应用,应用
lua-guestfs,系统,应用,应用
redis,应用,系统,系统
libmspack,应用,核心,核心
urlview,应用,系统,系统
ncurses-term,核心,应用,核心
hdparm,应用,系统,系统
eth-tools-fastfabric,系统,核心,应用
libksba,系统,核心,核心
libarchive,系统,应用,核心
pcp-testsuite,系统,应用,应用
pcp-conf,系统,应用,其它
xml-common,应用,核心,核心
libappstream-glib,系统,核心,应用
gnome-themes-standard,应用,其它,其它
greenboot-default-health-checks,系统,应用,核心
libnsl2,系统,应用,应用
libguestfs-man-pages-ja,系统,应用,应用
libvmem,系统,应用,核心
GeoIP-GeoLite-data-extra,应用,核心,其它
shim-unsigned-x64,其它,应用,应用
fence-virtd,应用,系统,系统
plymouth-theme-fade-in,系统,应用,核心
libusb,系统,核心,核心
libspiro,应用,系统,系统
bind9.16-libs,系统,核心,应用
glusterfs-rdma,应用,核心,系统
bison-runtime,系统,核心,其它
spax,应用,核心,系统
rust-debugger-common,系统,应用,应用
texlive-ucs,应用,其它,系统
ldb-tools,系统,应用,应用
libatomic-static,系统,核心,核心
rpm-apidocs,系统,核心,应用
gcc-toolset-9-dyninst-testsuite,系统,应用,应用
amanda,应用,系统,系统
rpm,系统,核心,应用
fwupd,系统,核心,应用
polkit,系统,应用,应用
perl-NKF,应用,系统,系统
python39-mod_wsgi,应用,系统,系统
erofs-utils,系统,核心,核心
gupnp,系统,应用,应用
amanda-client,应用,系统,系统
pulseaudio,系统,应用,系统
idn2,核心,应用,系统
iptables-arptables,系统,核心,核心
netconsole-service,系统,核心,核心
spamassassin,应用,系统,系统
file-roller,系统,应用,应用
sgabios,系统,应用,其它
lld-libs,核心,应用,系统
lorax-templates-anolis,核心,应用,核心
fence-virtd-libvirt,应用,系统,系统
qemu-kvm-block-curl,系统,应用,应用
gcc-toolset-9-gcc-c++,系统,应用,应用
cups,应用,其它,系统
dropwatch,应用,核心,系统
libvirt-daemon-driver-storage,系统,应用,应用
lorax-templates-generic,系统,应用,应用
python3-rrdtool,应用,系统,系统
ndctl-libs,系统,应用,核心
redhat-menus,其它,应用,其它
osinfo-db,系统,应用,应用
bind-libs-lite,系统,核心,应用
pcre2-tools,系统,应用,应用
podman,应用,系统,核心
cairo-gobject,系统,核心,应用
polkit-libs,系统,应用,应用
subversion-perl,应用,系统,系统
iso-codes,应用,其它,其它
hplip-libs,应用,核心,系统
libmbim-utils,应用,核心,系统
libdb-utils,系统,核心,应用
openldap-clients,系统,核心,应用
nvme-cli,系统,核心,核心
vsftpd,应用,系统,核心
clang-resource-filesystem,系统,核心,应用
gnome-remote-desktop,应用,核心,核心
hwloc,应用,核心,系统
mtr-gtk,应用,系统,系统
python38-numpy-f2py,应用,系统,系统
openblas-openmp64_,应用,核心,系统
