name,label,summary,description
perl-Math-Complex,库, Complex numbers and trigonometric functions," This package lets you create and manipulate complex numbers. By default, Perl
limits itself to real numbers, but an extra ""use"" statement brings full
complex support, along with a full set of mathematical functions typically
associated with and/or extended to complex numbers."
jetty-http,库, http module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains http module for Jetty."
plexus-interactivity-jline,库, jline module for plexus-interactivity, jline module for plexus-interactivity.
ant-manual,库, Manual for ant, Documentation for ant.
libreoffice-langpack-lv,库, Latvian language pack for LibreOffice, Provides additional Latvian translations and resources for LibreOffice.
python3-snowballstemmer,库, Provides 16 stemmer algorithms generated from Snowball algorithms," It includes following language algorithms:

* Danish
* Dutch
* English (Standard, Porter)
* Finnish
* French
* German
* Hungarian
* Italian
* Norwegian
* Portuguese
* Romanian
* Russian
* Spanish
* Swedish
* Turkis

This is a pure Python stemming library. If PyStemmer is available, this module
uses it to accelerate."
perl-Pod-Simple,库, Framework for parsing POD documentation," Pod::Simple is a Perl library for parsing text in the POD (plain old
documentation) markup language that is typically used for writing
documentation for Perl and for Perl modules."
gtk3-immodule-xim,库, XIM support for GTK+, The gtk3-immodule-xim package contains XIM support for GTK+ 3.
perl-List-MoreUtils-XS,库, Provide compiled List::MoreUtils functions, This module provides accelerated versions of functions in List::MoreUtils.
rrdtool-ruby,库, Ruby RRDtool bindings, The rrdtool-ruby package includes RRDtool bindings for Ruby.
python3-magic,库, Python 3 bindings for the libmagic API," This package contains the Python 3 bindings to allow access to the
libmagic API. The libmagic library is also used by the familiar
file(1) command."
python3-justbytes,库, Library for handling computation with address ranges in bytes," A library for handling computations with address ranges. The library also offers
a configurable way to extract the representation of a value.

Python 3 version."
glassfish-jsp-api,库, Glassfish J2EE JSP API specification," This project provides a container independent specification of JSP
2.2. Note that this package doesn't contain implementation of this
specification. See glassfish-jsp for one of implementations"
compat-libtiff3,库, Compatibility package for libtiff 3," The libtiff3 package provides libtiff 3, an older version of libtiff
library for manipulating TIFF (Tagged Image File Format)
image format files. This version should be used only if you are unable
to use the current version of libtiff."
hyphen-mn,库, Mongolian hyphenation rules, Mongolian hyphenation rules.
libtevent,库, The tevent library," Tevent is an event system based on the talloc memory management library.
Tevent has support for many event types, including timers, signals, and
the classic file descriptor events.
Tevent also provide helpers to deal with asynchronous code providing the
tevent_req (Tevent Request) functions."
python39-Cython,库, Language for writing Python extension modules," This is a development version of Pyrex, a language
for writing Python extension modules.

Python 3 version."
perl-Crypt-OpenSSL-Bignum,库, Perl interface to OpenSSL for Bignum," Crypt::OpenSSL::Bignum provides access to OpenSSL multiprecision integer
arithmetic libraries. Presently, many though not all of the arithmetic
operations that OpenSSL provides are exposed to perl. In addition, this
module can be used to provide access to bignum values produced by other
OpenSSL modules, such as key parameters from Crypt::OpenSSL::RSA."
libarchive,库, A library for handling streaming archive formats," Libarchive is a programming library that can create and read several different
streaming archive formats, including most popular tar variants, several cpio
formats, and both BSD and GNU ar variants. It can also write shar archives and
read ISO9660 CDROM images and ZIP archives."
nautilus-extensions,库, Nautilus extensions library, This package provides the libraries used by nautilus extensions.
kf5-frameworkintegration-libs,库, Runtime libraries for kf5-frameworkintegration., Runtime libraries for kf5-frameworkintegration..
libreport-filesystem,库, Filesystem layout for libreport, Filesystem layout for libreport
perl-TermReadKey,库, A perl module for simple terminal control," Term::ReadKey is a compiled perl module dedicated to providing simple
control over terminal driver modes (cbreak, raw, cooked, etc.)
support for non-blocking reads, if the architecture allows, and some
generalized handy functions for working with terminals.  One of the
main goals is to have the functions as portable as possible, so you
can just plug in ""use Term::ReadKey"" on any architecture and have a
good likelyhood of it working."
perl-IPC-Cmd,库, Finding and running system commands made easy," IPC::Cmd allows you to run commands platform independently, interactively
if desired, but have them still work."
perl-Env,库, Perl module that imports environment variables as scalars or arrays," Perl maintains environment variables in a special hash named %ENV. For when
this access method is inconvenient, the Perl module Env allows environment
variables to be treated as scalar or array variables."
perl-File-HomeDir,库, Find your home and other directories on any platform," File::HomeDir is a module for locating the directories that are ""owned""
by a user (typically your user) and to solve the various issues that
arise trying to find them consistently across a wide variety of
platforms."
openslp,库, Open implementation of Service Location Protocol V2," Service Location Protocol is an IETF standards track protocol that
provides a framework to allow networking applications to discover the
existence, location, and configuration of networked services in
enterprise networks.

OpenSLP is an open source implementation of the SLPv2 protocol as defined
by RFC 2608 and RFC 2614."
perl-Unicode-EastAsianWidth,库, East Asian Width properties," This module provide user-defined Unicode properties that deal with width
status of East Asian characters, as specified in
<http://www.unicode.org/unicode/reports/tr11/>."
libstdc++-static,库, Static libraries for the GNU standard C++ library, Static libraries for the GNU standard C++ library.
dotnet-hostfxr-3.1,库, .NET Core command line host resolver," The .NET Core host resolver contains the logic to resolve and select
the right version of the .NET Core SDK or runtime to use.

.NET Core is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
glassfish-jaxb-runtime,库, JAXB Runtime, JAXB (JSR 222) Reference Implementation
perl-Term-Size-Any,库, Retrieve terminal size," This is a unified interface to retrieve terminal size. It loads one module
of a list of known alternatives, each implementing some way to get the
desired terminal information. This loaded module will actually do the job
on behalf of Term::Size::Any."
libqhull,库, #NAME?, #NAME?
lua-lpeg,库, Parsing Expression Grammars for Lua," LPeg is a new pattern-matching library for Lua, based on Parsing Expression
Grammars (PEGs)."
libreoffice-langpack-cy,库, Welsh language pack for LibreOffice, Provides additional Welsh translations and resources for LibreOffice.
jul-to-slf4j,库, JUL to SLF4J bridge, JUL to SLF4J bridge.
python3-simpleline,库, A Python3 library for creating text UI," Simpleline is a Python3 library for creating text UI.
It is designed to be used with line-based machines
and tools (e.g. serial console) so that every new line
is appended to the bottom of the screen.
Printed lines are never rewritten!"
perl-Mozilla-CA,库, Mozilla's CA cert bundle in PEM format," Mozilla::CA provides a path to ca-certificates copy of Mozilla's bundle of
certificate authority certificates in a form that can be consumed by modules
and libraries based on OpenSSL."
libcurl,库,A library for getting files from web servers ,"libcurl is a free and easy-to-use client-side URL transfer library, supporting
FTP, FTPS, HTTP, HTTPS, SCP, SFTP, TFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP,
SMTP, POP3 and RTSP. libcurl supports SSL certificates, HTTP POST, HTTP PUT,
FTP uploading, HTTP form based upload, proxies, cookies, user+password
authentication (Basic, Digest, NTLM, Negotiate, Kerberos4), file transfer
resume, http proxy tunneling and more. "
python39-tkinter,库, A GUI toolkit for Python," The Tkinter (Tk interface) library is a graphical user interface toolkit for
the Python programming language."
python38-py,库," Library with cross-python path, ini-parsing, io, code, log facilities"," The py lib is a Python development support library featuring the
following tools and modules:

  * py.path: uniform local and svn path objects
  * py.apipkg: explicit API control and lazy-importing
  * py.iniconfig: easy parsing of .ini files
  * py.code: dynamic code generation and introspection
  * py.path: uniform local and svn path objects"
python3-tdb,库, Python3 bindings for the Tdb library, Python3 bindings for libtdb
rubygem-abrt,库, ABRT support for Ruby, Provides ABRT reporting support for libraries/applications written using Ruby.
qt5-qtbase-gui,库, Qt5 GUI-related libraries, Qt5 libraries used for drawing widgets and OpenGL items.
cairo,库, A 2D graphics library," Cairo is a 2D graphics library designed to provide high-quality display
and print output. Currently supported output targets include the X Window
System, in-memory image buffers, and image files (PDF, PostScript, and SVG).

Cairo is designed to produce consistent output on all output media while
taking advantage of display hardware acceleration when available."
libxml++,库, C++ wrapper for the libxml2 XML parser library," libxml++ is a C++ wrapper for the libxml2 XML parser library. Its original
author is Ari Johnson and it is currently maintained by Christophe de Vienne
and Murray Cumming."
mingw32-sqlite-static,库, Static version of MinGW Windows port of sqlite library," SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host

This package contains static cross-compiled library"
hyphen-gu,库, Gujarati hyphenation rules, Gujarati hyphenation rules.
mojo-parent,库, Codehaus MOJO parent project pom file, Codehaus MOJO parent project pom file
perl-Tie-File,库, Access the lines of a disk file via a Perl array," Tie::File represents a regular text file as a Perl array. Each element in the
array corresponds to a record in the file. The first line of the file is
element 0 of the array; the second line is element 1, and so on.  The file is
not loaded into memory, so this will work even for gigantic files.  Changes to
the array are reflected in the file immediately."
libserf,库, High-Performance Asynchronous HTTP Client Library," The serf library is a C-based HTTP client library built upon the Apache
Portable Runtime (APR) library. It multiplexes connections, running the
read/write communication asynchronously. Memory copies and transformations are
kept to a minimum to provide high performance operation."
pg_repack,库, Reorganize tables in PostgreSQL databases without any locks," pg_repack is a PostgreSQL extension which lets you remove
bloat from tables and indexes, and optionally
restore the physical order of clustered indexes.
Unlike CLUSTER and VACUUM FULL it works online,
without holding an exclusive lock on the processed tables during processing.
pg_repack is efficient to boot,
with performance comparable to using CLUSTER directly.

Please check the documentation (in the doc directory or online)
for installation and usage instructions."
perl-Ref-Util,库, Utility functions for checking references," Ref::Util introduces several functions to help identify references in a faster
and smarter way."
libreoffice-help-ko,库, Korean help for LibreOffice, Provides Korean help for LibreOffice.
perl-local-lib,库, Create and use a local lib/ for perl modules," This module provides a quick, convenient way of bootstrapping a user-
local Perl module library located within the user's home directory. It
also constructs and prints out for the user the list of environment
variables using the syntax appropriate for the user's current shell (as
specified by the 'SHELL' environment variable), suitable for directly
adding to one's shell configuration file.

More generally, local::lib allows for the bootstrapping and usage of a
directory containing Perl modules outside of Perl's '@INC'. This makes
it easier to ship an application with an app-specific copy of a Perl module,
or collection of modules. Useful in cases like when an upstream maintainer
hasn't applied a patch to a module of theirs that you need for your
application."
libwayland-client,库, Wayland client library, Wayland client library
man-pages,库,Linux kernel and C library user-space interface documentation ,A large collection of manual pages from the Linux Documentation Project (LDP). 
libreport-plugin-rhtsupport,库, libreport's RHTSupport plugin, Plugin to report bugs into RH support system.
apache-commons-parent,库, Apache Commons Parent Pom, The Project Object Model files for the apache-commons packages.
gjs,库, Javascript Bindings for GNOME," Gjs allows using GNOME libraries from Javascript. It's based on the
Spidermonkey Javascript engine from Mozilla and the GObject introspection
framework."
python3-docs,库, Documentation for the Python 3 programming language," The python3-docs package contains documentation on the Python 3
programming language and interpreter.

Install the python3-docs package if you'd like to use the documentation
for the Python 3 language."
guice-grapher,库, Grapher extension module for Guice," Guice is a lightweight dependency injection framework for Java 5
and above. This package provides Grapher module for Guice."
perl-common-sense,库," ""Common sense"" Perl defaults"," This module implements some sane defaults for Perl programs, as defined
by two typical (or not so typical - use your common sense) specimens of
Perl coders:

It's supposed to be mostly the same, with much lower memory usage, as:

	use utf8;
	use strict qw(vars subs);
	use feature qw(say state switch);
	use feature qw(unicode_strings unicode_eval current_sub fc evalbytes);
	no feature qw(array_base);
	no warnings;
	use warnings qw(FATAL closed threads internal debugging pack
			portable prototype inplace io pipe unpack malloc
			deprecated glob digit printf layer
			reserved taint closure semicolon);
	no warnings qw(exec newline unopened);"
easymock-javadoc,库, Javadoc for easymock, Javadoc for easymock.
libreoffice-help-ca,库, Catalan help for LibreOffice, Provides Catalan help for LibreOffice.
rust-src,库, Sources for the Rust standard library," This package includes source files for the Rust standard library.  It may be
useful as a reference for code completion tools in various editors."
perl-XML-RegExp,库, Regular expressions for XML tokens," This package contains an utility module containing regular expressions
for the following XML tokens: BaseChar, Ideographic, Letter, Digit,
Extender, CombiningChar, NameChar, EntityRef, CharRef, Reference,
Name, NmToken, and AttValue."
python39-urllib3,库, Python3 HTTP library with thread-safe connection pooling and file post, Python3 HTTP module with connection pooling and file POST abilities.
perl-Thread-Queue,库, Thread-safe queues," This module provides thread-safe FIFO queues that can be accessed safely by
any number of threads."
python3-pydbus,库, Pythonic DBus library," The pydbus module provides pythonic DBUS bindings.
It is based on PyGI, the Python GObject Introspection bindings,
which is the recommended way to use GLib from Python.

Python 3 version."
python3-pid,库, PID file management library," pid provides a PidFile class that manages PID files. PidFile features:
  - stale detection
  - locking using fcntl
  - chmod (default is 0o644)
  - chown
  - custom exceptions

PidFile can also be used as a context manager or a decorator."
mesa-libgbm,库, Mesa gbm runtime library, Mesa gbm runtime library.
oci-umount,库, OCI umount hook for docker," OCI umount hooks umount potential leaked mount points in a containers
mount name-spaces"
varnish-modules,库," A collection of modules (""vmods"") extending Varnish VCL"," This is a collection of modules (""vmods"") extending Varnish VCL used
for describing HTTP request/response policies with additional
capabilities. This collection contains the following vmods (previously
kept individually): cookie, vsthrottle, header, saintmode, softpurge,
tcp, var, xkey"
poppler,库, PDF rendering library, poppler is a PDF rendering library.
felix-osgi-foundation,库, Felix OSGi Foundation EE Bundle, OSGi Foundation Execution Environment (EE) Classes.
javacc-javadoc,库, Javadoc for javacc, This package contains the API documentation for javacc.
subversion-perl,库, Perl bindings to the Subversion libraries, This package includes the Perl bindings to the Subversion libraries.
libnice,库, GLib ICE implementation," libnice is an implementation of the IETF draft Interactive Connectivity
Establishment standard (ICE). ICE is useful for applications that want to
establish peer-to-peer UDP data streams. It automates the process of traversing
NATs and provides security against some attacks. Existing standards that use
ICE include the Session Initiation Protocol (SIP) and Jingle, XMPP extension
for audio/video calls."
minizip1.2,库, Library for manipulation with .zip archives," Minizip is a library for manipulation with files from .zip archives.
This package contains the old minizip API, as bundled with zlib."
perl-constant,库,Perl pragma to declare constants ,"This pragma allows you to declare constants at compile-time:

use constant PI => 4 * atan2(1, 1);

When you declare a constant such as ""PI"" using the method shown above,
each machine your script runs upon can have as many digits of accuracy
as it can use. Also, your program will be easier to read, more likely
to be maintained (and maintained correctly), and far less likely to
send a space probe to the wrong planet because nobody noticed the one
equation in which you wrote 3.14195.

When a constant is used in an expression, Perl replaces it with its
value at compile time, and may then optimize the expression further.
In particular, any code in an ""if (CONSTANT)"" block will be optimized
away if the constant is false. "
libreoffice-langpack-gu,库, Gujarati language pack for LibreOffice, Provides additional Gujarati translations and resources for LibreOffice.
maven-surefire-javadoc,库, Javadoc for maven-surefire, Javadoc for maven-surefire.
ptscotch-mpich-devel-parmetis,库, Parmetis compatibility header for scotch, This package contains the parmetis compatibility header for scotch.
guile,库, A GNU implementation of Scheme for application extensibility," GUILE (GNU's Ubiquitous Intelligent Language for Extension) is a library
implementation of the Scheme programming language, written in C.  GUILE
provides a machine-independent execution platform that can be linked in
as a library during the building of extensible programs.

Install the guile package if you'd like to add extensibility to programs
that you are developing."
jdependency,库, This project provides an API to analyse class dependencies," jdependency is small library that helps you analyze class level
dependencies, clashes and missing classes."
gnome-autoar,库, Archive library, gnome-autoar is a GObject based library for handling archives.
python38-packaging,库, Core utilities for Python packages," python3-packaging provides core utilities for Python packages like utilities for
dealing with versions, specifiers, markers etc."
qt5-qtscript,库, Qt5 - QtScript component, Qt5 - QtScript component.
perl-CPAN-Meta-Requirements,库, Set of version requirements for a CPAN dist," A CPAN::Meta::Requirements object models a set of version constraints like
those specified in the META.yml or META.json files in CPAN distributions. It
can be built up by adding more and more constraints, and it will reduce them
to the simplest representation.

Logically impossible constraints will be identified immediately by thrown
exceptions."
perl-Params-Classify,库, Argument type classification," This module provides various type-testing functions. These are intended
for functions that, unlike most Perl code, care what type of data they
are operating on. For example, some functions wish to behave
differently depending on the type of their arguments (like overloaded
functions in C++)."
nkf,库, A Kanji code conversion filter," Nkf is a Kanji code converter for terminals, hosts, and networks. Nkf
converts input Kanji code to 7-bit JIS, MS-kanji (shifted-JIS) or
EUC."
python3-libxml2,库,Python 3 bindings for the libxml2 library ,"The libxml2-python3 package contains a Python 3 module that permits
applications written in the Python programming language, version 3, to use the
interface supplied by the libxml2 library to manipulate XML files.

This library allows to manipulate XML files. It includes support
to read, modify and write XML and HTML files. There is DTDs support
this includes parsing and validation even with complex DTDs, either
at parse time or later once the document has been modified. "
libgomp-offload-nvptx,库,GCC OpenMP v4.5 plugin for offloading to NVPTX ,"This package contains libgomp plugin for offloading to NVidia
PTX.  The plugin needs libcuda.so.1 shared library that has to be
installed separately. "
python3-sphinx-theme-alabaster,库, Configurable sidebar-enabled Sphinx theme," This theme is a modified ""Kr"" Sphinx theme from @kennethreitz (especially as
used in his Requests project), which was itself originally based on @mitsuhiko's
theme used for Flask & related projects."
cyrus-sasl,库,The Cyrus SASL library ,"The cyrus-sasl package contains the Cyrus implementation of SASL.
SASL is the Simple Authentication and Security Layer, a method for
adding authentication support to connection-based protocols. "
gsm,库, Shared libraries for GSM speech compressor," Contains runtime shared libraries for libgsm, an implementation of
the European GSM 06.10 provisional standard for full-rate speech
transcoding, prI-ETS 300 036, which uses RPE/LTP (residual pulse
excitation/long term prediction) coding at 13 kbit/s.

GSM 06.10 compresses frames of 162 13-bit samples (8 kHz sampling
rate, i.e. a frame rate of 50 Hz) into 260 bits; for compatibility
with typical UNIX applications, our implementation turns frames of 160
16-bit linear samples into 33-byte frames (1650 Bytes/s).
The quality of the algorithm is good enough for reliable speaker
recognition; even music often survives transcoding in recognizable
form (given the bandwidth limitations of 8 kHz sampling rate).

The interfaces offered are a front end modelled after compress(1), and
a library API.  Compression and decompression run faster than realtime
on most SPARCstations.  The implementation has been verified against the
ETSI standard test patterns."
python3-dnf,库, Python 3 interface to DNF, Python 3 interface to DNF.
python3-libs,库, Python runtime libraries," This package contains runtime libraries for use by Python:
- the majority of the Python standard library
- a dynamically linked library for use by applications that embed Python as
  a scripting language, and by the main ""python3"" executable"
perl-DynaLoader-Functions,库, Deconstructed dynamic C library loading," This module provides a function-based interface to dynamic loading as used
by Perl. Some details of dynamic loading are very platform-dependent, so
correct use of these functions requires the programmer to be mindful of the
space of platform variations."
python3-gssapi,库, Python 3 Bindings for GSSAPI (RFC 2743/2744 and extensions)," A set of Python bindings to the GSSAPI C library providing both
a high-level pythonic interfaces and a low-level interfaces
which more closely matches RFC 2743.  Includes support for
RFC 2743, as well as multiple extensions."
ant-junit,库, Optional junit tasks for ant, Optional junit tasks for ant.
jackson-databind,库, General data-binding package for Jackson (2.x)," The general-purpose data-binding functionality and tree-model for Jackson Data
Processor. It builds on core streaming parser/generator package, and uses
Jackson Annotations for configuration."
php-xmlrpc,库, A module for PHP applications which use the XML-RPC protocol," The php-xmlrpc package contains a dynamic shared object that will add
support for the XML-RPC protocol to PHP."
perl-Sub-Exporter-Progressive,库, Only use Sub::Exporter if you need it," Sub::Exporter is an incredibly powerful module, but with that power comes
great responsibility, er- as well as some runtime penalties. This module is a
Sub::Exporter wrapper that will let your users just use Exporter if all they
are doing is picking exports, but use Sub::Exporter if your users try to use
Sub::Exporter's more advanced features, like renaming exports, if they try to
use them.

Note that this module will export @EXPORT and @EXPORT_OK package variables for
Exporter to work. Additionally, if your package uses advanced Sub::Exporter
features like currying, this module will only ever use Sub::Exporter, so you
might as well use it directly."
perl-YAML-LibYAML,库, Perl YAML Serialization using XS and libyaml," Kirill Siminov's ""libyaml"" is arguably the best YAML implementation. The C
library is written precisely to the YAML 1.1 specification. It was originally
bound to Python and was later bound to Ruby."
mythes-bg,库, Bulgarian thesaurus, Bulgarian thesaurus.
colord-gtk,库, GTK support library for colord," colord-gtk is a support library for colord and provides additional
functionality that requires GTK+."
texlive-fpl,库, SC and OsF fonts for URW Palladio L," The FPL Fonts provide a set of SC/OsF fonts for URW Palladio L
which are compatible with respect to metrics with the Palatino
SC/OsF fonts from Adobe. Note that it is not my aim to exactly
reproduce the outlines of the original Adobe fonts. The SC and
OsF in the FPL Fonts were designed with the glyphs from URW
Palladio L as starting point. For some glyphs (e.g. 'o') I got
the best result by scaling and boldening. For others (e.g. 'h')
shifting selected portions of the character gave more
satisfying results. All this was done using the free font
editor FontForge. The kerning data in these fonts comes from
Walter Schmidt's improved Palatino metrics. LaTeX use is
enabled by the mathpazo package, which is part of the psnfss
distribution."
libreoffice-langpack-nl,库, Dutch language pack for LibreOffice, Provides additional Dutch translations and resources for LibreOffice.
maven-hawtjni-plugin,库, Use HawtJNI from a maven plugin, This package allows to use HawtJNI from a maven plugin.
qpdf-libs,库, QPDF library for transforming PDF files," QPDF is a C++ library that inspect and manipulate the structure of PDF files.
It can encrypt and linearize files, expose the internals of a PDF file,
and do many other operations useful to PDF developers."
autocorr-sl,库, Slovenian auto-correction rules, Rules for auto-correcting common Slovenian typing errors.
brlapi,库, Application Programming Interface for BRLTTY," This package provides the run-time support for the Application
Programming Interface to BRLTTY.

Install this package if you have an application which directly accesses
a refreshable braille display."
java-1.8.0-alibaba-dragonwell-headless-slowdebug,库, Alibaba Dragonwell 1.8.0 Runtime Environment headless slowdebug, Alibaba Dragonwell 1.8.0 Runtime Environment headless slowdebug
guice-assistedinject,库, AssistedInject extension module for Guice," Guice is a lightweight dependency injection framework for Java 5
and above. This package provides AssistedInject module for Guice."
jdom,库, Java alternative to DOM and SAX," JDOM is, quite simply, a Java representation of an XML document. JDOM
provides a way to represent that document for easy and efficient
reading, manipulation, and writing. It has a straightforward API, is a
lightweight and fast, and is optimized for the Java programmer. It's an
alternative to DOM and SAX, although it integrates well with both DOM
and SAX."
xml-commons-apis-javadoc,库, Javadoc for xml-commons-apis, Javadoc for xml-commons-apis.
xmvn-connector-ivy,库, XMvn Connector for Apache Ivy," This package provides XMvn Connector for Apache Ivy, which provides
integration of Apache Ivy with XMvn.  It provides an adapter which
allows XMvn resolver to be used as Ivy resolver."
perl-Pod-Html,库, Convert POD files to HTML," This package converts files from POD format (see perlpod) to HTML format. It
can automatically generate indexes and cross-references, and it keeps a cache
of things it knows how to cross-reference."
cracklib,库, A password-checking library," CrackLib tests passwords to determine whether they match certain
security-oriented characteristics, with the purpose of stopping users
from choosing passwords that are easy to guess. CrackLib performs
several tests on passwords: it tries to generate words from a username
and gecos entry and checks those words against the password; it checks
for simplistic patterns in passwords; and it checks for the password
in a dictionary.

CrackLib is actually a library containing a particular C function
which is used to check the password, as well as other C
functions. CrackLib is not a replacement for a passwd program; it must
be used in conjunction with an existing passwd program.

Install the cracklib package if you need a program to check users'
passwords to see if they are at least minimally secure. If you install
CrackLib, you will also want to install the cracklib-dicts package."
python3-libnbd,库, Python 3 bindings for libnbd, python3-libnbd contains Python 3 bindings for libnbd.
brasero-libs,库, Libraries for brasero," The brasero-libs package contains the runtime shared libraries for
brasero."
grilo,库, Content discovery framework," Grilo is a framework that provides access to different sources of
multimedia content, using a pluggable system.
This package contains the core library and elements."
python2-libs,库, Runtime libraries for Python 2, This package contains files used to embed Python 2 into applications.
libXinerama,库, X.Org X11 libXinerama runtime library, X.Org X11 libXinerama runtime library
osgi-compendium,库, Interfaces and Classes for use in compiling OSGi bundles," OSGi Compendium, Interfaces and Classes for use in compiling bundles."
maven-plugin-build-helper-javadoc,库, API documentation for maven-plugin-build-helper, This package provides API documentation for maven-plugin-build-helper.
dotnet-templates-6.0,库, .NET 6.0 templates," This package contains templates used by the .NET SDK.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services."
perl-IO-Socket-INET6,库, Perl Object interface for AF_INET|AF_INET6 domain sockets, Perl Object interface for AF_INET|AF_INET6 domain sockets.
dovecot-pigeonhole,库, Sieve and managesieve plug-in for dovecot, This package provides sieve and managesieve plug-in for dovecot LDA.
faad2,库, Library and frontend for decoding MPEG2/4 AAC," FAAD 2 is a LC, MAIN and LTP profile, MPEG2 and MPEG-4 AAC decoder, completely
written from scratch."
