name,label,pred,summary,description
libmemcached,工具,工具, Client library and command line tools for memcached server," libmemcached is a C/C++ client library and tools for the memcached server
(http://memcached.org/). It has been designed to be light on memory
usage, and provide full access to server side methods.

It also implements several command line tools:

memaslap    Load testing and benchmarking a server
memcapable  Checking a Memcached server capibilities and compatibility
memcat      Copy the value of a key to standard output
memcp       Copy data to a server
memdump     Dumping your server
memerror    Translate an error code to a string
memexist    Check for the existance of a key
memflush    Flush the contents of your servers
memparse    Parse an option string
memping     Test to see if a server is available.
memrm       Remove a key(s) from the server
memslap     Generate testing loads on a memcached cluster
memstat     Dump the stats of your servers to standard output
memtouch    Touches a key"
libevdev,库,库, Kernel Evdev Device Wrapper Library," libevdev is a library to wrap kernel evdev devices and provide a proper API
to interact with those devices."
plymouth-plugin-two-step,服务,服务," Plymouth ""two-step"" plugin"," This package contains the ""two-step"" boot splash plugin for
Plymouth. It features a two phased boot process that starts with
a progressing animation synced to boot time and finishes with a
short, fast one-shot animation."
python3-meh,库,库, A python 3 library for handling exceptions," The python3-meh package is a python 3 library for handling, saving, and reporting
exceptions."
dde-qt5xcb-plugin,服务,服务, Qt platform plugins for DDE, Qt platform plugins for DDE.
autofs,服务,服务,A tool for automatically mounting and unmounting filesystems ,"autofs is a daemon which automatically mounts filesystems when you use
them, and unmounts them later when you are not using them.  This can
include network filesystems, CD-ROMs, floppies, and so forth. "
libiscsi,库,库, iSCSI client library," libiscsi is a library for attaching to iSCSI resources across
a network."
openblas-openmp64,库,库," An optimized BLAS library based on GotoBLAS2, OpenMP version"," 
OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD
version. The project is supported by the Lab of Parallel Software and
Computational Science, ISCAS. http://www.rdcps.ac.cn

This package contains the library compiled with OpenMP support and
64-bit interface."
wavpack,库,库, A completely open audiocodec," WavPack is a completely open audio compression format providing lossless,
high-quality lossy, and a unique hybrid compression mode. Although the
technology is loosely based on previous versions of WavPack, the new
version 4 format has been designed from the ground up to offer unparalleled
performance and functionality."
python3-schedutils,库,库,Linux scheduler python bindings ,"Python interface for the Linux scheduler sched_{get,set}{affinity,scheduler}
functions and friends. "
system-lsb-core,其它,库, LSB Core module support," The Linux Standard Base (LSB) Core module support provides the fundamental
system interfaces, libraries, and runtime environment upon which all conforming
applications and libraries depend."
gcc-toolset-10-elfutils,工具,工具, A collection of utilities and DSOs to handle ELF files and DWARF data," Elfutils is a collection of utilities, including stack (to show
backtraces), nm (for listing symbols from object files), size
(for listing the section sizes of an object or archive file),
strip (for discarding symbols), readelf (to see the raw ELF file
structures), elflint (to check for well-formed ELF files) and
elfcompress (to compress or decompress ELF sections)."
infiniband-diags,工具,库,InfiniBand Diagnostic Tools ,"This package provides IB diagnostic programs and scripts needed to diagnose an
IB subnet.  infiniband-diags now also provides libibmad.  libibmad provides
low layer IB functions for use by the IB diagnostic and management
programs. These include MAD, SA, SMP, and other basic IB functions. "
libuv,库,库, libuv is a multi-platform support library with a focus on asynchronous I/O., libuv is a multi-platform support library with a focus on asynchronous I/O
alsa-plugins-vdownmix,服务,工具, Downmixer to stereo plugin for ALSA," The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround""."
hunspell-ru,工具,工具, Russian hunspell dictionaries, Russian hunspell dictionaries.
python3-jwcrypto,库,库," Implements JWK, JWS, JWE specifications using python-cryptography"," Implements JWK, JWS, JWE specifications using python-cryptography"
xorg-x11-server-source,服务,工具, Xserver source code required to build VNC server (Xvnc), Xserver source code needed to build VNC server (Xvnc)
perl-YAML-Syck,库,库," Fast, lightweight YAML loader and dumper"," This module provides a Perl interface to the libsyck data serialization
library. It exports the Dump and Load functions for converting Perl data
structures to YAML strings, and the other way around."
suitesparse,库,库, A collection of sparse matrix libraries," suitesparse is a collection of libraries for computations involving sparse
matrices.  The package includes the following libraries:
  AMD                 approximate minimum degree ordering
  BTF                 permutation to block triangular form (beta)
  CAMD                constrained approximate minimum degree ordering
  COLAMD              column approximate minimum degree ordering
  CCOLAMD             constrained column approximate minimum degree ordering
  CHOLMOD             sparse Cholesky factorization
  CSparse             a concise sparse matrix package
  CXSparse            CSparse extended: complex matrix, int and long int support
  KLU                 sparse LU factorization, primarily for circuit simulation
  LDL                 a simple LDL factorization
  SQPR                a multithread, multifrontal, rank-revealing sparse QR
                      factorization method
  UMFPACK             sparse LU factorization
  SuiteSparse_config  configuration file for all the above packages.
  RBio                read/write files in Rutherford/Boeing format"
grub2-efi-ia32-cdboot,工具,工具,Files used to boot removeable media with EFI ,"
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides optional components of grub used with removeable media on efi-ia32 systems. "
libgsf,库,库, GNOME Structured File library, A library for reading and writing structured files (e.g. MS OLE and Zip)
texlive-showexpl,工具,工具, Typesetting LaTeX source code," This package provides a way to typeset LaTeX source code and
the related result in the same document."
gedit,服务,工具, Text editor for the GNOME desktop," gedit is a small, but powerful text editor designed specifically for
the GNOME desktop. It has most standard text editor functions and fully
supports international text in Unicode. Advanced features include syntax
highlighting and automatic indentation of source code, printing and editing
of multiple documents in one window.

gedit is extensible through a plugin system, which currently includes
support for spell checking, comparing files, viewing CVS ChangeLogs, and
adjusting indentation levels. Further plugins can be found in the
gedit-plugins package."
tigervnc-server-module,服务,库, TigerVNC module to Xorg," This package contains libvnc.so module to X server, allowing others
to access the desktop on your machine."
python3-simpleline,库,库, A Python3 library for creating text UI," Simpleline is a Python3 library for creating text UI.
It is designed to be used with line-based machines
and tools (e.g. serial console) so that every new line
is appended to the bottom of the screen.
Printed lines are never rewritten!"
gnome-shell-extension-auto-move-windows,服务,服务, Assign specific workspaces to applications in GNOME Shell," This GNOME Shell extension enables easy workspace management. A specific
workspace can be assigned to each application as soon as it creates a window, in
a manner configurable with a GSettings key."
google-noto-sans-gujarati-ui-fonts,其它,其它, Sans Gujarati UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Gujarati UI."
liblognorm,库,库, Fast samples-based log normalization library," Briefly described, liblognorm is a tool to normalize log data.

People who need to take a look at logs often have a common problem. Logs from
different machines (from different vendors) usually have different formats for
their logs. Even if it is the same type of log (e.g. from firewalls), the log
entries are so different, that it is pretty hard to read these. This is where
liblognorm comes into the game. With this tool you can normalize all your logs.
All you need is liblognorm and its dependencies and a sample database that fits
the logs you want to normalize."
plexus-interactivity-jline,库,库, jline module for plexus-interactivity, jline module for plexus-interactivity.
tesseract-langpack-lat,工具,工具, Latin language data for tesseract-tessdata," This package contains the fast integer version of the Latin language
trained models for the Tesseract Open Source OCR Engine."
javacc-manual,库,库, Manual for javacc, Manual for javacc.
maven-reporting-impl,工具,库, Abstract classes to manage report generation," Abstract classes to manage report generation, which can be run both:

* as part of a site generation (as a maven-reporting-api's MavenReport),
* or as a direct standalone invocation (as a maven-plugin-api's Mojo).

This is a replacement package for maven-shared-reporting-impl"
pcp-pmda-mongodb,服务,服务, Performance Co-Pilot (PCP) metrics for MongoDB," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics from MongoDB."
pcp-pmda-bind2,服务,服务, Performance Co-Pilot (PCP) metrics for BIND servers," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics from BIND (Berkeley Internet Name Domain)."
maven-openjdk17,工具,库, OpenJDK 17 binding for Maven, Configures Maven to run with OpenJDK 17.
google-noto-sans-bamum-fonts,其它,其它, Sans Bamum font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Bamum."
texlive-l3experimental,工具,工具, Experimental LaTeX3 concepts," The l3experimental packages are a collection of experimental
implementations for aspects of the LaTeX3 kernel, dealing with
higher-level ideas such as the Designer Interface. Some of them
work as stand alone packages, providing new functionality, and
can be used on top of LaTeX2e with no changes to the existing
kernel. The present release includes: - xgalley, which controls
boxes receiving text for typesetting. - l3dt: kernel support
for data tables; - l3galley: kernel support for xgalley; -
l3regex: kernel support for regular expression search and
replace operations; - l3sort: kernel support for sorting
sequences, token lists or comma-lists, according to user-
specified comparison criteria; - l3str: kernel support for
string manipulation; - l3tl-build: kernel support for token
list building; - l3tl_analysis: kernel support for token list
analysis; and - xcoffins, which allows the alignment of boxes
using a series of 'handle' positions, supplementing the simple
TeX reference point. All the files of the bundle are also
available in the Subversion (SVN) repository of the LaTeX3
Project."
gnome-shell-extension-heads-up-display,服务,服务, Display persistent on-screen message," This GNOME Shell extension displays a persistent message in the top middle of the screen.
This message can appear on the login screen, lock screen, or regular user session."
openblas-openmp64_,库,库," An optimized BLAS library based on GotoBLAS2, OpenMP version"," 
OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD
version. The project is supported by the Lab of Parallel Software and
Computational Science, ISCAS. http://www.rdcps.ac.cn

This package contains the library compiled with OpenMP support and
64-bit interface and a symbol name suffix."
pki-base,库,库, PKI Base Package," The PKI Base Package contains the common and client libraries and utilities
written in Python."
plymouth-theme-script,服务,服务," Plymouth ""Script"" plugin"," This package contains the ""script"" boot splash theme for
Plymouth. It it is a simple example theme the uses the ""script""
plugin."
java-11-openjdk-static-libs-slowdebug,库,库, OpenJDK 11 libraries for static linking unoptimised with full debugging on," The OpenJDK 11 libraries for static linking.
This package is unoptimised with full debugging. Install only as needed and remove ASAP."
libjpeg-turbo-utils,工具,库, Utilities for manipulating JPEG images," The libjpeg-turbo-utils package contains simple client programs for accessing
the libjpeg functions. It contains cjpeg, djpeg, jpegtran, rdjpgcom and
wrjpgcom. Cjpeg compresses an image file into JPEG format. Djpeg decompresses a
JPEG file into a regular image file. Jpegtran can perform various useful
transformations on JPEG files. Rdjpgcom displays any text comments included in a
JPEG file. Wrjpgcom inserts text comments into a JPEG file."
jetty-http,库,库, http module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains http module for Jetty."
perl-TimeDate,库,库, A Perl module for time and date manipulation," This module includes a number of smaller modules suited for
manipulation of time and date strings with Perl. In particular, the
Date::Format and Date::Parse modules can display and read times and
dates in various formats, providing a more reliable interface to
textual representations of points in time."
texlive-xeindex,工具,工具, Automatic index generation for XeLaTeX," The package is based on XeSearch, and will automatically index
words or phrases in an XeLaTeX document. Words are declared in
a list, and every occurrence then creates an index entry whose
content can be fully specified beforehand."
python3-gobject,库,库, Python 3 bindings for GObject Introspection," The python3-gobject package provides a convenient wrapper for the GObject
library and and other libraries that are compatible with GObject Introspection,
for use in Python 3 programs."
keentune-target,服务,工具," Parameters setting, reading and backup models for KeenTune"," Parameters setting, reading and backup models for KeenTune"
zeromq3,库,库," Software library for fast, message-based applications"," The 0MQ lightweight messaging kernel is a library which extends the
standard socket interfaces with features traditionally provided by
specialized messaging middle-ware products. 0MQ sockets provide an
abstraction of asynchronous message queues, multiple messaging
patterns, message filtering (subscriptions), seamless access to
multiple transport protocols and more.

This package contains the ZeroMQ shared library for versions 3.x."
hunspell-ast,工具,工具, Asturian hunspell dictionaries, Asturian hunspell dictionaries.
mod_auth_mellon-diagnostics,库,库, Build of mod_auth_mellon with diagnostic logging," Build of mod_auth_mellon with diagnostic logging. See README.redhat.rst
in the doc directory for instructions on using the diagnostics build."
google-noto-sans-linear-b-fonts,其它,其它, Sans Linear B font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Linear B."
deepin-wallpapers,服务,服务, Deepin Wallpapers provides wallpapers of dde, Deepin Wallpapers provides wallpapers of dde.
gnome-terminal,服务,服务, Terminal emulator for GNOME," gnome-terminal is a terminal emulator for GNOME. It features the ability to use
multiple terminals in a single window (tabs) and profiles support."
perl-Math-BigInt-FastCalc,库,库, Math::BigInt::Calc with some XS for more speed, This Perl module provides support for fast big integer calculations.
bpg-excelsior-caps-fonts,其它,其它, Excelsior Caps family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Excelsior Caps font family."
python3-netaddr,库,库, A pure Python network address representation and manipulation library," A network address manipulation library for Python

Provides support for:

Layer 3 addresses

 * IPv4 and IPv6 addresses, subnets, masks, prefixes
 * iterating, slicing, sorting, summarizing and classifying IP networks
 * dealing with various ranges formats (CIDR, arbitrary ranges and globs, nmap)
 * set based operations (unions, intersections etc) over IP addresses and subnets
 * parsing a large variety of different formats and notations
 * looking up IANA IP block information
 * generating DNS reverse lookups
 * supernetting and subnetting

Layer 2 addresses

 * representation and manipulation MAC addresses and EUI-64 identifiers
 * looking up IEEE organisational information (OUI, IAB)
 * generating derived IPv6 addresses"
kernel-core,服务,工具, The Linux kernel," The kernel package contains the Linux kernel (vmlinuz), the core of any
Linux operating system.  The kernel handles the basic functions
of the operating system: memory allocation, process allocation, device
input and output, etc."
mingw32-zlib,库,库, MinGW Windows zlib compression library for the win32 target, MinGW Windows zlib compression library for the win32 target.
clutter,工具,库, Open Source software library for creating rich graphical user interfaces," Clutter is an open source software library for creating fast,
visually rich graphical user interfaces. The most obvious example
of potential usage is in media center type applications.
We hope however it can be used for a lot more."
texlive-symbol,工具,工具," URW ""Base 35"" font pack for LaTeX"," A set of fonts for use as ""drop-in"" replacements for Adobe's
basic set, comprising: - Century Schoolbook (substituting for
Adobe's New Century Schoolbook); - Dingbats (substituting for
Adobe's Zapf Dingbats); - Nimbus Mono L (substituting for
Abobe's Courier); - Nimbus Roman No9 L (substituting for
Adobe's Times); - Nimbus Sans L (substituting for Adobe's
Helvetica); - Standard Symbols L (substituting for Adobe's
Symbol); - URW Bookman; - URW Chancery L Medium Italic
(substituting for Adobe's Zapf Chancery); - URW Gothic L Book
(substituting for Adobe's Avant Garde); and - URW Palladio L
(substituting for Adobe's Palatino)."
powertop,工具,工具, Power consumption monitor," PowerTOP is a tool that finds the software component(s) that make your
computer use more power than necessary while it is idle."
ldb-tools,工具,工具,Tools to manage LDB files ,Tools to manage LDB files 
google-noto-sans-myanmar-ui-fonts,其它,其它, Sans Myanmar UI font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Myanmar UI."
libusbx,库,库, Library for accessing USB devices," This package provides a way for applications to access USB devices.

Libusbx is a fork of the original libusb, which is a fully API and ABI
compatible drop in for the libusb-1.0.9 release. The libusbx fork was
started by most of the libusb-1.0 developers, after the original libusb
project did not produce a new release for over 18 months.

Note that this library is not compatible with the original libusb-0.1 series,
if you need libusb-0.1 compatibility install the libusb package."
dracut-squash,工具,工具,dracut module to build an initramfs with most files in a squashfs image ,"This package provides a dracut module to build an initramfs, but store most files
in a squashfs image, result in a smaller initramfs size and reduce runtime memory
usage. "
perl-HTTP-Negotiate,库,库, Choose a variant to serve," This module provides a complete implementation of the HTTP content
negotiation algorithm specified in draft-ietf-http-v11-spec-00.ps chapter
12. Content negotiation allows for the selection of a preferred content
representation based upon attributes of the negotiable variants and the
value of the various Accept* header fields in the request."
hunspell-sl,工具,工具, Slovenian hunspell dictionaries, Slovenian hunspell dictionaries.
sound-theme-freedesktop,工具,工具, freedesktop.org sound theme," The default freedesktop.org sound theme following the XDG theming
specification.  (http://0pointer.de/public/sound-theme-spec.html)."
xorg-x11-drv-nouveau,服务,服务, Xorg X11 nouveau video driver for NVIDIA graphics chipsets, X.Org X11 nouveau video driver.
python3-pluggy,库,库, The plugin manager stripped of pytest specific details., The plugin manager stripped of pytest specific details.
hunspell-hu,工具,工具, Hungarian hunspell dictionaries, Hungarian hunspell dictionaries.
poppler-qt5,库,库, Qt5 wrapper for poppler, Qt5 wrapper for poppler.
dde-server-industry-config,服务,服务, DDE desktop-server industry version special configuration file., DDE desktop-server industry version special configuration file.
libyami,库,库, Yet Another Media Infrastructure library.," Yet Another Media Infrastructure.
It is YUMMY to your video experience on Linux like platform.
Yami is core building block for media solution. it parses video stream
and decodes them leverage hardware acceleration."
xsom,库,库, XML Schema Object Model (XSOM)," XML Schema Object Model (XSOM) is a Java library that allows applications to
easily parse XML Schema documents and inspect information in them. It is
expected to be useful for applications that need to take XML Schema as an
input.  The library is a straight-forward implement of ""schema components"" as
defined in the XML Schema spec part 1.  Refer to this specification of how this
object model works."
felix-osgi-core,库,库, Felix OSGi R4 Core Bundle, OSGi Service Platform Release 4 Core Interfaces and Classes.
mingw64-cpp,工具,工具, MinGW Windows cross-C Preprocessor for the win64 target., MinGW Windows cross-C Preprocessor for the win64 target
SDL2,库,库, Cross-platform multimedia library," Simple DirectMedia Layer (SDL) is a cross-platform multimedia library designed
to provide fast access to the graphics frame buffer and audio device."
lockdev,库,库, A library for locking devices," Lockdev provides a reliable way to put an exclusive lock to devices
using both FSSTND and SVr4 methods."
lorax-composer,工具,库, Lorax Image Composer API Server, lorax-composer provides a REST API for building images using lorax.
mythes-bg,库,库, Bulgarian thesaurus, Bulgarian thesaurus.
texlive-makeindex,工具,工具, Process index output to produce typesettable code," A general purpose hierarchical index generator; it accepts one
or more input files (often produced by a text formatter such as
TeX or troff), sorts the entries, and produces an output file
which can be formatted. The formats of the input and output
files are specified in a style file; by default, input is
assumed to be an .idx file, as generated by LaTeX."
libgomp,库,库, GCC OpenMP v4.5 shared support library," This package contains GCC shared support library which is needed
for OpenMP v4.5 support."
mingw64-winpthreads,库,库, MinGW pthread library for the win64 target," The POSIX 1003.1-2001 standard defines an application programming
interface (API) for writing multithreaded applications. This interface
is known more commonly as pthreads. A good number of modern operating
systems include a threading library of some kind: Solaris (UI)
threads, Win32 threads, DCE threads, DECthreads, or any of the draft
revisions of the pthreads standard. The trend is that most of these
systems are slowly adopting the pthreads standard API, with
application developers following suit to reduce porting woes.

Win32 does not, and is unlikely to ever, support pthreads
natively. This project seeks to provide a freely available and
high-quality solution to this problem."
hunspell-ve,工具,工具, Venda hunspell dictionaries, Venda hunspell dictionaries.
nss_wrapper,工具,库," A wrapper for the user, group and hosts NSS API"," There are projects which provide daemons needing to be able to create, modify
and delete Unix users. Or just switch user ids to interact with the system e.g.
a user space file server. To be able to test that you need the privilege to
modify the passwd and groups file. With nss_wrapper it is possible to define
your own passwd and groups file which will be used by software to act correctly
while under test.

If you have a client and server under test they normally use functions to
resolve network names to addresses (dns) or vice versa. The nss_wrappers allow
you to create a hosts file to setup name resolution for the addresses you use
with socket_wrapper.

To use it set the following environment variables:

LD_PRELOAD=libuid_wrapper.so
NSS_WRAPPER_PASSWD=/path/to/passwd
NSS_WRAPPER_GROUP=/path/to/group
NSS_WRAPPER_HOSTS=/path/to/host

This package doesn't have a devel package cause this project is for
development/testing."
libreoffice-langpack-da,库,库, Danish language pack for LibreOffice, Provides additional Danish translations and resources for LibreOffice.
khmeros-siemreap-fonts,其它,其它, Siemreap font," 
The Khmer OS fonts include Khmer and Latin alphabets, and they have equivalent
sizes for Khmer and English alphabets, so that when texts mix both it is not
necessary to have different point sizes for the text in each language.

They were created by Danh Hong of the Cambodian Open Institute.

Siemreap font."
python3-gobject-base,库,库, Python 3 bindings for GObject Introspection base package," This package provides the non-cairo specific bits of the GObject Introspection
library."
perl-Exporter,库,库, Implements default import method for modules," The Exporter module implements an import method which allows a module to
export functions and variables to its users' name spaces. Many modules use
Exporter rather than implementing their own import method because Exporter
provides a highly flexible interface, with an implementation optimized for
the common case."
kf5-kjobwidgets,工具,工具, KDE Frameworks 5 Tier 2 addon for KJobs, KDE Frameworks 5 Tier 2 addon for KJobs
texlive-latex2man,工具,工具, Translate LaTeX-based manual pages into Unix man format," A tool to translate UNIX manual pages written with LaTeX into a
man-page format understood by the Unix man(1) command.
Alternatively HTML or TexInfo code can be produced. Output of
parts of the text may be supressed using the conditional text
feature."
plexus-sec-dispatcher,库,库, Plexus Security Dispatcher Component, Plexus Security Dispatcher Component
brlapi-java,库,库, Java binding for BrlAPI, This package provides the Java binding for BrlAPI.
tesseract-langpack-ita_old,工具,工具, Italian (Old) language data for tesseract-tessdata," This package contains the fast integer version of the Italian (Old) language
trained models for the Tesseract Open Source OCR Engine."
libgit2-glib,库,库, Git library for GLib, libgit2-glib is a glib wrapper library around the libgit2 git access library.
rubygem-psych,库,库, A libyaml wrapper for Ruby," Psych is a YAML parser and emitter. Psych leverages
libyaml[http://pyyaml.org/wiki/LibYAML] for its YAML parsing and emitting
capabilities. In addition to wrapping libyaml, Psych also knows how to
serialize and de-serialize most Ruby objects to and from the YAML format."
apr-util-ldap,库,库, APR utility library LDAP support, This package provides the LDAP support for the apr-util.
platform-python-setuptools,库,工具, Easily build and distribute Python 3 packages," Setuptools is a collection of enhancements to the Python distutils that allow
you to more easily build and distribute Python packages, especially ones that
have dependencies on other packages.

This package also contains the runtime components of setuptools, necessary to
execute the software that requires pkg_resources.py."
texlive-pst-tools,工具,库, PStricks support functions," The package provides helper functions for other PSTricks
related packages."
libini_config,库,库, INI file parser for C," Library to process config files in INI format into a libcollection data
structure"
