src_name,zero_description,zero_summary,description,summary,primary_rpm_name,primary_description,primary_summary,rpm_name,分层分类
acpica-tools-20190509-5.0.1.an8.src.rpm,,,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license.
","ACPICA tools for the development and debug of ACPI tables
",acpica-tools,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license.",ACPICA tools for the development and debug of ACPI tables,"acpica-tools
",系统工具
acpid-2.0.30-2.el8.src.rpm,,,"acpid is a daemon that dispatches ACPI events to user-space programs.
","ACPI Event Daemon
",acpid,acpid is a daemon that dispatches ACPI events to user-space programs.,ACPI Event Daemon,"acpid
",系统服务
adcli-0.8.2-12.an8.src.rpm,,,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls.
","Active Directory enrollment
",adcli,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls.",Active Directory enrollment,"adcli
",应用工具
adobe-mappings-cmap-20171205-3.el8.src.rpm,,,"This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly.
CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters.
","Deprecated CMap resources for Adobe's character collections
CMap resources for Adobe's character collections
",adobe-mappings-cmap,"CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters.",CMap resources for Adobe's character collections,"adobe-mappings-cmap-deprecated
adobe-mappings-cmap
",应用工具
adobe-mappings-pdf-20180407-1.el8.src.rpm,,,"Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.
","PDF mapping resources from Adobe
",adobe-mappings-pdf,"Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.",PDF mapping resources from Adobe,"adobe-mappings-pdf
",应用工具
adwaita-icon-theme-3.28.0-3.an8.src.rpm,,,"The adwaita-cursor-theme package contains a modern set of cursors originally
designed for the GNOME desktop.
This package contains the Adwaita icon theme used by the GNOME desktop.
","Adwaita cursor theme
Adwaita icon theme
",adwaita-icon-theme,This package contains the Adwaita icon theme used by the GNOME desktop.,Adwaita icon theme,"adwaita-cursor-theme
adwaita-icon-theme
",应用工具/桌面
adwaita-qt-1.2.1-3.an8.src.rpm,,,"Adwaita theme variant for applications utilizing Qt5.
Adwaita Qt5 library.
","Adwaita Qt5 theme
Adwaita Qt5 library
","libadwaita-qt5
adwaita-qt5
","Adwaita theme variant for applications utilizing Qt5.
Adwaita Qt5 library.
","Adwaita Qt5 theme
Adwaita Qt5 library
","libadwaita-qt5
",应用库
aide-0.16-14.an8_5.1.src.rpm,,,"AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program.
","Intrusion detection environment
",aide,"AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program.",Intrusion detection environment,"aide
",应用工具
alsa-firmware-1.0.29-6.an8.src.rpm,,,"This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package.
","Firmware for several ALSA-supported sound cards
",alsa-firmware,"This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package.",Firmware for several ALSA-supported sound cards,"alsa-firmware
",系统服务
alsa-firmware-1.0.29-6.el8.src.rpm,,,"This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package.
","Firmware for several ALSA-supported sound cards
",alsa-firmware,"This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package.",Firmware for several ALSA-supported sound cards,"alsa-firmware
",系统服务
alsa-lib-1.2.6.1-3.an8.src.rpm,,,"The Advanced Linux Sound Architecture (ALSA) Universal Configuration
Manager allows configuration of Audio input/output names and routing
The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs.
","ALSA Use Case Manager configuration
The Advanced Linux Sound Architecture (ALSA) library
",alsa-lib,"The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs.",The Advanced Linux Sound Architecture (ALSA) library,"alsa-ucm
alsa-lib
",系统库
alsa-plugins-1.1.9-1.el8.src.rpm,,,"This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".
The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream.
This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.
This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo.
This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.
This plugin allows any program that uses the ALSA API to access a PulseAudio
sound daemon. In other words, native ALSA applications can play and record
sound across a network. There are two plugins in the suite, one for PCM and
one for mixer control.
The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround"".
The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.
The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API.
","Oss PCM output plugin for ALSA
USB stream plugin for ALSA
Maemo plugin for ALSA
External rate converter plugin for ALSA
Arcam AV amplifier plugin for ALSA
Alsa to PulseAudio backend
Downmixer to stereo plugin for ALSA
Upmixer channel expander plugin for ALSA
Rate Converter Plugin Using Speex Resampler
","alsa-plugins-speex
alsa-plugins-upmix
alsa-plugins-vdownmix
alsa-plugins-pulseaudio
alsa-plugins-arcamav
alsa-plugins-samplerate
alsa-plugins-maemo
alsa-plugins-usbstream
alsa-plugins-oss
","This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".
The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream.
This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.
This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo.
This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.
This plugin allows any program that uses the ALSA API to access a PulseAudio
sound daemon. In other words, native ALSA applications can play and record
sound across a network. There are two plugins in the suite, one for PCM and
one for mixer control.
The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround"".
The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.
The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API.
","Oss PCM output plugin for ALSA
USB stream plugin for ALSA
Maemo plugin for ALSA
External rate converter plugin for ALSA
Arcam AV amplifier plugin for ALSA
Alsa to PulseAudio backend
Downmixer to stereo plugin for ALSA
Upmixer channel expander plugin for ALSA
Rate Converter Plugin Using Speex Resampler
","alsa-plugins-oss
alsa-plugins-usbstream
alsa-plugins-maemo
alsa-plugins-samplerate
alsa-plugins-arcamav
alsa-plugins-pulseaudio
alsa-plugins-vdownmix
alsa-plugins-upmix
alsa-plugins-speex
",系统服务
alsa-sof-firmware-1.9.3-1.an8.src.rpm,,,"This package contains the debug files for the Sound Open Firmware project.
This package contains the firmware binaries for the Sound Open Firmware project.
","Debug files for Sound Open Firmware project
Firmware and topology files for Sound Open Firmware project
",alsa-sof-firmware,This package contains the firmware binaries for the Sound Open Firmware project.,Firmware and topology files for Sound Open Firmware project,"alsa-sof-firmware-debug
alsa-sof-firmware
",系统服务
alsa-sof-firmware-1.9.3-4.0.1.an8_6.src.rpm,,,"This package contains the debug files for the Sound Open Firmware project.
This package contains the firmware binaries for the Sound Open Firmware project.
","Debug files for Sound Open Firmware project
Firmware and topology files for Sound Open Firmware project
",alsa-sof-firmware,This package contains the firmware binaries for the Sound Open Firmware project.,Firmware and topology files for Sound Open Firmware project,"alsa-sof-firmware-debug
alsa-sof-firmware
",系统服务
alsa-sof-firmware-1.9.3-4.an8_6.src.rpm,,,"This package contains the debug files for the Sound Open Firmware project.
This package contains the firmware binaries for the Sound Open Firmware project.
","Debug files for Sound Open Firmware project
Firmware and topology files for Sound Open Firmware project
",alsa-sof-firmware,This package contains the firmware binaries for the Sound Open Firmware project.,Firmware and topology files for Sound Open Firmware project,"alsa-sof-firmware-debug
alsa-sof-firmware
",系统服务
alsa-tools-1.1.6-1.el8.src.rpm,,,"This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards
","ALSA tools for uploading firmware to some soundcards
","alsa-tools-firmware
","This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards
","ALSA tools for uploading firmware to some soundcards
","alsa-tools-firmware
",系统工具
alsa-utils-1.2.6-1.an8.src.rpm,,,"This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA).
This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library.
","Advanced Linux Sound Architecture (ALSA) utilities
Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester
",alsa-utils,"This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA).",Advanced Linux Sound Architecture (ALSA) utilities,"alsa-utils-alsabat
",系统工具
amanda-3.5.1-13.el8.src.rpm,,,"The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed.
The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine.
AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well.
This package contains basic Amanda libraries, which are used by all
Amanda programs.
","The server side of the AMANDA tape backup system
The client component of the AMANDA tape backup system
A network-capable tape backup solution
Amanda libraries
",amanda,"AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well.",A network-capable tape backup solution,"amanda-server
amanda-client
amanda-libs
",应用工具
anaconda-33.16.6.7-1.0.4.an8.src.rpm,,,"This package contains a set of custom GTK+ widgets used by the anaconda installer.
This package contains textual user interface for the Anaconda installer.
The anaconda package is a metapackage for the Anaconda installer.
The anaconda-core package contains the program which was used to install your
system.
The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well.
This package contains graphical user interface for the Anaconda installer.
The 'anaconda' dracut module handles installer-specific boot tasks and
options. This includes driver disks, kickstarts, and finding the anaconda
runtime on NFS/HTTP/FTP servers or local disks.
","A set of custom GTK+ widgets for use with anaconda
Textual user interface for the Anaconda installer
Graphical system installer
Core of the Anaconda installer
Installation environment specific dependencies
Graphical user interface for the Anaconda installer
The anaconda dracut module
",anaconda,The anaconda package is a metapackage for the Anaconda installer.,Graphical system installer,"anaconda-widgets
anaconda-tui
anaconda-core
anaconda-install-env-deps
anaconda-gui
anaconda-dracut
",系统工具
anaconda-user-help-8.3.3-1.0.1.an8.src.rpm,,,"This package provides content for the Anaconda built-in help system.
","Content for the Anaconda built-in help system
",anaconda-user-help,This package provides content for the Anaconda built-in help system.,Content for the Anaconda built-in help system,"anaconda-user-help
",系统工具
annobin-10.29-3.0.1.an8.src.rpm,,,"Installs the annocheck program which uses the notes generated by annobin to
check that the specified files were compiled with the correct security
hardening options.
Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package.
","A tool for checking the security hardening status of binaries
Annotate and examine compiled binary files
",annobin,"Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package.",Annotate and examine compiled binary files,"annobin-annocheck
annobin
",应用工具
anolis-indexhtml-8-7.2.an8.src.rpm,,,"The anolis-indexhtml package provides a welcome page shown by a web browser
after successful installation of Anolis OS.

This web page advises users on how to register their Anolis OS software and how
to get any support they might need.
","Browser default start page for Anolis OS
",anolis-indexhtml,"The anolis-indexhtml package provides a welcome page shown by a web browser
after successful installation of Anolis OS.

This web page advises users on how to register their Anolis OS software and how
to get any support they might need.",Browser default start page for Anolis OS,"anolis-indexhtml
",基础环境
anolis-logos-8.0-7.an8.src.rpm,,,"Licensed only for approved usage, see COPYING for details.
","Anolis OS related desktop backgrounds
Anolis OS related icons and pictures used by httpd
Anolis OS related icons and pictures used by ipa
",anolis-logos,"Licensed only for approved usage, see COPYING for details.",Anolis OS related icons and pictures,"anolis-backgrounds
anolis-logos-httpd
anolis-logos-ipa
",基础环境
anolis-rawhide-release-8-1.an8.src.rpm,,,"This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
","EPAO Packages for Anolis OS 8 repository configuration
Experimental Packages for Anolis OS 8 repository configuration
","anolis-experimental-release
anolis-epao-release
","This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
","EPAO Packages for Anolis OS 8 repository configuration
Experimental Packages for Anolis OS 8 repository configuration
","anolis-epao-release
anolis-experimental-release
",基础环境
anolis-rawhide-release-8-2.an8.src.rpm,,,"This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
","EPAO Packages for Anolis OS 8 repository configuration
Experimental Packages for Anolis OS 8 repository configuration
","anolis-experimental-release
anolis-epao-release
","This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
","EPAO Packages for Anolis OS 8 repository configuration
Experimental Packages for Anolis OS 8 repository configuration
","anolis-epao-release
anolis-experimental-release
",基础环境
anolis-release-8.6-1.an8.src.rpm,,,"Anolis OS package repository files for yum and dnf
Anolis OS 8 release files
Anolis OS RPM signature keys
","Anolis OS package repositories
Anolis OS 8 release file
Anolis OS RPM keys
",anolis-release,Anolis OS 8 release files,Anolis OS 8 release file,"anolis-repos
anolis-release
anolis-gpg-keys
",基础环境
anolis-release-8.6-2.an8.src.rpm,,,"Anolis OS package repository files for yum and dnf
Anolis OS 8 release files
Anolis OS RPM signature keys
","Anolis OS package repositories
Anolis OS 8 release file
Anolis OS RPM keys
",anolis-release,Anolis OS 8 release files,Anolis OS 8 release file,"anolis-repos
anolis-release
anolis-gpg-keys
",基础环境
ansible-collection-microsoft-sql-1.1.1-3.0.1.an8.src.rpm,,,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.
","The Ansible collection for Microsoft SQL Server management
",ansible-collection-microsoft-sql,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.",The Ansible collection for Microsoft SQL Server management,"ansible-collection-microsoft-sql
",应用工具
ansible-collection-microsoft-sql-1.1.1-3.an8.src.rpm,,,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.
","The Ansible collection for Microsoft SQL Server management
",ansible-collection-microsoft-sql,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.",The Ansible collection for Microsoft SQL Server management,"ansible-collection-microsoft-sql
",应用工具
ansible-core-2.12.2-3.1.an8.src.rpm,,,"Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically.
","SSH-based configuration management, deployment, and task execution system
",ansible-core,"Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically.","SSH-based configuration management, deployment, and task execution system","ansible-core
",应用工具
