rpm_name,zero_description,zero_summary,description,summary,src_name,分层分类
liba52-0.7.4-32.el8,,,"liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3","A free ATSC A/52 stream decoder, also known as AC-3 or AC3",a52dec-0.7.4-32.el8.src.rpm,系统库
aajohan-comfortaa-fonts-3.001-2.el8,,,"Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage.",Modern style true type font,aajohan-comfortaa-fonts-3.001-2.el8.src.rpm,字体
abattis-cantarell-fonts-0.0.25-6.an8,,,"Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family.","Cantarell, a Humanist sans-serif font family",abattis-cantarell-fonts-0.0.25-6.an8.src.rpm,字体
abrt-2.10.9-21.0.3.an8,,,"abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality.",Automatic bug detection and reporting tool,abrt-2.10.9-21.0.3.an8.src.rpm,系统库
abrt-addon-ccpp-2.10.9-21.0.3.an8,,,This package contains abrt's C/C++ analyzer plugin.,abrt's C/C++ addon,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-addon-coredump-helper-2.10.9-21.0.3.an8,,,This package contains hook for C/C++ crashed programs.,abrt's /proc/sys/kernel/core_pattern helper,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-addon-kerneloops-2.10.9-21.0.3.an8,,,"This package contains plugin for collecting kernel crash information from
system log.",abrt's kerneloops addon,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-addon-pstoreoops-2.10.9-21.0.3.an8,,,This package contains plugin for collecting kernel oopses from pstore storage.,abrt's pstore oops addon,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-addon-vmcore-2.10.9-21.0.3.an8,,,"This package contains plugin for collecting kernel crash information from
vmcore files.",abrt's vmcore addon,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-addon-xorg-2.10.9-21.0.3.an8,,,"This package contains plugin for collecting Xorg crash information from Xorg
log.",abrt's Xorg addon,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-cli-2.10.9-21.0.3.an8,,,"Virtual package to install all necessary packages for usage from command line
environment.",Virtual package to make easy default installation on non-graphical environments,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-cli-ng-2.10.9-21.0.3.an8,,,New generation command line interface for ABRT,abrt's improved command line interface,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-console-notification-2.10.9-21.0.3.an8,,,"A small script which prints a count of detected problems when someone logs in
to the shell",ABRT console notification script,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-dbus-2.10.9-21.0.3.an8,,,"ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data.",ABRT DBus service,abrt-2.10.9-21.0.3.an8.src.rpm,应用服务
abrt-desktop-2.10.9-21.0.3.an8,,,"Virtual package to install all necessary packages for usage from desktop
environment.",Virtual package to make easy default installation on desktop environments,abrt-2.10.9-21.0.3.an8.src.rpm,应用服务/桌面
abrt-gui-2.10.9-21.0.3.an8,,,GTK+ wizard for convenient bug reporting.,abrt's gui,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具/桌面
abrt-gui-libs-2.10.9-21.0.3.an8,,,Libraries for abrt-gui.,Libraries for abrt-gui,abrt-2.10.9-21.0.3.an8.src.rpm,应用库/桌面
abrt-libs-2.10.9-21.0.3.an8,,,Libraries for abrt.,Libraries for abrt,abrt-2.10.9-21.0.3.an8.src.rpm,应用库
abrt-plugin-machine-id-2.10.9-21.0.3.an8,,,"This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events.",abrt's plugin to generate machine_id based off dmidecode,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-plugin-sosreport-2.10.9-21.0.3.an8,,,"This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events.",abrt's plugin for building automatic sosreports,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
abrt-tui-2.10.9-21.0.3.an8,,,"This package contains a simple command line client for processing abrt reports
in command line environment.",abrt's command line interface,abrt-2.10.9-21.0.3.an8.src.rpm,应用工具
python3-abrt-2.10.9-21.0.3.an8,,,"High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3.",ABRT Python 3 API,abrt-2.10.9-21.0.3.an8.src.rpm,系统库
python3-abrt-addon-2.10.9-21.0.3.an8,,,"This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs.",abrt's addon for catching and analyzing Python 3 exceptions,abrt-2.10.9-21.0.3.an8.src.rpm,系统库
python3-abrt-container-addon-2.10.9-21.0.3.an8,,,"This package contains python 3 hook and handling uncaught exception in python 3
programs in container.",abrt's container addon for catching Python 3 exceptions,abrt-2.10.9-21.0.3.an8.src.rpm,系统库
abrt-java-connector-1.1.0-16.0.1.an8,,,"JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems",JNI Agent library converting Java exceptions to ABRT problems,abrt-java-connector-1.1.0-16.0.1.an8.src.rpm,应用库
accel-config-3.4.2-1.an8,,,Utility library for configuring the accelerator subsystem.,Configure accelerator subsystem devices,accel-config-3.4.2-1.an8.src.rpm,应用工具
accel-config-libs-3.4.2-1.an8,,,Libraries for accel-config.,Configuration library for accelerator subsystem devices,accel-config-3.4.2-1.an8.src.rpm,应用库
accountsservice-0.6.55-4.an8,,,"The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands.",D-Bus interfaces for querying and manipulating user account information,accountsservice-0.6.55-4.an8.src.rpm,应用服务
accountsservice-libs-0.6.55-4.an8,,,"The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon.",Client-side library to talk to accountsservice,accountsservice-0.6.55-4.an8.src.rpm,应用库
acl-2.2.53-1.el8,,,"This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.",Access control list utilities,acl-2.2.53-1.el8.src.rpm,核心工具
libacl-2.2.53-1.el8,,,"This package contains the libacl.so dynamic library which contains
the POSIX 1003.1e draft standard 17 functions for manipulating access
control lists.",Dynamic library for access control list support,acl-2.2.53-1.el8.src.rpm,核心库
acpica-tools-20190509-5.0.1.an8,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license.",ACPICA tools for the development and debug of ACPI tables,,,acpica-tools-20190509-5.0.1.an8.src.rpm,系统工具
acpid-2.0.30-2.el8,,,acpid is a daemon that dispatches ACPI events to user-space programs.,ACPI Event Daemon,acpid-2.0.30-2.el8.src.rpm,系统服务
adcli-0.8.2-12.an8,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls.",Active Directory enrollment,,,adcli-0.8.2-12.an8.src.rpm,应用工具
adobe-mappings-cmap-20171205-3.el8,,,"CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters.",CMap resources for Adobe's character collections,adobe-mappings-cmap-20171205-3.el8.src.rpm,应用工具
adobe-mappings-cmap-deprecated-20171205-3.el8,,,"This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly.",Deprecated CMap resources for Adobe's character collections,adobe-mappings-cmap-20171205-3.el8.src.rpm,应用工具
adobe-mappings-pdf-20180407-1.el8,,,"Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.",PDF mapping resources from Adobe,adobe-mappings-pdf-20180407-1.el8.src.rpm,应用工具
adwaita-cursor-theme-3.28.0-3.an8,,,"The adwaita-cursor-theme package contains a modern set of cursors originally
designed for the GNOME desktop.",Adwaita cursor theme,adwaita-icon-theme-3.28.0-3.an8.src.rpm,应用工具/桌面
adwaita-icon-theme-3.28.0-3.an8,,,This package contains the Adwaita icon theme used by the GNOME desktop.,Adwaita icon theme,adwaita-icon-theme-3.28.0-3.an8.src.rpm,应用工具/桌面
adwaita-qt5-1.2.1-3.an8,,,Adwaita theme variant for applications utilizing Qt5.,Adwaita Qt5 theme,adwaita-qt-1.2.1-3.an8.src.rpm,应用库/桌面
libadwaita-qt5-1.2.1-3.an8,,,Adwaita Qt5 library.,Adwaita Qt5 library,adwaita-qt-1.2.1-3.an8.src.rpm,应用库/桌面
aide-0.16-14.an8_5.1,,,"AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program.",Intrusion detection environment,aide-0.16-14.an8_5.1.src.rpm,应用工具
alsa-firmware-1.0.29-6.an8,,,"This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package.",Firmware for several ALSA-supported sound cards,alsa-firmware-1.0.29-6.an8.src.rpm,系统服务
alsa-firmware-1.0.29-6.el8,,,"This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package.",Firmware for several ALSA-supported sound cards,alsa-firmware-1.0.29-6.el8.src.rpm,系统服务
alsa-lib-1.2.6.1-3.an8,,,"The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs.",The Advanced Linux Sound Architecture (ALSA) library,alsa-lib-1.2.6.1-3.an8.src.rpm,系统库
alsa-ucm-1.2.6.1-3.an8,,,"The Advanced Linux Sound Architecture (ALSA) Universal Configuration
Manager allows configuration of Audio input/output names and routing",ALSA Use Case Manager configuration,alsa-lib-1.2.6.1-3.an8.src.rpm,系统库
alsa-plugins-arcamav-1.1.9-1.el8,,,"This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.",Arcam AV amplifier plugin for ALSA,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-maemo-1.1.9-1.el8,,,"This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.",Maemo plugin for ALSA,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-oss-1.1.9-1.el8,,,"This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".",Oss PCM output plugin for ALSA,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-pulseaudio-1.1.9-1.el8,,,"This plugin allows any program that uses the ALSA API to access a PulseAudio
sound daemon. In other words, native ALSA applications can play and record
sound across a network. There are two plugins in the suite, one for PCM and
one for mixer control.",Alsa to PulseAudio backend,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-samplerate-1.1.9-1.el8,,,"This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo.",External rate converter plugin for ALSA,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-speex-1.1.9-1.el8,,,"The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API.",Rate Converter Plugin Using Speex Resampler,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-upmix-1.1.9-1.el8,,,"The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.",Upmixer channel expander plugin for ALSA,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-usbstream-1.1.9-1.el8,,,"The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream.",USB stream plugin for ALSA,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-plugins-vdownmix-1.1.9-1.el8,,,"The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround"".",Downmixer to stereo plugin for ALSA,alsa-plugins-1.1.9-1.el8.src.rpm,系统服务
alsa-sof-firmware-1.9.3-1.an8,This package contains the firmware binaries for the Sound Open Firmware project.,Firmware and topology files for Sound Open Firmware project,,,alsa-sof-firmware-1.9.3-1.an8.src.rpm,系统服务
alsa-sof-firmware-1.9.3-4.0.1.an8_6,This package contains the firmware binaries for the Sound Open Firmware project.,Firmware and topology files for Sound Open Firmware project,,,alsa-sof-firmware-1.9.3-4.0.1.an8_6.src.rpm,系统服务
alsa-sof-firmware-1.9.3-4.an8_6,This package contains the firmware binaries for the Sound Open Firmware project.,Firmware and topology files for Sound Open Firmware project,,,alsa-sof-firmware-1.9.3-4.an8_6.src.rpm,系统服务
alsa-tools-firmware-1.1.6-1.el8,,,"This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards",ALSA tools for uploading firmware to some soundcards,alsa-tools-1.1.6-1.el8.src.rpm,系统工具
alsa-utils-1.2.6-1.an8,,,"This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA).",Advanced Linux Sound Architecture (ALSA) utilities,alsa-utils-1.2.6-1.an8.src.rpm,系统工具
alsa-utils-alsabat-1.2.6-1.an8,,,"This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library.",Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester,alsa-utils-1.2.6-1.an8.src.rpm,系统工具
amanda-3.5.1-13.el8,,,"AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well.",A network-capable tape backup solution,amanda-3.5.1-13.el8.src.rpm,应用工具
amanda-client-3.5.1-13.el8,,,"The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine.",The client component of the AMANDA tape backup system,amanda-3.5.1-13.el8.src.rpm,应用工具
amanda-libs-3.5.1-13.el8,,,"This package contains basic Amanda libraries, which are used by all
Amanda programs.",Amanda libraries,amanda-3.5.1-13.el8.src.rpm,应用库
amanda-server-3.5.1-13.el8,,,"The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed.",The server side of the AMANDA tape backup system,amanda-3.5.1-13.el8.src.rpm,应用服务
anaconda-33.16.6.7-1.0.4.an8,,,The anaconda package is a metapackage for the Anaconda installer.,Graphical system installer,anaconda-33.16.6.7-1.0.4.an8.src.rpm,系统工具
anaconda-core-33.16.6.7-1.0.4.an8,,,"The anaconda-core package contains the program which was used to install your
system.",Core of the Anaconda installer,anaconda-33.16.6.7-1.0.4.an8.src.rpm,系统工具
anaconda-dracut-33.16.6.7-1.0.4.an8,,,"The 'anaconda' dracut module handles installer-specific boot tasks and
options. This includes driver disks, kickstarts, and finding the anaconda
runtime on NFS/HTTP/FTP servers or local disks.",The anaconda dracut module,anaconda-33.16.6.7-1.0.4.an8.src.rpm,系统工具
anaconda-gui-33.16.6.7-1.0.4.an8,,,This package contains graphical user interface for the Anaconda installer.,Graphical user interface for the Anaconda installer,anaconda-33.16.6.7-1.0.4.an8.src.rpm,系统工具/桌面
anaconda-install-env-deps-33.16.6.7-1.0.4.an8,,,"The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well.",Installation environment specific dependencies,anaconda-33.16.6.7-1.0.4.an8.src.rpm,系统工具
anaconda-tui-33.16.6.7-1.0.4.an8,,,This package contains textual user interface for the Anaconda installer.,Textual user interface for the Anaconda installer,anaconda-33.16.6.7-1.0.4.an8.src.rpm,系统工具
anaconda-widgets-33.16.6.7-1.0.4.an8,,,This package contains a set of custom GTK+ widgets used by the anaconda installer.,A set of custom GTK+ widgets for use with anaconda,anaconda-33.16.6.7-1.0.4.an8.src.rpm,系统工具/桌面
anaconda-user-help-8.3.3-1.0.1.an8,,,This package provides content for the Anaconda built-in help system.,Content for the Anaconda built-in help system,anaconda-user-help-8.3.3-1.0.1.an8.src.rpm,系统工具
annobin-10.29-3.0.1.an8,,,"Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package.",Annotate and examine compiled binary files,annobin-10.29-3.0.1.an8.src.rpm,应用工具
annobin-annocheck-10.29-3.0.1.an8,,,"Installs the annocheck program which uses the notes generated by annobin to
check that the specified files were compiled with the correct security
hardening options.",A tool for checking the security hardening status of binaries,annobin-10.29-3.0.1.an8.src.rpm,应用工具
anolis-indexhtml-8-7.2.an8,"The anolis-indexhtml package provides a welcome page shown by a web browser
after successful installation of Anolis OS.

This web page advises users on how to register their Anolis OS software and how
to get any support they might need.",Browser default start page for Anolis OS,,,anolis-indexhtml-8-7.2.an8.src.rpm,基础环境
anolis-backgrounds-8.0-7.an8,,,"Licensed only for approved usage, see COPYING for details.",Anolis OS related desktop backgrounds,anolis-logos-8.0-7.an8.src.rpm,基础环境
anolis-logos-8.0-7.an8,"Licensed only for approved usage, see COPYING for details.",Anolis OS related icons and pictures,,,anolis-logos-8.0-7.an8.src.rpm,基础环境
anolis-logos-httpd-8.0-7.an8,"Licensed only for approved usage, see COPYING for details.",Anolis OS related icons and pictures used by httpd,,,anolis-logos-8.0-7.an8.src.rpm,基础环境
anolis-logos-ipa-8.0-7.an8,,,"Licensed only for approved usage, see COPYING for details.",Anolis OS related icons and pictures used by ipa,anolis-logos-8.0-7.an8.src.rpm,基础环境
anolis-epao-release-8-1.an8,,,"This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.",EPAO Packages for Anolis OS 8 repository configuration,anolis-rawhide-release-8-1.an8.src.rpm,基础环境
anolis-experimental-release-8-1.an8,,,"This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.",Experimental Packages for Anolis OS 8 repository configuration,anolis-rawhide-release-8-1.an8.src.rpm,基础环境
anolis-epao-release-8-2.an8,,,"This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.",EPAO Packages for Anolis OS 8 repository configuration,anolis-rawhide-release-8-2.an8.src.rpm,基础环境
anolis-experimental-release-8-2.an8,,,"This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.",Experimental Packages for Anolis OS 8 repository configuration,anolis-rawhide-release-8-2.an8.src.rpm,基础环境
anolis-gpg-keys-8.6-1.an8,,,Anolis OS RPM signature keys,Anolis OS RPM keys,anolis-release-8.6-1.an8.src.rpm,基础环境
anolis-release-8.6-1.an8,Anolis OS 8 release files,Anolis OS 8 release file,,,anolis-release-8.6-1.an8.src.rpm,基础环境
anolis-repos-8.6-1.an8,,,Anolis OS package repository files for yum and dnf,Anolis OS package repositories,anolis-release-8.6-1.an8.src.rpm,基础环境
anolis-gpg-keys-8.6-2.an8,,,Anolis OS RPM signature keys,Anolis OS RPM keys,anolis-release-8.6-2.an8.src.rpm,基础环境
anolis-release-8.6-2.an8,Anolis OS 8 release files,Anolis OS 8 release file,,,anolis-release-8.6-2.an8.src.rpm,基础环境
anolis-repos-8.6-2.an8,Anolis OS package repository files for yum and dnf,Anolis OS package repositories,,,anolis-release-8.6-2.an8.src.rpm,基础环境
ansible-collection-microsoft-sql-1.1.1-3.0.1.an8,,,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.",The Ansible collection for Microsoft SQL Server management,ansible-collection-microsoft-sql-1.1.1-3.0.1.an8.src.rpm,应用工具
ansible-collection-microsoft-sql-1.1.1-3.an8,,,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.",The Ansible collection for Microsoft SQL Server management,ansible-collection-microsoft-sql-1.1.1-3.an8.src.rpm,应用工具
ansible-core-2.12.2-3.1.an8,,,"Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically.","SSH-based configuration management, deployment, and task execution system",ansible-core-2.12.2-3.1.an8.src.rpm,应用工具
ansible-core-2.12.2-4.an8_6,,,"Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically.","SSH-based configuration management, deployment, and task execution system",ansible-core-2.12.2-4.an8_6.src.rpm,应用工具
ansible-freeipa-1.6.3-1.an8,,,"Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation.","Roles and playbooks to deploy FreeIPA servers, replicas and clients",ansible-freeipa-1.6.3-1.an8.src.rpm,应用工具
