name,label,predict,summary,description,人工初判
python3-dnf-plugins-core,库,工具, Core Plugins for DNF," Core Plugins for DNF, Python 3 interface. This package enhances DNF with builddep,
config-manager, copr, debug, debuginfo-install, download, groups-manager, needs-restarting,
repoclosure, repograph, repomanage, reposync, changelog and repodiff commands.
Additionally provides generate_completion_cache passive plugin.",库
python3-argcomplete,库,工具, Bash tab completion for argparse," Argcomplete provides easy, extensible command line tab completion of
arguments for your Python script.

It makes two assumptions:

 * You are using bash as your shell
 * You are using argparse to manage your command line arguments/options

Argcomplete is particularly useful if your program has lots of
options or subparsers, and if your program can dynamically suggest
completions for your argument/option values (for example, if the user
is browsing resources over the network).

Python 3 version.",库
deepin-anything-libs,库,工具," Something like everything, but nothing is really like anything...", ,库
perl-Params-Check,库,工具, Generic input parsing/checking mechanism," This is a generic input parsing/checking mechanism. It allows you to
validate input via a template. The only requirement is that the arguments
must be named.",库
python39-wheel,库,工具, Built-package format for Python," Wheel is the reference implementation of the Python wheel packaging standard,
as defined in PEP 427.

It has two different roles:

 1. A setuptools extension for building wheels that provides the bdist_wheel
    setuptools command.
 2. A command line tool for working with wheel files.",库
perl-File-pushd,库,工具, Change directory temporarily for a limited scope," File::pushd does a temporary chdir that is easily and automatically reverted,
similar to pushd in some Unix command shells. It works by creating an object
that caches the original working directory. When the object is destroyed, the
destructor calls chdir to revert to the original working directory. By storing
the object in a lexical variable with a limited scope, this happens
automatically at the end of the scope.",库
redhat-lsb-cxx,库,服务, LSB CXX module support," The Linux Standard Base (LSB) CXX module supports the core interfaces by
providing system interfaces, libraries, and a runtime environment for
applications built using the C++ programming language. These interfaces
provide low-level support for the core constructs of the language, and
implement the standard base C++ libraries.",库
lucene-analyzers-smartcn,库,工具, Smart Chinese Analyzer, Lucene Smart Chinese Analyzer.,unknown
container-selinux,库,服务, SELinux policies for container runtimes, SELinux policy modules for use with container runtimes.,库
elfutils-libelf,库,工具, Library to read and write ELF files," The elfutils-libelf package provides a DSO which allows reading and
writing ELF files on a high level.  Third party programs depend on
this package to read internals of ELF files.  The programs of the
elfutils package use it also to generate new ELF files.",库
crun,库,服务, OCI runtime written in C, crun is a runtime for running OCI containers,库
shared-mime-info,库,工具, Shared MIME information database," This is the freedesktop.org shared MIME info database.

Many programs and desktops use the MIME system to represent the types of
files. Frequently, it is necessary to work out the correct MIME type for
a file. This is generally done by examining the file's name or contents,
and looking up the correct MIME type in a database.",库
gfbgraph,库,服务, GLib/GObject wrapper for the Facebook Graph API," GLib/GObject wrapper for the Facebook Graph API that integrates with GNOME
Online Accounts.",库
opencl-filesystem,库,工具, OpenCL filesystem layout, This package provides some directories required by packages which use OpenCL.,库
mozilla-filesystem,库,工具, Mozilla filesytem layout," This package provides some directories required by packages which use
Mozilla technologies such as native messaging extensions.",库
felix-utils,库,工具, Utility classes for OSGi, Utility classes for OSGi,库
qgnomeplatform,库,服务, Qt Platform Theme aimed to accommodate Gnome settings," QGnomePlatform is a Qt Platform Theme aimed to accommodate as much of
GNOME settings as possibleand utilize them in Qt applications without
modifying them - making them fit into the environment as well as possible.",库
gcc-toolset-9-ltrace,库,工具, Tracks runtime library calls from dynamically linked executables," Ltrace is a debugging program which runs a specified command until the
command exits.  While the command is executing, ltrace intercepts and
records both the dynamic library calls called by the executed process
and the signals received by the executed process.  Ltrace can also
intercept and print system calls executed by the process.

You should install ltrace if you need a sysadmin tool for tracking the
execution of processes.",库
lightdm-gtk-greeter-settings,库,服务, Settings editor for LightDM GTK+ Greeter," Just a small dialog to make it easier for users to modify the settings
of lightdm-gtk-greeter.",库
plexus-containers-container-default,库,服务, Default Container from plexus-containers, Default Container from plexus-containers.,库
python38-pip-wheel,库,工具, The pip wheel, A Python wheel of pip to use with venv.,库
python39-pip-wheel,库,工具, The pip wheel, A Python wheel of pip to use with venv.,库
overpass-fonts,其它,工具, Typeface based on the U.S. interstate highway road signage type system," Free and open source typeface based on the U.S. interstate highway road signage
type system; it is sans-serif and suitable for both body and titling text.",其它
kernel,其它,工具," The Linux kernel, based on version 5.10.112, heavily modified with backports"," This is the package which provides the Linux kernel for Alibaba Cloud Linux.
It is based on upstream Linux at version 5.10.112 and maintains kABI
compatibility of a set of approved symbols, however it is heavily modified with
backports and fixes pulled from newer upstream Linux kernel releases. This means
this is not a 5.10.112 kernel anymore: it includes several components which come
from newer upstream linux versions, while maintaining a well tested and stable
core. Some of the components/backports that may be pulled in are: changes like
updates to the core kernel (eg.: scheduler, cgroups, memory management, security
fixes and features), updates to block layer, supported filesystems, major driver
updates for supported hardware in Alibaba Cloud Linux, enhancements for
enterprise customers, etc.",其它
gvfs,服务,工具, Backends for the gio framework in GLib," The gvfs package provides backend implementations for the gio
framework in GLib. It includes ftp, sftp, cifs.",服务
rshim,服务,工具, User-space driver for Mellanox BlueField SoC," This is the user-space driver to access the BlueField SoC via the rshim
interface. It provides ways to push boot stream, debug the target or login
via the virtual console or network interface.",服务
gcc-toolset-10-systemtap-server,服务,工具, Instrumentation System Server," This is the remote script compilation server component of systemtap.
It announces itself to nearby clients with avahi (if available), and
compiles systemtap scripts to kernel objects on their demand.",服务
openldap-servers,服务,工具, LDAP server," OpenLDAP is an open-source suite of LDAP (Lightweight Directory Access
Protocol) applications and development tools. LDAP is a set of
protocols for accessing directory services (usually phone book style
information, but other information is possible) over the Internet,
similar to the way DNS (Domain Name System) information is propagated
over the Internet. This package contains the slapd server and related files.",服务
upower,服务,工具, Power Management Service," UPower (formerly DeviceKit-power) provides a daemon, API and command
line tools for managing power devices attached to the system.",服务
deepin-devicemanager,服务,工具, Device Manager is a handy tool for viewing hardware information and managing the devices, Device Manager is a handy tool for viewing hardware information and managing the devices.,工具
linuxptp,服务,库, PTP implementation for Linux," This software is an implementation of the Precision Time Protocol (PTP)
according to IEEE standard 1588 for Linux. The dual design goals are to provide
a robust implementation of the standard and to use the most relevant and modern
Application Programming Interfaces (API) offered by the Linux kernel.
Supporting legacy APIs and other platforms is not a goal.",服务
p11-kit-server,服务,工具,Server and client commands for p11-kit ,"The p11-kit-server package contains command line tools that enable to
export PKCS#11 modules through a Unix domain socket.  Note that this
feature is still experimental. ",工具
tog-pegasus,服务,库, OpenPegasus WBEM Services for Linux," OpenPegasus WBEM Services for Linux enables management solutions that deliver
increased control of enterprise resources. WBEM is a platform and resource
independent DMTF standard that defines a common information model and
communication protocol for monitoring and controlling resources from diverse
sources.",服务
dbus-daemon,服务,其它, D-BUS message bus," D-BUS is a system for sending messages between applications. It is
used both for the system-wide message bus service, and as a
per-user-login-session messaging facility.",服务
system-lsb-submod-security,服务,库, LSB Security submodule support," The Linux Standard Base (LSB) Security submodule specifications define
components that are required to be present on an LSB conforming system.",服务
systemtap-server,服务,工具, Instrumentation System Server," This is the remote script compilation server component of systemtap.
It announces itself to nearby clients with avahi (if available), and
compiles systemtap scripts to kernel objects on their demand.",服务
freeradius-unixODBC,服务,库, Unix ODBC support for freeradius, This plugin provides the unixODBC support for the FreeRADIUS server project.,服务
bind9.16,服务,库, The Berkeley Internet Name Domain (BIND) DNS (Domain Name System) server," BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. BIND includes a DNS server (named),
which resolves host names to IP addresses; a resolver library
(routines for applications to use when interfacing with DNS); and
tools for verifying that the DNS server is operating properly.",服务
gutenprint-cups,服务,工具," CUPS drivers for Canon, Epson, HP and compatible printers"," This package contains native CUPS support for a wide range of Canon,
Epson, HP and compatible printers.",服务
xorg-x11-xinit-session,服务,工具, Display manager support for ~/.xsession and ~/.Xclients," Allows legacy ~/.xsession and ~/.Xclients files to be used from display
managers.",服务
tigervnc-server,服务,工具, A TigerVNC server," The VNC system allows you to access the same desktop from a wide
variety of platforms.  This package includes set of utilities
which make usage of TigerVNC server more user friendly. It also
contains x0vncserver program which can export your active
X session.",服务
rsyslog-udpspoof,服务,库, Provides the omudpspoof module," This module is similar to the regular UDP forwarder, but permits to
spoof the sender address. Also, it enables to circle through a number
of source ports.",服务
gedit-plugins,服务,工具, Plugins for gedit, A collection of plugins for gedit.,服务
rls,服务,工具, Rust Language Server for IDE integration," The Rust Language Server provides a server that runs in the background,
providing IDEs, editors, and other tools with information about Rust programs.
It supports functionality such as 'goto definition', symbol search,
reformatting, and code completion, and enables renaming and refactorings.",服务
mod_ldap,服务,库, LDAP authentication modules for the Apache HTTP Server," The mod_ldap and mod_authnz_ldap modules add support for LDAP
authentication to the Apache HTTP Server.",服务
rsyslog-mmkubernetes,服务,工具, Provides the mmkubernetes module," The rsyslog-mmkubernetes package provides module for adding kubernetes
container metadata.",服务
pacemaker-schemas,服务,工具, Schemas and upgrade stylesheets for Pacemaker," Schemas and upgrade stylesheets for Pacemaker

Pacemaker is an advanced, scalable High-Availability cluster resource
manager.",服务
pcp-conf,服务,工具, Performance Co-Pilot run-time configuration, Performance Co-Pilot (PCP) run-time configuration,服务
system-lsb-submod-multimedia,服务,库, LSB Multimedia submodule support," The Linux Standard Base (LSB) Multimedia submodule specifications define
components that are required to be present on an LSB conforming system.",服务
httpd-filesystem,服务,库, The basic directory layout for the Apache HTTP server," The httpd-filesystem package contains the basic directory layout
for the Apache HTTP server including the correct permissions
for the directories.",服务
readonly-root,服务,工具,Service for configuring read-only root support ,"This package provides script & configuration file for setting up read-only root
support. Additional configuration is required after installation. ",服务
network-scripts,服务,工具, Legacy scripts for manipulating of network devices," This package contains the legacy scripts for activating & deactivating of most
network interfaces. It also provides a legacy version of 'network' service.

The 'network' service is enabled by default after installation of this package,
and if the network-scripts are installed alongside NetworkManager, then the
ifup/ifdown commands from network-scripts take precedence over the ones provided
by NetworkManager.

If user has both network-scripts & NetworkManager installed, and wishes to
use ifup/ifdown from NetworkManager primarily, then they has to run command:
 $ update-alternatives --config ifup

Please note that running the command above will also disable the 'network'
service.",服务
bind,服务,库, The Berkeley Internet Name Domain (BIND) DNS (Domain Name System) server," BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. BIND includes a DNS server (named),
which resolves host names to IP addresses; a resolver library
(routines for applications to use when interfacing with DNS); and
tools for verifying that the DNS server is operating properly.",服务
mod_ssl,服务,库, SSL/TLS module for the Apache HTTP Server," The mod_ssl module provides strong cryptography for the Apache Web
server via the Secure Sockets Layer (SSL) and Transport Layer
Security (TLS) protocols.",服务
xorg-x11-docs,服务,库, X.Org X11 documentation," Protocol and other technical documentation for the X.Org X11 X Window System
implementation.",服务
squid,服务,工具, The Squid proxy caching server," Squid is a high-performance proxy caching server for Web clients,
supporting FTP, gopher, and HTTP data objects. Unlike traditional
caching software, Squid handles all requests in a single,
non-blocking, I/O-driven process. Squid keeps meta data and especially
hot objects cached in RAM, caches DNS lookups, supports non-blocking
DNS lookups, and implements negative caching of failed requests.

Squid consists of a main server program squid, a Domain Name System
lookup program (dnsserver), a program for retrieving FTP data
(ftpget), and some management and client tools.",服务
lightdm,服务,工具, A cross-desktop Display Manager," Lightdm is a display manager that:
* Is cross-desktop - supports different desktops
* Supports different display technologies
* Is lightweight - low memory usage and fast performance",服务
pacemaker-nagios-plugins-metadata,服务,工具, Pacemaker Nagios Metadata," The metadata files required for Pacemaker to execute the nagios plugin
monitor resources.",服务
pam_ssh_agent_auth,服务,库,PAM module for authentication with ssh-agent ,"This package contains a PAM module which can be used to authenticate
users using ssh keys stored in a ssh-agent. Through the use of the
forwarding of ssh-agent connection it also allows to authenticate with
remote ssh-agent instance.

The module is most useful for su and sudo service stacks. ",服务
netconsole-service,服务,工具,Service for initializing of network console logging ,"This packages provides a 'netconsole' service for loading of netconsole kernel
module with the configured parameters. The netconsole kernel module itself then
allows logging of kernel messages over the network. ",服务
deepin-sound-theme,服务,库, Generate static golang bindings for GObject, Deepin sound This package contains the deepin sound theme.,服务
tftp-server,服务,工具, The server for the Trivial File Transfer Protocol (TFTP)," The Trivial File Transfer Protocol (TFTP) is normally used only for
booting diskless workstations.  The tftp-server package provides the
server for TFTP, which allows users to transfer files to and from a
remote machine. TFTP provides very little security, and should not be
enabled unless it is expressly needed.  The TFTP server is run by using
systemd socket activation, and is disabled by default.",服务
telnet,服务,工具, The client program for the Telnet remote login protocol," Telnet is a popular protocol for logging into remote systems over the
Internet. The package provides a command line Telnet client",服务
filesystem,服务,工具, The basic directory layout for a Linux system," The filesystem package is one of the basic packages that is installed
on a Linux system. Filesystem contains the basic directory layout
for a Linux operating system, including the correct permissions for
the directories.",服务
pki-server,服务,库, PKI Server Package," The PKI Server Package contains libraries and utilities needed by other
PKI subsystems.",服务
trousers,服务,库,TCG's Software Stack v1.2 ,"TrouSerS is an implementation of the Trusted Computing Group's Software Stack
(TSS) specification. You can use TrouSerS to write applications that make use
of your TPM hardware. TPM hardware can create, store and use RSA keys
securely (without ever being exposed in memory), verify a platform's software
state using cryptographic hashes and more. ",服务
sendmail,服务,工具, A widely used Mail Transport Agent (MTA)," The Sendmail program is a very widely used Mail Transport Agent (MTA).
MTAs send mail from one machine to another. Sendmail is not a client
program, which you use to read your email. Sendmail is a
behind-the-scenes program which actually moves your email over
networks or the Internet to where you want it to go.

If you ever need to reconfigure Sendmail, you will also need to have
the sendmail-cf package installed. If you need documentation on
Sendmail, you can install the sendmail-doc package.",服务
alsa-plugins-speex,服务,库, Rate Converter Plugin Using Speex Resampler," The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API.",服务
udisks2-iscsi,服务,库, Module for iSCSI, This package contains module for iSCSI configuration.,服务
maven-openjdk8,工具,库, OpenJDK 8 binding for Maven, Configures Maven to run with OpenJDK 8.,工具
libguestfs-tools-c,工具,库, System administration tools for virtual machines," This package contains miscellaneous system administrator command line
tools for virtual machines.

Note that you should install libguestfs-tools (which pulls in
this package).  This package is only used directly when you want
to avoid dependencies on Perl.",工具
bsdtar,工具,库, Manipulate tape archives," The bsdtar package contains standalone bsdtar utility split off regular
libarchive packages.",工具
driverctl,工具,库, Device driver control utility," driverctl is a tool for manipulating and inspecting the system
device driver choices.

Devices are normally assigned to their sole designated kernel driver
by default. However in some situations it may be desireable to
override that default, for example to try an older driver to
work around a regression in a driver or to try an experimental alternative
driver. Another common use-case is pass-through drivers and driver
stubs to allow userspace to drive the device, such as in case of
virtualization.

driverctl integrates with udev to support overriding
driver selection for both cold- and hotplugged devices from the
moment of discovery, but can also change already assigned drivers,
assuming they are not in use by the system. The driver overrides
created by driverctl are persistent across system reboots
by default.",工具
texlive-texlive.infra,工具,库, basic TeX Live infrastructure," This package contains the files needed to get the TeX Live
tools (notably tlmgr) running: perl modules, xz binaries, plus
(sometimes) tar and wget.  These files end up in the standalone
install packages, and in the tlcritical repository.",工具
xz,工具,库,LZMA compression utilities ,"XZ Utils are an attempt to make LZMA compression easy to use on free (as in
freedom) operating systems. This is achieved by providing tools and libraries
which are similar to use than the equivalents of the most popular existing
compression algorithms.

LZMA is a general purpose compression algorithm designed by Igor Pavlov as
part of 7-Zip. It provides high compression ratio while keeping the
decompression speed fast. ",工具
evince-browser-plugin,工具,库, Evince web browser plugin, This package contains the evince web browser plugin.,工具
clang-resource-filesystem,工具,库, Filesystem package that owns the clang resource directory, This package owns the clang resouce directory: $libdir/clang/$version/,工具
eclipse-emf-runtime,工具,库, Eclipse Modeling Framework (EMF) Eclipse plug-in," The Eclipse Modeling Framework (EMF) allows developers to build tools and
other applications based on a structured data model. From a model
specification described in XMI, EMF provides tools and run-time support to
produce a set of Java classes for the model, along with a set of adapter
classes that enable viewing and command-based editing of the model, and a
basic editor.",工具
maven-openjdk17,工具,库, OpenJDK 17 binding for Maven, Configures Maven to run with OpenJDK 17.,工具
cmake-rpm-macros,工具,库, Common RPM macros for cmake, This package contains common RPM macros for cmake.,工具
openbox-kde,工具,库, KDE integration for openbox," The openbox-kde package contains the files needed for using openbox inside a
KDE session.",工具
eclipse-ecf-runtime,工具,库, Eclipse Communication Framework (ECF) Eclipse plug-in," ECF is a set of frameworks for building communications into applications and
services. It provides a lightweight, modular, transport-independent, fully
compliant implementation of the OSGi Remote Services standard.",工具
texlive-fix2col,工具,库, Fix miscellaneous two column mode features," Fix mark handling so that \firstmark is taken from the first
column if that column has any marks at all; keep two column
floats like figure* in sequence with single column floats like
figure.",工具
lzop,工具,库,Real-time file compressor ,"lzop is a compression utility which is designed to be a companion to gzip.
It is based on the LZO data compression library and its main advantages over
gzip are much higher compression and decompression speed at the cost of some
compression ratio. The lzop compression utility was designed with the goals
of reliability, speed, portability and with reasonable drop-in compatibility
to gzip. ",工具
maven-openjdk11,工具,库, OpenJDK 11 binding for Maven, Configures Maven to run with OpenJDK 11.,工具
texinfo,工具,库, Tools needed to create Texinfo format documentation files," Texinfo is a documentation system that can produce both online
information and printed output from a single source file. The GNU
Project uses the Texinfo file format for most of its documentation.

Install texinfo if you want a documentation system for producing both
online and print documentation from the same source file and/or if you
are going to write documentation for the GNU Project.",工具
texlive-float,工具,库, Improved interface for floating objects," Improves the interface for defining floating objects such as
figures and tables. Introduces the boxed float, the ruled float
and the plaintop float. You can define your own floats and
improve the behaviour of the old ones. The package also
provides the H float modifier option of the obsolete here
package. You can select this as automatic default with
\floatplacement{figure}{H}.",工具
iptstate,工具,库,A top-like display of IP Tables state table entries ,"IP Tables State (iptstate) was originally written to implement
the ""state top"" feature of IP Filter in IP Tables. ""State top""
displays the states held by your stateful firewall in a top-like
manner.

Since IP Tables doesn't have a built in way to easily display
this information even once, an option was added to just have it
display the state table once.

  Features include:
        - Top-like realtime state table information
        - Sorting by any field
        - Reversible sorting
        - Single display of state table
        - Customizable refresh rate
        - Display filtering
        - Color-coding
        - Open Source
        - much more... ",工具
nss-sysinit,工具,库, System NSS Initialization," Default Operating System module that manages applications loading
NSS globally on the system. This module loads the system defined
PKCS #11 modules for NSS and chains with other NSS modules to load
any system or user configured modules.",工具
xmvn-minimal,工具,库, Dependency-reduced version of XMvn," This package provides minimal version of XMvn, incapable of using
remote repositories.",工具
fuse-exfat,工具,库, Free exFAT file system implementation," This driver is the first free exFAT file system implementation with write
support. exFAT is a simple file system created by Microsoft. It is intended
to replace FAT32 removing some of it's limitations. exFAT is a standard FS
for SDXC memory cards.",工具
OpenIPMI,工具,库, IPMI (Intelligent Platform Management Interface) library and tools," The Open IPMI project aims to develop an open code base to allow access to
platform information using Intelligent Platform Management Interface (IPMI).
This package contains the tools of the OpenIPMI project.",unknown
rpmdevtools,工具,库, RPM Development Tools," This package contains scripts and (X)Emacs support files to aid in
development of RPM packages.
rpmdev-setuptree    Create RPM build tree within user's home directory
rpmdev-diff         Diff contents of two archives
rpmdev-newspec      Creates new .spec from template
rpmdev-rmdevelrpms  Find (and optionally remove) ""development"" RPMs
rpmdev-checksig     Check package signatures using alternate RPM keyring
rpminfo             Print information about executables and libraries
rpmdev-md5/sha*     Display checksums of all files in an archive file
rpmdev-vercmp       RPM version comparison checker
spectool            Expand and download sources and patches in specfiles
rpmdev-wipetree     Erase all files within dirs created by rpmdev-setuptree
rpmdev-extract      Extract various archives, ""tar xvf"" style
rpmdev-bumpspec     Bump revision in specfile
...and many more.",工具
desktop-file-utils,工具,库, Utilities for manipulating .desktop files," .desktop files are used to describe an application for inclusion in
GNOME or KDE menus.  This package contains desktop-file-validate which
checks whether a .desktop file complies with the specification at
http://www.freedesktop.org/standards/, and desktop-file-install
which installs a desktop file to the standard directory, optionally
fixing it up in the process.",工具
texlive-euro,工具,库, Provide Euro values for national currency amounts," Converts arbitrary national currency amounts using the Euro as
base unit, and typesets monetary amounts in almost any desired
way. Write, e.g., \ATS{17.6} to get something like '17,60 oS
(1,28 Euro)' automatically. Conversion rates for the initial
Euro-zone countries are already built-in. Further rates can be
added easily. The package uses the fp package to do its sums.",工具
bogofilter,工具,库, Fast anti-spam filtering by Bayesian statistical analysis," Bogofilter is a Bayesian spam filter.  In its normal mode of
operation, it takes an email message or other text on standard input,
does a statistical check against lists of ""good"" and ""bad"" words, and
returns a status code indicating whether or not the message is spam.
Bogofilter is designed with fast algorithms (including Berkeley DB system),
coded directly in C, and tuned for speed, so it can be used for production
by sites that process a lot of mail.",工具
munge-libs,工具,库, Runtime libs for uid * gid authentication across a host cluster, Runtime libraries for using MUNGE.,库
p7zip-plugins,工具,库, Additional plugins for p7zip," Additional plugins that can be used with 7z to extend its abilities.
This package contains also a virtual file system for Midnight Commander.",工具
keycloak-httpd-client-install,工具,库, Tools to configure Apache HTTPD as Keycloak client," Keycloak is a federated Identity Provider (IdP). Apache HTTPD supports
a variety of authentication modules which can be configured to utilize
a Keycloak IdP to perform authentication. This package contains
libraries and tools which can automate and simplify configuring an
Apache HTTPD authentication module and registering as a client of a
Keycloak IdP.",工具
dav1d,工具,库, AV1 cross-platform Decoder," dav1d is a new AV1 cross-platform Decoder, open-source, and focused on speed
and correctness.",工具
gsettings-desktop-schemas,工具,服务,A collection of GSettings schemas ,"gsettings-desktop-schemas contains a collection of GSettings schemas for
settings shared by various components of a desktop. ",工具
satyr,工具,库," Tools to create anonymous, machine-friendly problem reports"," Satyr is a library that can be used to create and process microreports.
Microreports consist of structured data suitable to be analyzed in a fully
automated manner, though they do not necessarily contain sufficient information
to fix the underlying problem. The reports are designed not to contain any
potentially sensitive data to eliminate the need for review before submission.
Included is a tool that can create microreports and perform some basic
operations on them.",工具
ostree,工具,库," Tool for managing bootable, immutable filesystem trees"," libostree is a shared library designed primarily for
use by higher level tools to manage host systems (e.g. rpm-ostree),
as well as container tools like flatpak and the atomic CLI.",工具
oddjob-mkhomedir,工具,库, An oddjob helper which creates and populates home directories," This package contains the oddjob helper which can be used by the
pam_oddjob_mkhomedir module to create a home directory for a user
at login-time.",工具
genwqe-vpd,工具,库,GenWQE adapter VPD tools ,The genwqe-vpd package contains GenWQE adapter VPD tools. ,工具
bcc,工具,库, BPF Compiler Collection (BCC)," BCC is a toolkit for creating efficient kernel tracing and manipulation
programs, and includes several useful tools and examples. It makes use of
extended BPF (Berkeley Packet Filters), formally known as eBPF, a new feature
that was first added to Linux 3.15. BCC makes BPF programs easier to write,
with kernel instrumentation in C (and includes a C wrapper around LLVM), and
front-ends in Python and lua. It is suited for many tasks, including
performance analysis and network traffic control.",工具
convmv,工具,库, Convert filename encodings," This package contains the tool convmv with which you can convert the encodings
of filenames, e.g. from Latin1 to UTF-8.",工具
elfutils-default-yama-scope,工具,服务, Default yama attach scope sysctl setting," Yama sysctl setting to enable default attach scope settings
enabling programs to use ptrace attach, access to
/proc/PID/{mem,personality,stack,syscall}, and the syscalls
process_vm_readv and process_vm_writev which are used for
interprocess services, communication and introspection
(like synchronisation, signaling, debugging, tracing and
profiling) of processes.",工具
sendmail-cf,工具,库, The files needed to reconfigure Sendmail," This package includes the configuration files you need to generate the
sendmail.cf file distributed with the sendmail package. You will need
the sendmail-cf package if you ever need to reconfigure and rebuild
your sendmail.cf file.",工具
nautilus,工具,服务, File manager for GNOME," Nautilus is the file manager and graphical shell for the GNOME desktop
that makes it easy to manage your files and the rest of your system.
It allows to browse directories on local and remote filesystems, preview
files and launch applications associated with them.
It is also responsible for handling the icons on the GNOME desktop.",工具
gettext,工具,库, GNU libraries and utilities for producing multi-lingual messages," The GNU gettext package provides a set of tools and documentation for
producing multi-lingual messages in programs. Tools include a set of
conventions about how programs should be written to support message
catalogs, a directory and file naming organization for the message
catalogs, a runtime library which supports the retrieval of translated
messages, and stand-alone programs for handling the translatable and
the already translated strings. Gettext provides an easy to use
library and tools for creating, using, and modifying natural language
catalogs and is a powerful and simple method for internationalizing
programs.",unknown
bison-runtime,工具,库, Runtime support files used by Bison-generated parsers," The bison-runtime package contains files used at runtime by parsers
that Bison generates.  Packages whose binaries contain parsers
generated by Bison should depend on bison-runtime to ensure that
these files are available.  See the Internationalization in the
Bison manual section for more information.",工具
dpa-ext-gnomekeyring,工具,服务, GNOME keyring extension for dde-polkit-agent., DDE Polkit Agent extension to automatically do some thing with GNOME keyring.,工具
python2-tools,工具,库, A collection of development tools included with Python 2," This package includes several tools to help with the development of Python 2
programs, including IDLE (an IDE with editing and debugging facilities), a
color editor (pynche), and a python gettext program (pygettext.py).",工具
i2c-tools-perl,工具,库, i2c tools written in Perl, A collection of tools written in perl for use with i2c devices.,工具
kf5-kio-core,工具,库, Core components of the KIO Framework, KIOCore library provides core non-GUI components for working with KIO.,工具
maven-plugin-tools-javadoc,工具,库, Maven Plugin Tools Javadoc," The Maven Plugin Tools Javadoc provides several Javadoc taglets to be used when
generating Javadoc.

Java API documentation for maven-plugin-tools is contained in
maven-plugin-tools-javadocs package. This package does not contain it.",工具
delve,工具,库, A debugger for the Go programming language," Delve is a debugger for the Go programming language. The goal of the project
is to provide a simple, full featured debugging tool for Go. Delve should be
easy to invoke and easy to use. Chances are if you're using a debugger, things
aren't going your way. With that in mind, Delve should stay out of your way as
much as possible.",工具
mallard-rng,工具,库, RELAX NG schemas for all Mallard versions," RELAX NG schemas for all Mallard versions and extensions that have been marked
final.",工具
