name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
ansible-pcp,工具,服务,Ansible Metric collection for Performance Co-Pilot,"A collection containing roles for Performance Co-Pilot (PCP) and related
software such as Redis and Grafana.  The collection is made up of several
Ansible roles, including:

redhat.rhel_metrics.pcp
A role for core PCP capabilities, configuring live performance analysis
with a large base set of metrics from the kernel and system services, as
well as data recording and rule inference.

redhat.rhel_metrics.redis
A role for configuring a local Redis server, suitable for use with a
Performance Co-Pilot archive repository (for single or many hosts) and
fast, scalable querying of metrics.

redhat.rhel_metrics.grafana
A role for configuring a local Grafana server, providing web frontend
visuals for Performance Co-Pilot metrics, both live and historically.
Data sources for Vector (live), Redis (historical) and interactive
bpftrace (eBPF) scripts can be configured by this role.  The PCP REST
API service (from the core pcp role) should be configured in order to
use this role.

redhat.rhel_metrics.bpftrace
A role that extends the core PCP role, providing metrics from bpftrace
scripts using Linux eBPF facilities.  Configuring authentication of a
local user capable of running bpftrace scripts via the PCP agent is a
key task of this role.

redhat.rhel_metrics.elasticsearch
A role that extends the core PCP role, providing metrics from a live
ElasticSearch instance for PCP analysis or exporting of PCP metric
values (and metadata) to ElasticSearch for the indexing and querying
of performance data.",工具,
ant,工具,库,Java build tool,"Apache Ant is a Java library and command-line tool whose mission is to
drive processes described in build files as targets and extension
points dependent upon each other.  The main known usage of Ant is the
build of Java applications.  Ant supplies a number of built-in tasks
allowing to compile, assemble, test and run Java applications.  Ant
can also be used effectively to build non Java applications, for
instance C or C++ applications.  More generally, Ant can be used to
pilot any type of process which can be described in terms of targets
and tasks.",工具,summary/description有tool、command-line tool关键字
ant-antlr,库,工具,Optional antlr tasks for ant,Optional antlr tasks for ant.,库,提供ant服务的库
ant-apache-oro,库,工具,Optional apache oro tasks for ant,Optional apache oro tasks for ant.,库,提供ant服务的库
ant-contrib,库,工具,Collection of tasks for Ant,"The Ant-Contrib project is a collection of tasks
(and at one point maybe types and other tools)
for Apache Ant.",库,提供ant服务的库
antlr-C++,库,工具,C++ bindings for antlr2 generated parsers,This package provides a static C++ library for parsers generated by ANTLR2.,库,提供ant服务的库
antlr-manual,库,服务,Manual for antlr,Documentation for antlr.,库,提供ant服务的库
apache-commons-beanutils,库,工具,Java utility methods for accessing and modifying the properties of arbitrary JavaBeans,"The scope of this package is to create a package of Java utility methods
for accessing and modifying the properties of arbitrary JavaBeans.  No
dependencies outside of the JDK are required, so the use of this package
is very lightweight.",库,apache-commons可以作为分类为库的前缀规则
apache-commons-parent,库,工具,Apache Commons Parent Pom,The Project Object Model files for the apache-commons packages.,库,
apache-parent,库,工具,Parent POM file for Apache projects,This package contains the parent pom file for apache projects.,库,
appstream-data,库,服务,Cached AppStream metadata,"This package provides the distribution specific AppStream metadata required
for the GNOME and KDE software centers.",库,
arpwatch,工具,服务,Network monitoring tools for tracking IP addresses on a network,"The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network.",工具,有tools关键字
at-spi2-atk,工具,库,A GTK+ module that bridges ATK to D-Bus at-spi,"at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This version of at-spi is a major break from previous versions.
It has been completely rewritten to use D-Bus rather than
ORBIT / CORBA for its transport protocol.

This package includes a gtk-module that bridges ATK to the new
D-Bus based at-spi.",库,gtk-module
attr,工具,库,Utilities for managing filesystem extended attributes,"A set of tools for manipulating extended attributes on filesystem
objects, in particular getfattr(1) and setfattr(1).
An attr(1) command is also provided which is largely compatible
with the SGI IRIX tool of the same name.",工具,tools
audispd-plugins,工具,服务,Plugins for the audit event dispatcher,"The audispd-plugins package provides plugins for the real-time
interface to the audit system, audispd. These plugins can do things
like relay events to remote machines.",服务,跟随audispd
audispd-plugins-zos,工具,服务,z/OS plugin for the audit event dispatcher,"The audispd-plugins-zos package provides a plugin that will forward all
incoming audit events, as they happen, to a configured z/OS SMF (Service
Management Facility) database, through an IBM Tivoli Directory Server
(ITDS) set for Remote Audit service.",服务,跟随audispd
audit,工具,服务,User space tools for kernel auditing,"The audit package contains the user space utilities for
storing and searching the audit records generated by
the audit subsystem in the Linux 2.6 and later kernels.",工具,utilities
augeas,库,工具,A library for changing configuration files,"A library for programmatically editing configuration files. Augeas parses
configuration files into a tree structure, which it exposes through its
public API. Changes made through the API are written back to the initially
read files.

The transformation works very hard to preserve comments and formatting
details. It is controlled by ``lens'' definitions that describe the file
format and the transformation into a tree.",库,library
authselect-libs,库,工具,Utility library used by the authselect tool,"Common library files for authselect. This package is used by the authselect
command line tool and any other potential front-ends.",库,library
autotrace,工具,库,Utility for converting bitmaps to vector graphics,"AutoTrace is a program for converting bitmaps to vector graphics.

Supported input formats include BMP, TGA, PNM, PPM, PNG, whereas output
can be produced in Postscript, SVG, xfig, SWF, and others.",工具,utility
python3-avahi,库,服务,Python3 Avahi bindings,Python3 Avahi bindings.,库,python3-
awscli,工具,库,Universal Command Line Environment for AWS,"This package provides a unified
command line interface to Amazon Web Services.",工具,cli
babl-devel-docs,库,其它,Documentation for developing programs that will use babl,This package contains documentation needed for developing with babl.,库,deve-docs
bacula-director,工具,库,Bacula Director files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the director files.",工具,programs
bacula-libs-sql,库,工具,Bacula SQL libraries,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the SQL Bacula libraries, which are used by Director and
Storage daemons. You have to select your preferred catalog library through the
alternatives system.",库,#NAME?
bacula-logwatch,工具,库,Bacula Director logwatch scripts,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains logwatch scripts for Bacula Director.",工具,programs
bacula-storage,工具,库,Bacula storage daemon files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the storage daemon, the daemon responsible for writing
the data received from the clients onto tape drives or other mass storage
devices.",服务,daemon，可能需要新加一个规则
basesystem,服务,库,The skeleton package which defines a simple  system,"Basesystem defines the components of a basic  system
(for example, the package installation order to use during bootstrapping).
Basesystem should be in every installation of a system, and it
should never be removed.",服务,
batik-util,库,工具,Batik utility library,Util component of the Apache Batik SVG manipulation and rendering library.,库,library
python3-bcc,库,工具,Python3 bindings for BPF Compiler Collection (BCC),Python3 bindings for BPF Compiler Collection (BCC),库,python3-
bind-chroot,服务,工具,"A chroot runtime environment for the ISC BIND DNS server, named(8)","This package contains a tree of files which can be used as a
chroot(2) jail for the named(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>",服务,考虑跟随主包bind作为服务
bind-export-libs,库,服务,ISC libs for DHCP application,"BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. This package set contains only export
version of BIND libraries, that are used for building ISC DHCP.",库,#NAME?
bind-libs,库,工具,Libraries used by the BIND DNS packages,"Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind-utils package.",库,#NAME?
bind-license,服务,其它,License of the BIND DNS suite,Contains license of the BIND DNS suite.,服务,考虑跟随主包bind作为服务
bind-pkcs11-libs,服务,库,Bind libraries compiled with native PKCS#11,"This is a set of BIND libraries (dns, isc) compiled with native PKCS#11
functionality.",库,#NAME?
python3-bind,库,工具,A module allowing rndc commands to be sent from Python programs,This package provides a module which allows commands to be sent to rndc directly from Python programs.,库,python3-
bind9.16-chroot,服务,工具,"A chroot runtime environment for the ISC BIND DNS server, named(8)","This package contains a tree of files which can be used as a
chroot(2) jail for the named(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>",服务,考虑跟随主包bind作为服务
bind9.16-dnssec-utils,工具,服务,DNSSEC keys and zones management utilities,"Bind-dnssec-utils contains a collection of utilities for editing
DNSSEC keys and BIND zone files. These tools provide generation,
revocation and verification of keys and DNSSEC signatures in zone files.

You should install bind9.16-dnssec-utils if you need to sign a DNS zone
or maintain keys for it.",工具,utils
bind9.16-libs,库,工具,Libraries used by the BIND DNS packages,"Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind9.16-utils package.",库,#NAME?
bind9.16-license,服务,其它,License of the BIND DNS suite,Contains license of the BIND DNS suite.,服务,考虑跟随主包bind作为服务
bison-runtime,工具,库,Runtime support files used by Bison-generated parsers,"The bison-runtime package contains files used at runtime by parsers
that Bison generates.  Packages whose binaries contain parsers
generated by Bison should depend on bison-runtime to ensure that
these files are available.  See the Internationalization in the
Bison manual section for more information.",工具,跟随主包bison
blktrace,工具,服务,Utilities for performing block layer IO tracing in the Linux kernel,"blktrace is a block layer IO tracing mechanism which provides detailed
information about request queue operations to user space.  This package
includes both blktrace, a utility which gathers event traces from the kernel;
and blkparse, a utility which formats trace data collected by blktrace.

You should install the blktrace package if you need to gather detailed
information about IO patterns.",工具,utilies
bluez,工具,服务,Bluetooth utilities,"Utilities for use in Bluetooth applications:
	- hcitool
	- hciattach
	- hciconfig
	- bluetoothd
	- l2ping
	- rfcomm
	- sdptool
	- bluetoothctl
	- btmon
	- hcidump
	- l2test
	- rctest
	- gatttool
	- start scripts (Red Hat)
	- pcmcia configuration files

The BLUETOOTH trademarks are owned by Bluetooth SIG, Inc., U.S.A.",工具,utilities
bluez-hid2hci,工具,服务,Put HID proxying bluetooth HCI's into HCI mode,"Most allinone PC's and bluetooth keyboard / mouse sets which include a
bluetooth dongle, ship with a so called HID proxying bluetooth HCI.
The HID proxying makes the keyboard / mouse show up as regular USB HID
devices (after connecting using the connect button on the device + keyboard),
which makes them work without requiring any manual configuration.

The bluez-hid2hci package contains the hid2hci utility and udev rules to
automatically switch supported Bluetooth devices into regular HCI mode.

Install this package if you want to use the bluetooth function of the HCI
with other bluetooth devices like for example a mobile phone.

Note that after installing this package you will first need to pair your
bluetooth keyboard and mouse with the bluetooth adapter before you can use
them again. Since you cannot use your bluetooth keyboard and mouse until
they are paired, this will require the use of a regular (wired) USB keyboard
and mouse.",工具,utility
boom-boot,工具,库,A set of libraries and tools for managing boot loader entries,"Boom is a boot manager for Linux systems using boot loaders that support
the BootLoader Specification for boot entry configuration.

Boom requires a BLS compatible boot loader to function: either the
systemd-boot project, or Grub2 with the BLS patch.",工具,主要功能是工具
boom-boot-conf,工具,库,A set of libraries and tools for managing boot loader entries,"Boom is a boot manager for Linux systems using boot loaders that support
the BootLoader Specification for boot entry configuration.

Boom requires a BLS compatible boot loader to function: either the
systemd-boot project, or Grub2 with the BLS patch.

This package provides configuration files for boom.",工具,跟随主包boom
python3-boom,工具,库,A set of libraries and tools for managing boot loader entries,"Boom is a boot manager for Linux systems using boot loaders that support
the BootLoader Specification for boot entry configuration.

Boom requires a BLS compatible boot loader to function: either the
systemd-boot project, or Grub2 with the BLS patch.

This package provides python3 boom module.",库,python3-
boost-build,库,工具,Cross platform build system for C++ projects,"Boost.Build is an easy way to build C++ projects, everywhere. You name
your pieces of executable and libraries and list their sources.  Boost.Build
takes care about compiling your sources with the right options,
creating static and shared libraries, making pieces of executable, and other
chores -- whether you're using GCC, MSVC, or a dozen more supported
C++ compilers -- on Windows, OSX, Linux and commercial UNIX systems.",库,boost-
boost-jam,库,工具,A low-level build tool,"Boost.Jam (BJam) is the low-level build engine tool for Boost.Build.
Historically, Boost.Jam is based on on FTJam and on Perforce Jam but has grown
a number of significant features and is now developed independently.",库,boost-
booth-arbitrator,工具,服务,Booth support for running as an arbitrator,"Support for running Booth, ticket manager for multi-site clusters,
as an arbitrator.",工具,
breeze-icon-theme-rcc,工具,服务,breeze Qt resource files,breeze Qt resource files.,工具,theme
brltty,库,服务,Braille display driver for Linux/Unix,"BRLTTY is a background process (daemon) which provides
access to the Linux/Unix console (when in text mode)
for a blind person using a refreshable braille display.
It drives the braille display and provides complete
screen review functionality.",服务,daemon
brltty-at-spi2,库,工具,AtSpi2 driver for BRLTTY,This package provides the AtSpi2 driver for BRLTTY.,服务,跟随主包bltty
brltty-docs,库,服务,Documentation for BRLTTY,This package provides the documentation for BRLTTY.,服务,跟随主包bltty
brltty-dracut,库,服务,brltty module for Dracut,This package provides brltty module for Dracut.,服务,跟随主包bltty
brltty-espeak-ng,库,服务,eSpeak-NG driver for BRLTTY,This package provides the eSpeak-NG driver for BRLTTY.,服务,跟随主包bltty
brltty-xw,库,服务,XWindow driver for BRLTTY,This package provides the XWindow driver for BRLTTY.,服务,跟随主包bltty
tcl-brlapi,库,工具,Tcl binding for BrlAPI,This package provides the Tcl binding for BrlAPI.,库,tcl-
bubblewrap,库,工具,Core execution tool for unprivileged containers,"Bubblewrap (/usr/bin/bwrap) is a core execution engine for unprivileged
containers that works as a setuid binary on kernels without
user namespaces.",工具,tool 
byteman-javadoc,工具,库,Javadoc for byteman,This package contains the API documentation for byteman.,库,javadoc
bzip2,工具,服务,A file compression utility,"Bzip2 is a freely available, patent-free, high quality data compressor.
Bzip2 compresses files to within 10 to 15 percent of the capabilities
of the best techniques available.  However, bzip2 has the added benefit
of being approximately two times faster at compression and six times
faster at decompression than those techniques.  Bzip2 is not the
fastest compression utility, but it does strike a balance between speed
and compression capability.

Install bzip2 if you need a compression utility.",工具,utility
c2esp,库,服务,CUPS driver for Kodak AiO printers,CUPS filters and drivers for Kodak ESP and Hero all in one printers.,服务,跟随主包cups
maven-cal10n-plugin,库,工具,CAL10N maven plugin,"Maven plugin verifying that the codes defined in
an enum type match those in the corresponding resource bundles.",工具,跟随主包maven
cdparanoia,工具,库,Compact Disc Digital Audio (CDDA) extraction tool (or ripper),"Cdparanoia (Paranoia III) reads digital audio directly from a CD, then
writes the data to a file or pipe in WAV, AIFC or raw 16 bit linear
PCM format.  Cdparanoia doesn't contain any extra features (like the ones
included in the cdda2wav sampling utility).  Instead, cdparanoia's strength
lies in its ability to handle a variety of hardware, including inexpensive
drives prone to misalignment, frame jitter and loss of streaming during
atomic reads.  Cdparanoia is also good at reading and repairing data from
damaged CDs.",工具,tool
cdrdao,工具,库,Writes audio CD-Rs in disk-at-once (DAO) mode,"Cdrdao records audio CD-Rs in disk-at-once (DAO) mode, based on a
textual description of the CD contents. Recording in DAO mode writes
the complete disc (lead-in, one or more tracks, and lead-out) in a
single step. DAO allows full control over the length and the contents
of pre-gaps, the pause areas between tracks.",工具,
dirsplit,库,工具,Utility to split directories,"This utility is used to split directories into chunks before burning.
Chunk size is usually set to fit to a CD/DVD.",工具,utility
genisoimage,库,工具,Creates an image of an ISO9660 file-system,"The genisoimage program is used as a pre-mastering program; i.e., it
generates the ISO9660 file-system. Genisoimage takes a snapshot of
a given directory tree and generates a binary image of the tree
which will correspond to an ISO9660 file-system when written to
a block device. Genisoimage is used for writing CD-ROMs, and includes
support for creating boot-able El Torito CD-ROMs.

Install the genisoimage package if you need a program for writing
CD-ROMs.",工具,program 
libradosstriper1,库,工具,RADOS striping interface,"Striping interface built on top of the rados library, allowing
to stripe bigger objects onto several standard rados objects using
an interface very similar to the rados one.",库,library
cheese,工具,库,Application for taking pictures and movies from a webcam,"Cheese is a Photobooth-inspired GNOME application for taking pictures and
videos from a webcam. It can also apply fancy graphical effects.",工具,application
chrome-gnome-shell,工具,服务,Support for managing GNOME Shell Extensions through web browsers,"Browser extension for Google Chrome/Chromium, Firefox, Vivaldi, Opera (and
other Browser Extension, Chrome Extension or WebExtensions capable browsers)
and native host messaging connector that provides integration with GNOME Shell
and the corresponding extensions repository https://extensions.gnome.org.",工具,
chrpath,工具,库,Modify rpath of compiled programs,"chrpath allows you to modify the dynamic library load path (rpath) of
compiled programs.  Currently, only removing and modifying the rpath
is supported.",工具,
clang,工具,库,A C language family front-end for LLVM,"clang: noun
    1. A loud, resonant, metallic sound.
    2. The strident call of a crane or goose.
    3. C-language family front-end toolkit.

The goal of the Clang project is to create a new C, C++, Objective C
and Objective C++ front-end for the LLVM compiler. Its tools are built
as libraries and designed to be loosely-coupled and extensible.

Install compiler-rt if you want the Blocks C language extension or to
enable sanitization and profiling options when building, and
libomp-devel to enable -fopenmp.",工具,编译器前端
clang-analyzer,工具,库,A source code analysis framework,"The Clang Static Analyzer consists of both a source code analysis
framework and a standalone tool that finds bugs in C and Objective-C
programs. The standalone tool is invoked from the command-line, and is
intended to run in tandem with a build of a project or code base.",工具,代码分析工具
