name,layer_true,layer_pred,summary,description
acpica-tools,系统,核心,ACPICA tools for the development and debug of ACPI tables,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license."
adwaita-icon-theme,应用,核心,Adwaita icon theme,This package contains the Adwaita icon theme used by the GNOME desktop.
aide,应用,核心,Intrusion detection environment,"AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program."
alsa-ucm,系统,应用,ALSA Use Case Manager configuration,"The Advanced Linux Sound Architecture (ALSA) Universal Configuration
Manager allows configuration of Audio input/output names and routing"
alsa-sof-firmware,系统,其它,Firmware and topology files for Sound Open Firmware project,This package contains the firmware binaries for the Sound Open Firmware project.
amanda,应用,系统,A network-capable tape backup solution,"AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well."
amanda-client,应用,系统,The client component of the AMANDA tape backup system,"The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine."
amanda-libs,应用,系统,Amanda libraries,"This package contains basic Amanda libraries, which are used by all
Amanda programs."
amanda-server,应用,系统,The server side of the AMANDA tape backup system,"The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed."
anaconda,系统,应用,Graphical system installer,The anaconda package is a metapackage for the Anaconda installer.
anaconda-gui,系统,应用,Graphical user interface for the Anaconda installer,This package contains graphical user interface for the Anaconda installer.
anaconda-install-env-deps,系统,核心,Installation environment specific dependencies,"The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well."
anaconda-tui,系统,核心,Textual user interface for the Anaconda installer,This package contains textual user interface for the Anaconda installer.
anaconda-widgets,系统,应用,A set of custom GTK+ widgets for use with anaconda,This package contains a set of custom GTK+ widgets used by the anaconda installer.
anaconda-user-help,系统,应用,Content for the Anaconda built-in help system,This package provides content for the Anaconda built-in help system.
annobin-annocheck,应用,系统,A tool for checking the security hardening status of binaries,"Installs the annocheck program which uses the notes generated by annobin to
check that the specified files were compiled with the correct security
hardening options."
ansible-core,应用,系统,"SSH-based configuration management, deployment, and task execution system","Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically."
ansible-freeipa,应用,系统,"Roles and playbooks to deploy FreeIPA servers, replicas and clients","Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation."
ansible-pcp,应用,其它,Ansible Metric collection for Performance Co-Pilot,"A collection containing roles for Performance Co-Pilot (PCP) and related
software such as Redis and Grafana.  The collection is made up of several
Ansible roles, including:

redhat.rhel_metrics.pcp
A role for core PCP capabilities, configuring live performance analysis
with a large base set of metrics from the kernel and system services, as
well as data recording and rule inference.

redhat.rhel_metrics.redis
A role for configuring a local Redis server, suitable for use with a
Performance Co-Pilot archive repository (for single or many hosts) and
fast, scalable querying of metrics.

redhat.rhel_metrics.grafana
A role for configuring a local Grafana server, providing web frontend
visuals for Performance Co-Pilot metrics, both live and historically.
Data sources for Vector (live), Redis (historical) and interactive
bpftrace (eBPF) scripts can be configured by this role.  The PCP REST
API service (from the core pcp role) should be configured in order to
use this role.

redhat.rhel_metrics.bpftrace
A role that extends the core PCP role, providing metrics from bpftrace
scripts using Linux eBPF facilities.  Configuring authentication of a
local user capable of running bpftrace scripts via the PCP agent is a
key task of this role.

redhat.rhel_metrics.elasticsearch
A role that extends the core PCP role, providing metrics from a live
ElasticSearch instance for PCP analysis or exporting of PCP metric
values (and metadata) to ElasticSearch for the indexing and querying
of performance data."
antlr-C++,应用,核心,C++ bindings for antlr2 generated parsers,This package provides a static C++ library for parsers generated by ANTLR2.
apr-util,应用,系统,Apache Portable Runtime Utility library,"The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines.  This library
contains additional utility interfaces for APR; including support
for XML, LDAP, database interfaces, URI parsing and more."
apr-util-ldap,应用,系统,APR utility library LDAP support,This package provides the LDAP support for the apr-util.
apr-util-mysql,应用,系统,APR utility library MySQL DBD driver,"This package provides the MySQL driver for the apr-util DBD
(database abstraction) interface."
apr-util-odbc,应用,系统,APR utility library ODBC DBD driver,"This package provides the ODBC driver for the apr-util DBD
(database abstraction) interface."
apr-util-openssl,应用,系统,APR utility library OpenSSL crypto support,This package provides the OpenSSL crypto support for the apr-util.
apr-util-pgsql,应用,系统,APR utility library PostgreSQL DBD driver,"This package provides the PostgreSQL driver for the apr-util
DBD (database abstraction) interface."
apr-util-sqlite,应用,系统,APR utility library SQLite DBD driver,"This package provides the SQLite driver for the apr-util DBD
(database abstraction) interface."
arpwatch,应用,系统,Network monitoring tools for tracking IP addresses on a network,"The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network."
aspell,应用,系统,Spell checker,"GNU Aspell is a spell checker designed to eventually replace Ispell. It can
either be used as a library or as an independent spell checker. Its main
feature is that it does a much better job of coming up with possible
suggestions than just about any other spell checker out there for the
English language, including Ispell and Microsoft Word. It also has many
other technical enhancements over Ispell such as using shared memory for
dictionaries and intelligently handling personal dictionaries when more
than one Aspell process is open at once."
at,系统,核心,Job spooling tools,"At and batch read commands from standard input or from a specified
file. At allows you to specify that a command will be run at a
particular time. Batch will execute commands when the system load
levels drop to a particular level. Both commands use user's shell.

You should install the at package if you need a utility for
time-oriented job control. Note: If it is a recurring job that will
need to be repeated at the same time every day/week, etc. you should
use crontab instead."
audispd-plugins,核心,应用,Plugins for the audit event dispatcher,"The audispd-plugins package provides plugins for the real-time
interface to the audit system, audispd. These plugins can do things
like relay events to remote machines."
python3-audit,系统,核心,Python3 bindings for libaudit,"The python3-audit package contains the bindings so that libaudit
and libauparse can be used by python3."
augeas,应用,系统,A library for changing configuration files,"A library for programmatically editing configuration files. Augeas parses
configuration files into a tree structure, which it exposes through its
public API. Changes made through the API are written back to the initially
read files.

The transformation works very hard to preserve comments and formatting
details. It is controlled by ``lens'' definitions that describe the file
format and the transformation into a tree."
augeas-libs,应用,核心,Libraries for augeas,"The libraries for augeas.

Augeas is a library for programmatically editing configuration files. It parses
configuration files into a tree structure, which it exposes through its
public API. Changes made through the API are written back to the initially
read files."
authselect,系统,核心,Configures authentication and identity sources from supported profiles,"Authselect is designed to be a replacement for authconfig but it takes
a different approach to configure the system. Instead of letting
the administrator build the PAM stack with a tool (which may potentially
end up with a broken configuration), it would ship several tested stacks
(profiles) that solve a use-case and are well tested and supported.
At the same time, some obsolete features of authconfig are not
supported by authselect."
authselect-libs,系统,核心,Utility library used by the authselect tool,"Common library files for authselect. This package is used by the authselect
command line tool and any other potential front-ends."
autoconf,应用,系统,A GNU tool for automatically configuring source code,"GNU's Autoconf is a tool for configuring source code and Makefiles.
Using Autoconf, programmers can create portable and configurable
packages, since the person building the package is allowed to
specify various configuration options.

You should install Autoconf if you are developing software and
would like to create shell scripts that configure your source code
packages. If you are installing Autoconf, you will also need to
install the GNU m4 package.

Note that the Autoconf package is not required for the end-user who
may be configuring software with an Autoconf-generated script;
Autoconf is only required for the generation of the scripts, not
their use."
autoconf213,应用,核心,A GNU tool for automatically configuring source code,"GNU's Autoconf is a tool for configuring source code and Makefiles.
Using Autoconf, programmers can create portable and configurable
packages, since the person building the package is allowed to specify
various configuration options.

You should install Autoconf if you are developing software and you
would like to use it to create shell scripts that will configure your
source code packages. If you are installing Autoconf, you will also
need to install the GNU m4 package.

Note that the Autoconf package is not required for the end-user who
may be configuring software with an Autoconf-generated script;
Autoconf is only required for the generation of the scripts, not their
use."
autoconf-archive,应用,系统,The Autoconf Macro Archive,"The GNU Autoconf Archive is a collection of more than 450 macros for
GNU Autoconf that have been contributed as free software by friendly
supporters of the cause from all over the Internet."
autogen,应用,系统,Automated text file generator,"AutoGen is a tool designed to simplify the creation and maintenance of
programs that contain large amounts of repetitious text. It is especially
valuable in programs that have several blocks of text that must be kept
synchronised."
autogen-libopts,应用,系统,Automated option processing library based on autogen,"Libopts is very powerful command line option parser consisting of a set of
AutoGen templates and a run time library that nearly eliminates the hassle of
parsing and documenting command line options."
automake,应用,系统,A GNU tool for automatically creating Makefiles,"Automake is a tool for automatically generating `Makefile.in'
files compliant with the GNU Coding Standards.

You should install Automake if you are developing software and would
like to use its ability to automatically generate GNU standard
Makefiles."
avahi,应用,系统,Local network service discovery,"Avahi is a system which facilitates service discovery on
a local network -- this means that you can plug your laptop or
computer into a network and instantly be able to view other people who
you can chat with, find printers to print to or find files being
shared. This kind of technology is already found in MacOS X (branded
'Rendezvous', 'Bonjour' and sometimes 'ZeroConf') and is very
convenient."
avahi-autoipd,应用,系统,Link-local IPv4 address automatic configuration daemon (IPv4LL),"avahi-autoipd implements IPv4LL, ""Dynamic Configuration of IPv4
Link-Local Addresses""  (IETF RFC3927), a protocol for automatic IP address
configuration from the link-local 169.254.0.0/16 range without the need for a
central server. It is primarily intended to be used in ad-hoc networks which
lack a DHCP server."
python3-avahi,应用,系统,Python3 Avahi bindings,Python3 Avahi bindings.
awscli,应用,系统,Universal Command Line Environment for AWS,"This package provides a unified
command line interface to Amazon Web Services."
babassl,系统,应用,A Brisk and Better Assured Cryptographic Toolkit,"BabaSSL is a modern cryptographic and secure protocol library developed by the
 amazing people in Alibaba Digital Economy."
babel,应用,系统,Tools for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
python2-babel,应用,系统,Library for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
python3-babel,应用,系统,Library for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
python38-babel,应用,系统,Library for internationalizing Python applications,"Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
libbabeltrace,系统,核心,Common Trace Format Babel Tower,"This project provides trace read and write libraries, as well as a trace
converter. A plugin can be created for any trace format to allow its conversion
to/from another trace format."
bacula-client,应用,系统,Bacula backup client,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the bacula client, the daemon running on the system to be
backed up."
bacula-common,应用,核心,Common Bacula files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains files common to all Bacula daemons."
bacula-director,应用,系统,Bacula Director files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the director files."
bacula-libs-sql,应用,系统,Bacula SQL libraries,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the SQL Bacula libraries, which are used by Director and
Storage daemons. You have to select your preferred catalog library through the
alternatives system."
bacula-logwatch,应用,系统,Bacula Director logwatch scripts,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains logwatch scripts for Bacula Director."
bacula-storage,应用,系统,Bacula storage daemon files,"Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the storage daemon, the daemon responsible for writing
the data received from the clients onto tape drives or other mass storage
devices."
basesystem,核心,应用,The skeleton package which defines a simple  system,"Basesystem defines the components of a basic  system
(for example, the package installation order to use during bootstrapping).
Basesystem should be in every installation of a system, and it
should never be removed."
bash,核心,系统,The GNU Bourne Again shell,"The GNU Bourne Again shell (Bash) is a shell or command language
interpreter that is compatible with the Bourne shell (sh). Bash
incorporates useful features from the Korn shell (ksh) and the C shell
(csh). Most sh scripts can be run by bash without modification."
bash-completion,核心,应用,Programmable completion for Bash,"bash-completion is a collection of shell functions that take advantage
of the programmable completion feature of bash."
bcc,应用,系统,BPF Compiler Collection (BCC),"BCC is a toolkit for creating efficient kernel tracing and manipulation
programs, and includes several useful tools and examples. It makes use of
extended BPF (Berkeley Packet Filters), formally known as eBPF, a new feature
that was first added to Linux 3.15. BCC makes BPF programs easier to write,
with kernel instrumentation in C (and includes a C wrapper around LLVM), and
front-ends in Python and lua. It is suited for many tasks, including
performance analysis and network traffic control."
bcc-tools,应用,系统,Command line tools for BPF Compiler Collection (BCC),Command line tools for BPF Compiler Collection (BCC)
bind,系统,核心,The Berkeley Internet Name Domain (BIND) DNS (Domain Name System) server,"BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. BIND includes a DNS server (named),
which resolves host names to IP addresses; a resolver library
(routines for applications to use when interfacing with DNS); and
tools for verifying that the DNS server is operating properly."
bind-chroot,系统,核心,"A chroot runtime environment for the ISC BIND DNS server, named(8)","This package contains a tree of files which can be used as a
chroot(2) jail for the named(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
bind-libs-lite,系统,应用,Libraries for working with the DNS protocol,"Contains lite version of BIND suite libraries which are used by various
programs to work with DNS protocol."
bind-license,系统,应用,License of the BIND DNS suite,Contains license of the BIND DNS suite.
bind-pkcs11,系统,核心,Bind with native PKCS#11 functionality for crypto,"This is a version of BIND server built with native PKCS#11 functionality.
It is important to have SoftHSM v2+ installed and some token initialized.
For other supported HSM modules please check the BIND documentation."
bind-sdb,系统,应用,BIND server with database backends and DLZ support,"BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. BIND includes a DNS server (named-sdb)
which has compiled-in SDB (Simplified Database Backend) which includes
support for using alternative Zone Databases stored in an LDAP server
(ldapdb), a postgreSQL database (pgsqldb), an sqlite database (sqlitedb),
or in the filesystem (dirdb), in addition to the standard in-memory RBT
(Red Black Tree) zone database. It also includes support for DLZ
(Dynamic Loadable Zones)"
bind-sdb-chroot,系统,核心,"A chroot runtime environment for the ISC BIND DNS server, named-sdb(8)","This package contains a tree of files which can be used as a
chroot(2) jail for the named-sdb(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
bind9.16,系统,核心,The Berkeley Internet Name Domain (BIND) DNS (Domain Name System) server,"BIND (Berkeley Internet Name Domain) is an implementation of the DNS
(Domain Name System) protocols. BIND includes a DNS server (named),
which resolves host names to IP addresses; a resolver library
(routines for applications to use when interfacing with DNS); and
tools for verifying that the DNS server is operating properly."
bind9.16-chroot,系统,核心,"A chroot runtime environment for the ISC BIND DNS server, named(8)","This package contains a tree of files which can be used as a
chroot(2) jail for the named(8) program from the BIND package.
Based on the code from Jan ""Yenya"" Kasprzak <kas@fi.muni.cz>"
bind9.16-libs,系统,应用,Libraries used by the BIND DNS packages,"Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind9.16-utils package."
bind9.16-license,系统,应用,License of the BIND DNS suite,Contains license of the BIND DNS suite.
bison-runtime,系统,其它,Runtime support files used by Bison-generated parsers,"The bison-runtime package contains files used at runtime by parsers
that Bison generates.  Packages whose binaries contain parsers
generated by Bison should depend on bison-runtime to ensure that
these files are available.  See the Internationalization in the
Bison manual section for more information."
iowatcher,系统,应用,Utility for visualizing block layer IO patterns and performance,"iowatcher generates graphs from blktrace runs to help visualize IO patterns and
performance as SVG images or movies. It can plot multiple blktrace runs
together, making it easy to compare the differences between different benchmark
runs.

You should install the iowatcher package if you need to visualize detailed
information about IO patterns."
bluez-cups,系统,应用,CUPS printer backend for Bluetooth printers,This package contains the CUPS backend
bluez-libs,系统,应用,Libraries for use in Bluetooth applications,Libraries for use in Bluetooth applications.
bogofilter,应用,系统,Fast anti-spam filtering by Bayesian statistical analysis,"Bogofilter is a Bayesian spam filter.  In its normal mode of
operation, it takes an email message or other text on standard input,
does a statistical check against lists of ""good"" and ""bad"" words, and
returns a status code indicating whether or not the message is spam.
Bogofilter is designed with fast algorithms (including Berkeley DB system),
coded directly in C, and tuned for speed, so it can be used for production
by sites that process a lot of mail."
bolt,应用,系统,Thunderbolt device manager,"bolt is a system daemon to manage Thunderbolt devices via a D-BUS
API. Thunderbolt 3 introduced different security modes that require
devices to be authorized before they can be used. The D-Bus API can be
used to list devices, enroll them (authorize and store them in the
local database) and forget them again (remove previously enrolled
devices). It also emits signals if new devices are connected (or
removed). During enrollment devices can be set to be automatically
authorized as soon as they are connected.  A command line tool, called
boltctl, can be used to control the daemon and perform all the above
mentioned tasks."
boom-boot,系统,应用,A set of libraries and tools for managing boot loader entries,"Boom is a boot manager for Linux systems using boot loaders that support
the BootLoader Specification for boot entry configuration.

Boom requires a BLS compatible boot loader to function: either the
systemd-boot project, or Grub2 with the BLS patch."
boom-boot-conf,系统,核心,A set of libraries and tools for managing boot loader entries,"Boom is a boot manager for Linux systems using boot loaders that support
the BootLoader Specification for boot entry configuration.

Boom requires a BLS compatible boot loader to function: either the
systemd-boot project, or Grub2 with the BLS patch.

This package provides configuration files for boom."
boom-boot-grub2,系统,核心,A set of libraries and tools for managing boot loader entries,"Boom is a boot manager for Linux systems using boot loaders that support
the BootLoader Specification for boot entry configuration.

Boom requires a BLS compatible boot loader to function: either the
systemd-boot project, or Grub2 with the BLS patch.

This package provides integration scripts for grub2 bootloader."
boost-static,应用,核心,The Boost C++ static development libraries,Static Boost C++ libraries.
booth-arbitrator,应用,系统,Booth support for running as an arbitrator,"Support for running Booth, ticket manager for multi-site clusters,
as an arbitrator."
booth-core,应用,核心,"Booth core files (executables, etc.)","Core files (executables, etc.) for Booth, ticket manager for
multi-site clusters."
breeze-icon-theme,应用,其它,Breeze icon theme,Breeze icon theme.
breeze-icon-theme-rcc,应用,其它,breeze Qt resource files,breeze Qt resource files.
brltty,应用,系统,Braille display driver for Linux/Unix,"BRLTTY is a background process (daemon) which provides
access to the Linux/Unix console (when in text mode)
for a blind person using a refreshable braille display.
It drives the braille display and provides complete
screen review functionality."
brltty-docs,应用,核心,Documentation for BRLTTY,This package provides the documentation for BRLTTY.
brltty-dracut,应用,核心,brltty module for Dracut,This package provides brltty module for Dracut.
brltty-espeak-ng,应用,核心,eSpeak-NG driver for BRLTTY,This package provides the eSpeak-NG driver for BRLTTY.
brotli,应用,核心,Lossless compression algorithm,"Brotli is a generic-purpose lossless compression algorithm that compresses
data using a combination of a modern variant of the LZ77 algorithm, Huffman
coding and 2nd order context modeling, with a compression ratio comparable
to the best currently available general-purpose compression methods.
It is similar in speed with deflate but offers more dense compression."
python3-brotli,应用,系统,Lossless compression algorithm (python 3),"Brotli is a generic-purpose lossless compression algorithm that compresses
data using a combination of a modern variant of the LZ77 algorithm, Huffman
coding and 2nd order context modeling, with a compression ratio comparable
to the best currently available general-purpose compression methods.
It is similar in speed with deflate but offers more dense compression.
This package installs a Python 3 module."
bubblewrap,应用,核心,Core execution tool for unprivileged containers,"Bubblewrap (/usr/bin/bwrap) is a core execution engine for unprivileged
containers that works as a setuid binary on kernels without
user namespaces."
buildah,应用,系统,A command line tool used for creating OCI Images,"The buildah package provides a command line tool which can be used to
* create a working container from scratch
or
* create a working container from an image as a starting point
* mount/umount a working container's root file system for manipulation
* save container's root file system layer to create a new image
* delete a working container or an image"
byacc,应用,系统,"Berkeley Yacc, a parser generator","This package provides a parser generator utility that reads a grammar
specification from a file and generates an LR(1) parser for it.  The
parsers consist of a set of LALR(1) parsing tables and a driver
routine written in the C programming language.  It has a public domain
license which includes the generated C.

If you are going to do development on your system, you will want to install
this package."
bzip2,核心,系统,A file compression utility,"Bzip2 is a freely available, patent-free, high quality data compressor.
Bzip2 compresses files to within 10 to 15 percent of the capabilities
of the best techniques available.  However, bzip2 has the added benefit
of being approximately two times faster at compression and six times
faster at decompression than those techniques.  Bzip2 is not the
fastest compression utility, but it does strike a balance between speed
and compression capability.

Install bzip2 if you need a compression utility."
ca-certificates,系统,核心,The Mozilla CA root certificate bundle,"This package contains the set of CA certificates chosen by the
Mozilla Foundation for use with the Internet PKI."
cairo,系统,应用,A 2D graphics library,"Cairo is a 2D graphics library designed to provide high-quality display
and print output. Currently supported output targets include the X Window
System, in-memory image buffers, and image files (PDF, PostScript, and SVG).

Cairo is designed to produce consistent output on all output media while
taking advantage of display hardware acceleration when available."
cairo-gobject,系统,应用,GObject bindings for cairo,"Cairo is a 2D graphics library designed to provide high-quality display
and print output.

This package contains functionality to make cairo graphics library
integrate well with the GObject object system used by GNOME."
cairomm,系统,应用,C++ API for the cairo graphics library,"Cairomm is the C++ API for the cairo graphics library. It offers all the power
of cairo with an interface familiar to C++ developers, including use of the
Standard Template Library where it makes sense."
dirsplit,应用,系统,Utility to split directories,"This utility is used to split directories into chunks before burning.
Chunk size is usually set to fit to a CD/DVD."
libusal,应用,核心,Library to communicate with SCSI devices,"The libusal package contains C libraries that allows applications
to communicate with SCSI devices and is well suitable for writing
CD-R media."
libcephfs2,系统,核心,Ceph distributed file system client library,"Ceph is a distributed network file system designed to provide excellent
performance, reliability, and scalability. This is a shared library
allowing applications to access a Ceph distributed file system via a
POSIX-like interface."
librados2,系统,应用,RADOS distributed object store client library,"RADOS is a reliable, autonomic distributed object storage cluster
developed as part of the Ceph distributed storage system. This is a
shared library allowing applications to access the distributed object
store using a simple file-like interface."
libradosstriper1,系统,核心,RADOS striping interface,"Striping interface built on top of the rados library, allowing
to stripe bigger objects onto several standard rados objects using
an interface very similar to the rados one."
librbd1,系统,核心,RADOS block device client library,"RBD is a block device striped across multiple distributed objects in
RADOS, a reliable, autonomic distributed object storage cluster
developed as part of the Ceph distributed storage system. This is a
shared library allowing applications to manage these block devices."
cgdcbxd,应用,系统,DCB network priority management daemon,"This is a daemon to manage the priority of network traffic in dcb enabled
environments.  By using the information exchanged over the dcbx protocol on a
LAN, this package will enforce network priority on running applications on your
host using the net_prio cgroup"
check,应用,系统,A unit test framework for C,"Check is a unit test framework for C. It features a simple interface for
defining unit tests, putting little in the way of the developer. Tests
are run in a separate address space, so Check can catch both assertion
failures and code errors that cause segmentation faults or other signals.
The output from unit tests can be used within source code editors and IDEs."
checkpolicy,系统,核心,SELinux policy compiler,"Security-enhanced Linux is a feature of the Linux庐 kernel and a number
of utilities with enhanced security functionality designed to add
mandatory access controls to Linux.  The Security-enhanced Linux
kernel contains new architectural components originally developed to
improve the security of the Flask operating system. These
architectural components provide general support for the enforcement
of many kinds of mandatory access control policies, including those
based on the concepts of Type Enforcement庐, Role-based Access
Control, and Multi-level Security.

This package contains checkpolicy, the SELinux policy compiler.
Only required for building policies."
