name,label,text,y,summary,description,y_predict
python3-wheel,库, Built-package format for Python  A built-package format for Python.    A wheel is a ZIP-format archive with a specially formatted filename and the  .whl extension. It is designed to contain all the files for a PEP 376  compatible install in a way that is very close to the on-disk format.    Python 3 version.,0, Built-package format for Python," A built-package format for Python.

A wheel is a ZIP-format archive with a specially formatted filename and the
.whl extension. It is designed to contain all the files for a PEP 376
compatible install in a way that is very close to the on-disk format.

Python 3 version.",0
adobe-mappings-pdf,库," PDF mapping resources from Adobe  Mapping resources for PDF have a variety of functions, such as mapping CIDs  (Character IDs) to character codes, or mapping character codes to other  character codes.    These mapping resources for PDF should not be confused with CMap resources.  While both types of resources share the same file structure and syntax, they  have very different functions.    These PDF mapping resources are useful for some applications (e.g. Ghostscript)  to function properly.",0, PDF mapping resources from Adobe," Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.",1
python3-pyparted,库, Python 3 module for GNU parted  Python module for the parted library.  It is used for manipulating  partition tables. This package provides Python 3 bindings for parted.,0, Python 3 module for GNU parted," Python module for the parted library.  It is used for manipulating
partition tables. This package provides Python 3 bindings for parted.",0
kata-containers,服务," Kata Containers version 3.x repository    Kata Containers version 3.x repository. Kata Containers is an open source  project and community working to build a standard implementation of lightweight  Virtual Machines (VMs) that feel and perform like containers, but provide the  workload isolation and security advantages of VMs. https://katacontainers.io/.    %gopkg",2, Kata Containers version 3.x repository," 
Kata Containers version 3.x repository. Kata Containers is an open source
project and community working to build a standard implementation of lightweight
Virtual Machines (VMs) that feel and perform like containers, but provide the
workload isolation and security advantages of VMs. https://katacontainers.io/.

%gopkg",0
apache-commons-jxpath,库," Simple XPath interpreter  Defines a simple interpreter of an expression language called XPath.  JXPath applies XPath expressions to graphs of objects of all kinds:  JavaBeans, Maps, Servlet contexts, DOM etc, including mixtures thereof.",0, Simple XPath interpreter," Defines a simple interpreter of an expression language called XPath.
JXPath applies XPath expressions to graphs of objects of all kinds:
JavaBeans, Maps, Servlet contexts, DOM etc, including mixtures thereof.",0
kf5-kglobalaccel-libs,库, Runtime libraries for kf5-kglobalaccel  Runtime libraries for kf5-kglobalaccel.,0, Runtime libraries for kf5-kglobalaccel, Runtime libraries for kf5-kglobalaccel.,0
lohit-marathi-fonts,其它, Free truetype font for Marathi language  This package provides a free Marathi truetype/opentype font.,3, Free truetype font for Marathi language, This package provides a free Marathi truetype/opentype font.,3
tesseract-langpack-hye,工具, Armenian language data for tesseract-tessdata  This package contains the fast integer version of the Armenian language  trained models for the Tesseract Open Source OCR Engine.,1, Armenian language data for tesseract-tessdata," This package contains the fast integer version of the Armenian language
trained models for the Tesseract Open Source OCR Engine.",1
colord-libs,库, Color daemon library  colord is a low level system activated daemon that maps color devices  to color profiles in the system context.,0, Color daemon library," colord is a low level system activated daemon that maps color devices
to color profiles in the system context.",2
coreutils-common,工具," coreutils common optional components  Optional though recommended components,  including documentation and translations.",1, coreutils common optional components," Optional though recommended components,
including documentation and translations.",0
qt5-qtimageformats,库," Qt5 - QtImageFormats component  The core Qt Gui library by default supports reading and writing image  files of the most common file formats: PNG, JPEG, BMP, GIF and a few more,  ref. Reading and Writing Image Files. The Qt Image Formats add-on module  provides optional support for other image file formats, including:  MNG, TGA, TIFF, WBMP.",0, Qt5 - QtImageFormats component," The core Qt Gui library by default supports reading and writing image
files of the most common file formats: PNG, JPEG, BMP, GIF and a few more,
ref. Reading and Writing Image Files. The Qt Image Formats add-on module
provides optional support for other image file formats, including:
MNG, TGA, TIFF, WBMP.",0
hunspell-xh,工具, Xhosa hunspell dictionaries  Xhosa hunspell dictionaries.,1, Xhosa hunspell dictionaries, Xhosa hunspell dictionaries.,1
sblim-cmpi-base,库, SBLIM CMPI Base Providers  SBLIM (Standards Based Linux Instrumentation for Manageability)  CMPI (Common Manageability Programming Interface) Base Providers  for System-Related CIM (Common Information Model) classes.,0, SBLIM CMPI Base Providers," SBLIM (Standards Based Linux Instrumentation for Manageability)
CMPI (Common Manageability Programming Interface) Base Providers
for System-Related CIM (Common Information Model) classes.",0
tesseract-langpack-que,工具, Quechuan language data for tesseract-tessdata  This package contains the fast integer version of the Quechuan language  trained models for the Tesseract Open Source OCR Engine.,1, Quechuan language data for tesseract-tessdata," This package contains the fast integer version of the Quechuan language
trained models for the Tesseract Open Source OCR Engine.",1
open-vm-tools-desktop,工具, User experience components for Open Virtual Machine Tools  This package contains only the user-space programs and libraries of  open-vm-tools that are essential for improved user experience of VMware virtual  machines.,1, User experience components for Open Virtual Machine Tools," This package contains only the user-space programs and libraries of
open-vm-tools that are essential for improved user experience of VMware virtual
machines.",1
google-noto-sans-glagolitic-fonts,其它, Sans Glagolitic font  Noto fonts aims to remove tofu from web by providing fonts for all  Unicode supported scripts. Its design goal is to achieve visual harmonization  between multiple scripts. Noto family supports almost all scripts available  in Unicode.    Noto Sans font for Glagolitic.,3, Sans Glagolitic font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Glagolitic.",3
gtest,库," Google C++ testing framework  Framework for writing C++ tests on a variety of platforms (GNU/Linux,  Mac OS X, Windows, Windows CE, and Symbian). Based on the xUnit  architecture. Supports automatic test discovery, a rich set of  assertions, user-defined assertions, death tests, fatal and non-fatal  failures, various options for running the tests, and XML test report  generation.",0, Google C++ testing framework," Framework for writing C++ tests on a variety of platforms (GNU/Linux,
Mac OS X, Windows, Windows CE, and Symbian). Based on the xUnit
architecture. Supports automatic test discovery, a rich set of
assertions, user-defined assertions, death tests, fatal and non-fatal
failures, various options for running the tests, and XML test report
generation.",0
libvirt-daemon-driver-storage-iscsi-direct,服务, Storage driver plugin for iscsi-direct  The storage driver backend adding implementation of the storage APIs for iscsi  volumes using libiscsi direct connection.,2, Storage driver plugin for iscsi-direct," The storage driver backend adding implementation of the storage APIs for iscsi
volumes using libiscsi direct connection.",2
python3-coverage,库," Code coverage testing module for Python 3  Coverage.py is a Python 3 module that measures code coverage during Python  execution. It uses the code analysis tools and tracing hooks provided in the  Python standard library to determine which lines are executable, and which  have been executed.",0, Code coverage testing module for Python 3," Coverage.py is a Python 3 module that measures code coverage during Python
execution. It uses the code analysis tools and tracing hooks provided in the
Python standard library to determine which lines are executable, and which
have been executed.",0
createrepo_c-libs,库, Library for repodata manipulation  Libraries for applications using the createrepo_c library  for easy manipulation with a repodata.,0, Library for repodata manipulation," Libraries for applications using the createrepo_c library
for easy manipulation with a repodata.",0
lohit-assamese-fonts,其它, Free Assamese font  This package provides a free Assamese TrueType/OpenType font.,3, Free Assamese font, This package provides a free Assamese TrueType/OpenType font.,3
autotrace,工具," Utility for converting bitmaps to vector graphics  AutoTrace is a program for converting bitmaps to vector graphics.    Supported input formats include BMP, TGA, PNM, PPM, PNG, whereas output  can be produced in Postscript, SVG, xfig, SWF, and others.",1, Utility for converting bitmaps to vector graphics," AutoTrace is a program for converting bitmaps to vector graphics.

Supported input formats include BMP, TGA, PNM, PPM, PNG, whereas output
can be produced in Postscript, SVG, xfig, SWF, and others.",1
rustfmt,工具, Tool to find and fix Rust formatting issues  A tool for formatting Rust code according to style guidelines.,1, Tool to find and fix Rust formatting issues, A tool for formatting Rust code according to style guidelines.,1
maven-surefire-report-parser,工具, Parses report output files from surefire  Plugin for parsing report output files from surefire.,1, Parses report output files from surefire, Plugin for parsing report output files from surefire.,1
breeze-icon-theme-rcc,工具, breeze Qt resource files  breeze Qt resource files.,1, breeze Qt resource files, breeze Qt resource files.,0
ostree-libs,库, Development headers for ostree  The ostree-libs provides shared libraries for ostree.,0, Development headers for ostree, The ostree-libs provides shared libraries for ostree.,0
nfs-utils,工具,NFS utilities and supporting clients and daemons for the kernel NFS server  The nfs-utils package provides various utilities for use with NFS  clients and servers. ,1,NFS utilities and supporting clients and daemons for the kernel NFS server ,"The nfs-utils package provides various utilities for use with NFS
clients and servers. ",1
python2-pyyaml,库," YAML parser and emitter for Python  YAML is a data serialization format designed for human readability and  interaction with scripting languages.  PyYAML is a YAML parser and  emitter for Python.    PyYAML features a complete YAML 1.1 parser, Unicode support, pickle  support, capable extension API, and sensible error messages.  PyYAML  supports standard YAML tags and provides Python-specific tags that  allow to represent an arbitrary Python object.    PyYAML is applicable for a broad range of tasks from complex  configuration files to object serialization and persistance.",0, YAML parser and emitter for Python," YAML is a data serialization format designed for human readability and
interaction with scripting languages.  PyYAML is a YAML parser and
emitter for Python.

PyYAML features a complete YAML 1.1 parser, Unicode support, pickle
support, capable extension API, and sensible error messages.  PyYAML
supports standard YAML tags and provides Python-specific tags that
allow to represent an arbitrary Python object.

PyYAML is applicable for a broad range of tasks from complex
configuration files to object serialization and persistance.",0
perl-Role-Tiny,库, A nouvelle cuisine portion size slice of Moose  Role::Tiny is a minimalist role composition tool.,0, A nouvelle cuisine portion size slice of Moose, Role::Tiny is a minimalist role composition tool.,0
tesseract-langpack-urd,工具, Urdu language data for tesseract-tessdata  This package contains the fast integer version of the Urdu language  trained models for the Tesseract Open Source OCR Engine.,1, Urdu language data for tesseract-tessdata," This package contains the fast integer version of the Urdu language
trained models for the Tesseract Open Source OCR Engine.",1
fcitx-data,工具, Data files of Fcitx  The fcitx-data package provides shared data for Fcitx.,1, Data files of Fcitx, The fcitx-data package provides shared data for Fcitx.,1
libpfm-static,库, Static library to encode performance events for perf_events based tools  Static version of the libpfm library for performance monitoring  applications for the perf_events interface.,0, Static library to encode performance events for perf_events based tools," Static version of the libpfm library for performance monitoring
applications for the perf_events interface.",0
texlive-enctex,工具," A TeX extension that translates input on its way into TeX  EncTeX is (another) tex extension, written at the change-file  level. It provides means of translating input on the way into  TeX. It allows, for example, translation of multibyte  sequences, such as utf-8 encoding.",1, A TeX extension that translates input on its way into TeX," EncTeX is (another) tex extension, written at the change-file
level. It provides means of translating input on the way into
TeX. It allows, for example, translation of multibyte
sequences, such as utf-8 encoding.",1
ocaml-extlib,库," OCaml ExtLib additions to the standard library  ExtLib is a project aiming at providing a complete - yet small -  standard library for the OCaml programming language. The purpose of  this library is to add new functions to OCaml Standard Library  modules, to modify some functions in order to get better performances  or more safety (tail-recursive) but also to provide new modules which  should be useful for the average OCaml programmer.",0, OCaml ExtLib additions to the standard library," ExtLib is a project aiming at providing a complete - yet small -
standard library for the OCaml programming language. The purpose of
this library is to add new functions to OCaml Standard Library
modules, to modify some functions in order to get better performances
or more safety (tail-recursive) but also to provide new modules which
should be useful for the average OCaml programmer.",0
maven-filtering,工具, Shared component providing resource filtering  These Plexus components have been built from the filtering process/code in  Maven Resources Plugin. The goal is to provide a shared component for all  plugins that needs to filter resources.,1, Shared component providing resource filtering," These Plexus components have been built from the filtering process/code in
Maven Resources Plugin. The goal is to provide a shared component for all
plugins that needs to filter resources.",0
libogg-devel-docs,库, Documentation for developing Ogg applications  Documentation for developing applications with libogg,0, Documentation for developing Ogg applications, Documentation for developing applications with libogg,0
netpbm,库," A library for handling different graphics file formats  The netpbm package contains a library of functions which support  programs for handling various graphics file formats, including .pbm  (portable bitmaps), .pgm (portable graymaps), .pnm (portable anymaps),  .ppm (portable pixmaps) and others.",0, A library for handling different graphics file formats," The netpbm package contains a library of functions which support
programs for handling various graphics file formats, including .pbm
(portable bitmaps), .pgm (portable graymaps), .pnm (portable anymaps),
.ppm (portable pixmaps) and others.",0
anaconda-dracut,工具," The anaconda dracut module  The 'anaconda' dracut module handles installer-specific boot tasks and  options. This includes driver disks, kickstarts, and finding the anaconda  runtime on NFS/HTTP/FTP servers or local disks.",1, The anaconda dracut module," The 'anaconda' dracut module handles installer-specific boot tasks and
options. This includes driver disks, kickstarts, and finding the anaconda
runtime on NFS/HTTP/FTP servers or local disks.",0
tesseract-script-thai,工具, Thai script data for tesseract-tessdata  This package contains the fast integer version of the Thai script  trained models for the Tesseract Open Source OCR Engine.,1, Thai script data for tesseract-tessdata," This package contains the fast integer version of the Thai script
trained models for the Tesseract Open Source OCR Engine.",1
clufter-lib-general,库," Extra clufter plugins usable for/as generic/auxiliary products  This package contains set of additional plugins targeting variety of generic  formats often serving as a byproducts in the intermediate steps of the overall  process arrangement: either experimental commands or internally unused,  reusable formats and filters.",0, Extra clufter plugins usable for/as generic/auxiliary products," This package contains set of additional plugins targeting variety of generic
formats often serving as a byproducts in the intermediate steps of the overall
process arrangement: either experimental commands or internally unused,
reusable formats and filters.",0
texlive-xunicode,工具," Generate Unicode characters from accented glyphs  The package supports XeTeX's (and other putative future similar  engines') need for Unicode characters, in a similar way to what  the fontenc does for 8-bit (and the like) fonts: convert  accent-glyph sequence to a single Unicode character for output.  The package also covers glyphs specified by packages (such as  tipa) which define many commands for single text glyphs.",1, Generate Unicode characters from accented glyphs," The package supports XeTeX's (and other putative future similar
engines') need for Unicode characters, in a similar way to what
the fontenc does for 8-bit (and the like) fonts: convert
accent-glyph sequence to a single Unicode character for output.
The package also covers glyphs specified by packages (such as
tipa) which define many commands for single text glyphs.",1
texlive-mathspec,工具," Specify arbitrary fonts for mathematics in XeTeX  The mathspec package provides an interface to typeset  mathematics in XeLaTeX with arbitrary text fonts using fontspec  as a backend. The package is under development and later  versions might to be incompatible with this version, as this  version is incompatible with earlier versions. The package  requires at least version 0.9995 of XeTeX.",1, Specify arbitrary fonts for mathematics in XeTeX," The mathspec package provides an interface to typeset
mathematics in XeLaTeX with arbitrary text fonts using fontspec
as a backend. The package is under development and later
versions might to be incompatible with this version, as this
version is incompatible with earlier versions. The package
requires at least version 0.9995 of XeTeX.",1
mingw64-filesystem,工具," MinGW cross compiler base filesystem and environment for the win64 target  This package contains the base filesystem layout, RPM macros and  environment for all MinGW packages.",1, MinGW cross compiler base filesystem and environment for the win64 target," This package contains the base filesystem layout, RPM macros and
environment for all MinGW packages.",1
fontpackages-filesystem,库," Directories used by font packages  This package contains the basic directory layout used by font packages,  including the correct permissions for the directories.",0, Directories used by font packages," This package contains the basic directory layout used by font packages,
including the correct permissions for the directories.",0
rsyslog-relp,服务, RELP protocol support for rsyslog  The rsyslog-relp package contains the rsyslog plugins that provide  the ability to receive syslog messages via the reliable RELP  protocol.,2, RELP protocol support for rsyslog," The rsyslog-relp package contains the rsyslog plugins that provide
the ability to receive syslog messages via the reliable RELP
protocol.",2
tesseract-langpack-ton,工具, Tongan language data for tesseract-tessdata  This package contains the fast integer version of the Tongan language  trained models for the Tesseract Open Source OCR Engine.,1, Tongan language data for tesseract-tessdata," This package contains the fast integer version of the Tongan language
trained models for the Tesseract Open Source OCR Engine.",1
tesseract-langpack-tat,工具, Tatar language data for tesseract-tessdata  This package contains the fast integer version of the Tatar language  trained models for the Tesseract Open Source OCR Engine.,1, Tatar language data for tesseract-tessdata," This package contains the fast integer version of the Tatar language
trained models for the Tesseract Open Source OCR Engine.",1
felix-osgi-foundation,库, Felix OSGi Foundation EE Bundle  OSGi Foundation Execution Environment (EE) Classes.,0, Felix OSGi Foundation EE Bundle, OSGi Foundation Execution Environment (EE) Classes.,0
vulkan-loader,服务," Vulkan ICD desktop loader  This project provides the Khronos official Vulkan ICD desktop  loader for Windows, Linux, and MacOS.",2, Vulkan ICD desktop loader," This project provides the Khronos official Vulkan ICD desktop
loader for Windows, Linux, and MacOS.",1
libvorbis-devel-docs,库, Documentation for developing Vorbis applications  Documentation for developing applications with libvorbis.,0, Documentation for developing Vorbis applications, Documentation for developing applications with libvorbis.,0
cdparanoia,工具," Compact Disc Digital Audio (CDDA) extraction tool (or ripper)  Cdparanoia (Paranoia III) reads digital audio directly from a CD, then  writes the data to a file or pipe in WAV, AIFC or raw 16 bit linear  PCM format.  Cdparanoia doesn't contain any extra features (like the ones  included in the cdda2wav sampling utility).  Instead, cdparanoia's strength  lies in its ability to handle a variety of hardware, including inexpensive  drives prone to misalignment, frame jitter and loss of streaming during  atomic reads.  Cdparanoia is also good at reading and repairing data from  damaged CDs.",1, Compact Disc Digital Audio (CDDA) extraction tool (or ripper)," Cdparanoia (Paranoia III) reads digital audio directly from a CD, then
writes the data to a file or pipe in WAV, AIFC or raw 16 bit linear
PCM format.  Cdparanoia doesn't contain any extra features (like the ones
included in the cdda2wav sampling utility).  Instead, cdparanoia's strength
lies in its ability to handle a variety of hardware, including inexpensive
drives prone to misalignment, frame jitter and loss of streaming during
atomic reads.  Cdparanoia is also good at reading and repairing data from
damaged CDs.",1
plymouth-plugin-throbgress,服务," Plymouth ""Throbgress"" plugin  This package contains the ""throbgress"" boot splash plugin for  Plymouth. It features a centered logo and animated spinner that  spins repeatedly while a progress bar advances at the bottom of  the screen.",2," Plymouth ""Throbgress"" plugin"," This package contains the ""throbgress"" boot splash plugin for
Plymouth. It features a centered logo and animated spinner that
spins repeatedly while a progress bar advances at the bottom of
the screen.",2
python38-numpy,库," A fast multidimensional array facility for Python  NumPy is a general-purpose array-processing package designed to  efficiently manipulate large multi-dimensional arrays of arbitrary  records without sacrificing too much speed for small multi-dimensional  arrays.  NumPy is built on the Numeric code base and adds features  introduced by numarray as well as an extended C-API and the ability to  create arrays of arbitrary type.    There are also basic facilities for discrete fourier transform,  basic linear algebra and random number generation. Also included in  this package is a version of f2py that works properly with NumPy.",0, A fast multidimensional array facility for Python," NumPy is a general-purpose array-processing package designed to
efficiently manipulate large multi-dimensional arrays of arbitrary
records without sacrificing too much speed for small multi-dimensional
arrays.  NumPy is built on the Numeric code base and adds features
introduced by numarray as well as an extended C-API and the ability to
create arrays of arbitrary type.

There are also basic facilities for discrete fourier transform,
basic linear algebra and random number generation. Also included in
this package is a version of f2py that works properly with NumPy.",0
perl-Mail-SPF,库, Object-oriented implementation of Sender Policy Framework  Mail::SPF is an object-oriented implementation of Sender Policy Framework  (SPF). See http://www.openspf.org for more information about SPF.,0, Object-oriented implementation of Sender Policy Framework," Mail::SPF is an object-oriented implementation of Sender Policy Framework
(SPF). See http://www.openspf.org for more information about SPF.",0
istack-commons,库," Common code for some Glassfish projects  Code shared between JAXP, JAXB, SAAJ, and JAX-WS projects.",0, Common code for some Glassfish projects," Code shared between JAXP, JAXB, SAAJ, and JAX-WS projects.",0
libiscsi-utils,工具, iSCSI Client Utilities  The libiscsi-utils package provides a set of assorted utilities to connect  to iSCSI servers without having to set up the Linux iSCSI initiator.,1, iSCSI Client Utilities," The libiscsi-utils package provides a set of assorted utilities to connect
to iSCSI servers without having to set up the Linux iSCSI initiator.",1
gnome-backgrounds-extras,服务, Additional GNOME Backgrounds  This package contains the additional desktop backgrounds  which are packaged with the GNOME desktop.,2, Additional GNOME Backgrounds," This package contains the additional desktop backgrounds
which are packaged with the GNOME desktop.",2
python-podman-api,库, Podman API  Podman API,0, Podman API, Podman API,0
plexus-cli,库," Command Line Interface facilitator for Plexus  The Plexus project seeks to create end-to-end developer tools for  writing applications. At the core is the container, which can be  embedded or for a full scale application server. There are many  reusable components for hibernate, form processing, jndi, i18n,  velocity, etc. Plexus also includes an application server which  is like a J2EE application server, without all the baggage.",0, Command Line Interface facilitator for Plexus," The Plexus project seeks to create end-to-end developer tools for
writing applications. At the core is the container, which can be
embedded or for a full scale application server. There are many
reusable components for hibernate, form processing, jndi, i18n,
velocity, etc. Plexus also includes an application server which
is like a J2EE application server, without all the baggage.",0
hamcrest-javadoc,库, Javadoc for hamcrest  Javadoc for hamcrest.,0, Javadoc for hamcrest, Javadoc for hamcrest.,0
gnome-shell-extension-common,服务, Files common to GNOME Shell Extensions  GNOME Shell Extensions is a collection of extensions providing additional and  optional functionality to GNOME Shell.    This package provides common data files shared by various extensions.,2, Files common to GNOME Shell Extensions," GNOME Shell Extensions is a collection of extensions providing additional and
optional functionality to GNOME Shell.

This package provides common data files shared by various extensions.",2
texlive-luatex85,工具, pdfTeX aliases for LuaTeX  The package provides emulation of pdfTeX primitives for LuaTeX  v0.85+.,1, pdfTeX aliases for LuaTeX," The package provides emulation of pdfTeX primitives for LuaTeX
v0.85+.",1
tesseract-langpack-srp,工具, Serbian language data for tesseract-tessdata  This package contains the fast integer version of the Serbian language  trained models for the Tesseract Open Source OCR Engine.,1, Serbian language data for tesseract-tessdata," This package contains the fast integer version of the Serbian language
trained models for the Tesseract Open Source OCR Engine.",1
plasma-breeze-common,工具, Common files shared between KDE 4 and Plasma 5 versions of the Breeze style  Common files shared between KDE 4 and Plasma 5 versions of the Breeze style.,1, Common files shared between KDE 4 and Plasma 5 versions of the Breeze style, Common files shared between KDE 4 and Plasma 5 versions of the Breeze style.,1
hunspell-is,工具, Icelandic hunspell dictionaries  Icelandic hunspell dictionaries.,1, Icelandic hunspell dictionaries, Icelandic hunspell dictionaries.,1
pcp-pmda-zimbra,服务, Performance Co-Pilot (PCP) metrics for Zimbra  This package contains the PCP Performance Metrics Domain Agent (PMDA) for  collecting metrics about Zimbra.,2, Performance Co-Pilot (PCP) metrics for Zimbra," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Zimbra.",2
qt5-qtvirtualkeyboard-examples,库, Programming examples for qt5-qtvirtualkeyboard  Programming examples for qt5-qtvirtualkeyboard.,0, Programming examples for qt5-qtvirtualkeyboard, Programming examples for qt5-qtvirtualkeyboard.,0
docker,服务," The open-source application container engine  Docker is a product for you to build, ship and run any application as a  lightweight container.    Docker containers are both hardware-agnostic and platform-agnostic. This means  they can run anywhere, from your laptop to the largest cloud compute instance  and everything in between - and they don't require you to use a particular  language, framework or packaging system. That makes them great building blocks  for deploying and scaling web apps, databases, and backend services without  depending on a particular stack or provider.",2, The open-source application container engine," Docker is a product for you to build, ship and run any application as a
lightweight container.

Docker containers are both hardware-agnostic and platform-agnostic. This means
they can run anywhere, from your laptop to the largest cloud compute instance
and everything in between - and they don't require you to use a particular
language, framework or packaging system. That makes them great building blocks
for deploying and scaling web apps, databases, and backend services without
depending on a particular stack or provider.",1
texlive-manfnt-font,工具, manfnt-font package  manfnt-font package,1, manfnt-font package, manfnt-font package,3
bpg-excelsior-caps-fonts,其它, Excelsior Caps family of BPG Georgian fonts  BPG Fonts are a set of GPL licensed Georgian Unicode fonts.    This package contains the Excelsior Caps font family.,3, Excelsior Caps family of BPG Georgian fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Excelsior Caps font family.",3
