pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
libserf,"
High-Performance Asynchronous HTTP Client Library.","
The serf library is a C-based HTTP client library built upon the Apache
Portable Runtime (APR) library. It multiplexes connections, running the
read/write communication asynchronously. Memory copies and transformations are
kept to a minimum to provide high performance operation.",asynchronous http client ,serf apache http library runtime ,high-performance asynchronous http ,library minimum build provide keep ,0,none
jzlib,"
Re-implementation of zlib in pure Java.","
The zlib is designed to be a free, general-purpose, legally unencumbered
-- that is, not covered by any patents -- loss-less data-compression
library for use on virtually any computer hardware and operating system.
The zlib was written by Jean-loup Gailly (compression) and Mark Adler
(decompression).",zlib java implementation ,zlib compression decompression library unencumbered ,re-implementation zlib pure ,zlib virtually gailly compression library ,0,none
jansi-native,"
Jansi Native implements the JNI Libraries used by the Jansi project.","
Jansi is a small java library that allows you to use ANSI escape sequences
in your Java console applications. It implements ANSI support on platforms
which don't support it like Windows and provides graceful degradation for
when output is being sent to output devices which cannot support ANSI sequences.",jansi jni libraries ,jansi ansi java output escape ,jansi native implement ,ansi support sequence java output ,0,none
guava,"
Google Core Libraries for Java.","
Guava is a suite of core and expanded libraries that include
utility classes, Google’s collections, io classes, and much
much more.
This project is a complete packaging of all the Guava libraries
into a single jar.  Individual portions of Guava can be used
by downloading the appropriate module and its dependencies.",java libraries core ,guava libraries utility collections jar ,google core libraries ,guava include library class utility ,0,none
guava20,"
Google Core Libraries for Java.","
Guava is a suite of core and expanded libraries that include
utility classes, Google’s collections, io classes, and much
much more.
This project is a complete packaging of all the Guava libraries
into a single jar.  Individual portions of Guava can be used
by downloading the appropriate module and its dependencies.",java libraries core ,guava libraries utility collections jar ,google core libraries ,guava include library class utility ,0,none
disruptor,"
Concurrent Programming Framework.","
A High Performance Inter-Thread Messaging Library.",concurrent framework programming ,messaging thread library performance inter ,concurrent programming framework ,high performance inter-thread messaging library ,0,none
apr-util,"
Apache Portable Runtime Utility library.
APR utility library Berkeley DB driver.
APR utility library MySQL DBD driver.
APR utility library ODBC DBD driver.
APR utility library OpenSSL crypto support.
APR utility library PostgreSQL DBD driver.
APR utility library SQLite DBD driver.
APR utility library LDAP support.","
The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines.  This library
contains additional utility interfaces for APR; including support
for XML, LDAP, database interfaces, URI parsing and more.
This package provides the Berkeley DB driver for the apr-util
DBM (database abstraction) interface.
This package provides the MySQL driver for the apr-util DBD
(database abstraction) interface.
This package provides the ODBC driver for the apr-util DBD
(database abstraction) interface.
This package provides the OpenSSL crypto support for the apr-util.
This package provides the PostgreSQL driver for the apr-util
DBD (database abstraction) interface.
This package provides the SQLite driver for the apr-util DBD
(database abstraction) interface.
This package provides the LDAP support for the apr-util.",library postgresql openssl ,postgresql openssl ldap sqlite apache ,utility library driver ,provide apr-util database library interface ,0,应用工具
chrpath,"
Modify rpath of compiled programs.","
chrpath allows you to modify the dynamic library load path (rpath) of
compiled programs.  Currently, only removing and modifying the rpath
is supported.",rpath compiled modify ,rpath chrpath compiled library removing ,modify rpath compiled ,modify rpath library load dynamic ,0,应用工具
disomaster,"
Library to manipulate DISC burning.","
This package provides a libisoburn wrapper class for Qt.",disc burning library ,qt libisoburn wrapper package provides ,library manipulate disc ,package provide libisoburn wrapper class ,0,应用工具
lmdb,"
Shared libraries for lmdb.","
The lmdb-libs package contains shared libraries necessary for running
applications that use lmdb.",lmdb libraries shared ,lmdb libraries libs shared applications ,shared library lmdb ,share library necessary contains application ,0,应用工具
luksmeta,"
Library for storing small metadata in the LUKSv1 header.
Utility for storing small metadata in the LUKSv1 header.","
LUKSMeta is a C library for storing small portions of metadata in the LUKSv1
header for use before unlocking the volume.
LUKSMeta is a command line utility for storing small portions of metadata in
the LUKSv1 header for use before unlocking the volume.",luksv1 metadata library ,luksmeta luksv1 metadata storing library ,store small metadata ,portion small metadata store luksv1 ,0,应用工具
mingw-bzip2,"
Static library for mingw32-bzip2 development.
Static library for mingw64-bzip2 development.
32 Bit version of bzip2 for Windows.
64 Bit version of bzip2 for Windows.","
Static library for mingw32-bzip2 development.
Static library for mingw64-bzip2 development.
Bzip2 is a freely available, patent-free, high quality data compressor.
Bzip2 compresses files to within 10 to 15 percent of the capabilities
of the best techniques available.  However, bzip2 has the added benefit
of being approximately two times faster at compression and six times
faster at decompression than those techniques.  Bzip2 is not the
fastest compression utility, but it does strike a balance between speed
and compression capability.

This package contains development tools and libraries for use when
cross-compiling Windows software.
Bzip2 is a freely available, patent-free, high quality data compressor.
Bzip2 compresses files to within 10 to 15 percent of the capabilities
of the best techniques available.  However, bzip2 has the added benefit
of being approximately two times faster at compression and six times
faster at decompression than those techniques.  Bzip2 is not the
fastest compression utility, but it does strike a balance between speed
and compression capability.

This package contains development tools and libraries for use when
cross-compiling Windows software.",bzip2 mingw32 mingw64 ,bzip2 compression mingw32 compiling libraries ,static library development ,bzip2 library compression development capability ,0,应用工具
mingw-cairo,"
MinGW Windows Cairo library.
MinGW Windows Cairo library.","
MinGW Windows Cairo library.
MinGW Windows Cairo library.",mingw cairo library ,mingw cairo library windows ,mingw windows cairo ,mingw windows cairo library ,0,应用工具
mingw-fontconfig,"
MinGW Windows Fontconfig library.
MinGW Windows Fontconfig library.","
MinGW Windows Fontconfig library.
MinGW Windows Fontconfig library.",fontconfig mingw library ,fontconfig mingw windows library ,mingw windows fontconfig ,mingw windows fontconfig library ,0,应用工具
mingw-harfbuzz,"
Static version of the MinGW Windows Harfbuzz library.
Static version of the MinGW Windows Harfbuzz library.
MinGW Windows Harfbuzz library.
MinGW Windows Harfbuzz library.","
Static version of the MinGW Windows Harfbuzz library.
Static version of the MinGW Windows Harfbuzz library.
HarfBuzz is an implementation of the OpenType Layout engine.
HarfBuzz is an implementation of the OpenType Layout engine.",mingw harfbuzz library ,harfbuzz mingw opentype static library ,version mingw windows ,harfbuzz version mingw windows implementation ,0,应用工具
mingw-sqlite,"
Static version of MinGW Windows port of sqlite library.
Static version of MinGW Windows port of sqlite library.
MinGW Windows port of sqlite embeddable SQL database engine.
MinGW Windows port of sqlite embeddable SQL database engine.","
SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host

This package contains static cross-compiled library
SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host

This package contains static cross-compiled library
SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host

This package contains cross-compiled libraries and development tools
for Windows.
SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host

This package contains cross-compiled libraries and development tools
for Windows.",sqlite mingw port ,sqlite database sql92 binaries libraries ,port sqlite windows ,database single sqlite library support ,0,应用工具
ostree,"
GRUB2 integration for OSTree.
Development headers for ostree.
Tool for managing bootable, immutable filesystem trees.","
GRUB2 integration for OSTree
The ostree-libs provides shared libraries for ostree.
libostree is a shared library designed primarily for
use by higher level tools to manage host systems (e.g. rpm-ostree),
as well as container tools like flatpak and the atomic CLI.",ostree grub2 filesystem ,libostree ostree grub2 libraries libs ,ostree manage bootable ,tool shared library level primarily ,0,应用工具
pacemaker,"
Cluster Libraries used by Pacemaker.
Core Pacemaker libraries.
Schemas and upgrade stylesheets for Pacemaker.","
Pacemaker is an advanced, scalable High-Availability cluster resource
manager.

The pacemaker-cluster-libs package contains cluster-aware shared
libraries needed for nodes that will form part of the cluster nodes.
Pacemaker is an advanced, scalable High-Availability cluster resource
manager.

The pacemaker-libs package contains shared libraries needed for cluster
nodes and those just running the CLI tools.
Schemas and upgrade stylesheets for Pacemaker

Pacemaker is an advanced, scalable High-Availability cluster resource
manager.",pacemaker cluster libraries ,pacemaker cluster availability libraries cli ,pacemaker schemas upgrade ,cluster library share need pacemaker ,0,应用工具
rarian,"
Extra files for compatibility with scrollkeeper.
Documentation meta-data library.","
This package contains files needed to maintain backward-compatibility with
scrollkeeper.
Rarian is a documentation meta-data library that allows access to documents,
man pages and info pages.  It was designed as a replacement for scrollkeeper.",scrollkeeper files documentation ,scrollkeeper rarian library documentation pages ,documentation meta-data library ,scrollkeeper allow file need maintain ,0,应用工具
soundtouch,"
Audio Processing library for changing Tempo, Pitch and Playback Rates.","
SoundTouch is a LGPL-licensed open-source audio processing library for
changing the Tempo, Pitch and Playback Rates of audio streams or
files. The SoundTouch library is suited for application developers
writing sound processing tools that require tempo/pitch control
functionality, or just for playing around with the sound effects.

The SoundTouch library source kit includes an example utility
SoundStretch which allows processing .wav audio files from a
command-line interface.",audio tempo library ,soundtouch soundstretch audio lgpl tools ,change tempo pitch ,audio library processing sound soundtouch ,0,应用工具
sqlite,"
Library that implements an embeddable SQL database engine.
Shared library for the sqlite3 embeddable SQL database engine..","
SQLite is a C library that implements an SQL database engine. A large
subset of SQL92 is supported. A complete database is stored in a
single disk file. The API is designed for convenience and ease of use.
Applications that link against SQLite can enjoy the power and
flexibility of an SQL database without the administrative hassles of
supporting a separate database server.  Version 2 and version 3 binaries
are named to permit each to be installed on a single host
This package contains the shared library for sqlite.",sqlite3 database embeddable ,sqlite database sql92 library binaries ,library embeddable database ,database single sqlite support instal ,0,应用工具
sysfsutils,"
Shared library for interfacing with sysfs.","
Library used in handling linux kernel sysfs mounts and their various files.",sysfs library shared ,sysfs mounts library linux kernel ,shared library interfacing ,kernel sysfs mount linux various ,0,应用工具
userspace-rcu,"
RCU (read-copy-update) implementation in user-space.","
This data synchronization library provides read-side access which scales
linearly with the number of cores. It does so by allowing multiples copies
of a given data structure to live at the same time, and by monitoring
the data structure accesses to detect grace periods after which memory
reclamation is possible.",rcu implementation copy ,synchronization memory cores monitoring library ,read-copy-update implementation user-space ,access data structure grace read-side ,0,应用工具
xdp-tools,"
Utilities and example programs for use with XDP.
XDP helper library.","
Utilities and example programs for use with XDP
The libxdp package contains the libxdp library for managing XDP programs,
used by the xdp-tools package",xdp library helper ,libxdp xdp programs utilities library ,utilities example program ,program libxdp package contain library ,0,应用工具
accountsservice,"
Client-side library to talk to accountsservice.
D-Bus interfaces for querying and manipulating user account information.","
The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon.
The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands.",accountsservice bus querying ,accountsservice useradd daemon library bus ,query manipulate user ,interface accountsservice application base library ,0,应用库
aom,"
Royalty-free next-generation video format.
Library files for aom.","
The Alliance for Open Media’s focus is to deliver a next-generation
video format that is:

 - Interoperable and open;
 - Optimized for the Internet;
 - Scalable to any modern device at any bandwidth;
 - Designed with a low computational footprint and optimized for hardware;
 - Capable of consistent, highest-quality, real-time video delivery; and
 - Flexible for both commercial and non-commercial content, including
   user-generated content.

This package contains the reference encoder and decoder.
Library files for aom, the royalty-free next-generation
video format.",aom library free ,encoder aom video bandwidth format ,royalty-free next-generation video ,video open next-generation format commercial ,0,应用库
blur-effect,"
A library for using 3D graphics hardware to draw pretty pictures.",,3d graphics library ,,graphic hardware draw ,,0,应用库
c-ares,"
A library that performs asynchronous DNS operations.","
c-ares is a C library that performs DNS requests and name resolves
asynchronously. c-ares is a fork of the library named 'ares', written
by Greg Hudson at MIT.",dns asynchronous library ,ares dns library fork asynchronously ,library perform asynchronous ,name library 'ares perform request ,0,应用库
cogl,"
A library for using 3D graphics hardware to draw pretty pictures.","
Cogl is a small open source library for using 3D graphics hardware to draw
pretty pictures. The API departs from the flat state machine style of
OpenGL and is designed to make it easy to write orthogonal components that
can render without stepping on each others toes.

As well aiming for a nice API, we think having a single library as opposed
to an API specification like OpenGL has a few advantages too; like being
able to paper over the inconsistencies/bugs of different OpenGL
implementations in a centralized place, not to mention the myriad of OpenGL
extensions. It also means we are in a better position to provide utility
APIs that help software developers since they only need to be implemented
once and there is no risk of inconsistency between implementations.

Having other backends, besides OpenGL, such as drm, Gallium or D3D are
options we are interested in for the future.",3d graphics library ,opengl cogl apis 3d advantages ,graphic hardware draw ,opengl library implementation like graphic ,0,应用库
compat-openssl10,"
Compatibility version of the OpenSSL library.","
The OpenSSL toolkit provides support for secure communications between
machines. This version of OpenSSL package contains only the libraries
and is provided for compatibility with previous releases and software
that does not support compilation with OpenSSL-1.1.",openssl compatibility library ,openssl libraries secure toolkit package ,compatibility version openssl ,provide support openssl release library ,0,应用库
corosync,"
The Corosync Cluster Engine Libraries.","
This package contains corosync libraries.",cluster corosync libraries ,corosync libraries package contains ,corosync cluster engine ,package contain corosync library ,0,应用库
cups-filters,"
OpenPrinting CUPS filters and backends - cupsfilters and fontembed libraries.
OpenPrinting CUPS filters and backends.","
This package provides cupsfilters and fontembed libraries.
Contains backends, filters, and other software that was
once part of the core CUPS distribution but is no longer maintained by
Apple Inc. In addition it contains additional filters developed
independently of Apple, especially filters for the PDF-centric printing
workflow introduced by OpenPrinting.",cupsfilters openprinting libraries ,cupsfilters openprinting pdf libraries fontembed ,filter backends cupsfilters ,filter apple pdf-centric part core ,0,应用库
dleyna-core,"
Utilities for higher level dLeyna libraries.","
A set of utility functions that are used by the higher level dLeyna libraries
to communicate with DLNA devices. It provides APIs for logging, error, settings
and task management, and an IPC abstraction.",libraries dleyna utilities ,dlna dleyna apis libraries devices ,utilities high level ,dleyna level library error setting ,0,应用库
dlm,"
Library for dlm.","
The dlm-lib package contains the libraries needed to use the dlm
from userland applications.",dlm library ,dlm libraries userland lib applications ,library ,contain library need package userland ,0,应用库
dotconf,"
Libraries to parse configuration files.","
Dotconf is a library used to handle configuration files.",libraries parse configuration ,dotconf configuration files library handle ,libraries parse configuration ,dotconf library handle configuration file ,0,应用库
drpm,"
A library for making, reading and applying deltarpm packages.","
The drpm package provides a library for making, reading and applying deltarpms,
compatible with the original deltarpm packages.",deltarpm library packages ,deltarpm deltarpms drpm library packages ,make reading apply ,package make apply deltarpms reading ,0,应用库
dtc,"
Device tree library.","
libfdt is a library to process Open Firmware style device trees on various
architectures.",device library tree ,libfdt firmware library device architectures ,device tree library ,firmware style open device process ,0,应用库
enchant,"
An Enchanting Spell Checking Library.","
A library that wraps other spell checking backends.",enchanting spell library ,spell library backends checking wraps ,enchanting spell checking ,library wrap spell check backends ,0,应用库
enchant2,"
An Enchanting Spell Checking Library.","
A library that wraps other spell checking backends.",enchanting spell library ,spell library backends checking wraps ,enchanting spell checking ,library wrap spell check backends ,0,应用库
fabtests,"
Test suite for libfabric API.","
Fabtests provides a set of examples that uses libfabric - a high-performance
fabric software library.",api libfabric test ,fabric library fabtests libfabric software ,test suite libfabric ,libfabric high-performance fabric example software ,0,应用库
farstream02,"
Libraries for videoconferencing.","
farstream02 is a collection of GStreamer modules and libraries for
videoconferencing.",videoconferencing libraries ,gstreamer farstream02 videoconferencing libraries modules ,libraries videoconferencing ,collection gstreamer module library farstream02 ,0,应用库
fftw,"
A Fast Fourier Transform library.
FFTW run-time library.
FFTW library, double precision.
FFTW library, long double precision.
FFTW library, quadruple.
FFTW library, single precision.
Static versions of the FFTW libraries.","
FFTW is a C subroutine library for computing the Discrete Fourier
Transform (DFT) in one or more dimensions, of both real and complex
data, and of arbitrary input size.
This is a dummy package package, pulling in the individual FFTW
run-time libraries.
This package contains the FFTW library compiled in double precision.
This package contains the FFTW library compiled in long double
precision.
This package contains the FFTW library compiled in quadruple
precision.
This package contains the FFTW library compiled in single precision.
The fftw-static package contains the statically linkable version of
the FFTW fast Fourier transform library.",fftw precision libraries ,fftw dft fourier precision libraries ,library fftw precision ,fftw library package contain fourier ,0,应用库
freeimage,"
Multi-format image decoder library.
C++ wrapper for FreeImage.","
FreeImage is a library for developers who would like to support popular
graphics image formats like PNG, BMP, JPEG, TIFF and others as needed by
today's multimedia applications.
The freeimage-plus package contains the C++ wrapper library for freeimage.",freeimage decoder library ,freeimage jpeg graphics multimedia library ,multi-format image decoder ,like library others tiff jpeg ,0,应用库
fribidi,"
Library implementing the Unicode Bidirectional Algorithm.","
A library to handle bidirectional scripts (for example Hebrew, Arabic),
so that the display is done in the proper way; while the text data itself
is always written in logical order.",unicode bidirectional algorithm ,arabic text bidirectional scripts library ,library implement unicode ,data example hebrew text arabic ,0,应用库
gc,"
A garbage collector for C and C++.","
The Boehm-Demers-Weiser conservative garbage collector can be
used as a garbage collecting replacement for C malloc or C++ new.",garbage collector ,malloc collector garbage boehm weiser ,garbage collector ,garbage collector collect conservative replacement ,0,应用库
gcab,"
Library to create Cabinet archives.","
libgcab is a library to manipulate Cabinet archive using GIO/GObject.",cabinet archives library ,libgcab cabinet library archive gobject ,library create cabinet ,library manipulate cabinet archive libgcab ,0,应用库
gcr,"
A library for bits of crypto UI and parsing.","
gcr is a library for displaying certificates, and crypto UI, accessing
key stores. It also provides a viewer for crypto files on the GNOME
desktop.

gck is a library for accessing PKCS#11 modules like smart cards.",crypto parsing ui ,gcr gck pkcs crypto library ,library crypto parsing ,crypto access library viewer file ,0,应用库
gdk-pixbuf2,"
An image loading library.","
gdk-pixbuf is an image loading library that can be extended by loadable
modules for new image formats. It is used by toolkits such as GTK+ or
clutter.",library image loading ,pixbuf gdk image toolkits loadable ,image load library ,image extend load library loadable ,0,应用库
gfbgraph,"
GLib/GObject wrapper for the Facebook Graph API.","
GLib/GObject wrapper for the Facebook Graph API that integrates with GNOME
Online Accounts.",facebook gobject api ,facebook api gnome glib gobject ,glib/gobject wrapper facebook ,graph integrate gnome facebook online ,0,应用库
giflib,"
A library and utilities for processing GIFs.","
giflib is a library for reading and writing gif images.",gifs library processing ,giflib gif library images writing ,library utility process ,giflib library reading write image ,0,应用库
glibmm24,"
C++ interface for the GLib library.","
glibmm is the official C++ interface for the popular cross-platform
library GLib. It provides non-UI API that is not available in standard
C++ and makes it possible for gtkmm to wrap GObject-based APIs.",glib library interface ,glib glibmm gtkmm gobject apis ,interface glib library ,make possible interface popular cross-platform ,0,应用库
glog,"
A C++ application logging library.","
Google glog is a library that implements application-level
logging. This library provides logging APIs based on C++-style
streams and various helper macros.",logging library application ,glog logging apis google streams ,application library ,library c++-style stream base various ,0,应用库
grilo,"
Content discovery framework.","
Grilo is a framework that provides access to different sources of
multimedia content, using a pluggable system.
This package contains the core library and elements.",framework discovery content ,grilo multimedia library framework content ,content discovery framework ,source different multimedia access package ,0,应用库
gsl,"
The GNU Scientific Library for numerical analysis.","
The GNU Scientific Library (GSL) is a collection of routines for
numerical analysis, written in C.",numerical gnu library ,gsl gnu library numerical scientific ,scientific library numerical ,collection routine numerical library analysis ,0,应用库
gsm,"
Shared libraries for GSM speech compressor.","
Contains runtime shared libraries for libgsm, an implementation of
the European GSM 06.10 provisional standard for full-rate speech
transcoding, prI-ETS 300 036, which uses RPE/LTP (residual pulse
excitation/long term prediction) coding at 13 kbit/s.

GSM 06.10 compresses frames of 162 13-bit samples (8 kHz sampling
rate, i.e. a frame rate of 50 Hz) into 260 bits; for compatibility
with typical UNIX applications, our implementation turns frames of 160
16-bit linear samples into 33-byte frames (1650 Bytes/s).
The quality of the algorithm is good enough for reliable speaker
recognition; even music often survives transcoding in recognizable
form (given the bandwidth limitations of 8 kHz sampling rate).

The interfaces offered are a front end modelled after compress(1), and
a library API.  Compression and decompression run faster than realtime
on most SPARCstations.  The implementation has been verified against the
ETSI standard test patterns.",libraries gsm compressor ,compression gsm libgsm speaker libraries ,shared library speech ,implementation transcoding standard library frame ,0,应用库
gsound,"
Small gobject library for playing system sounds.","
GSound is a small library for playing system sounds.
It's designed to be used via GObject Introspection,
and is a thin wrapper around the libcanberra C library",gobject library playing ,gsound library libcanberra playing gobject ,gobject library play ,library thin wrapper introspection around ,0,应用库
hesiod,"
Shared libraries for querying the Hesiod naming service.","
Hesiod is a system which uses existing DNS functionality to provide access
to databases of information that changes infrequently.  It is often used to
distribute information kept in the /etc/passwd, /etc/group, and /etc/printcap
files, among others.",hesiod libraries naming ,hesiod dns uses databases changes ,library query hesiod ,information provide /etc/group access /etc/passwd ,0,应用库
htmlcxx,"
A simple non-validating CSS1 and HTML parser for C++.","
htmlcxx is a simple non-validating html parser library for C++.
It allows to fully dump the original html document, character by character,
from the parse tree. It also has an intuitive tree traversal API.",css1 html parser ,htmlcxx html parser traversal library ,simple non-validating css1 ,html tree document character dump ,0,应用库
hwloc,"
Compat package for hwloc-1.11.9.
Portable Hardware Locality - portable abstraction of hierarchical architectures.
Run time libraries for the hwloc.","
 This package contains a compat library for hwloc-1.11.9.
The Portable Hardware Locality (hwloc) software package provides
a portable abstraction (across OS, versions, architectures, ...)
of the hierarchical topology of modern architectures, including
NUMA memory nodes,  shared caches, processor sockets, processor cores
and processing units (logical processors or ""threads""). It also gathers
various system attributes such as cache and memory information. It primarily
aims at helping applications with gathering information about modern
computing hardware so as to exploit it accordingly and efficiently.

hwloc may display the topology in multiple convenient formats.
It also offers a powerful programming interface (C API) to gather information
about the hardware, bind processes, and much more.
Run time libraries for the hwloc",hwloc locality architectures ,hwloc processor cache locality libraries ,portable locality abstraction ,information gather hardware modern hwloc ,0,应用库
ilmbase,"
Abstraction/convenience libraries.","
Half is a class that encapsulates the ilm 16-bit floating-point format.

IlmThread is a thread abstraction library for use with OpenEXR
and other software packages.

Imath implements 2D and 3D vectors, 3x3 and 4x4 matrices, quaternions
and other useful 2D and 3D math functions.

Iex is an exception-handling library.",abstraction libraries convenience ,ilmthread imath iex half implements ,abstraction/convenience library ,library matrix quaternion abstraction openexr ,0,应用库
jansson,"
C library for encoding, decoding and manipulating JSON data.","
Small library for parsing and writing JSON documents.",encoding library json ,json library parsing documents writing ,encode decode manipulate ,library parse write json small ,0,应用库
